Term,PosScore,NegScore,Kannada
day-old,0.0,0.875,ದಿನ ಹಳೆಯದು
unfruitful,0.0,0.75,ಫಲಪ್ರದವಲ್ಲದ
sperm-filled,0.0,0.75,ವೀರ್ಯ ತುಂಬಿದ
nonfunctional,0.0,0.75,ಕಾರ್ಯನಿರ್ವಹಿಸದ
nonproprietary,0.0,0.75,ಲಾಭರಹಿತ
base,0.0,0.875,ಬೇಸ್
pseudo,0.0,0.75,ಹುಸಿ
synthetic,0.125,0.875,ಸಂಶ್ಲೇಷಿತ
no-go,0.0,0.75,ಹೋಗಬೇಡಿ
ill,0.0,0.875,ಅನಾರೋಗ್ಯ
swingeing,0.0,0.875,ಸ್ವಿಂಗಿಂಗ್
uncool,0.0,0.875,ಅಸ್ಪಷ್ಟ
unsuitable,0.222,0.778,ಸೂಕ್ತವಲ್ಲ
evil-minded,0.0,0.75,ದುಷ್ಟ ಮನಸ್ಸಿನವರು
churlish,0.0,0.875,ಚುರ್ಲಿಶ್
churlish,0.25,0.75,ಚುರ್ಲಿಶ್
fulminant,0.0,0.75,ಪೂರ್ಣ
appreciative,0.25,0.75,ಮೆಚ್ಚುಗೆ
unappreciative,0.0,0.75,ಪ್ರಶಂಸನೀಯ
ill,0.0,0.75,ಅನಾರೋಗ್ಯ
bloodshot,0.0,0.75,ರಕ್ತದ ಹೊಡೆತ
caseous,0.0,0.75,ಕೇಸ್
inflamed,0.0,0.875,la ತ
sore-eyed,0.0,0.75,ನೋಯುತ್ತಿರುವ ಕಣ್ಣುಗಳು
varicose,0.0,0.875,ಉಬ್ಬಿರುವ
light-duty,0.0,0.75,ಲಘು ಕರ್ತವ್ಯ
low-level,0.0,0.75,ಕಡಿಮೆ ಮಟ್ಟದ
nonimitative,0.0,0.75,ನಾನ್ಮಿಟಿವ್
yellow,0.0,0.75,ಹಳದಿ
insoluble,0.0,0.75,ಕರಗದ
torrid,0.0,0.75,ಟಾರ್ರಿಡ್
stygian,0.0,0.75,ಸ್ಟೈಜಿಯನ್
undesigned,0.0,0.75,ವಿನ್ಯಾಸಗೊಳಿಸಲಾಗಿಲ್ಲ
unsmoothed,0.0,0.75,ಬಿಚ್ಚಿಲ್ಲದ
anisotropic,0.0,0.75,ಅನಿಸೊಟ್ರೊಪಿಕ್
bittersweet,0.0,0.75,ಬಿಟರ್ ಸ್ವೀಟ್
joyless,0.125,0.75,ಸಂತೋಷವಿಲ್ಲದ
unsmiling,0.0,0.75,ಅನ್ಮಿಲಿಂಗ್
watertight,0.0,0.75,ನೀರಿಲ್ಲದ
unlisted,0.0,0.75,ಪಟ್ಟಿಮಾಡದ
unextended,0.0,0.75,ವಿಸ್ತರಿಸದ
stray,0.0,0.75,ದಾರಿತಪ್ಪಿ
straying,0.0,0.75,ದಾರಿ ತಪ್ಪಿಸುವುದು
apotropaic,0.0,0.75,ಅಪೊಟ್ರೊಪೈಕ್
unbranded,0.0,0.75,ಬ್ರಾಂಡ್ ಮಾಡದ
unfeminine,0.25,0.75,ಸ್ತ್ರೀಲಿಂಗ
unconcerned,0.0,0.75,ಮನಸ್ಸಿಲ್ಲದ
unsoldierly,0.0,0.75,ಅಸಹ್ಯವಾಗಿ
immobile,0.0,0.75,ಚಲನರಹಿತ
unmodified,0.0,0.75,ಮಾರ್ಪಡಿಸದ
unadapted,0.0,0.75,ಹೊಂದಿಕೊಳ್ಳದ
univalent,0.0,0.75,ಏಕಸ್ವಾಮ್ಯ
factitious,0.0,0.75,ವಾಸ್ತವಿಕ
supernatural,0.0,0.75,ಅಲೌಕಿಕ
grotty,0.0,0.875,ಅಸಹ್ಯಕರ
subnormal,0.0,0.75,ಸಬ್ನಾರ್ಮಲ್
paranormal,0.0,0.875,ಅಧಿಸಾಮಾನ್ಯ
innocuous,0.0,0.75,ನಿರುಪದ್ರವಿ
unoccupied,0.0,0.75,ಖಾಲಿಯಾಗಿಲ್ಲ
scrimy,0.0,1.0,ಸ್ಕ್ರಿಮಿ
verminous,0.0,0.875,ವರ್ಮಿನಸ್
odoriferous,0.222,0.778,ವಾಸನೆ
unofficial,0.0,0.75,ಅನಧಿಕೃತ
unestablished,0.0,0.75,ಸ್ಥಾಪಿಸಲಾಗಿಲ್ಲ
off-street,0.0,0.75,ಆಫ್-ಸ್ಟ್ರೀಟ್
off-line,0.0,0.75,ಆಫ್-ಲೈನ್
off,0.0,0.75,ಆರಿಸಿ
inconvenient,0.0,0.75,ಅನಾನುಕೂಲ
unopposed,0.0,0.75,ವಿರೋಧವಿಲ್ಲದೆ
unmethodical,0.0,0.75,ಅನೈತಿಕ
artificial,0.0,0.75,ಕೃತಕ
stunning,0.0,0.75,ಬೆರಗುಗೊಳಿಸುತ್ತದೆ
underivative,0.0,0.875,ಅಂಡರ್ವೈಟಿವ್
unoriginal,0.0,0.75,ಅನಧಿಕೃತ
slavish,0.0,0.75,ಗುಲಾಮ
painless,0.0,0.75,ನೋವುರಹಿತ
unpainted,0.0,0.875,ಪೇಂಟೆಡ್
unoiled,0.0,0.75,unoiled
unpaintable,0.0,0.75,ಬಣ್ಣಿಸಲಾಗದ
unpalatable,0.125,0.75,ಅಸಮರ್ಥನೀಯ
unforbearing,0.0,0.875,ಅಸಹನೀಯ
unpaved,0.0,0.75,ಸುಸಜ್ಜಿತ
unpeaceful,0.0,0.75,ಅಹಿತಕರ
unpeaceable,0.0,0.875,ಅನಿರ್ದಿಷ್ಟ
inadmissible,0.0,0.75,ಅನುಮತಿಸಲಾಗುವುದಿಲ್ಲ
unpermissive,0.125,0.75,ಅನುಮತಿಸದ
unperplexed,0.0,0.75,ಅಪ್ರಚಲಿತ
impenetrable,0.0,0.75,ತೂರಲಾಗದ
rot-resistant,0.0,0.75,ಕೊಳೆತ-ನಿರೋಧಕ
nonpsychoactive,0.0,0.75,ನಾನ್ ಸೈಕೋಆಕ್ಟಿವ್
off-putting,0.0,0.75,ಆಫ್-ಹಾಕುವುದು
raw,0.0,0.75,ಕಚ್ಚಾ
imponderable,0.0,0.875,ಅಸಹನೀಯ
neutral,0.125,0.75,ತಟಸ್ಥ
out,0.0,0.875,.ಟ್
unfunctional,0.0,0.75,ಕಾರ್ಯನಿರ್ವಹಿಸದ
cretinous,0.0,0.875,ಕ್ರೆಟಿನಸ್
secondary,0.0,0.75,ದ್ವಿತೀಯ
nonpublic,0.0,0.75,ಸಾರ್ವಜನಿಕೇತರ
lay,0.0,0.75,ಲೇ
lean,0.125,0.75,ನೇರ
unremunerative,0.0,0.75,ಅನಾನುಕೂಲ
out-of-the-way,0.0,0.75,ದಾರಿಯಿಂದ ಆಚೆಗೆ
unimpeachable,0.0,0.75,ನಿಷ್ಪಾಪ
unquiet,0.0,0.75,ಅಶಾಂತಿ
flat-footed,0.0,0.75,ಚಪ್ಪಟೆ-ಕಾಲು
unprocessed,0.0,0.75,ಸಂಸ್ಕರಿಸದ
untreated,0.0,0.75,ಸಂಸ್ಕರಿಸದ
raw,0.0,0.75,ಕಚ್ಚಾ
untreated,0.0,0.875,ಸಂಸ್ಕರಿಸದ
assimilative,0.0,0.75,ಸಂಯೋಜಕ
unexpansive,0.0,0.75,ವಿಸ್ತರಿಸಲಾಗದ
moneyless,0.0,0.75,ಹಣವಿಲ್ಲದ
out,0.0,0.75,.ಟ್
manic-depressive,0.0,0.75,ಉನ್ಮಾದ-ಖಿನ್ನತೆ
psychotic,0.0,0.75,ಮನೋವಿಕೃತ
saturnine,0.125,0.75,ಸ್ಯಾಟರ್ನೈನ್
unconscientious,0.0,0.75,ಸುಪ್ತಾವಸ್ಥೆ
fail-safe,0.0,0.75,ವಿಫಲ-ಸುರಕ್ಷಿತ
junior,0.0,0.75,ಕಿರಿಯ
frivolous,0.0,0.75,ಕ್ಷುಲ್ಲಕ
broken-down,0.0,0.875,ಮುರಿದು ಬಿದ್ದ
nonresident,0.0,0.75,ಅನಿವಾಸಿ
nonnomadic,0.0,0.75,ನಾನ್ನೋಮ್ಯಾಡಿಕ್
unformed,0.0,0.75,ಅಜ್ಞಾತ
FALSE,0.125,0.75,ತಪ್ಪು
feigned,0.125,0.875,ಭಾವಿಸಲಾಗಿದೆ
unsized,0.0,0.75,ಗಾತ್ರೀಕರಿಸದ
unsorted,0.0,0.75,ವಿಂಗಡಿಸದ
unshuttered,0.0,0.75,ಸ್ವಚ್ un ಗೊಳಿಸದ
unsociable,0.0,0.75,ಅಸುರಕ್ಷಿತ
ungregarious,0.0,0.75,ಅಸಂಗತ
unsold,0.0,0.75,ಮಾರಾಟವಾಗದ
nonstandard,0.125,0.75,ಪ್ರಮಾಣಿತವಲ್ಲದ
nonstandard,0.125,0.875,ಪ್ರಮಾಣಿತವಲ್ಲದ
nonnormative,0.0,0.75,ಅಸಹಜ
nonstandard,0.0,0.75,ಪ್ರಮಾಣಿತವಲ್ಲದ
unstressed,0.0,0.75,ಒತ್ತಡರಹಿತ
low-grade,0.222,0.778,ಕೆಳ ದರ್ಜೆ
unimpressionable,0.0,0.75,ಪ್ರಭಾವಶಾಲಿ
soured,0.0,0.75,ಸೋರೆಡ್
unsuspected,0.125,0.75,ಅನುಮಾನಾಸ್ಪದ
unswept,0.0,0.75,ಅಶುದ್ಧ
unsympathetic,0.0,0.875,ಸಹಾನುಭೂತಿ ಇಲ್ಲ
temperate,0.125,0.75,ಸಮಶೀತೋಷ್ಣ
unkempt,0.0,0.75,ಕಳಂಕವಿಲ್ಲದ
ungroomed,0.125,0.75,ಅನಧಿಕೃತ
intolerant,0.125,0.75,ಅಸಹಿಷ್ಣುತೆ
intestate,0.0,0.75,ಕರುಳು
tough,0.0,0.75,ಕಠಿಣ
unmalleable,0.0,0.75,ಅಳಿಸಲಾಗದ
FALSE,0.0,0.75,ತಪ್ಪು
undivided,0.0,0.875,ಅವಿಭಜಿತ
dystopian,0.0,0.75,ಡಿಸ್ಟೋಪಿಯನ್
FALSE,0.0,0.75,ತಪ್ಪು
manky,0.3,0.7,ಮಾಂಕಿ
occult,0.0,0.875,ಅತೀಂದ್ರಿಯ
consumptive,0.0,0.75,ಗ್ರಾಹಕ
dyspeptic,0.0,0.75,ಡಿಸ್ಪೆಪ್ಟಿಕ್
palsied,0.0,0.75,ಪಾಲ್ಸಿಡ್
scrofulous,0.0,0.875,ಸ್ಕ್ರೋಫುಲಸ್
unwholesome,0.125,0.75,ಅನಾರೋಗ್ಯಕರ
benign,0.0,0.75,ಹಾನಿಕರವಲ್ಲದ
immunodeficient,0.0,0.75,ಇಮ್ಯುನೊ ಡಿಫಿಶಿಯಂಟ್
anasarcous,0.0,0.75,ಅನಾಸಾರ್ಕಸ್
immunocompromised,0.0,0.75,ಇಮ್ಯುನೊಕೊಪ್ರೊಮೈಸ್ಡ್
aversive,0.125,0.75,ವಿರೋಧಿ
nonenzymatic,0.0,0.75,ನಾನ್ಎಂಜೈಮ್ಯಾಟಿಕ್
tetanic,0.0,0.75,ಟೆಟಾನಿಕ್
tetanic,0.0,0.75,ಟೆಟಾನಿಕ್
unposed,0.0,0.75,ಅನ್ಪೋಸ್ಡ್
conquest,0.0,0.75,ವಿಜಯ
hyperemesis,0.0,0.75,ಹೈಪರೆಮೆಸಿಸ್
bronchospasm,0.0,0.75,ಬ್ರಾಂಕೋಸ್ಪಾಸ್ಮ್
palliation,0.0,0.75,ಪ್ಯಾಲಿಯೇಶನ್
overexertion,0.0,0.875,ಅತಿಯಾದ ಒತ್ತಡ
abduction,0.0,1.0,ಅಪಹರಣ
scatophagy,0.0,0.75,ಸ್ಕ್ಯಾಟೊಫಾಗಿ
underproduction,0.0,0.75,ಕಡಿಮೆ ಉತ್ಪಾದನೆ
armageddon,0.0,0.75,ಆರ್ಮಗೆಡ್ಡೋನ್
misdeal,0.0,0.75,ತಪ್ಪು
rotavirus,0.0,0.75,ರೋಟವೈರಸ್
rockweed,0.0,0.75,ರಾಕ್ವೀಡ್
kitsch,0.125,0.75,ಕಿಟ್ಸ್ಚ್
lenitive,0.0,0.875,ಲೆನಿಟಿವ್
stinker,0.0,0.75,ವಾಸನೆ
disagreeableness,0.0,0.875,ಭಿನ್ನಾಭಿಪ್ರಾಯ
levity,0.125,0.875,ಲೆವಿಟಿ
unapproachability,0.125,0.75,ಪ್ರವೇಶಿಸಲಾಗದಿರುವಿಕೆ
unfriendliness,0.0,0.875,ಸ್ನೇಹಪರತೆ
uncongeniality,0.25,0.75,ಅಸಂಗತತೆ
unneighborliness,0.0,0.875,ಅನ್ಯಾಯ
unpleasingness,0.125,0.75,ಅಹಿತಕರ
shiftiness,0.125,0.75,ಶಿಫ್ಟ್ನೆಸ್
granite,0.0,0.75,ಗ್ರಾನೈಟ್
disagreeableness,0.125,0.875,ಭಿನ್ನಾಭಿಪ್ರಾಯ
beastliness,0.0,0.75,ಪ್ರಾಣಿ
unnaturalness,0.0,0.875,ಅಸ್ವಾಭಾವಿಕತೆ
inadmissibility,0.125,0.75,ಪ್ರವೇಶಿಸಲಾಗದಿರುವಿಕೆ
usualness,0.125,0.75,ಸಾಮಾನ್ಯತೆ
nonconformity,0.0,0.75,ಅಸಂಗತತೆ
illegitimacy,0.0,0.875,ನ್ಯಾಯಸಮ್ಮತತೆ
illicitness,0.0,0.75,ಅಕ್ರಮ
elusiveness,0.125,0.75,ಅಸ್ಪಷ್ಟತೆ
wrongness,0.125,0.75,ತಪ್ಪು
incorruptibility,0.25,0.75,ಅನಾನುಕೂಲತೆ
lightheadedness,0.0,0.75,ಲಘು ತಲೆನೋವು
indelicacy,0.125,0.75,indelicacy
staleness,0.0,0.75,ಸ್ಥಗಿತ
hardness,0.0,0.875,ಗಡಸುತನ
vulnerability,0.0,0.875,ದುರ್ಬಲತೆ
tardiness,0.125,0.75,ಬೇಸರ
inessentiality,0.125,0.75,ಅನಿವಾರ್ಯತೆ
defensibility,0.25,0.75,ರಕ್ಷಣಾತ್ಮಕತೆ
snootiness,0.125,0.75,ಸ್ನೂಟಿನೆಸ್
cholecystokinin,0.0,0.75,ಕೊಲೆಸಿಸ್ಟೊಕಿನಿನ್
feeblemindedness,0.0,0.75,ದುರ್ಬಲತೆ
insensibility,0.0,0.75,ಸೂಕ್ಷ್ಮತೆ
hydra,0.0,0.75,ಹೈಡ್ರಾ
pisser,0.0,0.75,piss
pruritus,0.0,0.75,ಪ್ರುರಿಟಸ್
pill,0.0,0.875,ಮಾತ್ರೆ
kink,0.0,0.75,ಕಿಂಕ್
casuistry,0.0,0.75,ಕ್ಯಾಶುಸ್ಟ್ರಿ
reprobation,0.0,0.75,ನಿರಾಕರಣೆ
unfairness,0.125,0.75,ಅನ್ಯಾಯ
stricture,0.0,0.75,ಕಟ್ಟುನಿಟ್ಟಾದ
canard,0.0,0.875,ಬಾತುಕೋಳಿ
excoriation,0.0,0.875,ಉತ್ಸಾಹ
accident,0.0,0.75,ಅಪಘಾತ
resolution,0.0,0.75,ರೆಸಲ್ಯೂಶನ್
fire,0.0,0.75,ಬೆಂಕಿ
wistfulness,0.0,0.75,ಹಂಬಲ
mysophilia,0.0,0.75,ಮೈಸೊಫಿಲಿಯಾ
creepy-crawlies,0.125,0.75,ತೆವಳುವ ಜಂತುಗಳು
unconcern,0.0,0.75,ಮನಸ್ಸಿಲ್ಲದ
conscience,0.125,0.75,ಪ್ರಜ್ಞೆ
levity,0.125,0.875,ಲೆವಿಟಿ
sensibility,0.25,0.75,ಸಂವೇದನೆ
dolefulness,0.0,0.875,ದುಃಖಕರ
heavyheartedness,0.125,0.75,ಭಾರವಾದ ಹೃದಯ
self-pity,0.125,0.75,ಸ್ವಯಂ ಕರುಣೆ
dysphoria,0.0,0.75,ಡಿಸ್ಫೊರಿಯಾ
moodiness,0.125,0.875,ಮನಸ್ಥಿತಿ
plonk,0.0,0.875,ಪ್ಲೋಂಕ್
gridlock,0.0,0.75,ಗ್ರಿಡ್ಲಾಕ್
aphasic,0.0,0.75,ಅಫಾಸಿಕ್
asthmatic,0.0,0.75,ಆಸ್ತಮಾ
choker,0.0,0.75,ಚೋಕರ್
hobbledehoy,0.0,0.875,ಹೊಬ್ಲೆಡೆಹಾಯ್
jerry-builder,0.0,0.75,ಜೆರ್ರಿ-ಬಿಲ್ಡರ್
motormouth,0.0,1.0,ಮೋಟಾರ್ ಬಾಯಿ
patzer,0.0,0.875,ಪ್ರಮಾದ
seducer,0.0,0.75,ಸೆಡ್ಯೂಸರ್
third-rater,0.0,0.75,ಮೂರನೇ-ರೇಟರ್
torturer,0.0,0.75,ಚಿತ್ರಹಿಂಸೆ
yenta,0.0,0.75,yenta
accumulation,0.0,0.75,ಕ್ರೋ ulation ೀಕರಣ
earthquake,0.0,0.875,ಭೂಕಂಪ
insomnia,0.0,0.75,ನಿದ್ರಾಹೀನತೆ
anoxia,0.0,0.75,ಅನಾಕ್ಸಿಯಾ
dysphagia,0.125,0.75,ಡಿಸ್ಫೇಜಿಯಾ
dysuria,0.0,0.875,ಡಿಸುರಿಯಾ
dystrophy,0.0,0.75,ಡಿಸ್ಟ್ರೋಫಿ
invalidism,0.0,0.875,ಅಮಾನ್ಯತೆ
amyloidosis,0.0,0.75,ಅಮೈಲಾಯ್ಡೋಸಿಸ್
neurasthenia,0.0,0.75,ನರಶಸ್ತ್ರ
gingivitis,0.0,0.75,ಜಿಂಗೈವಿಟಿಸ್
glomerulonephritis,0.0,0.75,ಗ್ಲೋಮೆರುಲೋನೆಫ್ರಿಟಿಸ್
hypothyroidism,0.0,0.75,ಹೈಪೋಥೈರಾಯ್ಡಿಸಮ್
diphtheria,0.0,0.75,ಡಿಫ್ತಿರಿಯಾ
pneumonia,0.0,0.75,ನ್ಯುಮೋನಿಯಾ
abetalipoproteinemia,0.0,0.75,ಅಬೆಟಾಲಿಪೊಪ್ರೋಟಿನೆಮಿಯಾ
hypobetalipoproteinemia,0.0,0.75,ಹೈಪೊಬೆಟಾಲಿಪೊಪ್ರೋಟಿನೆಮಿಯಾ
lysinemia,0.0,0.75,ಲೈಸಿನೆಮಿಯಾ
thrombasthenia,0.0,0.75,ಥ್ರಂಬಸ್ತೇನಿಯಾ
tyrosinemia,0.125,0.75,ಟೈರೋಸಿನೆಮಿಯಾ
angina,0.0,0.75,ಆಂಜಿನಾ
blain,0.0,0.875,ಬ್ಲೇನ್
cystitis,0.0,0.75,ಸಿಸ್ಟೈಟಿಸ್
malnutrition,0.0,0.75,ಅಪೌಷ್ಟಿಕತೆ
kwashiorkor,0.0,0.75,ಕ್ವಾಶಿಯೋರ್ಕೋರ್
myopathy,0.125,0.75,ಮಯೋಪತಿ
erythema,0.0,0.75,ಎರಿಥೆಮಾ
livedo,0.0,0.75,ಲೈವ್ಡೊ
granuloma,0.0,0.75,ಗ್ರ್ಯಾನುಲೋಮಾ
arteritis,0.0,0.75,ಅಪಧಮನಿ ಉರಿಯೂತ
blepharitis,0.0,0.875,ಬ್ಲೆಫರಿಟಿಸ್
sprain,0.0,0.75,ಉಳುಕು
bubo,0.0,0.875,ಬುಬೊ
throe,0.0,0.875,ಥ್ರೋ
dysmenorrhea,0.0,0.75,ಡಿಸ್ಮೆನೊರಿಯಾ
odynophagia,0.125,0.75,odynophagia
ulalgia,0.0,0.75,ulalgia
cholangitis,0.0,0.75,ಕೋಲಾಂಜೈಟಿಸ್
cholecystitis,0.0,0.75,ಕೊಲೆಸಿಸ್ಟೈಟಿಸ್
diverticulitis,0.0,0.875,ಡೈವರ್ಟಿಕ್ಯುಲೈಟಿಸ್
endarteritis,0.0,0.75,ಎಂಡಾರ್ಟೆರಿಟಿಸ್
epididymitis,0.0,0.75,ಎಪಿಡಿಡಿಮಿಟಿಸ್
gastritis,0.0,0.75,ಜಠರದುರಿತ
keratitis,0.0,0.75,ಕೆರಟೈಟಿಸ್
oophoritis,0.0,0.75,oph ಫೊರಿಟಿಸ್
orchitis,0.0,0.875,ಆರ್ಕಿಟಿಸ್
pancreatitis,0.0,0.75,ಮೇದೋಜ್ಜೀರಕ ಗ್ರಂಥಿಯ ಉರಿಯೂತ
prostatitis,0.0,0.875,ಪ್ರೊಸ್ಟಟೈಟಿಸ್
spondylitis,0.0,0.75,ಸ್ಪಾಂಡಿಲೈಟಿಸ್
ulitis,0.0,0.75,ಉಲೈಟಿಸ್
ureteritis,0.0,0.75,ಮೂತ್ರನಾಳ ಉರಿಯೂತ
vesiculitis,0.0,0.75,ವೆಸಿಕುಲೈಟಿಸ್
automysophobia,0.0,0.75,ಆಟೊಮಿಸೋಫೋಬಿಯಾ
encopresis,0.0,0.75,ಎನ್ಕೋಪ್ರೆಸಿಸ್
melancholia,0.125,0.75,ವಿಷಣ್ಣತೆ
throe,0.0,0.875,ಥ್ರೋ
cleanness,0.125,0.75,ಸ್ವಚ್ .ತೆ
porphyria,0.125,0.75,ಪೋರ್ಫೈರಿಯಾ
ergotism,0.0,0.75,ergotism
astasia,0.125,0.75,ಅಸ್ತಾಸಿಯಾ
sequela,0.0,0.75,ಶಿಷ್ಯತ್ವ
