Term,PosScore,NegScore,Gujarati
undesigned,0.0,0.75,ડિઝાઇન્ડ
unsmoothed,0.0,0.75,અનમુટ્ડ
anisotropic,0.0,0.75,anisotropic
bittersweet,0.0,0.75,બીટર્સવિટ
joyless,0.125,0.75,આનંદહીન
unsmiling,0.0,0.75,અનસમલિંગ
watertight,0.0,0.75,વોટરટાઇટ
unlisted,0.0,0.75,સૂચિબદ્ધ
unextended,0.0,0.75,બેફામ
stray,0.0,0.75,રખડતા
straying,0.0,0.75,રખડતા
apotropaic,0.0,0.75,apotropaic
unbranded,0.0,0.75,અનબ્રાંડેડ
unfeminine,0.25,0.75,અનિયંત્રિત
unconcerned,0.0,0.75,બેચેન
unsoldierly,0.0,0.75,અકાળે
immobile,0.0,0.75,ગતિહીન
unmodified,0.0,0.75,ફેરફાર ન કરાયેલ
unadapted,0.0,0.75,અનડેપ્ટેડ
univalent,0.0,0.75,અવિભાજ્ય
factitious,0.0,0.75,કાલ્પનિક
supernatural,0.0,0.75,અલૌકિક
grotty,0.0,0.875,કઠોર
subnormal,0.0,0.75,સર્વસામાન્ય
paranormal,0.0,0.875,પેરાનોર્મલ
innocuous,0.0,0.75,નિર્દોષ
unoccupied,0.0,0.75,બેભાન
scrimy,0.0,1.0,ગુપ્તચર
verminous,0.0,0.875,કીડાવાળું
odoriferous,0.222,0.778,ગંધ
unofficial,0.0,0.75,બિનસત્તાવાર
unestablished,0.0,0.75,અપ્રગટ
off-street,0.0,0.75,બંધ શેરી
off-line,0.0,0.75,લાઇન ઓફ
off,0.0,0.75,બંધ
inconvenient,0.0,0.75,અસુવિધાજનક
unopposed,0.0,0.75,બિનહરીફ
unmethodical,0.0,0.75,બિનગૌરવપૂર્ણ
artificial,0.0,0.75,કૃત્રિમ
stunning,0.0,0.75,અદભૂત
underivative,0.0,0.875,જીવલેણ
unoriginal,0.0,0.75,અસંગઠિત
slavish,0.0,0.75,ગુલામી
painless,0.0,0.75,પીડારહિત
unpainted,0.0,0.875,અનપેઇન્ટેડ
unoiled,0.0,0.75,અનલોડ
unpaintable,0.0,0.75,અનપેઇન્ટેબલ
unpalatable,0.125,0.75,અસ્પષ્ટ
unforbearing,0.0,0.875,અસહ્ય
unpaved,0.0,0.75,unpaved
unpeaceful,0.0,0.75,અસ્પષ્ટ
unpeaceable,0.0,0.875,અનપેસીબલ
inadmissible,0.0,0.75,અસ્વીકાર્ય
unpermissive,0.125,0.75,અનિશ્ચિત
unperplexed,0.0,0.75,અસ્પષ્ટ
impenetrable,0.0,0.75,અભેદ્ય
rot-resistant,0.0,0.75,રોટ-રેઝિસ્ટન્ટ
nonpsychoactive,0.0,0.75,nonpsychoactive
off-putting,0.0,0.75,બંધ મૂકવા
raw,0.0,0.75,કાચો
imponderable,0.0,0.875,અભેદ્ય
neutral,0.125,0.75,તટસ્થ
out,0.0,0.875,બહાર
unfunctional,0.0,0.75,બિનઅસરકારક
cretinous,0.0,0.875,કર્કશ
secondary,0.0,0.75,ગૌણ
nonpublic,0.0,0.75,બિન-પ્રજાસત્તાક
lay,0.0,0.75,મૂકે છે
lean,0.125,0.75,દુર્બળ
unremunerative,0.0,0.75,અનઇમ્યુનેરેટિવ
out-of-the-way,0.0,0.75,બહાર માર્ગ
unimpeachable,0.0,0.75,અગમ્ય
unquiet,0.0,0.75,અસમાન
flat-footed,0.0,0.75,સપાટ પગવાળા
unprocessed,0.0,0.75,પ્રોસેસ્ડ
untreated,0.0,0.75,સારવાર ન કરાય
raw,0.0,0.75,કાચો
untreated,0.0,0.875,સારવાર ન કરાય
assimilative,0.0,0.75,આનુષંગિક
unexpansive,0.0,0.75,અસ્પષ્ટ
moneyless,0.0,0.75,નાણાં વિનાના
out,0.0,0.75,બહાર
manic-depressive,0.0,0.75,મેનિક-ડિપ્રેસિવ
psychotic,0.0,0.75,મનોવૈજ્ .ાનિક
saturnine,0.125,0.75,શનિ
unconscientious,0.0,0.75,અસંસ્કારી
fail-safe,0.0,0.75,નિષ્ફળ-સલામત
junior,0.0,0.75,જુનિયર
frivolous,0.0,0.75,વ્યર્થ
broken-down,0.0,0.875,ભાંગી
nonresident,0.0,0.75,અપ્રગટ
nonnomadic,0.0,0.75,નોનમેડિક
unformed,0.0,0.75,અનફોર્મ્ડ
FALSE,0.125,0.75,ખોટું
feigned,0.125,0.875,ફેઇન્ડ
unsized,0.0,0.75,અનઇઝાઇઝ્ડ
unsorted,0.0,0.75,અનસ .ર્ટ કરેલું
unshuttered,0.0,0.75,અસુરક્ષિત
unsociable,0.0,0.75,અસંતોષકારક
ungregarious,0.0,0.75,અયોગ્ય
unsold,0.0,0.75,ન વેચાયેલ
nonstandard,0.125,0.75,બિન પ્રમાણભૂત
nonstandard,0.125,0.875,બિન પ્રમાણભૂત
nonnormative,0.0,0.75,nonnormative
nonstandard,0.0,0.75,બિન પ્રમાણભૂત
unstressed,0.0,0.75,અનસ્ટ્રેસ
low-grade,0.222,0.778,નીચી કોટિનું
unimpressionable,0.0,0.75,અભેદ્ય
soured,0.0,0.75,સૌમ્ય
unsuspected,0.125,0.75,શંકાસ્પદ
unswept,0.0,0.75,અદ્યતન
unsympathetic,0.0,0.875,દુsyખી
temperate,0.125,0.75,સમશીતોષ્ણ
unkempt,0.0,0.75,અનચેમ્પ્ટ
ungroomed,0.125,0.75,અવિરત
intolerant,0.125,0.75,અસહિષ્ણુ
intestate,0.0,0.75,આંતરડા
tough,0.0,0.75,અઘરું
unmalleable,0.0,0.75,unmeleable
FALSE,0.0,0.75,ખોટું
undivided,0.0,0.875,અવિભાજિત
dystopian,0.0,0.75,ડિસ્ટopપિયન
FALSE,0.0,0.75,ખોટું
manky,0.3,0.7,માનકી
occult,0.0,0.875,ગુપ્ત
consumptive,0.0,0.75,કન્સમ્પ્ટિવ
dyspeptic,0.0,0.75,ડિસપેપ્ટીક
palsied,0.0,0.75,લકવાગ્રસ્ત
scrofulous,0.0,0.875,બેભાન
unwholesome,0.125,0.75,અસ્વચ્છ
benign,0.0,0.75,સૌમ્ય
immunodeficient,0.0,0.75,રોગપ્રતિકારક
anasarcous,0.0,0.75,અનાસર
immunocompromised,0.0,0.75,ઇમ્યુનોકોમપ્રોમિઝ્ડ
aversive,0.125,0.75,અણગમો
nonenzymatic,0.0,0.75,nonenzymatic
tetanic,0.0,0.75,ટેટેનિક
tetanic,0.0,0.75,ટેટેનિક
unposed,0.0,0.75,બિનહરીફ
conquest,0.0,0.75,વિજય
hyperemesis,0.0,0.75,હાયપરમેસિસ
bronchospasm,0.0,0.75,બ્રોન્કોસ્પેઝમ
palliation,0.0,0.75,ઉપદ્રવ
overexertion,0.0,0.875,અતિશય ખાવું
abduction,0.0,1.0,અપહરણ
scatophagy,0.0,0.75,સ્કેલોફેજી
underproduction,0.0,0.75,અંડરપ્રોડક્શન
armageddon,0.0,0.75,આર્માગેડન
misdeal,0.0,0.75,ગેરરીતી
rotavirus,0.0,0.75,રોટાવાયરસ
rockweed,0.0,0.75,રોકવીડ
kitsch,0.125,0.75,કિટ્સ
lenitive,0.0,0.875,શાંત
stinker,0.0,0.75,સુગંધ
disagreeableness,0.0,0.875,અસંમતતા
levity,0.125,0.875,લેવિટી
unapproachability,0.125,0.75,અનુપમ
unfriendliness,0.0,0.875,અનૈતિકતા
uncongeniality,0.25,0.75,અસંગતતા
unneighborliness,0.0,0.875,અસહ્યતા
unpleasingness,0.125,0.75,નારાજગી
shiftiness,0.125,0.75,શિફ્ટનેસ
granite,0.0,0.75,ગ્રેનાઇટ
disagreeableness,0.125,0.875,અસંમતતા
beastliness,0.0,0.75,પશુધન
unnaturalness,0.0,0.875,અકુદરતી
inadmissibility,0.125,0.75,અયોગ્યતા
usualness,0.125,0.75,સામાન્યતા
nonconformity,0.0,0.75,અસંગતતા
illegitimacy,0.0,0.875,ગેરકાયદેસરતા
illicitness,0.0,0.75,ગેરકાયદેસર
elusiveness,0.125,0.75,પ્રપંચીકરણ
wrongness,0.125,0.75,ખોટું
incorruptibility,0.25,0.75,અસંગતતા
lightheadedness,0.0,0.75,હળવાશ
indelicacy,0.125,0.75,નિંદાકારકતા
staleness,0.0,0.75,વાસી
hardness,0.0,0.875,કઠિનતા
vulnerability,0.0,0.875,નબળાઈ
tardiness,0.125,0.75,અસ્થિરતા
inessentiality,0.125,0.75,અનિશ્ચિતતા
defensibility,0.25,0.75,ડિફેન્સિબિલિટી
snootiness,0.125,0.75,સ્નૂટીનેસ
cholecystokinin,0.0,0.75,cholecystokinin
feeblemindedness,0.0,0.75,કમજોરતા
insensibility,0.0,0.75,અસંવેદનશીલતા
hydra,0.0,0.75,હાઇડ્રા
pisser,0.0,0.75,પિસ
pruritus,0.0,0.75,પ્ર્યુરિટસ
pill,0.0,0.875,ગોળી
kink,0.0,0.75,કિક
casuistry,0.0,0.75,જાતિ
reprobation,0.0,0.75,પ્રતિક્રિયા
unfairness,0.125,0.75,અન્યાય
stricture,0.0,0.75,કડકતા
canard,0.0,0.875,બતક
excoriation,0.0,0.875,વિસર્જન
accident,0.0,0.75,અકસ્માત
resolution,0.0,0.75,ઠરાવ
fire,0.0,0.75,આગ
wistfulness,0.0,0.75,wistfulness
mysophilia,0.0,0.75,માયસોફિલિયા
creepy-crawlies,0.125,0.75,વિલક્ષણ-ક્રોલ
unconcern,0.0,0.75,બેચેન
conscience,0.125,0.75,ચેતના
levity,0.125,0.875,લેવિટી
sensibility,0.25,0.75,સંવેદના
dolefulness,0.0,0.875,કચવાટ
heavyheartedness,0.125,0.75,ભારેપણું
self-pity,0.125,0.75,આત્મ-દયા
dysphoria,0.0,0.75,ડિસ્ફોરિયા
moodiness,0.125,0.875,મૂડ
plonk,0.0,0.875,પ્લોંક
gridlock,0.0,0.75,ગ્રિડલોક
aphasic,0.0,0.75,અસ્પષ્ટ
asthmatic,0.0,0.75,દમ
choker,0.0,0.75,ચોકર
hobbledehoy,0.0,0.875,hobbledehoy
jerry-builder,0.0,0.75,જેરી-બિલ્ડર
motormouth,0.0,1.0,મોટર મોં
patzer,0.0,0.875,ભૂલ
seducer,0.0,0.75,મોહક
third-rater,0.0,0.75,ત્રીજા રેટર
torturer,0.0,0.75,ત્રાસ
yenta,0.0,0.75,યેન્ટા
accumulation,0.0,0.75,સંચય
earthquake,0.0,0.875,ભૂકંપ
insomnia,0.0,0.75,અનિદ્રા
anoxia,0.0,0.75,અનોક્સિયા
dysphagia,0.125,0.75,ડિસફgગિયા
dysuria,0.0,0.875,dysuria
dystrophy,0.0,0.75,ડિસ્ટ્રોફી
invalidism,0.0,0.875,અમાન્યતા
amyloidosis,0.0,0.75,એમીલોઇડિસિસ
neurasthenia,0.0,0.75,ન્યુરોસ્થેનીયા
gingivitis,0.0,0.75,જીંજીવાઇટિસ
glomerulonephritis,0.0,0.75,ગ્લોમર્યુલોનફાઇટિસ
hypothyroidism,0.0,0.75,હાઈપોથાઇરોડિસમ
diphtheria,0.0,0.75,ડિપ્થેરિયા
pneumonia,0.0,0.75,ન્યુમોનિયા
abetalipoproteinemia,0.0,0.75,એબેટાલીપોપ્રોટીનેમિયા
hypobetalipoproteinemia,0.0,0.75,હાયપોબેટાલીપોપ્રોટીનેમિયા
lysinemia,0.0,0.75,લિઝિનેમિયા
thrombasthenia,0.0,0.75,થ્રોમ્બેસ્થેનીઆ
tyrosinemia,0.125,0.75,ટાઇરોસિનેમિઆ
angina,0.0,0.75,કંઠમાળ
blain,0.0,0.875,બ્લેન
cystitis,0.0,0.75,સિસ્ટીટીસ
malnutrition,0.0,0.75,કુપોષણ
kwashiorkor,0.0,0.75,kwashiorkor
myopathy,0.125,0.75,મ્યોપથી
erythema,0.0,0.75,ઇરીથેમા
livedo,0.0,0.75,livedo
granuloma,0.0,0.75,ગ્રાન્યુલોમા
arteritis,0.0,0.75,ધમની બળતરા
blepharitis,0.0,0.875,બ્લિફેરીટીસ
sprain,0.0,0.75,મચકોડ
bubo,0.0,0.875,bubo
throe,0.0,0.875,થ્રો
dysmenorrhea,0.0,0.75,ડિસમેનોરિયા
odynophagia,0.125,0.75,ઓડનોફopગિયા
ulalgia,0.0,0.75,ulalgia
cholangitis,0.0,0.75,ચolaલેંજાઇટિસ
cholecystitis,0.0,0.75,કોલેસીસ્ટાઇટિસ
diverticulitis,0.0,0.875,ડાયવર્ટિક્યુલાટીસ
endarteritis,0.0,0.75,એન્ડેરેટાઇટિસ
epididymitis,0.0,0.75,રોગચાળા
gastritis,0.0,0.75,જઠરનો સોજો
keratitis,0.0,0.75,કેરેટાઇટિસ
oophoritis,0.0,0.75,ઓઓફorરિટિસ
orchitis,0.0,0.875,ઓર્કિટિસ
pancreatitis,0.0,0.75,સ્વાદુપિંડ
prostatitis,0.0,0.875,પ્રોસ્ટેટાઇટિસ
spondylitis,0.0,0.75,સ્પોન્ડિલાઇટિસ
ulitis,0.0,0.75,ઉલટી
ureteritis,0.0,0.75,મૂત્રમાર્ગ
vesiculitis,0.0,0.75,વેસિક્યુલાઇટિસ
automysophobia,0.0,0.75,ઓટોમોઝોબિઆ
encopresis,0.0,0.75,એન્કોપ્રેસિસ
melancholia,0.125,0.75,મેલેન્કોલિયા
throe,0.0,0.875,થ્રો
cleanness,0.125,0.75,શુધ્ધતા
porphyria,0.125,0.75,પોર્ફિરિયા
ergotism,0.0,0.75,એર્ગોટિઝમ
astasia,0.125,0.75,અસ્થિયા
sequela,0.0,0.75,શિષ્યવૃત્તિ
analgesia,0.0,0.75,એનાલ્જેસિયા
urethritis,0.0,0.75,મૂત્રમાર્ગ
oligospermia,0.0,0.75,ઓલિગોસ્પર્મિયા
tenesmus,0.0,0.75,ટેનેસ્મસ
gum-lac,0.0,0.75,ગમ-લાખ
negatively,0.0,0.75,નકારાત્મક
indirectly,0.0,0.75,પરોક્ષ રીતે
have,0.0,0.75,છે
obstipate,0.0,0.75,obstipate
bloat,0.0,0.75,ફૂલેલું
putrefy,0.0,0.75,putrefy
curdle,0.0,0.875,વળાંક
cleanse,0.0,0.75,શુદ્ધ
whoop,0.25,0.75,ડૂબવું
speculate,0.0,0.75,અનુમાન
out-herod,0.0,0.875,બહાર હેરોડ
invade,0.0,0.75,હુમલો
lacerate,0.125,0.75,દોરી
tribulate,0.0,0.75,શ્રદ્ધાંજલિ આપવી
abreact,0.0,0.875,અબ્રેક્ટ
humbug,0.0,0.875,હમ્બગ
moot,0.0,-0.9,ઘાટ
stingingly,0.0,-0.9,ડંખથી
ire,0.0,-0.9,ઇર
unlawful,0.0,-0.9,ગેરકાયદેસર
overstates,0.0,-0.9,અતિશય આરામ
sloow,0.0,-0.9,સ્લોવ
pervasive,0.0,-0.9,વ્યાપક
tangles,0.0,-0.9,ગંઠાયેલું
distressingly,0.0,-0.9,કમનસીબે
outrageousness,0.0,-0.9,આક્રોશ
prejudices,0.0,-0.9,પૂર્વગ્રહો
retaliatory,0.0,-0.9,બદલો લેવો
insufficient,0.0,-0.9,અપર્યાપ્ત
grudging,0.0,-0.9,રડવું
unfeeling,0.0,-0.9,કાલ્પનિક
desert,0.0,-0.9,રણ
damnation,0.0,-0.9,નિંદા
despairingly,0.0,-0.9,હતાશાથી
frightening,0.0,-0.9,ભયાનક
unethical,0.0,-0.9,અનૈતિક
dent,0.0,-0.9,ડેન્ટ
bores,0.0,-0.9,બોર
unexpected,0.0,-0.9,અનપેક્ષિત
contemptible,0.0,-0.9,ધિક્કારપાત્ર
drab,0.0,-0.9,મારવા
adulterate,0.0,-0.9,ભેળસેળ
martyrdom-seeking,0.0,-0.9,શહાદત-શોધવી
spade,0.0,-0.9,પ્રારંભિક
downside,0.0,-0.9,નુકસાન
prohibitively,0.0,-0.9,પ્રતિબંધિત
unwell,0.0,-0.9,અસ્વસ્થ
vicious,0.0,-0.9,દુષ્ટ
unsupportive,0.0,-0.9,અસમર્થક
frigid,0.0,-0.9,ફ્રિજિડ
brainless,0.0,-0.9,બુદ્ધિહીન
obnoxiously,0.0,-0.9,અસ્પષ્ટ રીતે
bullshit,0.0,-0.9,બુલશીટ
bedlamite,0.0,-0.9,બેડલાઇટ
painful,0.0,-0.9,પીડાદાયક
illness,0.0,-0.9,બીમારી
bombard,0.0,-0.9,બોમ્બર
sneakily,0.0,-0.9,સ્નીકીલી
hustler,0.0,-0.9,હસ્ટલર
fallacy,0.0,-0.9,બેભાન
spoils,0.0,-0.9,બગાડે છે
twist,0.0,-0.9,વળી જવું
misunderstood,0.0,-0.9,ગેરસમજ
sluts,0.0,-0.9,સ્લટ્સ
ghastly,0.0,-0.9,ભયાનક રીતે
destitution,0.0,-0.9,અવસ્થા
imminently,0.0,-0.9,નિકટવર્તી
mope,0.0,-0.9,મોપે
complication,0.0,-0.9,જટિલતા
heathen,0.0,-0.9,વિશિષ્ટ
rip,0.0,-0.9,રીપ
scandal,0.0,-0.9,કૌભાંડ
anguish,0.0,-0.9,કઢાપો
fruitless,0.0,-0.9,નિરર્થક
cash-strapped,0.0,-0.9,રોકડ પટ્ટાવાળી
sarcastically,0.0,-0.9,કટાક્ષરૂપે
steal,0.0,-0.9,ચોરી
admonition,0.0,-0.9,સલાહ
ill-fated,0.0,-0.9,કમનસીબ
longing,0.0,-0.9,ઝંખના
dreadfully,0.0,-0.9,ભયાનક રીતે
mournful,0.0,-0.9,શોકકારક
weakening,0.0,-0.9,નબળા
stew,0.0,-0.9,સ્ટયૂ
amiss,0.0,-0.9,ખોટું
annihilate,0.0,-0.9,નાશ કરવો
destructive,0.0,-0.9,વિનાશક
dullard,0.0,-0.9,ડુલાર્ડ
itching,0.0,-0.9,ખંજવાળ
oblivious,0.0,-0.9,બેભાન
incessant,0.0,-0.9,અવિરત
idle,0.0,-0.9,નિષ્ક્રિય
scratches,0.0,-0.9,સ્ક્રેચમુદ્દે
shockingly,0.0,-0.9,આઘાતજનક રીતે
miserly,0.0,-0.9,કમનસીબે
bias,0.0,-0.9,પૂર્વગ્રહ
loose,0.0,-0.9,છૂટક
bull----,0.0,-0.9,બળદ ----
dense,0.0,-0.9,ગા d
austere,0.0,-0.9,કડક
fusty,0.0,-0.9,fusty
ghetto,0.0,-0.9,ઘેટ્ટો
jumpy,0.0,-0.9,બીકણવાળી
crushed,0.0,-0.9,કચડી
destains,0.0,-0.9,નિયત
assault,0.0,-0.9,હુમલો
ferociously,0.0,-0.9,વિકરાળ રીતે
hard,0.0,-0.9,સખત
prate,0.0,-0.9,અનુસરો
fat-cat,0.0,-0.9,ચરબી-બિલાડી
exorbitantance,0.0,-0.9,અતિરેક
hassles,0.0,-0.9,મુશ્કેલીઓ
abysmally,0.0,-0.9,અસાધારણ રીતે
demeaning,0.0,-0.9,માનવું
immodest,0.0,-0.9,નિર્દય
harms,0.0,-0.9,નુકસાન
irresolvable,0.0,-0.9,અનિશ્ચિત
limitations,0.0,-0.9,મર્યાદાઓ
dawdle,0.0,-0.9,dawdle
shrouded,0.0,-0.9,કફન
smuttiest,0.0,-0.9,કુશળ
passe,0.0,-0.9,ભૂતકાળ
mistake,0.0,-0.9,ભૂલ
clunky,0.0,-0.9,ક્લંકી
abuse,0.0,-0.9,ગા ળ
sink,0.0,-0.9,ડૂબવું
floundering,0.0,-0.9,ફ્લ .ન્ડરીંગ
harrow,0.0,-0.9,હેરો
deceiving,0.0,-0.9,છેતરવું
hellion,0.0,-0.9,નરક
noise,0.0,-0.9,અવાજ
bother,0.0,-0.9,પરેશાન
perfidious,0.0,-0.9,પરફેક્ટ
opportunistic,0.0,-0.9,તકવાદી
irately,0.0,-0.9,irately
perturbed,0.0,-0.9,વ્યથિત
belligerence,0.0,-0.9,યુદ્ધ
rebuke,0.0,-0.9,ઠપકો
unbelievably,0.0,-0.9,અવિશ્વસનીય
catastrophically,0.0,-0.9,વિનાશક
cuss,0.0,-0.9,કુસ
prohibit,0.0,-0.9,પ્રતિબંધિત કરો
disclaim,0.0,-0.9,અસ્વીકાર
bullyingly,0.0,-0.9,ગુંડાગીરી
enraging,0.0,-0.9,ક્રોધિત
dud,0.0,-0.9,ડૂડ
admonish,0.0,-0.9,સલાહ આપી
bravado,0.0,-0.9,બહાદુર
disappointed,0.0,-0.9,નિરાશ
unsure,0.0,-0.9,અનિશ્ચિત
repress,0.0,-0.9,દબાવો
impudence,0.0,-0.9,અસ્પષ્ટતા
ruin,0.0,-0.9,વિનાશ
banal,0.0,-0.9,પવિત્ર
lagging,0.0,-0.9,પછાડવું
discontent,0.0,-0.9,અસંતોષ
shunned,0.0,-0.9,ટાળી દીધી
cold,0.0,-0.9,ઠંડા
creak,0.0,-0.9,ક્રિક
untruthful,0.0,-0.9,અસત્ય
dehumanize,0.0,-0.9,અમાનુષીકરણ કરવું
thug,0.0,-0.9,ઠગ
worthlessly,0.0,-0.9,નાલાયક
vagrant,0.0,-0.9,અસ્પષ્ટ
accursed,0.0,-0.9,શ્રાપિત
bum,0.0,-0.9,બમ
loathly,0.0,-0.9,ઘૃણાસ્પદ
chunky,0.0,-0.9,ઠીંગણું
sputter,0.0,-0.9,સ્પટર
eviscerate,0.0,-0.9,સ્પષ્ટ કરવું
limp,0.0,-0.9,લંગડા
loneliness,0.0,-0.9,એકલતા
self-interest,0.0,-0.9,સ્વાર્થ
picketed,0.0,-0.9,ચૂંટવું
squash,0.0,-0.9,સ્ક્વોશ
disorder,0.0,-0.9,અવ્યવસ્થા
strange,0.0,-0.9,વિચિત્ર
struck,0.0,-0.9,ત્રાટક્યું
betrayal,0.0,-0.9,વિશ્વાસઘાત
disturb,0.0,-0.9,ખલેલ
