Term,PosScore,NegScore,hindi
out,0.0,0.875,बाहर
unfunctional,0.0,0.75,unfunctional
cretinous,0.0,0.875,मूढ़ व्यक्ति
secondary,0.0,0.75,माध्यमिक
nonpublic,0.0,0.75,गैर सार्वजनिक
lay,0.0,0.75,रखना
lean,0.125,0.75,दुबला
unremunerative,0.0,0.75,अलाभकारी
out-of-the-way,0.0,0.75,रास्ते से बाहर
unimpeachable,0.0,0.75,ज़ाहिर
unquiet,0.0,0.75,अशांत
flat-footed,0.0,0.75,चौरस चरण का
unprocessed,0.0,0.75,असंसाधित
untreated,0.0,0.75,अनुपचारित
raw,0.0,0.75,कच्चा
untreated,0.0,0.875,अनुपचारित
assimilative,0.0,0.75,सदृशीकरणक्षम
unexpansive,0.0,0.75,unexpansive
moneyless,0.0,0.75,पैसे बिना
out,0.0,0.75,बाहर
manic-depressive,0.0,0.75,उन्मत्त अवसादग्रस्तता
psychotic,0.0,0.75,मानसिक
saturnine,0.125,0.75,सीसे का
unconscientious,0.0,0.75,unconscientious
fail-safe,0.0,0.75,सुरक्षा कम होना
junior,0.0,0.75,कनिष्ठ
frivolous,0.0,0.75,तुच्छ
broken-down,0.0,0.875,टूटा
nonresident,0.0,0.75,अनिवासी
nonnomadic,0.0,0.75,nonnomadic
unformed,0.0,0.75,बेडौल
FALSE,0.125,0.75,असत्य
feigned,0.125,0.875,बहाने
unsized,0.0,0.75,अनवधि
unsorted,0.0,0.75,अवर्गीकृत
unshuttered,0.0,0.75,unshuttered
unsociable,0.0,0.75,एकांतप्रिय
ungregarious,0.0,0.75,ungregarious
unsold,0.0,0.75,बेचने का नहीं
nonstandard,0.125,0.75,गैरमानक
nonstandard,0.125,0.875,गैरमानक
nonnormative,0.0,0.75,nonnormative
nonstandard,0.0,0.75,गैरमानक
unstressed,0.0,0.75,निर्बल
low-grade,0.222,0.778,निम्न श्रेणी
unimpressionable,0.0,0.75,unimpressionable
soured,0.0,0.75,कड़वाहट
unsuspected,0.125,0.75,पहले से न सोचा
unswept,0.0,0.75,unswept
unsympathetic,0.0,0.875,कुरूप
temperate,0.125,0.75,शीतोष्ण
unkempt,0.0,0.75,मैला
ungroomed,0.125,0.75,ungroomed
intolerant,0.125,0.75,असहिष्णु
intestate,0.0,0.75,बिना वसीयतनामा मारा हुआ
tough,0.0,0.75,कठोर
unmalleable,0.0,0.75,unmalleable
FALSE,0.0,0.75,असत्य
undivided,0.0,0.875,अविभाज्य
dystopian,0.0,0.75,मनहूस
FALSE,0.0,0.75,असत्य
manky,0.3,0.7,manky
occult,0.0,0.875,रहस्यमय
consumptive,0.0,0.75,तपेदिक़-संबंधी
dyspeptic,0.0,0.75,अपच संबंधी
palsied,0.0,0.75,काँपता हुआ
scrofulous,0.0,0.875,गंडमाला-संबंधी
unwholesome,0.125,0.75,बेकार
benign,0.0,0.75,सौम्य
immunodeficient,0.0,0.75,immunodeficient
anasarcous,0.0,0.75,anasarcous
immunocompromised,0.0,0.75,प्रतिरक्षा में अक्षम
aversive,0.125,0.75,प्रतिकूल
nonenzymatic,0.0,0.75,nonenzymatic
tetanic,0.0,0.75,धनुस्तंभीय
tetanic,0.0,0.75,धनुस्तंभीय
unposed,0.0,0.75,unposed
conquest,0.0,0.75,विजय
hyperemesis,0.0,0.75,हाइपरमेसिस
bronchospasm,0.0,0.75,श्वसनी-आकर्ष
palliation,0.0,0.75,उपशमन
overexertion,0.0,0.875,overexertion
abduction,0.0,1.0,अपहरण
scatophagy,0.0,0.75,scatophagy
underproduction,0.0,0.75,उत्पादन क्षमता
armageddon,0.0,0.75,आर्मागेडन
misdeal,0.0,0.75,अशुद्ध व्यवहार करना
rotavirus,0.0,0.75,रोटावायरस
rockweed,0.0,0.75,rockweed
kitsch,0.125,0.75,किच
lenitive,0.0,0.875,मृदु
stinker,0.0,0.75,बदबू आ रही है
disagreeableness,0.0,0.875,disagreeableness
levity,0.125,0.875,छिछोरापन
unapproachability,0.125,0.75,unapproachability
unfriendliness,0.0,0.875,unfriendliness
uncongeniality,0.25,0.75,uncongeniality
unneighborliness,0.0,0.875,unneighborliness
unpleasingness,0.125,0.75,unpleasingness
shiftiness,0.125,0.75,मक्कारी
granite,0.0,0.75,ग्रेनाइट
disagreeableness,0.125,0.875,disagreeableness
beastliness,0.0,0.75,क्रूरता
unnaturalness,0.0,0.875,unnaturalness
inadmissibility,0.125,0.75,अमान्यता
usualness,0.125,0.75,usualness
nonconformity,0.0,0.75,अवज्ञा
illegitimacy,0.0,0.875,हरामीपन
illicitness,0.0,0.75,illicitness
elusiveness,0.125,0.75,छल
wrongness,0.125,0.75,wrongness
incorruptibility,0.25,0.75,अदूषणीयता
lightheadedness,0.0,0.75,चक्कर
indelicacy,0.125,0.75,असभ्यता
staleness,0.0,0.75,बासांपन
hardness,0.0,0.875,कठोरता
vulnerability,0.0,0.875,भेद्यता
tardiness,0.125,0.75,मंदी
inessentiality,0.125,0.75,inessentiality
defensibility,0.25,0.75,defensibility
snootiness,0.125,0.75,snootiness
cholecystokinin,0.0,0.75,cholecystokinin
feeblemindedness,0.0,0.75,feeblemindedness
insensibility,0.0,0.75,असंवेदनशीलता
hydra,0.0,0.75,हीड्रा
pisser,0.0,0.75,पेशाब
pruritus,0.0,0.75,खुजली
pill,0.0,0.875,गोली
kink,0.0,0.75,गुत्थी
casuistry,0.0,0.75,कैस्युइस्ट्री
reprobation,0.0,0.75,नीचता
unfairness,0.125,0.75,अनौचित्य
stricture,0.0,0.75,निंदा
canard,0.0,0.875,बत्तख
excoriation,0.0,0.875,त्वकछेद
accident,0.0,0.75,दुर्घटना
resolution,0.0,0.75,संकल्प
fire,0.0,0.75,आग
wistfulness,0.0,0.75,wistfulness
mysophilia,0.0,0.75,mysophilia
creepy-crawlies,0.125,0.75,रेंगकर डराने वाला
unconcern,0.0,0.75,उदासीनता
conscience,0.125,0.75,चेतना
levity,0.125,0.875,छिछोरापन
sensibility,0.25,0.75,संवेदनशीलता
dolefulness,0.0,0.875,dolefulness
heavyheartedness,0.125,0.75,heavyheartedness
self-pity,0.125,0.75,स्वंय पर दया
dysphoria,0.0,0.75,dysphoria
moodiness,0.125,0.875,moodiness
plonk,0.0,0.875,plonk
gridlock,0.0,0.75,ग्रिडलॉक
aphasic,0.0,0.75,वाक्यरोध संबंधी
asthmatic,0.0,0.75,दमे का रोगी
choker,0.0,0.75,गला घोंटनेवाला
hobbledehoy,0.0,0.875,बेडौल किशोर
jerry-builder,0.0,0.75,जेरी निर्माता
motormouth,0.0,1.0,मोटर मुंह
patzer,0.0,0.875,बड़ी भूल
seducer,0.0,0.75,प्रलोभक
third-rater,0.0,0.75,तीसरे दर निर्धारित करने वाला
torturer,0.0,0.75,कष्ट पहुंचाना
yenta,0.0,0.75,yenta
accumulation,0.0,0.75,संचय
earthquake,0.0,0.875,भूकंप
insomnia,0.0,0.75,अनिद्रा
anoxia,0.0,0.75,अनॉक्सिता
dysphagia,0.125,0.75,निगलने में कठिनाई
dysuria,0.0,0.875,पेशाब में जलन
dystrophy,0.0,0.75,कुपोषण
invalidism,0.0,0.875,invalidism
amyloidosis,0.0,0.75,amyloidosis
neurasthenia,0.0,0.75,नसों की दुर्बलता
gingivitis,0.0,0.75,मसूड़े की सूजन
glomerulonephritis,0.0,0.75,स्तवकवृक्कशोथ
hypothyroidism,0.0,0.75,हाइपोथायरायडिज्म
diphtheria,0.0,0.75,डिप्थीरिया
pneumonia,0.0,0.75,न्यूमोनिया
abetalipoproteinemia,0.0,0.75,abetalipoproteinemia
hypobetalipoproteinemia,0.0,0.75,hypobetalipoproteinemia
lysinemia,0.0,0.75,lysinemia
thrombasthenia,0.0,0.75,thrombasthenia
tyrosinemia,0.125,0.75,tyrosinemia
angina,0.0,0.75,एनजाइना
blain,0.0,0.875,फोड़ा
cystitis,0.0,0.75,मूत्राशयशोध
malnutrition,0.0,0.75,कुपोषण
kwashiorkor,0.0,0.75,Kwashiorkor
myopathy,0.125,0.75,पेशीविकृति
erythema,0.0,0.75,पर्विल
livedo,0.0,0.75,livedo
granuloma,0.0,0.75,ग्रेन्युलोमा
arteritis,0.0,0.75,धमनीशोथ
blepharitis,0.0,0.875,ब्लेफेराइटिस
sprain,0.0,0.75,मोच
bubo,0.0,0.875,Bubo
throe,0.0,0.875,दम तोड़ना
dysmenorrhea,0.0,0.75,कष्टार्तव
odynophagia,0.125,0.75,निगलने
ulalgia,0.0,0.75,ulalgia
cholangitis,0.0,0.75,पित्तवाहिनीशोथ
cholecystitis,0.0,0.75,पित्ताशय
diverticulitis,0.0,0.875,विपुटीशोथ
endarteritis,0.0,0.75,अन्तर्धमनीशोथ
epididymitis,0.0,0.75,epididymitis
gastritis,0.0,0.75,जठरशोथ
keratitis,0.0,0.75,स्वच्छपटलशोथ
oophoritis,0.0,0.75,oophoritis
orchitis,0.0,0.875,orchitis
pancreatitis,0.0,0.75,अग्नाशयशोथ
prostatitis,0.0,0.875,prostatitis
spondylitis,0.0,0.75,स्पॉन्डिलाइटिस
ulitis,0.0,0.75,ulitis
ureteritis,0.0,0.75,ureteritis
vesiculitis,0.0,0.75,vesiculitis
automysophobia,0.0,0.75,automysophobia
encopresis,0.0,0.75,encopresis
melancholia,0.125,0.75,विषाद
throe,0.0,0.875,दम तोड़ना
cleanness,0.125,0.75,पवित्रता
porphyria,0.125,0.75,पोरफाइरिया
ergotism,0.0,0.75,ठोंठी
astasia,0.125,0.75,astasia
sequela,0.0,0.75,शागिर्दी
analgesia,0.0,0.75,व्यथा का अभाव
urethritis,0.0,0.75,मूत्रमार्गशोथ
oligospermia,0.0,0.75,अल्पशुक्राणुता
tenesmus,0.0,0.75,ऐंठन
gum-lac,0.0,0.75,गम-लाख
negatively,0.0,0.75,नकारात्मक
indirectly,0.0,0.75,परोक्ष रूप से
have,0.0,0.75,है
obstipate,0.0,0.75,obstipate
bloat,0.0,0.75,ब्लोट
putrefy,0.0,0.75,भ्रष्टाचार हो जाना
curdle,0.0,0.875,जमाना
cleanse,0.0,0.75,शुद्ध
whoop,0.25,0.75,ललकार
speculate,0.0,0.75,कल्पना करना
out-herod,0.0,0.875,बाहर हेरोदेस
invade,0.0,0.75,पर आक्रमण
lacerate,0.125,0.75,फाड़ना
tribulate,0.0,0.75,tribulate
abreact,0.0,0.875,abreact
humbug,0.0,0.875,पाखण्ड
moot,0.0,-0.9,विवादास्पद
stingingly,0.0,-0.9,stingingly
ire,0.0,-0.9,क्रोध
unlawful,0.0,-0.9,ग़ैरक़ानूनी
overstates,0.0,-0.9,overstates
sloow,0.0,-0.9,sloow
pervasive,0.0,-0.9,व्यापक
tangles,0.0,-0.9,उलझनों
distressingly,0.0,-0.9,distressingly
outrageousness,0.0,-0.9,अतिचारिता
prejudices,0.0,-0.9,पूर्वाग्रहों
retaliatory,0.0,-0.9,मुंहतोड़
insufficient,0.0,-0.9,नाकाफी
grudging,0.0,-0.9,grudging
unfeeling,0.0,-0.9,निर्मम
desert,0.0,-0.9,रेगिस्तान
damnation,0.0,-0.9,फटकार
despairingly,0.0,-0.9,मायूसी से
frightening,0.0,-0.9,भयावह
unethical,0.0,-0.9,अनैतिक
dent,0.0,-0.9,काटने का निशान
bores,0.0,-0.9,बोर
unexpected,0.0,-0.9,अप्रत्याशित
contemptible,0.0,-0.9,घिनौना
drab,0.0,-0.9,मार
adulterate,0.0,-0.9,मिलावट करना
martyrdom-seeking,0.0,-0.9,शहादत-मांग
spade,0.0,-0.9,कुदाल
downside,0.0,-0.9,नकारात्मक पक्ष यह है
prohibitively,0.0,-0.9,निषेधात्मक
unwell,0.0,-0.9,अस्वस्थ
vicious,0.0,-0.9,शातिर
unsupportive,0.0,-0.9,unsupportive
frigid,0.0,-0.9,उदासीन
brainless,0.0,-0.9,बेवक़ूफ़
obnoxiously,0.0,-0.9,अप्रिय
bullshit,0.0,-0.9,बकवास
bedlamite,0.0,-0.9,दीवाना
painful,0.0,-0.9,दर्दनाक
illness,0.0,-0.9,बीमारी
bombard,0.0,-0.9,बौछार
sneakily,0.0,-0.9,sneakily
hustler,0.0,-0.9,उद्योगी
fallacy,0.0,-0.9,हेत्वाभास
spoils,0.0,-0.9,लूट
twist,0.0,-0.9,मोड़
misunderstood,0.0,-0.9,गलत समझा
sluts,0.0,-0.9,sluts
ghastly,0.0,-0.9,भयंकर
destitution,0.0,-0.9,अभाव
imminently,0.0,-0.9,सिर पर
mope,0.0,-0.9,उदास होना
complication,0.0,-0.9,उलझन
heathen,0.0,-0.9,बुतपरस्त
rip,0.0,-0.9,चीर
scandal,0.0,-0.9,कांड
anguish,0.0,-0.9,पीड़ा
fruitless,0.0,-0.9,निरर्थक
cash-strapped,0.0,-0.9,नकदी की तंगी
sarcastically,0.0,-0.9,व्यंग्य से
steal,0.0,-0.9,चुराना
admonition,0.0,-0.9,चेतावनी
ill-fated,0.0,-0.9,मनहूस
longing,0.0,-0.9,लालसा
dreadfully,0.0,-0.9,dreadfully
mournful,0.0,-0.9,शोकाकुल
weakening,0.0,-0.9,कमजोर
stew,0.0,-0.9,मछली पालने का जहाज़
amiss,0.0,-0.9,अनुचित
annihilate,0.0,-0.9,संहार करना
destructive,0.0,-0.9,हानिकारक
dullard,0.0,-0.9,dullard
itching,0.0,-0.9,खुजली
oblivious,0.0,-0.9,बेख़बर
incessant,0.0,-0.9,निरंतर
idle,0.0,-0.9,बेकार
scratches,0.0,-0.9,खरोंच
shockingly,0.0,-0.9,आश्चर्यजनक
miserly,0.0,-0.9,कृपण
bias,0.0,-0.9,पक्षपात
loose,0.0,-0.9,ढीला
bull----,0.0,-0.9,सांड----
dense,0.0,-0.9,सघन
austere,0.0,-0.9,सीधा-सादा
fusty,0.0,-0.9,दुर्गंन्धयुक्त
ghetto,0.0,-0.9,यहूदी बस्ती
jumpy,0.0,-0.9,चिड़चिड़ा
crushed,0.0,-0.9,कुचल
destains,0.0,-0.9,destains
assault,0.0,-0.9,हमला
ferociously,0.0,-0.9,भयानकता के साथ
hard,0.0,-0.9,मुश्किल
prate,0.0,-0.9,का पालन करें
fat-cat,0.0,-0.9,मोटी बिल्ली
exorbitantance,0.0,-0.9,exorbitantance
hassles,0.0,-0.9,बाधाओं
abysmally,0.0,-0.9,काफी
demeaning,0.0,-0.9,नीचा दिखा
immodest,0.0,-0.9,निर्लज्ज
harms,0.0,-0.9,नुकसान
irresolvable,0.0,-0.9,हल न होनेवाला
limitations,0.0,-0.9,सीमाओं
dawdle,0.0,-0.9,समय नष्ट करना
shrouded,0.0,-0.9,लिपटे
smuttiest,0.0,-0.9,smuttiest
passe,0.0,-0.9,अतीत
mistake,0.0,-0.9,ग़लती
clunky,0.0,-0.9,भद्दा
abuse,0.0,-0.9,गाली
sink,0.0,-0.9,सिंक
floundering,0.0,-0.9,floundering
harrow,0.0,-0.9,हेंगा
deceiving,0.0,-0.9,धोखा देना
hellion,0.0,-0.9,शरारती बच्चा
noise,0.0,-0.9,शोर
bother,0.0,-0.9,नाक में दम करना
perfidious,0.0,-0.9,बेवफ़ा
opportunistic,0.0,-0.9,अवसरवादी
irately,0.0,-0.9,irately
perturbed,0.0,-0.9,क्षुब्ध
belligerence,0.0,-0.9,भावनाओं
rebuke,0.0,-0.9,फटकार
unbelievably,0.0,-0.9,अविश्वसनीय
catastrophically,0.0,-0.9,भयंकर
cuss,0.0,-0.9,गाली
prohibit,0.0,-0.9,निषेध
disclaim,0.0,-0.9,छोड़ना
bullyingly,0.0,-0.9,bullyingly
enraging,0.0,-0.9,enraging
dud,0.0,-0.9,व्यर्थ
admonish,0.0,-0.9,धिक्कारना
bravado,0.0,-0.9,वाहवाही
disappointed,0.0,-0.9,निराश
unsure,0.0,-0.9,अनिश्चित
repress,0.0,-0.9,दबाने
impudence,0.0,-0.9,धृष्टता
ruin,0.0,-0.9,बर्बाद
banal,0.0,-0.9,पवित्र
lagging,0.0,-0.9,ठंड
discontent,0.0,-0.9,असंतोष
shunned,0.0,-0.9,त्याग
cold,0.0,-0.9,सर्दी
creak,0.0,-0.9,चरमराहट
untruthful,0.0,-0.9,बेईमान
dehumanize,0.0,-0.9,वहशी बनाना
thug,0.0,-0.9,हत्यारा
worthlessly,0.0,-0.9,worthlessly
vagrant,0.0,-0.9,आवारा
accursed,0.0,-0.9,शापित
bum,0.0,-0.9,चूतड़
loathly,0.0,-0.9,loathly
chunky,0.0,-0.9,चंकी
sputter,0.0,-0.9,धूम
eviscerate,0.0,-0.9,अंतड़ी निकालना
limp,0.0,-0.9,लंगड़ा
loneliness,0.0,-0.9,तनहाई
self-interest,0.0,-0.9,लोभ
picketed,0.0,-0.9,picketed
squash,0.0,-0.9,स्क्वाश
disorder,0.0,-0.9,विकार
strange,0.0,-0.9,अजीब
struck,0.0,-0.9,मारना
betrayal,0.0,-0.9,विश्वासघात
disturb,0.0,-0.9,परेशान
unrealistic,0.0,-0.9,अवास्तविक
antagonist,0.0,-0.9,प्रतिपक्षी
questionable,0.0,-0.9,संदिग्ध
inactive,0.0,-0.9,निष्क्रिय
cheapen,0.0,-0.9,सस्ता हो जाना
lame,0.0,-0.9,लंगड़ा
irregular,0.0,-0.9,अनियमित
corrupting,0.0,-0.9,भ्रष्ट
heavy-handed,0.0,-0.9,भारी हाथ
pertinaciously,0.0,-0.9,जिद्दीपन से
adverse,0.0,-0.9,विपरीत
hubris,0.0,-0.9,अभिमान
refused,0.0,-0.9,मना कर दिया
ill-conceived,0.0,-0.9,बीमार कल्पना
layoff-happy,0.0,-0.9,छंटनी खुश
unnerve,0.0,-0.9,शांत लेना
overwhelmingly,0.0,-0.9,घने
scorching,0.0,-0.9,झुलसानेवाला
revile,0.0,-0.9,गाली देना
fissures,0.0,-0.9,दरारें
unlamentable,0.0,-0.9,unlamentable
gimmicky,0.0,-0.9,बनावटी
blameworthy,0.0,-0.9,दोषी
crabby,0.0,-0.9,चिड़चिड़ा
stampede,0.0,-0.9,भगदड़
hegemonism,0.0,-0.9,hegemonism
alarmingly,0.0,-0.9,चिंताजनक
authoritarian,0.0,-0.9,सत्तावादी
reprove,0.0,-0.9,निंदा करना
bemused,0.0,-0.9,विचार शक्ति हर लिया
imposing,0.0,-0.9,भव्य
fidgety,0.0,-0.9,बेचैन
discourteous,0.0,-0.9,अभद्र
suffocate,0.0,-0.9,दम घुट
irrationalities,0.0,-0.9,irrationalities
attacks,0.0,-0.9,आक्रमण
ill-treatment,0.0,-0.9,दुर्व्यवहार
desititute,0.0,-0.9,desititute
bent,0.0,-0.9,कर रहे हैं
unequal,0.0,-0.9,असमान
sagging,0.0,-0.9,sagging
nettle,0.0,-0.9,बिच्छू बूटी
murderously,0.0,-0.9,murderously
severity,0.0,-0.9,तीव्रता
trashed,0.0,-0.9,ट्रैश किए गए
repulsively,0.0,-0.9,repulsively
chaos,0.0,-0.9,अराजकता
hung,0.0,-0.9,त्रिशंकु
despairing,0.0,-0.9,निराश
lifeless,0.0,-0.9,निष्प्राण
nauseatingly,0.0,-0.9,nauseatingly
haggard,0.0,-0.9,जंगली
inglorious,0.0,-0.9,लज्जाजनक
delirium,0.0,-0.9,प्रलाप
inaction,0.0,-0.9,निष्क्रियता
incessantly,0.0,-0.9,निरंतर
misses,0.0,-0.9,छूट जाए
reject,0.0,-0.9,अस्वीकार
dejection,0.0,-0.9,उदासी
distrust,0.0,-0.9,शक
bruised,0.0,-0.9,चोट
spoil,0.0,-0.9,खराब
fractiously,0.0,-0.9,fractiously
queer,0.0,-0.9,विचित्र
crowded,0.0,-0.9,भीड़
fastuous,0.0,-0.9,fastuous
torment,0.0,-0.9,यातना
spewing,0.0,-0.9,उगल
atrophy,0.0,-0.9,शोष
