Term,PosScore,NegScore,Tamil
nostalgic,0.0,0.75,ஏக்கம்
homesick,0.0,0.75,வீடமைப்பு
unquestionable,0.0,0.75,கேள்விக்குறியாதது
patchy,0.0,0.75,ஒட்டு
unparallel,0.0,0.875,இணையற்றது
unexchangeable,0.25,0.75,மாற்ற முடியாதது
nonextant,0.0,0.75,எதுவும் இல்லை
unexpendable,0.25,0.75,விவரிக்க முடியாதது
fingerless,0.0,0.75,விரல் இல்லாதது
inextinguishable,0.0,0.875,பிரிக்கமுடியாதது
unfastidious,0.0,0.75,தீங்கு விளைவிக்காத
blubbery,0.125,0.75,மங்கலானது
infelicitous,0.0,0.75,infelicitous
unhewn,0.0,0.75,அறியப்படாத
unsuitable,0.0,0.75,பொருத்தமற்றது
adventive,0.0,0.75,சாகச
abject,0.0,1.0,abject
niffy,0.0,0.75,நிஃபி
putrid-smelling,0.3,0.7,புட்ரிட்-வாசனை
unfree,0.0,0.75,இலவசம்
addled,0.0,0.75,addled
day-old,0.0,0.875,நாள் பழமையானது
unfruitful,0.0,0.75,பயனற்ற
sperm-filled,0.0,0.75,விந்து நிரப்பப்பட்ட
nonfunctional,0.0,0.75,செயல்படாதது
nonproprietary,0.0,0.75,nonpropritery
base,0.0,0.875,அடித்தளம்
pseudo,0.0,0.75,போலி
synthetic,0.125,0.875,செயற்கை
no-go,0.0,0.75,வேண்டாம்
ill,0.0,0.875,நோய்வாய்ப்பட்டது
swingeing,0.0,0.875,ஸ்விங்கிங்
uncool,0.0,0.875,அசுத்தமானது
unsuitable,0.222,0.778,பொருத்தமற்றது
evil-minded,0.0,0.75,தீய எண்ணம் கொண்டவர்
churlish,0.0,0.875,churlish
churlish,0.25,0.75,churlish
fulminant,0.0,0.75,ஃபுல்மினன்ட்
appreciative,0.25,0.75,பாராட்டு
unappreciative,0.0,0.75,பாராட்டாதது
ill,0.0,0.75,நோய்வாய்ப்பட்டது
bloodshot,0.0,0.75,ரத்தக் காட்சி
caseous,0.0,0.75,வழக்கு
inflamed,0.0,0.875,வீக்கம்
sore-eyed,0.0,0.75,புண்-கண்கள்
varicose,0.0,0.875,சுருள் சிரை
light-duty,0.0,0.75,ஒளி கடமை
low-level,0.0,0.75,குறைந்த அளவில்
nonimitative,0.0,0.75,nonimitive
yellow,0.0,0.75,மஞ்சள்
insoluble,0.0,0.75,கரையாத
torrid,0.0,0.75,டொரிட்
stygian,0.0,0.75,ஸ்டைஜியன்
undesigned,0.0,0.75,வடிவமைக்கப்படவில்லை
unsmoothed,0.0,0.75,unsmoothed
anisotropic,0.0,0.75,அனிசோட்ரோபிக்
bittersweet,0.0,0.75,பிட்டர்ஸ்வீட்
joyless,0.125,0.75,மகிழ்ச்சியற்றது
unsmiling,0.0,0.75,unsmiling
watertight,0.0,0.75,நீர்ப்பாசனம்
unlisted,0.0,0.75,பட்டியலிடப்படாதது
unextended,0.0,0.75,விரிவாக்கப்படாத
stray,0.0,0.75,தவறான
straying,0.0,0.75,வழிதவறி
apotropaic,0.0,0.75,apotropaic
unbranded,0.0,0.75,பிராண்ட் செய்யப்படாதது
unfeminine,0.25,0.75,uneminine
unconcerned,0.0,0.75,கவலைப்படாதது
unsoldierly,0.0,0.75,unsoldierly
immobile,0.0,0.75,அசைவற்ற
unmodified,0.0,0.75,மாற்றப்படாதது
unadapted,0.0,0.75,மாற்றப்படாதது
univalent,0.0,0.75,univalent
factitious,0.0,0.75,உண்மை
supernatural,0.0,0.75,இயற்கைக்கு அப்பாற்பட்டது
grotty,0.0,0.875,கோரமான
subnormal,0.0,0.75,அசாதாரணமானது
paranormal,0.0,0.875,அமானுஷ்யம்
innocuous,0.0,0.75,தீங்கற்ற
unoccupied,0.0,0.75,காலியாக இல்லை
scrimy,0.0,1.0,scrimy
verminous,0.0,0.875,வெர்மினஸ்
odoriferous,0.222,0.778,odoriferous
unofficial,0.0,0.75,அதிகாரப்பூர்வமற்றது
unestablished,0.0,0.75,நிறுவப்படாதது
off-street,0.0,0.75,தெருவில்
off-line,0.0,0.75,ஆஃப்லைன்
off,0.0,0.75,ஆஃப்
inconvenient,0.0,0.75,சிரமமாக
unopposed,0.0,0.75,எதிர்க்கப்படாத
unmethodical,0.0,0.75,unmethodical
artificial,0.0,0.75,செயற்கை
stunning,0.0,0.75,அதிர்ச்சி தரும்
underivative,0.0,0.875,underivative
unoriginal,0.0,0.75,unoriginal
slavish,0.0,0.75,அடிமை
painless,0.0,0.75,வலியற்றது
unpainted,0.0,0.875,பெயின்ட் செய்யப்படவில்லை
unoiled,0.0,0.75,unoiled
unpaintable,0.0,0.75,பெயிண்டபிள்
unpalatable,0.125,0.75,பொருத்தமற்றது
unforbearing,0.0,0.875,தாங்கமுடியாத
unpaved,0.0,0.75,செப்பனிடப்படாத
unpeaceful,0.0,0.75,unpeaceful
unpeaceable,0.0,0.875,விரும்பத்தகாதது
inadmissible,0.0,0.75,அனுமதிக்க முடியாதது
unpermissive,0.125,0.75,unpermissive
unperplexed,0.0,0.75,unperplexed
impenetrable,0.0,0.75,அசாத்தியமான
rot-resistant,0.0,0.75,அழுகல் எதிர்ப்பு
nonpsychoactive,0.0,0.75,nonpsychoactive
off-putting,0.0,0.75,முடக்குதல்
raw,0.0,0.75,பச்சையாக
imponderable,0.0,0.875,தாங்க முடியாதது
neutral,0.125,0.75,நடுநிலை
out,0.0,0.875,வெளியே
unfunctional,0.0,0.75,செயல்படாதது
cretinous,0.0,0.875,கிரெட்டினஸ்
secondary,0.0,0.75,இரண்டாம் நிலை
nonpublic,0.0,0.75,அல்லாத பொது
lay,0.0,0.75,லே
lean,0.125,0.75,ஒல்லியான
unremunerative,0.0,0.75,unmunerative
out-of-the-way,0.0,0.75,விட்டு விலகு
unimpeachable,0.0,0.75,ஈர்க்க முடியாதது
unquiet,0.0,0.75,அமைதியற்றது
flat-footed,0.0,0.75,தட்டையான கால்
unprocessed,0.0,0.75,பதப்படுத்தப்படாதது
untreated,0.0,0.75,சிகிச்சை அளிக்கப்படவில்லை
raw,0.0,0.75,பச்சையாக
untreated,0.0,0.875,சிகிச்சை அளிக்கப்படவில்லை
assimilative,0.0,0.75,ஒத்திசைவு
unexpansive,0.0,0.75,விரிவாக்க முடியாதது
moneyless,0.0,0.75,பணம் இல்லாதது
out,0.0,0.75,வெளியே
manic-depressive,0.0,0.75,மன உளைச்சல்
psychotic,0.0,0.75,மனநோய்
saturnine,0.125,0.75,சாட்டர்னைன்
unconscientious,0.0,0.75,மயக்கமற்ற
fail-safe,0.0,0.75,தோல்வி-பாதுகாப்பானது
junior,0.0,0.75,ஜூனியர்
frivolous,0.0,0.75,அற்பமானது
broken-down,0.0,0.875,உடைக்கப்பட்டு
nonresident,0.0,0.75,தங்குமிடம் இல்லாத
nonnomadic,0.0,0.75,nonnomadic
unformed,0.0,0.75,அறிவிக்கப்படாத
FALSE,0.125,0.75,பொய்
feigned,0.125,0.875,feigned
unsized,0.0,0.75,அளவிடப்படாதது
unsorted,0.0,0.75,வரிசைப்படுத்தப்படாதது
unshuttered,0.0,0.75,சுத்திகரிக்கப்படாத
unsociable,0.0,0.75,பொருத்தமற்றது
ungregarious,0.0,0.75,ஒழுங்கற்ற
unsold,0.0,0.75,விற்கப்படாதது
nonstandard,0.125,0.75,தரமற்றது
nonstandard,0.125,0.875,தரமற்றது
nonnormative,0.0,0.75,nonnormative
nonstandard,0.0,0.75,தரமற்றது
unstressed,0.0,0.75,அழுத்தப்படாத
low-grade,0.222,0.778,குறைந்த தரம்
unimpressionable,0.0,0.75,ஈர்க்க முடியாதது
soured,0.0,0.75,soured
unsuspected,0.125,0.75,சந்தேகத்திற்கு இடமின்றி
unswept,0.0,0.75,unswept
unsympathetic,0.0,0.875,பரிதாபமற்ற
temperate,0.125,0.75,மிதமான
unkempt,0.0,0.75,தடையற்றது
ungroomed,0.125,0.75,அழகற்ற
intolerant,0.125,0.75,சகிப்புத்தன்மை இல்லாதது
intestate,0.0,0.75,குடல்
tough,0.0,0.75,கடுமையான
unmalleable,0.0,0.75,பொருத்தமற்றது
FALSE,0.0,0.75,பொய்
undivided,0.0,0.875,பிரிக்கப்படாத
dystopian,0.0,0.75,டிஸ்டோபியன்
FALSE,0.0,0.75,பொய்
manky,0.3,0.7,manky
occult,0.0,0.875,அமானுஷ்யம்
consumptive,0.0,0.75,நுகர்வு
dyspeptic,0.0,0.75,டிஸ்ஸ்பெப்டிக்
palsied,0.0,0.75,பக்கவாதம்
scrofulous,0.0,0.875,scrofulous
unwholesome,0.125,0.75,ஆரோக்கியமற்றது
benign,0.0,0.75,தீங்கற்ற
immunodeficient,0.0,0.75,நோயெதிர்ப்பு குறைபாடு
anasarcous,0.0,0.75,anasarcous
immunocompromised,0.0,0.75,நோயெதிர்ப்பு குறைபாடு
aversive,0.125,0.75,வெறுக்கத்தக்க
nonenzymatic,0.0,0.75,nonenzymatic
tetanic,0.0,0.75,டெட்டானிக்
tetanic,0.0,0.75,டெட்டானிக்
unposed,0.0,0.75,திட்டமிடப்படாதது
conquest,0.0,0.75,வெற்றி
hyperemesis,0.0,0.75,ஹைப்பரெமஸிஸ்
bronchospasm,0.0,0.75,மூச்சுக்குழாய்
palliation,0.0,0.75,நீக்கம்
overexertion,0.0,0.875,அதிகப்படியான
abduction,0.0,1.0,கடத்தல்
scatophagy,0.0,0.75,சிதறல்
underproduction,0.0,0.75,குறைந்த உற்பத்தி
armageddon,0.0,0.75,அர்மகெதோன்
misdeal,0.0,0.75,தவறான
rotavirus,0.0,0.75,ரோட்டா வைரஸ்
rockweed,0.0,0.75,ராக்வீட்
kitsch,0.125,0.75,கிட்ச்
lenitive,0.0,0.875,lenitive
stinker,0.0,0.75,வாசனை
disagreeableness,0.0,0.875,உடன்படாத தன்மை
levity,0.125,0.875,லெவிட்டி
unapproachability,0.125,0.75,அணுக முடியாத தன்மை
unfriendliness,0.0,0.875,நட்பு
uncongeniality,0.25,0.75,இணக்கமற்ற தன்மை
unneighborliness,0.0,0.875,அசாதாரணமானது
unpleasingness,0.125,0.75,விரும்பத்தகாத தன்மை
shiftiness,0.125,0.75,மாற்றம்
granite,0.0,0.75,கிரானைட்
disagreeableness,0.125,0.875,உடன்படாத தன்மை
beastliness,0.0,0.75,மிருகம்
unnaturalness,0.0,0.875,இயற்கைக்கு மாறான தன்மை
inadmissibility,0.125,0.75,அனுமதிக்க முடியாதது
usualness,0.125,0.75,வழக்கம்
nonconformity,0.0,0.75,இணக்கமின்மை
illegitimacy,0.0,0.875,சட்டவிரோதம்
illicitness,0.0,0.75,சட்டவிரோதம்
elusiveness,0.125,0.75,மழுப்பல்
wrongness,0.125,0.75,தவறு
incorruptibility,0.25,0.75,நம்பகத்தன்மை
lightheadedness,0.0,0.75,lightheadedness
indelicacy,0.125,0.75,indelicacy
staleness,0.0,0.75,தேக்கநிலை
hardness,0.0,0.875,கடினத்தன்மை
vulnerability,0.0,0.875,பாதிப்பு
tardiness,0.125,0.75,தாமதம்
inessentiality,0.125,0.75,இன்றியமையாத தன்மை
defensibility,0.25,0.75,பாதுகாப்பு
snootiness,0.125,0.75,snootiness
cholecystokinin,0.0,0.75,cholecystokinin
feeblemindedness,0.0,0.75,பலவீனமான மனப்பான்மை
insensibility,0.0,0.75,உணர்வற்ற தன்மை
hydra,0.0,0.75,ஹைட்ரா
pisser,0.0,0.75,சிறுநீர் கழித்தல்
pruritus,0.0,0.75,pruritus
pill,0.0,0.875,மாத்திரை
kink,0.0,0.75,கின்க்
casuistry,0.0,0.75,casuistry
reprobation,0.0,0.75,மறுப்பு
unfairness,0.125,0.75,நியாயமற்றது
stricture,0.0,0.75,கண்டிப்பு
canard,0.0,0.875,வாத்து
excoriation,0.0,0.875,உற்சாகம்
accident,0.0,0.75,விபத்து
resolution,0.0,0.75,தீர்மானம்
fire,0.0,0.75,தீ
wistfulness,0.0,0.75,wistfulness
mysophilia,0.0,0.75,மைசோபிலியா
creepy-crawlies,0.125,0.75,தவழும்-வலம்
unconcern,0.0,0.75,கவலைப்படாதது
conscience,0.125,0.75,உணர்வு
levity,0.125,0.875,லெவிட்டி
sensibility,0.25,0.75,உணர்திறன்
dolefulness,0.0,0.875,dolefulness
heavyheartedness,0.125,0.75,கனமான மனது
self-pity,0.125,0.75,சுய பரிதாபம்
dysphoria,0.0,0.75,டிஸ்போரியா
moodiness,0.125,0.875,மனநிலை
plonk,0.0,0.875,plonk
gridlock,0.0,0.75,போக்குவரத்து இடையூறு
aphasic,0.0,0.75,அபாசிக்
asthmatic,0.0,0.75,ஆஸ்துமா
choker,0.0,0.75,சொக்கர்
hobbledehoy,0.0,0.875,hobbledehoy
jerry-builder,0.0,0.75,ஜெர்ரி-பில்டர்
motormouth,0.0,1.0,மோட்டார் வாய்
patzer,0.0,0.875,தவறு
seducer,0.0,0.75,seducer
third-rater,0.0,0.75,மூன்றாம் மதிப்பீட்டாளர்
torturer,0.0,0.75,சித்திரவதை
yenta,0.0,0.75,yenta
accumulation,0.0,0.75,குவிப்பு
earthquake,0.0,0.875,பூகம்பம்
insomnia,0.0,0.75,தூக்கமின்மை
anoxia,0.0,0.75,அனாக்ஸியா
dysphagia,0.125,0.75,டிஸ்ஃபேஜியா
dysuria,0.0,0.875,டைசுரியா
dystrophy,0.0,0.75,டிஸ்ட்ரோபி
invalidism,0.0,0.875,செல்லாத தன்மை
amyloidosis,0.0,0.75,அமிலாய்டோசிஸ்
neurasthenia,0.0,0.75,நரம்பியல்
gingivitis,0.0,0.75,ஈறு அழற்சி
glomerulonephritis,0.0,0.75,குளோமெருலோனெப்ரிடிஸ்
hypothyroidism,0.0,0.75,ஹைப்போ தைராய்டிசம்
diphtheria,0.0,0.75,டிப்தீரியா
pneumonia,0.0,0.75,நிமோனியா
abetalipoproteinemia,0.0,0.75,abetalipoproteinemia
hypobetalipoproteinemia,0.0,0.75,hypobetalipoproteinemia
lysinemia,0.0,0.75,லைசினீமியா
thrombasthenia,0.0,0.75,த்ரோம்பஸ்தீனியா
tyrosinemia,0.125,0.75,டைரோசினீமியா
angina,0.0,0.75,ஆஞ்சினா
blain,0.0,0.875,பிளைன்
cystitis,0.0,0.75,சிஸ்டிடிஸ்
malnutrition,0.0,0.75,ஊட்டச்சத்து குறைபாடு
kwashiorkor,0.0,0.75,kwashiorkor
myopathy,0.125,0.75,மயோபதி
erythema,0.0,0.75,எரித்மா
livedo,0.0,0.75,livedo
granuloma,0.0,0.75,கிரானுலோமா
arteritis,0.0,0.75,தமனி அழற்சி
blepharitis,0.0,0.875,blepharitis
sprain,0.0,0.75,சுளுக்கு
bubo,0.0,0.875,புபோ
throe,0.0,0.875,தொண்டை
dysmenorrhea,0.0,0.75,டிஸ்மெனோரியா
odynophagia,0.125,0.75,odynophagia
ulalgia,0.0,0.75,ulalgia
cholangitis,0.0,0.75,சோலங்கிடிஸ்
cholecystitis,0.0,0.75,கோலிசிஸ்டிடிஸ்
diverticulitis,0.0,0.875,டைவர்டிக்யூலிடிஸ்
endarteritis,0.0,0.75,endarteritis
epididymitis,0.0,0.75,எபிடிடிமிடிஸ்
gastritis,0.0,0.75,இரைப்பை அழற்சி
keratitis,0.0,0.75,கெராடிடிஸ்
oophoritis,0.0,0.75,oophoritis
orchitis,0.0,0.875,ஆர்க்கிடிஸ்
pancreatitis,0.0,0.75,கணைய அழற்சி
prostatitis,0.0,0.875,புரோஸ்டேடிடிஸ்
spondylitis,0.0,0.75,ஸ்பான்டைலிடிஸ்
ulitis,0.0,0.75,ulitis
ureteritis,0.0,0.75,சிறுநீர்க்குழாய் அழற்சி
vesiculitis,0.0,0.75,வெசிகுலிடிஸ்
automysophobia,0.0,0.75,ஆட்டோமிசோபோபியா
encopresis,0.0,0.75,encopresis
melancholia,0.125,0.75,மனச்சோர்வு
throe,0.0,0.875,தொண்டை
cleanness,0.125,0.75,தூய்மை
porphyria,0.125,0.75,போர்பிரியா
ergotism,0.0,0.75,ergotism
astasia,0.125,0.75,astasia
sequela,0.0,0.75,சீஷர்
analgesia,0.0,0.75,வலி நிவாரணி
urethritis,0.0,0.75,சிறுநீர்ப்பை
oligospermia,0.0,0.75,ஒலிகோஸ்பெர்மியா
tenesmus,0.0,0.75,டெனெஸ்மஸ்
gum-lac,0.0,0.75,கம்-லாக்
negatively,0.0,0.75,எதிர்மறையாக
indirectly,0.0,0.75,மறைமுகமாக
have,0.0,0.75,வேண்டும்
obstipate,0.0,0.75,தடை
bloat,0.0,0.75,வீக்கம்
putrefy,0.0,0.75,putrefy
curdle,0.0,0.875,கர்டில்
cleanse,0.0,0.75,தூய்மைப்படுத்து
whoop,0.25,0.75,ஹூப்
speculate,0.0,0.75,ஊகம்
out-herod,0.0,0.875,அவுட்-ஹீரோட்
invade,0.0,0.75,படையெடுங்கள்
lacerate,0.125,0.75,lacerate
tribulate,0.0,0.75,உபத்திரவம்
abreact,0.0,0.875,abreact
humbug,0.0,0.875,ஹம்பக்
moot,0.0,-0.9,moot
stingingly,0.0,-0.9,கஞ்சத்தனமாக
ire,0.0,-0.9,ire
unlawful,0.0,-0.9,சட்டவிரோதமானது
overstates,0.0,-0.9,ஓவர்ஸ்டேட்ஸ்
sloow,0.0,-0.9,ஸ்லோவ்
pervasive,0.0,-0.9,பரவலான
tangles,0.0,-0.9,சிக்கல்கள்
distressingly,0.0,-0.9,துன்பமாக
outrageousness,0.0,-0.9,மூர்க்கத்தனமான
prejudices,0.0,-0.9,தப்பெண்ணங்கள்
retaliatory,0.0,-0.9,பதிலடி
insufficient,0.0,-0.9,போதுமானதாக இல்லை
grudging,0.0,-0.9,மனக்குழப்பம்
unfeeling,0.0,-0.9,உணர்வற்றது
desert,0.0,-0.9,பாலைவனம்
damnation,0.0,-0.9,அடக்கம்
despairingly,0.0,-0.9,விரக்தியுடன்
frightening,0.0,-0.9,பயமுறுத்தும்
unethical,0.0,-0.9,நெறிமுறையற்றது
dent,0.0,-0.9,பல்
bores,0.0,-0.9,துளைகள்
unexpected,0.0,-0.9,எதிர்பாராத
contemptible,0.0,-0.9,இழிவான
drab,0.0,-0.9,கொல்ல
adulterate,0.0,-0.9,கலப்படம்
martyrdom-seeking,0.0,-0.9,தியாகம் தேடும்
spade,0.0,-0.9,மண்வெட்டி
downside,0.0,-0.9,தீங்கு
prohibitively,0.0,-0.9,தடைசெய்யும் வகையில்
unwell,0.0,-0.9,உடல்நிலை சரியில்லை
vicious,0.0,-0.9,தீய
unsupportive,0.0,-0.9,ஆதரவற்றது
frigid,0.0,-0.9,frigid
brainless,0.0,-0.9,மூளை இல்லாத
obnoxiously,0.0,-0.9,அருவருப்பான
bullshit,0.0,-0.9,புல்ஷிட்
bedlamite,0.0,-0.9,பெட்லாமைட்
painful,0.0,-0.9,வலி
illness,0.0,-0.9,உடல் நலமின்மை
bombard,0.0,-0.9,குண்டுவெடிப்பு
sneakily,0.0,-0.9,ஸ்னீக்கி
hustler,0.0,-0.9,ஹஸ்டலர்
fallacy,0.0,-0.9,வீழ்ச்சி
spoils,0.0,-0.9,கெட்டுப்போகிறது
twist,0.0,-0.9,திருப்பம்
misunderstood,0.0,-0.9,தவறாக புரிந்து கொள்ளப்பட்டது
sluts,0.0,-0.9,ஸ்லட்ஸ்
ghastly,0.0,-0.9,கோரமான
destitution,0.0,-0.9,வறுமை
imminently,0.0,-0.9,உடனடி
mope,0.0,-0.9,mope
complication,0.0,-0.9,சிக்கலானது
heathen,0.0,-0.9,புறஜாதிகள்
rip,0.0,-0.9,கிழித்தெறிய
scandal,0.0,-0.9,ஊழல்
anguish,0.0,-0.9,வேதனை
fruitless,0.0,-0.9,பலனற்றது
cash-strapped,0.0,-0.9,பணப்பட்டுவாடா
sarcastically,0.0,-0.9,கிண்டலாக
steal,0.0,-0.9,திருட
admonition,0.0,-0.9,அறிவுரை
ill-fated,0.0,-0.9,மோசமான
longing,0.0,-0.9,ஏங்குதல்
dreadfully,0.0,-0.9,பயமின்றி
mournful,0.0,-0.9,துக்கம்
weakening,0.0,-0.9,பலவீனப்படுத்துகிறது
stew,0.0,-0.9,குண்டு
amiss,0.0,-0.9,தவறாக
annihilate,0.0,-0.9,நிர்மூலமாக்கு
destructive,0.0,-0.9,அழிவுகரமான
dullard,0.0,-0.9,டல்லார்ட்
itching,0.0,-0.9,அரிப்பு
oblivious,0.0,-0.9,மறந்துவிட்டது
incessant,0.0,-0.9,இடைவிடாத
idle,0.0,-0.9,செயலற்றது
scratches,0.0,-0.9,கீறல்கள்
shockingly,0.0,-0.9,அதிர்ச்சியூட்டும்
miserly,0.0,-0.9,மோசமாக
bias,0.0,-0.9,சார்பு
loose,0.0,-0.9,தளர்வான
bull----,0.0,-0.9,காளை ----
dense,0.0,-0.9,அடர்த்தியான
austere,0.0,-0.9,கடுமையான
fusty,0.0,-0.9,fusty
ghetto,0.0,-0.9,கெட்டோ
jumpy,0.0,-0.9,குதித்து
crushed,0.0,-0.9,நொறுக்கப்பட்ட
destains,0.0,-0.9,விதிகள்
assault,0.0,-0.9,தாக்குதல்
ferociously,0.0,-0.9,மூர்க்கமாக
hard,0.0,-0.9,கடினமானது
prate,0.0,-0.9,பின்தொடரவும்
fat-cat,0.0,-0.9,கொழுப்பு-பூனை
exorbitantance,0.0,-0.9,exorbitantance
hassles,0.0,-0.9,தொந்தரவும்
abysmally,0.0,-0.9,abysmally
demeaning,0.0,-0.9,இழிவுபடுத்துதல்
immodest,0.0,-0.9,அசாத்தியமான
harms,0.0,-0.9,தீங்கு விளைவிக்கும்
irresolvable,0.0,-0.9,தீர்க்கமுடியாதது
limitations,0.0,-0.9,வரம்புகள்
dawdle,0.0,-0.9,dawdle
shrouded,0.0,-0.9,மூடப்பட்டிருக்கும்
smuttiest,0.0,-0.9,smuttiest
passe,0.0,-0.9,கடந்த காலம்
mistake,0.0,-0.9,தவறு
clunky,0.0,-0.9,clunky
abuse,0.0,-0.9,துஷ்பிரயோகம்
sink,0.0,-0.9,மூழ்கும்
floundering,0.0,-0.9,floundering
harrow,0.0,-0.9,ஹரோ
deceiving,0.0,-0.9,ஏமாற்றுதல்
hellion,0.0,-0.9,நரகம்
noise,0.0,-0.9,சத்தம்
bother,0.0,-0.9,தொந்தரவு
perfidious,0.0,-0.9,perfidious
opportunistic,0.0,-0.9,சந்தர்ப்பவாத
irately,0.0,-0.9,கோபமாக
perturbed,0.0,-0.9,குழப்பமான
belligerence,0.0,-0.9,சண்டை
rebuke,0.0,-0.9,கண்டி
unbelievably,0.0,-0.9,நம்பமுடியாத
catastrophically,0.0,-0.9,பேரழிவு
cuss,0.0,-0.9,cuss
prohibit,0.0,-0.9,தடை
disclaim,0.0,-0.9,மறுப்பு
bullyingly,0.0,-0.9,கொடுமைப்படுத்துதல்
enraging,0.0,-0.9,கோபம்
dud,0.0,-0.9,dud
admonish,0.0,-0.9,அறிவுறுத்துங்கள்
bravado,0.0,-0.9,துணிச்சல்
disappointed,0.0,-0.9,ஏமாற்றம்
unsure,0.0,-0.9,உறுதியாக தெரியவில்லை
repress,0.0,-0.9,அடக்கு
impudence,0.0,-0.9,impudence
ruin,0.0,-0.9,அழிக்கவும்
banal,0.0,-0.9,பரிசுத்த
lagging,0.0,-0.9,பின்தங்கிய
discontent,0.0,-0.9,அதிருப்தி
shunned,0.0,-0.9,விலக்கப்பட்டார்
cold,0.0,-0.9,குளிர்
creak,0.0,-0.9,creak
untruthful,0.0,-0.9,பொய்யானது
dehumanize,0.0,-0.9,மனிதநேயமற்றது
thug,0.0,-0.9,குண்டர்
worthlessly,0.0,-0.9,பயனற்றது
vagrant,0.0,-0.9,vagrant
accursed,0.0,-0.9,சபிக்கப்பட்ட
bum,0.0,-0.9,பம்
loathly,0.0,-0.9,வெறுக்கத்தக்க
