Term,PosScore,NegScore,Urdu
recuperate,0.75,0.0,صحت یاب ہونا
redound,0.75,0.0,سرخ
enervate,0.75,0.0,مشتعل کرنا
delouse,0.75,0.0,ڈیلائوز
think,0.75,0.0,سوچنا
receive,0.75,0.0,وصول کریں
consider,0.75,0.0,غور کریں
give,0.75,0.125,دینا
filigree,0.875,0.0,فلیگری
stultify,0.75,0.125,stirtyfy
see,0.75,0.0,دیکھیں
vest,0.875,0.0,بنیان
agree,0.875,0.0,متفق ہوں
suit,0.875,0.0,سوٹ
belong,0.75,0.0,تعلق
make,0.875,0.0,بنائیں
sensation,0.9,0.0,احساس
thriving,0.9,0.0,فروغ پزیر
marvels,0.9,0.0,چمتکار
vibrant,0.9,0.0,متحرک
fragrant,0.9,0.0,خوشبودار
enthusiast,0.9,0.0,حوصلہ افزائی
successfully,0.9,0.0,کامیابی سے
gifted,0.9,0.0,تحفے
unequivocal,0.9,0.0,غیر واضح
readily,0.9,0.0,آسانی سے
solicitously,0.9,0.0,خلوص سے
enchantingly,0.9,0.0,پرفتن سے
gold,0.9,0.0,سونا
comforting,0.9,0.0,آرام دہ
portable,0.9,0.0,پورٹیبل
sensations,0.9,0.0,احساسات
truthful,0.9,0.0,سچا
notably,0.9,0.0,خاص طور پر
bonny,0.9,0.0,بونی
adulate,0.9,0.0,ایڈولٹ کرنا
jolly,0.9,0.0,بہت خوش
supurb,0.9,0.0,supurb
aspiration,0.9,0.0,آرزو
venerate,0.9,0.0,پوجا
liking,0.9,0.0,پسند ہے
sweeping,0.9,0.0,جھاڑو
flexible,0.9,0.0,لچکدار
liberty,0.9,0.0,آزادی
refresh,0.9,0.0,ریفریش
vivacious,0.9,0.0,زندہ باد
gem,0.9,0.0,جواہر
impress,0.9,0.0,متاثر کرنا
trumpet,0.9,0.0,ترہی
entrust,0.9,0.0,سپرد کرنا
catchy,0.9,0.0,کشش
talents,0.9,0.0,پرتیبھا
retractable,0.9,0.0,واپس لینے کے قابل
passionate,0.9,0.0,پرجوش
triumph,0.9,0.0,فتح
afordable,0.9,0.0,افورڈبل
congratulations,0.9,0.0,مبارک ہو
bargain,0.9,0.0,سودے بازی
glad,0.9,0.0,خوشی
rejuvenated,0.9,0.0,پھر سے جوان ہوا
top,0.9,0.0,سب سے اوپر
gladden,0.9,0.0,خوشی
energize,0.9,0.0,حوصلہ افزائی
humane,0.9,0.0,انسانی
swank,0.9,0.0,ڈوب گیا
insightfully,0.9,0.0,بصیرت سے
courageousness,0.9,0.0,ہمت
fancinating,0.9,0.0,fancinating
maturity,0.9,0.0,پختگی
energy-efficient,0.9,0.0,موثر توانائی
calm,0.9,0.0,پرسکون
desirable,0.9,0.0,مطلوبہ
poeticize,0.9,0.0,شاعرانہ کرنا
easiest,0.9,0.0,سب سے آسان
low-price,0.9,0.0,کم قیمت
striving,0.9,0.0,جدوجہد کرنا
advantage,0.9,0.0,فائدہ
cheerful,0.9,0.0,خوشگوار
ample,0.9,0.0,کافی
steady,0.9,0.0,مستحکم
effortless,0.9,0.0,بے سہل
innovation,0.9,0.0,جدت
fine-looking,0.9,0.0,ٹھیک ہے
wonders,0.9,0.0,حیرت
cashback,0.9,0.0,پیسے واپس
quicker,0.9,0.0,تیز
gleeful,0.9,0.0,انتہا پسندی کی خوشی
expertly,0.9,0.0,مہارت سے
divine,0.9,0.0,الہی
miraculously,0.9,0.0,معجزانہ طور پر
daring,0.9,0.0,ہمت
pepped,0.9,0.0,چھلکا
cooperatively,0.9,0.0,تعاون سے
gainful,0.9,0.0,فائدہ مند
rewarding,0.9,0.0,فائدہ مند
magnificently,0.9,0.0,شاندار
captivate,0.9,0.0,موہ لینا
exceeding,0.9,0.0,حد سے زیادہ
ready,0.9,0.0,تیار
invaluablely,0.9,0.0,انمول
modesty,0.9,0.0,شائستگی
innovative,0.9,0.0,جدید
rapturous,0.9,0.0,بے خودی
soulful,0.9,0.0,روحانی
hard-working,0.9,0.0,محنتی
understandable,0.9,0.0,قابل فہم
resourcefulness,0.9,0.0,وسائل
illumine,0.9,0.0,روشن
trusty,0.9,0.0,قابل اعتماد
patriot,0.9,0.0,محب وطن
amply,0.9,0.0,کافی
appreciate,0.9,0.0,کی تعریف
large-capacity,0.9,0.0,بڑی صلاحیت
ardent,0.9,0.0,پرجوش
inspiration,0.9,0.0,پریرتا
topnotch,0.9,0.0,اعلی مرتبہ
fluent,0.9,0.0,روانی
well-balanced,0.9,0.0,اچھی طرح سے متوازن
clear-cut,0.9,0.0,صاف کٹ
lovely,0.9,0.0,خوبصورت
frugal,0.9,0.0,میعاد
affirm,0.9,0.0,تصدیق
idealize,0.9,0.0,مثالی بنانا
great,0.9,0.0,زبردست
profoundly,0.9,0.0,گہرا
gumption,0.9,0.0,gumption
elation,0.9,0.0,خوشی
stability,0.9,0.0,استحکام
spellbound,0.9,0.0,جادو
obsessions,0.9,0.0,جنون
applaud,0.9,0.0,تالیاں
willing,0.9,0.0,تیار
well-bred,0.9,0.0,اچھی نسل
cleanly,0.9,0.0,صاف ستھرا
graciousness,0.9,0.0,احسان
constructive,0.9,0.0,تعمیری
pampers,0.9,0.0,لاڈ
hotcakes,0.9,0.0,گرم کیک
realistic,0.9,0.0,حقیقت پسندانہ
nicely,0.9,0.0,اچھی طرح سے
unbiased,0.9,0.0,غیر جانبدار
virtuously,0.9,0.0,فضیلت سے
free,0.9,0.0,مفت
fairly,0.9,0.0,منصفانہ
cushy,0.9,0.0,cushy
grand,0.9,0.0,لمبا
admirer,0.9,0.0,تعریف کرنا
peaceable,0.9,0.0,پر امن
laud,0.9,0.0,ٹیبل
renewed,0.9,0.0,تجدید
inspire,0.9,0.0,حوصلہ افزائی
buoyant,0.9,0.0,خوشگوار
humility,0.9,0.0,عاجزی
stabilize,0.9,0.0,مستحکم کرنا
hopeful,0.9,0.0,امید مند
staunchness,0.9,0.0,سختی
tenderly,0.9,0.0,نرمی سے
amiabily,0.9,0.0,amiabily
liberation,0.9,0.0,آزادی
loveliness,0.9,0.0,محبت
stunned,0.9,0.0,دنگ رہ گئے
seamless,0.9,0.0,ہموار
supremely,0.9,0.0,عظمت سے
capable,0.9,0.0,قابل
firmer,0.9,0.0,مضبوط
overture,0.9,0.0,غالب
chivalrous,0.9,0.0,حریف
ingeniously,0.9,0.0,آسانی سے
freedom,0.9,0.0,آزادی
well-positioned,0.9,0.0,اچھی طرح سے پوزیشن میں ہے
balanced,0.9,0.0,متوازن
refunded,0.9,0.0,رقم کی واپسی
triumphal,0.9,0.0,فاتح
angelic,0.9,0.0,فرشتہ
matchless,0.9,0.0,بے مثال
tenacious,0.9,0.0,سخت
successful,0.9,0.0,کامیاب
powerfully,0.9,0.0,طاقتور
uplifting,0.9,0.0,ترقی
dynamic,0.9,0.0,متحرک
thankful,0.9,0.0,شکر گزار
cuteness,0.9,0.0,cuteness
champ,0.9,0.0,فیلڈ
intriguingly,0.9,0.0,دلچسپی سے
sufficiently,0.9,0.0,کافی
pepping,0.9,0.0,چھلکا
god-send,0.9,0.0,خدا بھیجیں
mature,0.9,0.0,بالغ
top-quality,0.9,0.0,بہترین معیار کا
efficient,0.9,0.0,موثر
easy-to-use,0.9,0.0,استعمال میں آسان
peppy,0.9,0.0,پیپی
idol,0.9,0.0,بت
elegantly,0.9,0.0,خوبصورتی سے
glorious,0.9,0.0,شاندار
insightful,0.9,0.0,بصیرت انگیز
economical,0.9,0.0,کم خرچ
reassurance,0.9,0.0,یقین دہانی
premier,0.9,0.0,پہلا
redeem,0.9,0.0,چھڑانا
pain-free,0.9,0.0,درد سے پاک
supporter,0.9,0.0,حامی
rejoicingly,0.9,0.0,خوشی سے
dawn,0.9,0.0,ڈان کی
gutsy,0.9,0.0,ہمت
terrifically,0.9,0.0,خوفناک طور پر
imaculate,0.9,0.0,تقلید کرنا
appreciated,0.9,0.0,تعریف
strongest,0.9,0.0,سب سے مضبوط
accomplish,0.9,0.0,پورا
stimulate,0.9,0.0,حوصلہ افزائی
distinguished,0.9,0.0,ممتاز
joy,0.9,0.0,خوشی
enjoyed,0.9,0.0,لطف اٹھایا
elate,0.9,0.0,خوشی
benefit,0.9,0.0,فائدہ
openness,0.9,0.0,کشادگی
achievement,0.9,0.0,کامیابی
honorable,0.9,0.0,معزز
salute,0.9,0.0,صحت
genuine,0.9,0.0,حقیقی
unbound,0.9,0.0,ان باؤنڈ
convienient,0.9,0.0,آسان
enlighten,0.9,0.0,روشن کرنا
dumbfounding,0.9,0.0,dumbfounding
unabashed,0.9,0.0,بے شک
rapturously,0.9,0.0,بے خودی سے
steadiness,0.9,0.0,استحکام
sensationally,0.9,0.0,سنسنی خیز
clearer,0.9,0.0,واضح
selective,0.9,0.0,منتخب
affirmative,0.9,0.0,مثبت
dirt-cheap,0.9,0.0,سستا
trust,0.9,0.0,اعتماد
enthusiasm,0.9,0.0,جوش و خروش
undaunted,0.9,0.0,بے شک
courageously,0.9,0.0,بہادری سے
useful,0.9,0.0,مفید
adequate,0.9,0.0,مناسب
jubilation,0.9,0.0,خوشی
admirably,0.9,0.0,قابل ستائش
phenomenally,0.9,0.0,غیر معمولی طور پر
decisiveness,0.9,0.0,فیصلہ کن ہونا
cozy,0.9,0.0,آرام دہ
compassion,0.9,0.0,شفقت
handier,0.9,0.0,ہینڈیئر
clears,0.9,0.0,کلیئرز
convincingly,0.9,0.0,یقین سے
preferring,0.9,0.0,ترجیح دیتے ہیں
sagely,0.9,0.0,sagely
viewable,0.9,0.0,دیکھنے لائق
awesome,0.9,0.0,خوفناک
abounds,0.9,0.0,کثرت
keenness,0.9,0.0,شوق
awards,0.9,0.0,ایوارڈ
supportive,0.9,0.0,معاون
fine,0.9,0.0,ٹھیک
pamperedness,0.9,0.0,لاڈال
unrivaled,0.9,0.0,بے مثال
best-selling,0.9,0.0,بہترین فروخت ہونے والا
hearten,0.9,0.0,دل سے
sturdier,0.9,0.0,sturdier
advantages,0.9,0.0,فوائد
panoramic,0.9,0.0,Panoramic
enhanced,0.9,0.0,بڑھا ہوا
eulogize,0.9,0.0,eulogize
lighter,0.9,0.0,ہلکا
won,0.9,0.0,جیت لیا
comprehensive,0.9,0.0,وسیع
revival,0.9,0.0,حیات نو
skilled,0.9,0.0,ہنر مند
enticing,0.9,0.0,دلکش
tenacity,0.9,0.0,سختی
supporting,0.9,0.0,کی حمایت
greatest,0.9,0.0,سب سے بڑا
fabulously,0.9,0.0,بھرپور طریقے سے
altruistic,0.9,0.0,پرہیزگار
enticingly,0.9,0.0,دلکشی سے
silent,0.9,0.0,خاموش
pleasant,0.9,0.0,خوشگوار
fondness,0.9,0.0,شوق
upgradeable,0.9,0.0,اپ گریڈ
phenomenal,0.9,0.0,غیر معمولی
fans,0.9,0.0,پرستار
state-of-the-art,0.9,0.0,جدید ترین
noble,0.9,0.0,نوبل
fast-growing,0.9,0.0,تیزی سےبڑھتاہوا
serene,0.9,0.0,پر سکون
handsomely,0.9,0.0,خوبصورت
nourish,0.9,0.0,پرورش
usable,0.9,0.0,قابل استعمال
spotless,0.9,0.0,بے داغ
bless,0.9,0.0,برکت
exemplar,0.9,0.0,مثالی
poignant,0.9,0.0,متشدد
ambitious,0.9,0.0,بلند نظر
worked,0.9,0.0,کام کیا
proud,0.9,0.0,فخر ہے
enrich,0.9,0.0,افزودگی
kindness,0.9,0.0,مہربانی
warmth,0.9,0.0,گرمجوشی
excitement,0.9,0.0,جوش و خروش
sweetly,0.9,0.0,میٹھا
blithe,0.9,0.0,blithe
contribution,0.9,0.0,شراکت
rejuvenating,0.9,0.0,پھر سے جوان ہونا
intimacy,0.9,0.0,قربت
effectively,0.9,0.0,مؤثر طریقے سے
wholesome,0.9,0.0,صحت مند
approve,0.9,0.0,منظور کریں
truthfulness,0.9,0.0,سچائی
handily,0.9,0.0,آسانی سے
staunchly,0.9,0.0,سختی سے
prominence,0.9,0.0,اہمیت
merciful,0.9,0.0,مہربان
stirringly,0.9,0.0,ہلچل سے
outdone,0.9,0.0,ختم
overtake,0.9,0.0,آ پڑے
unbeatable,0.9,0.0,ناقابل شکست
sufficient,0.9,0.0,کافی
ardently,0.9,0.0,جوش و خروش سے
classic,0.9,0.0,کلاسک
civility,0.9,0.0,تہذیب
ingenuity,0.9,0.0,آسانی
masterpiece,0.9,0.0,شاہکار
fidelity,0.9,0.0,مخلص
reliable,0.9,0.0,قابل اعتماد
charisma,0.9,0.0,کرشمہ
readable,0.9,0.0,پڑھنے کے قابل
compatible,0.9,0.0,ہم آہنگ
fulfillment,0.9,0.0,تکمیل
skillfully,0.9,0.0,مہارت سے
tingle,0.9,0.0,ٹنگل
excel,0.9,0.0,ایکسل
enviously,0.9,0.0,حسد سے
swanky,0.9,0.0,swanky
celebration,0.9,0.0,جشن
progress,0.9,0.0,ترقی
empowerment,0.9,0.0,بااختیار بنانا
tranquility,0.9,0.0,سکون
led,0.9,0.0,ایل. ای. ڈی
achievible,0.9,0.0,قابل حصول
bright,0.9,0.0,روشن
appreciatively,0.9,0.0,تعریف کے ساتھ
inspirational,0.9,0.0,متاثر کن
accessible,0.9,0.0,قابل رسائی
lionhearted,0.9,0.0,شیر دل
refreshing,0.9,0.0,تازگی
splendidly,0.9,0.0,بہت خوبصورتی سے
marvelous,0.9,0.0,حیرت انگیز
illustrious,0.9,0.0,نامور
revives,0.9,0.0,زندہ
originality,0.9,0.0,اصلیت
gratification,0.9,0.0,خوشی
motivated,0.9,0.0,حوصلہ افزائی
playfully,0.9,0.0,چالاکی سے
awe,0.9,0.0,خوف
overtakes,0.9,0.0,آکر
eloquent,0.9,0.0,فصاحت والا
proficient,0.9,0.0,ہنر مند
cheapest,0.9,0.0,سب سے سستا
intelligible,0.9,0.0,قابل فہم
luxuriant,0.9,0.0,پرتعیش
adaptable,0.9,0.0,ملنسار
enraptured,0.9,0.0,enraptured
luckiest,0.9,0.0,خوش قسمت
healthy,0.9,0.0,صحت مند
luster,0.9,0.0,چمک
brotherly,0.9,0.0,برادر
compliment,0.9,0.0,تعریف
leading,0.9,0.0,معروف
fortunately,0.9,0.0,خوش قسمتی سے
resplendent,0.9,0.0,مہذب
obtainable,0.9,0.0,قابل حصول
inventive,0.9,0.0,اختراعی
ardor,0.9,0.0,جل رہا ہے
propitiously,0.9,0.0,بہت ساری بات ہے
cost-effective,0.9,0.0,مؤثر لاگت
charismatic,0.9,0.0,دلکش
merit,0.9,0.0,میرٹ
gusto,0.9,0.0,اشارہ
stimulates,0.9,0.0,حوصلہ افزائی کرتا ہے
coherent,0.9,0.0,مربوط
providence,0.9,0.0,پروویژن
exaltedly,0.9,0.0,بلند
neatly,0.9,0.0,صفائی سے
affordable,0.9,0.0,سستی
effectiveness,0.9,0.0,تاثیر
monumental,0.9,0.0,یادگار
pleased,0.9,0.0,خوش
righteousness,0.9,0.0,صداقت
miracle,0.9,0.0,معجزہ
respectable,0.9,0.0,قابل احترام
upbeat,0.9,0.0,اونچا سر
winner,0.9,0.0,فاتح
laudably,0.9,0.0,قابل ستائش
luckiness,0.9,0.0,خوش قسمتی
assurance,0.9,0.0,انشورنس
prestige,0.9,0.0,وقار
qualified,0.9,0.0,تعلیم یافتہ
fruitful,0.9,0.0,نتیجہ خیز
ilu,0.9,0.0,خوبصورتی
vivid,0.9,0.0,وشد
spirited,0.9,0.0,حوصلہ افزائی
godsend,0.9,0.0,گاڈ سینڈ
mesmerizes,0.9,0.0,میسریز
satisfying,0.9,0.0,اطمینان بخش
masterful,0.9,0.0,ماسٹر
sublime,0.9,0.0,عظمت
mercy,0.9,0.0,رحم
brilliantly,0.9,0.0,بہت خوب
loving,0.9,0.0,محبت
entertaining,0.9,0.0,دل لگی
earnest,0.9,0.0,بیعانہ
ergonomical,0.9,0.0,ergonomical
refinement,0.9,0.0,ادائیگی
complementary,0.9,0.0,تکمیلی
patient,0.9,0.0,صبر
inviolate,0.9,0.0,انویلیٹ
eagerness,0.9,0.0,بے تابی
civilize,0.9,0.0,مہذب کریں
well-mannered,0.9,0.0,اچھی طرح سے سلوک
dignity,0.9,0.0,وقار
steadiest,0.9,0.0,ثابت قدم
favorite,0.9,0.0,پسندیدہ
astutely,0.9,0.0,حیرت سے
splendid,0.9,0.0,عمدہ
subsidizing,0.9,0.0,سبسڈی دینا
plush,0.9,0.0,آلیشان
marvelously,0.9,0.0,حیرت سے
adorer,0.9,0.0,محبت
happier,0.9,0.0,زیادہ خوش
perseverance,0.9,0.0,استقامت
sensational,0.9,0.0,سنسنی خیز
nimble,0.9,0.0,فرتیلا
multi-purpose,0.9,0.0,کثیر مقصدی
affably,0.9,0.0,پیار سے
astonish,0.9,0.0,چکت کرنا
lover,0.9,0.0,عاشق
nourishing,0.9,0.0,پرورش
upheld,0.9,0.0,برقرار
exalt,0.9,0.0,بلند کرنا
happy,0.9,0.0,خوش
prodigiously,0.9,0.0,اچھ .ا
humble,0.9,0.0,عاجز
proven,0.9,0.0,ثابت
resounding,0.9,0.0,بھرپور
cashbacks,0.9,0.0,کیش بیکس
visionary,0.9,0.0,بصیرت
thoughtful,0.9,0.0,سوچے سمجھے
smarter,0.9,0.0,ہوشیار
conciliate,0.9,0.0,صلح کرنا
credible,0.9,0.0,معتبر
dependable,0.9,0.0,قابل اعتماد
saint,0.9,0.0,سنت
fairness,0.9,0.0,صداقت
victorious,0.9,0.0,فاتح
excels,0.9,0.0,ایکسل
celebrated,0.9,0.0,منایا گیا
keenly,0.9,0.0,گہری
humorously,0.9,0.0,مزاحیہ انداز میں
effectual,0.9,0.0,نتیجہ خیز
enchanting,0.9,0.0,پرفتن
favour,0.9,0.0,احسان
titillate,0.9,0.0,ٹائٹلائٹ
flexibility,0.9,0.0,لچک
mesmerize,0.9,0.0,مسمار کرنا
favorable,0.9,0.0,سازگار
unwavering,0.9,0.0,اٹل
neat,0.9,0.0,صاف
generous,0.9,0.0,بے لوث
satisfies,0.9,0.0,مطمئن
consummate,0.9,0.0,کسمپٹ
marvellous,0.9,0.0,حیرت انگیز
tempting,0.9,0.0,کشش
mastery,0.9,0.0,مہارت
peacefully,0.9,0.0,پرامن طریقے سے
improvements,0.9,0.0,بہتری
amicability,0.9,0.0,فرحت بخش
indebted,0.9,0.0,مقروض
high-quality,0.9,0.0,اعلی معیار
unfettered,0.9,0.0,بے محل
easing,0.9,0.0,نرمی
exonerate,0.9,0.0,exonerate
enhance,0.9,0.0,بڑھانا
evaluative,0.9,0.0,تشخیصی
fabulous,0.9,0.0,شاندار
mind-blowing,0.9,0.0,ذہن اڑانے والا
well-educated,0.9,0.0,اعلی تعلیم یافتہ
heroine,0.9,0.0,نایکا
daringly,0.9,0.0,بہادر
lavish,0.9,0.0,شاہانہ
luxuriously,0.9,0.0,آسائش سے
marvelousness,0.9,0.0,حیرت
classy,0.9,0.0,بہترین
tickle,0.9,0.0,گدگدی
woo,0.9,0.0,وو
low-cost,0.9,0.0,کم قیمت
restored,0.9,0.0,بحال
romanticize,0.9,0.0,رومانٹک کرنا
rejoice,0.9,0.0,خوشی
wholeheartedly,0.9,0.0,پورے دل سے
smitten,0.9,0.0,مارا
illuminating,0.9,0.0,روشن کرنا
diligent,0.9,0.0,میہنتی
amazed,0.9,0.0,حیرت زدہ
levity,0.9,0.0,لیویٹی
reverently,0.9,0.0,عقیدت سے
courageous,0.9,0.0,بہادر
tantalizingly,0.9,0.0,tantalizingly
aver,0.9,0.0,ہونے
congenial,0.9,0.0,پیدائشی
pleases,0.9,0.0,خوش
toughest,0.9,0.0,سب سے مشکل
tender,0.9,0.0,ٹینڈر
permissible,0.9,0.0,جائز
alluringly,0.9,0.0,دلکش
astonishment,0.9,0.0,حیرت
quiet,0.9,0.0,خاموش
commitment,0.9,0.0,عزم
indulgence,0.9,0.0,لالچ
endorse,0.9,0.0,توثیق
glowingly,0.9,0.0,چمک سے
congratulate,0.9,0.0,مبارک باد
peace,0.9,0.0,امن
keen,0.9,0.0,گہری
breathlessness,0.9,0.0,سانس
sufficed,0.9,0.0,کافی
humourous,0.9,0.0,مضحکہ خیز
unreal,0.9,0.0,غیر حقیقی
delicate,0.9,0.0,نازک
flourish,0.9,0.0,پنپنا
purify,0.9,0.0,پاک کرنا
user-friendly,0.9,0.0,صارف دوست
intricate,0.9,0.0,پیچیدہ
enjoyably,0.9,0.0,خوشی سے
well-managed,0.9,0.0,اچھی طرح سے منظم
perfectly,0.9,0.0,بالکل
worthy,0.9,0.0,قابل
rightful,0.9,0.0,حق بجانب
fastest,0.9,0.0,سب سے تیز
extoll,0.9,0.0,پذیرائی
defeated,0.9,0.0,شکست خوردہ
radiance,0.9,0.0,چمک
flashy,0.9,0.0,چمکدار
generosity,0.9,0.0,سخاوت
merry,0.9,0.0,میری
groundbreaking,0.9,0.0,زمینی
decisive,0.9,0.0,فیصلہ کن
protection,0.9,0.0,تحفظ
interesting,0.9,0.0,دلچسپ
satisfactory,0.9,0.0,اطمینان بخش
ecenomical,0.9,0.0,ecenomical
prowess,0.9,0.0,طاقت
adorable,0.9,0.0,پیارا
mesmerizing,0.9,0.0,مسمار کرنے والا
uncomplicated,0.9,0.0,غیر پیچیدہ
entice,0.9,0.0,آمادہ کرنا
fun,0.9,0.0,مزہ
best,0.9,0.0,بہترین
godlike,0.9,0.0,خدا کی طرح
attune,0.9,0.0,اٹان
toll-free,0.9,0.0,ٹول فری
regard,0.9,0.0,حوالے
ameliorate,0.9,0.0,بہتر کرنا
useable,0.9,0.0,قابل استعمال
top-notch,0.9,0.0,اعلی مرتبہ
astoundingly,0.9,0.0,حیرت سے
celebrate,0.9,0.0,منانا
affable,0.9,0.0,قابل
flourishing,0.9,0.0,پھل پھول رہا ہے
easiness,0.9,0.0,نرمی
well-behaved,0.9,0.0,اچھا سلوک
enjoyment,0.9,0.0,لطف اندوز
exultingly,0.9,0.0,خوشی سے
popular,0.9,0.0,مقبول
cornerstone,0.9,0.0,سنگ بنیاد
