Term,PosScore,NegScore,Bangla
advantages,0.9,0.0,সুবিধাদি
panoramic,0.9,0.0,প্যানরোমিক
enhanced,0.9,0.0,বর্ধিত
eulogize,0.9,0.0,প্রশংসা
lighter,0.9,0.0,লাইটার
won,0.9,0.0,ওঁন
comprehensive,0.9,0.0,ব্যাপক
revival,0.9,0.0,রেনেসাঁ
skilled,0.9,0.0,দক্ষ
enticing,0.9,0.0,প্রলুব্ধকর
tenacity,0.9,0.0,তানতা
supporting,0.9,0.0,সমর্থন
greatest,0.9,0.0,সর্বাধিক
fabulously,0.9,0.0,অবিশ্বাস্য রকমের
altruistic,0.9,0.0,কল্যাণময়
enticingly,0.9,0.0,enticingly
silent,0.9,0.0,নীরব
pleasant,0.9,0.0,মনোরম
fondness,0.9,0.0,অনুরাগ
upgradeable,0.9,0.0,আপগ্রেড
phenomenal,0.9,0.0,বিষ্ময়কর
fans,0.9,0.0,ভক্ত
state-of-the-art,0.9,0.0,রাষ্ট্র-এর-শিল্প
noble,0.9,0.0,উন্নতচরিত্র
fast-growing,0.9,0.0,দ্রুত বর্ধনশীল
serene,0.9,0.0,নির্মেঘ
handsomely,0.9,0.0,উত্তম পন্থায় বিদায়
nourish,0.9,0.0,পুষা
usable,0.9,0.0,উপভোগ্য
spotless,0.9,0.0,নিষ্কলুষ
bless,0.9,0.0,আশীর্বাদ করা
exemplar,0.9,0.0,আদর্শ
poignant,0.9,0.0,কটু
ambitious,0.9,0.0,উচ্চাকাঙ্ক্ষী
worked,0.9,0.0,কাজ করছে
proud,0.9,0.0,গর্বিত
enrich,0.9,0.0,সমৃদ্ধ
kindness,0.9,0.0,উদারতা
warmth,0.9,0.0,উত্তাপ
excitement,0.9,0.0,হুজুগ
sweetly,0.9,0.0,দেহটা মিষ্টি লাগবে
blithe,0.9,0.0,ফূর্তিবাজ
contribution,0.9,0.0,অবদান
rejuvenating,0.9,0.0,আয়ুষ্কর
intimacy,0.9,0.0,অন্তরঙ্গতা
effectively,0.9,0.0,কার্যকরীভাবে
wholesome,0.9,0.0,পথ্য
approve,0.9,0.0,অনুমোদন করা
truthfulness,0.9,0.0,সত্যবাদিতা
handily,0.9,0.0,handily
staunchly,0.9,0.0,অবিচলিতভাবে
prominence,0.9,0.0,অভিক্ষিপ্তাবস্থা
merciful,0.9,0.0,দয়ালু
stirringly,0.9,0.0,stirringly
outdone,0.9,0.0,অতিক্রান্ত
overtake,0.9,0.0,নাগাল ধরা
unbeatable,0.9,0.0,অপরাজেয়
sufficient,0.9,0.0,যথেষ্ট
ardently,0.9,0.0,প্রখরভাবে
classic,0.9,0.0,সর্বোত্তম
civility,0.9,0.0,ভদ্রতা
ingenuity,0.9,0.0,অকপটতা
masterpiece,0.9,0.0,মাষ্টারপিস
fidelity,0.9,0.0,বিশ্বস্ততা
reliable,0.9,0.0,বিশ্বাসযোগ্য
charisma,0.9,0.0,অনন্যসাধারণ প্রতিভা
readable,0.9,0.0,সুপাঠ্য
compatible,0.9,0.0,উপযুক্ত
fulfillment,0.9,0.0,সিদ্ধি
skillfully,0.9,0.0,দক্ষতার সঙ্গে
tingle,0.9,0.0,শিহরণ
excel,0.9,0.0,সীমা অতিক্রম করা
enviously,0.9,0.0,enviously
swanky,0.9,0.0,চট্পটে
celebration,0.9,0.0,অনুষ্ঠান
progress,0.9,0.0,উন্নতি
empowerment,0.9,0.0,ক্ষমতায়ন
tranquility,0.9,0.0,প্রশান্তি
led,0.9,0.0,এলইডি
achievible,0.9,0.0,achievible
bright,0.9,0.0,উজ্জ্বল
appreciatively,0.9,0.0,কৃতজ্ঞতার সঙ্গে
inspirational,0.9,0.0,অনুপ্রেরণীয়
accessible,0.9,0.0,প্রবেশযোগ্য
lionhearted,0.9,0.0,lionhearted
refreshing,0.9,0.0,সতেজকারক
splendidly,0.9,0.0,splendidly
marvelous,0.9,0.0,অবিশ্বাস্য
illustrious,0.9,0.0,প্রসিদ্ধ
revives,0.9,0.0,পুনর্জীবন
originality,0.9,0.0,মৌলিকত্ব
gratification,0.9,0.0,পরিতৃপ্তি
motivated,0.9,0.0,উদ্দেশ্যমূলক
playfully,0.9,0.0,খেলাচ্ছলে
awe,0.9,0.0,সম্ভ্রম
overtakes,0.9,0.0,পতিত
eloquent,0.9,0.0,বাকপটু
proficient,0.9,0.0,দক্ষ
cheapest,0.9,0.0,প্রসঙ্গ
intelligible,0.9,0.0,বুদ্ধিগম্য
luxuriant,0.9,0.0,প্রাচুর্যপূর্ণ
adaptable,0.9,0.0,অভিযোজ্য
enraptured,0.9,0.0,খাড়া করা
luckiest,0.9,0.0,ভাগ্যবান
healthy,0.9,0.0,সুস্থ
luster,0.9,0.0,দীপ্তি
brotherly,0.9,0.0,ভ্রাতৃভাবে
compliment,0.9,0.0,শংসা
leading,0.9,0.0,নেতৃত্ব
fortunately,0.9,0.0,ভাগ্যক্রমে
resplendent,0.9,0.0,প্রভাময়
obtainable,0.9,0.0,গম্য
inventive,0.9,0.0,উদ্ভাবক
ardor,0.9,0.0,জ্বলন্ত
propitiously,0.9,0.0,propitiously
cost-effective,0.9,0.0,সাশ্রয়ের
charismatic,0.9,0.0,সহজাত দক্ষতা সম্পন্ন
merit,0.9,0.0,যোগ্যতা
gusto,0.9,0.0,ঔত্সুক্য
stimulates,0.9,0.0,উদ্দীপকের
coherent,0.9,0.0,সুসঙ্গত
providence,0.9,0.0,দূরদর্শিতা
exaltedly,0.9,0.0,exaltedly
neatly,0.9,0.0,সুন্দরভাবে
affordable,0.9,0.0,সাশ্রয়ী মূল্যের
effectiveness,0.9,0.0,কার্যকারিতা
monumental,0.9,0.0,স্মারক
pleased,0.9,0.0,খুশি
righteousness,0.9,0.0,ন্যায়পরায়ণতা
miracle,0.9,0.0,অলৌকিক ঘটনা
respectable,0.9,0.0,শ্রদ্ধেয়
upbeat,0.9,0.0,আশাবাদী
winner,0.9,0.0,বিজয়ী
laudably,0.9,0.0,laudably
luckiness,0.9,0.0,luckiness
assurance,0.9,0.0,বীমা
prestige,0.9,0.0,প্রতিপত্তি
qualified,0.9,0.0,যোগ্যতাসম্পন্ন
fruitful,0.9,0.0,ফলপ্রসূ
ilu,0.9,0.0,সৌন্দর্য
vivid,0.9,0.0,প্রাণবন্ত
spirited,0.9,0.0,সজীব
godsend,0.9,0.0,সফলতা
mesmerizes,0.9,0.0,mesmerizes
satisfying,0.9,0.0,পরিতৃপ্ত
masterful,0.9,0.0,উদ্ধত
sublime,0.9,0.0,মহিমান্বিত
mercy,0.9,0.0,করুণা
brilliantly,0.9,0.0,বুদ্ধিদীপ্তভাবে
loving,0.9,0.0,স্নেহময়
entertaining,0.9,0.0,রসাল
earnest,0.9,0.0,আন্তরিক
ergonomical,0.9,0.0,ergonomical
refinement,0.9,0.0,পরিশোধন
complementary,0.9,0.0,পরিপূরক
patient,0.9,0.0,রোগী
inviolate,0.9,0.0,অলঙ্ঘিত
eagerness,0.9,0.0,আগ্রহ
civilize,0.9,0.0,সভ্য করা
well-mannered,0.9,0.0,আচারপরায়ণ
dignity,0.9,0.0,সম্মান
steadiest,0.9,0.0,steadiest
favorite,0.9,0.0,প্রিয়
astutely,0.9,0.0,বলেছ
splendid,0.9,0.0,চমত্কার
subsidizing,0.9,0.0,ভর্তুকি
plush,0.9,0.0,প্লাশ্
marvelously,0.9,0.0,এমে
adorer,0.9,0.0,ভালবাসা
happier,0.9,0.0,সুখী
perseverance,0.9,0.0,অধ্যবসায়
sensational,0.9,0.0,উত্তেজনাপূর্ণ
nimble,0.9,0.0,দ্রুতগামী
multi-purpose,0.9,0.0,মাল্টি উদ্দেশ্য
affably,0.9,0.0,অমায়িকভাবে
astonish,0.9,0.0,চমত্কৃত করা
lover,0.9,0.0,প্রেমিকা
nourishing,0.9,0.0,পুষ্টিকর
upheld,0.9,0.0,upheld
exalt,0.9,0.0,উল্লসিত করা
happy,0.9,0.0,খুশি
prodigiously,0.9,0.0,prodigiously
humble,0.9,0.0,নম্র
proven,0.9,0.0,প্রমাণিত
resounding,0.9,0.0,অনুনাদী
cashbacks,0.9,0.0,cashbacks
visionary,0.9,0.0,স্বপ্নদর্শী
thoughtful,0.9,0.0,চিন্তাশীল
smarter,0.9,0.0,দক্ষতা সহকারে
conciliate,0.9,0.0,শান্ত করা
credible,0.9,0.0,বিশ্বাসযোগ্য
dependable,0.9,0.0,নির্ভরযোগ্য
saint,0.9,0.0,সাধু
fairness,0.9,0.0,সততা
victorious,0.9,0.0,বিজয়ী
excels,0.9,0.0,excels
celebrated,0.9,0.0,সুপ্রসিদ্ধ
keenly,0.9,0.0,গভীরভাবে
humorously,0.9,0.0,খিটখিটি
effectual,0.9,0.0,সফল
enchanting,0.9,0.0,আকর্ষণীয়
favour,0.9,0.0,আনুকূল্য
titillate,0.9,0.0,ধীরে ধীরে উদ্দীপ্ত করা
flexibility,0.9,0.0,নমনীয়তা
mesmerize,0.9,0.0,মোহিত করা
favorable,0.9,0.0,অনুকূল
unwavering,0.9,0.0,অটল
neat,0.9,0.0,ঝরঝরে
generous,0.9,0.0,উদার
satisfies,0.9,0.0,সন্তুষ্ট
consummate,0.9,0.0,সুসম্পূর্ণ
marvellous,0.9,0.0,অবিশ্বাস্য
tempting,0.9,0.0,প্রলুব্ধকর
mastery,0.9,0.0,আধিপত্য
peacefully,0.9,0.0,শান্তিপূর্ণভাবে
improvements,0.9,0.0,উন্নতি
amicability,0.9,0.0,অদ্রোহ
indebted,0.9,0.0,ঋণী
high-quality,0.9,0.0,উচ্চ গুনসম্পন্ন
unfettered,0.9,0.0,কারামুক্ত
easing,0.9,0.0,টুকটাক
exonerate,0.9,0.0,ক্ষালন করা
enhance,0.9,0.0,বাড়ান
evaluative,0.9,0.0,evaluative
fabulous,0.9,0.0,কল্পিত
mind-blowing,0.9,0.0,অভূতপূর্ব
well-educated,0.9,0.0,সুশিক্ষিত
heroine,0.9,0.0,বীরাঙ্গনা
