Term,PosScore,NegScore,Urdu
no-go,0.0,0.75,نہیں جانا
ill,0.0,0.875,بیمار
swingeing,0.0,0.875,swingeing
uncool,0.0,0.875,uncool
unsuitable,0.222,0.778,نا مناسب
evil-minded,0.0,0.75,بد دماغ
churlish,0.0,0.875,گورش
churlish,0.25,0.75,گورش
fulminant,0.0,0.75,مکمل
appreciative,0.25,0.75,قابل ستائش
unappreciative,0.0,0.75,ناپسندیدہ
ill,0.0,0.75,بیمار
bloodshot,0.0,0.75,بلڈ شاٹ
caseous,0.0,0.75,معاملاتی
inflamed,0.0,0.875,سوجن
sore-eyed,0.0,0.75,زخم والے
varicose,0.0,0.875,varicose
light-duty,0.0,0.75,ہلکی ڈیوٹی
low-level,0.0,0.75,کم سطح
nonimitative,0.0,0.75,nonimitative
yellow,0.0,0.75,پیلا
insoluble,0.0,0.75,اگھلنشیل
torrid,0.0,0.75,ٹورڈ
stygian,0.0,0.75,اسٹجیئن
undesigned,0.0,0.75,غیر ڈیزائن شدہ
unsmoothed,0.0,0.75,بے ہنگم
anisotropic,0.0,0.75,anisotropic
bittersweet,0.0,0.75,bittersweet
joyless,0.125,0.75,بےخبر
unsmiling,0.0,0.75,انمولنگ
watertight,0.0,0.75,واٹرٹیگٹ
unlisted,0.0,0.75,غیر مندرج
unextended,0.0,0.75,بے ہنگم
stray,0.0,0.75,آوارہ
straying,0.0,0.75,بھٹکنا
apotropaic,0.0,0.75,apotropaic
unbranded,0.0,0.75,غیر برانڈڈ
unfeminine,0.25,0.75,غیر محفوظ
unconcerned,0.0,0.75,بے فکر
unsoldierly,0.0,0.75,بے ترتیب
immobile,0.0,0.75,بے حرکت
unmodified,0.0,0.75,غیر ترمیم شدہ
unadapted,0.0,0.75,unadapted
univalent,0.0,0.75,غیرجانبدار
factitious,0.0,0.75,حقیقت پسندانہ
supernatural,0.0,0.75,مافوق الفطرت
grotty,0.0,0.875,بدمزاج
subnormal,0.0,0.75,معمولی
paranormal,0.0,0.875,غیر معمولی
innocuous,0.0,0.75,معصوم
unoccupied,0.0,0.75,غیر مقصود
scrimy,0.0,1.0,سکریمی
verminous,0.0,0.875,ورمونی
odoriferous,0.222,0.778,گند آمیز
unofficial,0.0,0.75,غیر سرکاری
unestablished,0.0,0.75,غیر قائم
off-street,0.0,0.75,آف اسٹریٹ
off-line,0.0,0.75,آف لائن
off,0.0,0.75,بند
inconvenient,0.0,0.75,تکلیف
unopposed,0.0,0.75,بلا مقابلہ
unmethodical,0.0,0.75,غیر روایتی
artificial,0.0,0.75,مصنوعی
stunning,0.0,0.75,حیرت انگیز
underivative,0.0,0.875,ذیلی
unoriginal,0.0,0.75,غیر تنظیمی
slavish,0.0,0.75,غلامی
painless,0.0,0.75,بے درد
unpainted,0.0,0.875,بغیر پینٹ
unoiled,0.0,0.75,غیر منقول
unpaintable,0.0,0.75,ناقابل تلافی
unpalatable,0.125,0.75,ناقابل تسخیر
unforbearing,0.0,0.875,ناقابل برداشت
unpaved,0.0,0.75,بے نقاب
unpeaceful,0.0,0.75,ناقابل تلافی
unpeaceable,0.0,0.875,ناقابل تلافی
inadmissible,0.0,0.75,ناقابل تسخیر
unpermissive,0.125,0.75,بلا روک ٹوک
unperplexed,0.0,0.75,unpleplexed
impenetrable,0.0,0.75,ناقابل تلافی
rot-resistant,0.0,0.75,سڑنے سے بچنے والا
nonpsychoactive,0.0,0.75,nonpsychoactive
off-putting,0.0,0.75,مزہ خراب کرنا
raw,0.0,0.75,کچا
imponderable,0.0,0.875,ناقابل تلافی
neutral,0.125,0.75,غیر جانبدار
out,0.0,0.875,باہر
unfunctional,0.0,0.75,غیر فعالی
cretinous,0.0,0.875,تخلیقی
secondary,0.0,0.75,ثانوی
nonpublic,0.0,0.75,غیر جمہوریہ
lay,0.0,0.75,لیٹ
lean,0.125,0.75,دبلی پتلی
unremunerative,0.0,0.75,غیر معقول
out-of-the-way,0.0,0.75,راستے سے باہر
unimpeachable,0.0,0.75,ناقابل رسائی
unquiet,0.0,0.75,بے چین
flat-footed,0.0,0.75,فلیٹ پیر
unprocessed,0.0,0.75,عملدرآمد نہیں ہوا
untreated,0.0,0.75,علاج نہ ہونے والا
raw,0.0,0.75,کچا
untreated,0.0,0.875,علاج نہ ہونے والا
assimilative,0.0,0.75,ملحق
unexpansive,0.0,0.75,غیر واضح
moneyless,0.0,0.75,بے دولت
out,0.0,0.75,باہر
manic-depressive,0.0,0.75,پاگل پن
psychotic,0.0,0.75,نفسیاتی
saturnine,0.125,0.75,سنترین
unconscientious,0.0,0.75,غیر متنازعہ
fail-safe,0.0,0.75,ناکام-محفوظ
junior,0.0,0.75,جونیئر
frivolous,0.0,0.75,غیر سنجیدہ
broken-down,0.0,0.875,ٹوٹ
nonresident,0.0,0.75,غیر متعلقہ
nonnomadic,0.0,0.75,غیر معمولی
unformed,0.0,0.75,بے خبر
FALSE,0.125,0.75,غلط
feigned,0.125,0.875,femented
unsized,0.0,0.75,غیر تبدیل شدہ
unsorted,0.0,0.75,غیر ترتیب شدہ
unshuttered,0.0,0.75,غیرجانبدار
unsociable,0.0,0.75,ناقابل تردید
ungregarious,0.0,0.75,ناشکری
unsold,0.0,0.75,بیچا ہوا
nonstandard,0.125,0.75,غیر معیاری
nonstandard,0.125,0.875,غیر معیاری
nonnormative,0.0,0.75,nonnormative
nonstandard,0.0,0.75,غیر معیاری
unstressed,0.0,0.75,بے چین
low-grade,0.222,0.778,کم گریڈ
unimpressionable,0.0,0.75,بے اثر
soured,0.0,0.75,سوار
unsuspected,0.125,0.75,بلا شبہ
unswept,0.0,0.75,بدلا ہوا
unsympathetic,0.0,0.875,بے حس
temperate,0.125,0.75,تپش آمیز
unkempt,0.0,0.75,unkept
ungroomed,0.125,0.75,غیر منظم
intolerant,0.125,0.75,ناقابل برداشت
intestate,0.0,0.75,آنت
tough,0.0,0.75,مشکل
unmalleable,0.0,0.75,ناقابل سماعت
FALSE,0.0,0.75,غلط
undivided,0.0,0.875,غیر منقسم
dystopian,0.0,0.75,dystopian
FALSE,0.0,0.75,غلط
manky,0.3,0.7,پاگل
occult,0.0,0.875,جادو
consumptive,0.0,0.75,کھپت
dyspeptic,0.0,0.75,dyspeptic
palsied,0.0,0.75,فالج کا شکار
scrofulous,0.0,0.875,گستاخ
unwholesome,0.125,0.75,غیر مہذب
benign,0.0,0.75,سومی
immunodeficient,0.0,0.75,مدافعتی
anasarcous,0.0,0.75,anasarcous
immunocompromised,0.0,0.75,immunocompromised
aversive,0.125,0.75,نفرت انگیز
nonenzymatic,0.0,0.75,nonenzymatic
tetanic,0.0,0.75,ٹیٹینک
tetanic,0.0,0.75,ٹیٹینک
unposed,0.0,0.75,بلا مقابلہ
conquest,0.0,0.75,فتح
hyperemesis,0.0,0.75,hyperemesis
bronchospasm,0.0,0.75,برونکاساسزم
palliation,0.0,0.75,افراتفری
overexertion,0.0,0.875,زیادہ سے زیادہ
abduction,0.0,1.0,اغوا
scatophagy,0.0,0.75,اسکاوفجی
underproduction,0.0,0.75,کم پیداوار
armageddon,0.0,0.75,آرماجیڈن
misdeal,0.0,0.75,بدتمیزی
rotavirus,0.0,0.75,روٹا وائرس
rockweed,0.0,0.75,راکویڈ
kitsch,0.125,0.75,کٹس
lenitive,0.0,0.875,نرم
stinker,0.0,0.75,خوشبو آتی ہے
disagreeableness,0.0,0.875,متفق نہیں ہونا
levity,0.125,0.875,لیویٹی
unapproachability,0.125,0.75,ناقابل معافی
unfriendliness,0.0,0.875,دوستی
uncongeniality,0.25,0.75,uncongeniality
unneighborliness,0.0,0.875,ہم آہنگی
unpleasingness,0.125,0.75,ناخوشی
shiftiness,0.125,0.75,شفٹ پن
granite,0.0,0.75,گرینائٹ
disagreeableness,0.125,0.875,متفق نہیں ہونا
beastliness,0.0,0.75,درندگی
unnaturalness,0.0,0.875,غیر فطری
inadmissibility,0.125,0.75,ناقابل قبولیت
usualness,0.125,0.75,معمول
nonconformity,0.0,0.75,عدم مطابقت
illegitimacy,0.0,0.875,ناجائز
illicitness,0.0,0.75,غیر قانونی
elusiveness,0.125,0.75,مبہوت
wrongness,0.125,0.75,غلطی
incorruptibility,0.25,0.75,غیر منقولیت
lightheadedness,0.0,0.75,ہلکی سرخی
indelicacy,0.125,0.75,بے حسی
staleness,0.0,0.75,باسی
hardness,0.0,0.875,سختی
vulnerability,0.0,0.875,کمزوری
tardiness,0.125,0.75,تنگی
inessentiality,0.125,0.75,غیرضروری
defensibility,0.25,0.75,دفاعی
snootiness,0.125,0.75,سناٹا پن
cholecystokinin,0.0,0.75,cholecystokinin
feeblemindedness,0.0,0.75,کمزوری
insensibility,0.0,0.75,بے حسی
hydra,0.0,0.75,ہائیڈرا
pisser,0.0,0.75,پیشاب
pruritus,0.0,0.75,pruritus
pill,0.0,0.875,گولی
kink,0.0,0.75,کنک
casuistry,0.0,0.75,کیسوسٹری
reprobation,0.0,0.75,reprobation
unfairness,0.125,0.75,ناانصافی
stricture,0.0,0.75,سختی
canard,0.0,0.875,بطخ
excoriation,0.0,0.875,کشمکش
accident,0.0,0.75,حادثہ
resolution,0.0,0.75,قرارداد
fire,0.0,0.75,آگ
wistfulness,0.0,0.75,wistfulness
mysophilia,0.0,0.75,مائیسفیلیا
creepy-crawlies,0.125,0.75,عجیب و غریب
unconcern,0.0,0.75,بے فکر
conscience,0.125,0.75,شعور
levity,0.125,0.875,لیویٹی
sensibility,0.25,0.75,حساسیت
dolefulness,0.0,0.875,dolefulness
heavyheartedness,0.125,0.75,بھاری پن
self-pity,0.125,0.75,خود ترسی
dysphoria,0.0,0.75,ڈیسفوریا
moodiness,0.125,0.875,مزاج
plonk,0.0,0.875,plonk
gridlock,0.0,0.75,گرڈلاک
aphasic,0.0,0.75,بے چین
asthmatic,0.0,0.75,دمہ
choker,0.0,0.75,چوکر
hobbledehoy,0.0,0.875,hobbledehoy
jerry-builder,0.0,0.75,جیری بلڈر
motormouth,0.0,1.0,موٹر منہ
patzer,0.0,0.875,غلطی
seducer,0.0,0.75,بہکانا
third-rater,0.0,0.75,تیسرا ریسٹر
torturer,0.0,0.75,اذیت
yenta,0.0,0.75,ینٹا
accumulation,0.0,0.75,جمع
earthquake,0.0,0.875,زلزلہ
insomnia,0.0,0.75,نیند نہ آنا
anoxia,0.0,0.75,anoxia
dysphagia,0.125,0.75,dysphagia
dysuria,0.0,0.875,ڈیسوریا
dystrophy,0.0,0.75,dystrophy
invalidism,0.0,0.875,ناجائز
amyloidosis,0.0,0.75,امیلائڈوسس
neurasthenia,0.0,0.75,نیورسٹینیا
gingivitis,0.0,0.75,gingivitis
glomerulonephritis,0.0,0.75,glomerulonephritis
hypothyroidism,0.0,0.75,ہائپوٹائیڈائیرزم
diphtheria,0.0,0.75,ڈپتھیریا
pneumonia,0.0,0.75,نمونیا
abetalipoproteinemia,0.0,0.75,abetalipoproteinemia
hypobetalipoproteinemia,0.0,0.75,hypobetalipoproteinemia
lysinemia,0.0,0.75,لیسینیمیا
thrombasthenia,0.0,0.75,تھرومبیسٹینیا
tyrosinemia,0.125,0.75,ٹائروسینیمیا
angina,0.0,0.75,انجائنا
blain,0.0,0.875,بلین
cystitis,0.0,0.75,سیسٹائٹس
malnutrition,0.0,0.75,غذائیت
kwashiorkor,0.0,0.75,kwashiorkor
myopathy,0.125,0.75,میوپیتھی
erythema,0.0,0.75,erythema کے
livedo,0.0,0.75,livedo
granuloma,0.0,0.75,گرینولووما
arteritis,0.0,0.75,دمنی کی سوزش
blepharitis,0.0,0.875,بلیفیرائٹس
sprain,0.0,0.75,موچ
bubo,0.0,0.875,ببو
throe,0.0,0.875,throe
dysmenorrhea,0.0,0.75,dysmenorrhea کے
odynophagia,0.125,0.75,اوڈنوفجیہ
ulalgia,0.0,0.75,ulpgia
cholangitis,0.0,0.75,کولنگائٹس
cholecystitis,0.0,0.75,cholecystitis
diverticulitis,0.0,0.875,ڈائیورٹیکولائٹس
endarteritis,0.0,0.75,endarteritis
epididymitis,0.0,0.75,epididymitis
gastritis,0.0,0.75,گیسٹرائٹس
keratitis,0.0,0.75,کیراٹائٹس
oophoritis,0.0,0.75,oophoritis
orchitis,0.0,0.875,orchitis
pancreatitis,0.0,0.75,لبلبے کی سوزش
prostatitis,0.0,0.875,پروسٹیٹائٹس
spondylitis,0.0,0.75,spondylitis
ulitis,0.0,0.75,الٹائٹس
ureteritis,0.0,0.75,ureteritis
vesiculitis,0.0,0.75,ویسولائٹس
automysophobia,0.0,0.75,آٹومائسوفوبیا
encopresis,0.0,0.75,encopresis
melancholia,0.125,0.75,melancholia
throe,0.0,0.875,throe
cleanness,0.125,0.75,صفائی
porphyria,0.125,0.75,پورفیریا
ergotism,0.0,0.75,ergotism
astasia,0.125,0.75,آسٹاسیا
sequela,0.0,0.75,شاگردی
analgesia,0.0,0.75,ینالجیسیا
urethritis,0.0,0.75,پیشاب کی بیماری
oligospermia,0.0,0.75,اولیگوسپرمیا
tenesmus,0.0,0.75,ٹیسسمس
gum-lac,0.0,0.75,گم
negatively,0.0,0.75,منفی طور پر
indirectly,0.0,0.75,بالواسطہ
have,0.0,0.75,ہے
obstipate,0.0,0.75,obstipate
bloat,0.0,0.75,پھولنا
putrefy,0.0,0.75,putrefy
curdle,0.0,0.875,curdle
cleanse,0.0,0.75,صاف کرو
whoop,0.25,0.75,وہپ
speculate,0.0,0.75,قیاس آرائی کرنا
out-herod,0.0,0.875,باہر ہیروڈ
invade,0.0,0.75,حملہ
lacerate,0.125,0.75,لیسریٹ
tribulate,0.0,0.75,خراج تحسین پیش کرنا
abreact,0.0,0.875,خرابی
humbug,0.0,0.875,humbug
moot,0.0,-0.9,موٹ
stingingly,0.0,-0.9,بخل سے
ire,0.0,-0.9,آئر
unlawful,0.0,-0.9,غیر قانونی
overstates,0.0,-0.9,حد سے زیادہ
sloow,0.0,-0.9,سلو
pervasive,0.0,-0.9,پھیلانے والا
tangles,0.0,-0.9,الجھ
distressingly,0.0,-0.9,تکلیف سے
outrageousness,0.0,-0.9,اشتعال انگیزی
prejudices,0.0,-0.9,تعصبات
retaliatory,0.0,-0.9,انتقامی کارروائی
insufficient,0.0,-0.9,ناکافی
grudging,0.0,-0.9,سختی
unfeeling,0.0,-0.9,بے جان
desert,0.0,-0.9,صحرا
damnation,0.0,-0.9,ذلت
despairingly,0.0,-0.9,مایوسی سے
frightening,0.0,-0.9,خوفناک
unethical,0.0,-0.9,غیر اخلاقی
dent,0.0,-0.9,ڈینٹ
bores,0.0,-0.9,بور
unexpected,0.0,-0.9,غیر متوقع
contemptible,0.0,-0.9,حقیر
drab,0.0,-0.9,مارنا
adulterate,0.0,-0.9,ملاوٹ
martyrdom-seeking,0.0,-0.9,شہادت طلب
spade,0.0,-0.9,بیلچہ
downside,0.0,-0.9,منفی پہلو
prohibitively,0.0,-0.9,ممنوع
unwell,0.0,-0.9,بیمار
vicious,0.0,-0.9,شیطانی
unsupportive,0.0,-0.9,غیر مددگار
frigid,0.0,-0.9,فریگڈ
brainless,0.0,-0.9,بے عقل
obnoxiously,0.0,-0.9,ناجائز طور پر
bullshit,0.0,-0.9,بدمعاش
bedlamite,0.0,-0.9,بیڈ لیمائٹ
painful,0.0,-0.9,تکلیف دہ
illness,0.0,-0.9,بیماری
bombard,0.0,-0.9,بمبار
sneakily,0.0,-0.9,چپکے سے
hustler,0.0,-0.9,ہسلر
fallacy,0.0,-0.9,غلطی
spoils,0.0,-0.9,خرابی
twist,0.0,-0.9,موڑ
misunderstood,0.0,-0.9,غلط فہمی
sluts,0.0,-0.9,sluts کے
ghastly,0.0,-0.9,سختی سے
destitution,0.0,-0.9,بدحالی
imminently,0.0,-0.9,نزاکت سے
mope,0.0,-0.9,موپ
complication,0.0,-0.9,پیچیدگی
heathen,0.0,-0.9,غیر قوموں
rip,0.0,-0.9,چیر
scandal,0.0,-0.9,اسکینڈل
anguish,0.0,-0.9,تکلیف
fruitless,0.0,-0.9,بے نتیجہ
cash-strapped,0.0,-0.9,نقد پٹی
sarcastically,0.0,-0.9,طنز سے
steal,0.0,-0.9,چوری
admonition,0.0,-0.9,نصیحت
ill-fated,0.0,-0.9,بدصورت
longing,0.0,-0.9,آرزو
dreadfully,0.0,-0.9,خوفناک
mournful,0.0,-0.9,سوگوار
weakening,0.0,-0.9,کمزور ہونا
stew,0.0,-0.9,سٹو
amiss,0.0,-0.9,غلط
annihilate,0.0,-0.9,فنا کرنا
destructive,0.0,-0.9,تباہ کن
dullard,0.0,-0.9,dullard
itching,0.0,-0.9,خارش زدہ
oblivious,0.0,-0.9,غافل
incessant,0.0,-0.9,مسلسل
idle,0.0,-0.9,بیکار
scratches,0.0,-0.9,خروںچ
shockingly,0.0,-0.9,چونکانے والی
miserly,0.0,-0.9,بدتمیزی سے
bias,0.0,-0.9,تعصب
loose,0.0,-0.9,ڈھیلے
bull----,0.0,-0.9,بیل----
dense,0.0,-0.9,گھنے
austere,0.0,-0.9,سختی
fusty,0.0,-0.9,fusty
ghetto,0.0,-0.9,یہودی بستی
jumpy,0.0,-0.9,کودنا
crushed,0.0,-0.9,پسے ہوئے
destains,0.0,-0.9,تقدیر
assault,0.0,-0.9,حملہ
ferociously,0.0,-0.9,سختی سے
hard,0.0,-0.9,سخت
prate,0.0,-0.9,پیروی
fat-cat,0.0,-0.9,موٹی بلی
exorbitantance,0.0,-0.9,زیادتی
hassles,0.0,-0.9,پریشانیوں
abysmally,0.0,-0.9,غیر معمولی طور پر
demeaning,0.0,-0.9,برتاؤ کرنا
immodest,0.0,-0.9,ناقص
harms,0.0,-0.9,نقصان پہنچا
irresolvable,0.0,-0.9,ناقابل حل
limitations,0.0,-0.9,حدود
dawdle,0.0,-0.9,dawdle
shrouded,0.0,-0.9,کفن ہوا
smuttiest,0.0,-0.9,smuttiest
passe,0.0,-0.9,ماضی
mistake,0.0,-0.9,غلطی
clunky,0.0,-0.9,گھٹیا
abuse,0.0,-0.9,بدسلوکی
sink,0.0,-0.9,ڈوبنا
floundering,0.0,-0.9,بھڑک اٹھنا
harrow,0.0,-0.9,ہیرو
deceiving,0.0,-0.9,دھوکہ دہی
hellion,0.0,-0.9,جہنم
noise,0.0,-0.9,شور
bother,0.0,-0.9,زحمت
perfidious,0.0,-0.9,اچھiousا
opportunistic,0.0,-0.9,موقع پرست
irately,0.0,-0.9,جلدی سے
perturbed,0.0,-0.9,پریشان
belligerence,0.0,-0.9,جنگ
rebuke,0.0,-0.9,ڈانٹ
unbelievably,0.0,-0.9,ناقابل یقین
catastrophically,0.0,-0.9,تباہ کن
cuss,0.0,-0.9,cuss
prohibit,0.0,-0.9,ممنوع
disclaim,0.0,-0.9,دستبرداری
bullyingly,0.0,-0.9,بدمعاشی
enraging,0.0,-0.9,مشتعل
dud,0.0,-0.9,dud
admonish,0.0,-0.9,نصیحت کرنا
bravado,0.0,-0.9,بہادر
disappointed,0.0,-0.9,مایوس
unsure,0.0,-0.9,غیر یقینی
repress,0.0,-0.9,دبانے
impudence,0.0,-0.9,impudence
ruin,0.0,-0.9,بربادی
banal,0.0,-0.9,مقدس
lagging,0.0,-0.9,پیچھے رہنا
discontent,0.0,-0.9,عدم اطمینان
shunned,0.0,-0.9,سے دور
cold,0.0,-0.9,سردی
creak,0.0,-0.9,کریک
untruthful,0.0,-0.9,بے اعتقاد
dehumanize,0.0,-0.9,غیر مہذب کرنا
thug,0.0,-0.9,ٹھگ
worthlessly,0.0,-0.9,بیکار
vagrant,0.0,-0.9,متشدد
accursed,0.0,-0.9,ملعون
bum,0.0,-0.9,جاہل
loathly,0.0,-0.9,نفرت سے
chunky,0.0,-0.9,chunky
sputter,0.0,-0.9,تھوکنا
eviscerate,0.0,-0.9,واضح کرنا
limp,0.0,-0.9,لنگڑا
loneliness,0.0,-0.9,تنہائی
self-interest,0.0,-0.9,مفاد خود
picketed,0.0,-0.9,اٹھایا
squash,0.0,-0.9,امریکی کدو
disorder,0.0,-0.9,خرابی
strange,0.0,-0.9,عجیب
struck,0.0,-0.9,مارا
betrayal,0.0,-0.9,دھوکہ
disturb,0.0,-0.9,پریشان کرنا
unrealistic,0.0,-0.9,غیر حقیقی
antagonist,0.0,-0.9,مخالف
questionable,0.0,-0.9,قابل اعتراض
inactive,0.0,-0.9,غیر فعال
cheapen,0.0,-0.9,سستے
lame,0.0,-0.9,لنگڑا
irregular,0.0,-0.9,بے قاعدہ
corrupting,0.0,-0.9,کرپٹ
heavy-handed,0.0,-0.9,بھاری ہاتھ
pertinaciously,0.0,-0.9,pertinaciously
adverse,0.0,-0.9,منفی
hubris,0.0,-0.9,حبس
refused,0.0,-0.9,انکار کر دیا
ill-conceived,0.0,-0.9,بدحواس
layoff-happy,0.0,-0.9,چھٹی خوش
unnerve,0.0,-0.9,unnerve
overwhelmingly,0.0,-0.9,بہت زیادہ
scorching,0.0,-0.9,جھلسنا
revile,0.0,-0.9,گالی دینا
fissures,0.0,-0.9,مادے
unlamentable,0.0,-0.9,غیرمتعلق
gimmicky,0.0,-0.9,چال چلنا
blameworthy,0.0,-0.9,قصور وار
crabby,0.0,-0.9,کیکڑا
stampede,0.0,-0.9,بھگدڑ
hegemonism,0.0,-0.9,بالادستی
alarmingly,0.0,-0.9,خطرناک طور پر
authoritarian,0.0,-0.9,آمرانہ
reprove,0.0,-0.9,سرزنش
bemused,0.0,-0.9,حیرت زدہ
imposing,0.0,-0.9,مسلط کرنا
fidgety,0.0,-0.9,fidgety
discourteous,0.0,-0.9,ناشائستہ
suffocate,0.0,-0.9,دم گھٹنے
irrationalities,0.0,-0.9,غیر معقولیت
attacks,0.0,-0.9,حملوں
ill-treatment,0.0,-0.9,ناروا سلوک
desititute,0.0,-0.9,مستعار
bent,0.0,-0.9,ہیں
unequal,0.0,-0.9,غیر مساوی
sagging,0.0,-0.9,sagging
nettle,0.0,-0.9,نیٹ ورک
murderously,0.0,-0.9,قاتلانہ انداز میں
severity,0.0,-0.9,شدت
trashed,0.0,-0.9,کوڑے دان
repulsively,0.0,-0.9,رد عمل
chaos,0.0,-0.9,افراتفری
hung,0.0,-0.9,لٹکا دیا
despairing,0.0,-0.9,مایوسی
lifeless,0.0,-0.9,بے جان
nauseatingly,0.0,-0.9,متلی
haggard,0.0,-0.9,ہاگارڈ
inglorious,0.0,-0.9,گستاخ
delirium,0.0,-0.9,دلیری
inaction,0.0,-0.9,غیر عملی
incessantly,0.0,-0.9,لگاتار
misses,0.0,-0.9,یاد آتی ہے
reject,0.0,-0.9,مسترد کریں
dejection,0.0,-0.9,انکار
distrust,0.0,-0.9,عدم اعتماد
bruised,0.0,-0.9,چوٹ
spoil,0.0,-0.9,خراب
fractiously,0.0,-0.9,fractiously کے ساتھ
queer,0.0,-0.9,قطار میں کھڑا ہونا
crowded,0.0,-0.9,ہجوم
fastuous,0.0,-0.9,تیز
torment,0.0,-0.9,عذاب
spewing,0.0,-0.9,ہجے
atrophy,0.0,-0.9,atrophy
inaccuracy,0.0,-0.9,غلطی
viciousness,0.0,-0.9,شیطانیت
