Term,PosScore,NegScore,Punjabi
patchy,0.0,0.75,ਪੈਂਚ
unparallel,0.0,0.875,ਅਨੌਖਾ
unexchangeable,0.25,0.75,ਬਦਲਾਓ ਯੋਗ
nonextant,0.0,0.75,ਕੋਈ ਵੀ ਨਹੀਂ
unexpendable,0.25,0.75,ਬੇਅੰਤ
fingerless,0.0,0.75,ਫਿੰਗਰ ਰਹਿਤ
inextinguishable,0.0,0.875,ਭੋਲੇ ਭਾਲੇ
unfastidious,0.0,0.75,ਬੇਵਫਾਈ
blubbery,0.125,0.75,ਧੱਕਾ
infelicitous,0.0,0.75,ਬੇਈਮਾਨ
unhewn,0.0,0.75,ਅਣਜਾਣ
unsuitable,0.0,0.75,ਅਣਉਚਿਤ
adventive,0.0,0.75,ਸਾਹਸੀ
abject,0.0,1.0,ਅਬਜੈਕਟ
niffy,0.0,0.75,niffy
putrid-smelling,0.3,0.7,ਪੁਟ੍ਰਿਡ-ਗੰਧ
unfree,0.0,0.75,ਅਨਫਰੀ
addled,0.0,0.75,ਜੋੜਿਆ
day-old,0.0,0.875,ਦਿਨ-ਪੁਰਾਣੀ
unfruitful,0.0,0.75,ਫਲ ਰਹਿਤ
sperm-filled,0.0,0.75,ਸ਼ੁਕਰਾਣੂ ਨਾਲ ਭਰੇ
nonfunctional,0.0,0.75,ਗੈਰ-ਕਾਰਜਕਾਰੀ
nonproprietary,0.0,0.75,ਗੈਰ-ਅਧਿਕਾਰਤ
base,0.0,0.875,ਅਧਾਰ
pseudo,0.0,0.75,ਸੂਡੋ
synthetic,0.125,0.875,ਸਿੰਥੈਟਿਕ
no-go,0.0,0.75,ਨਾ ਜਾਓ
ill,0.0,0.875,ਬੀਮਾਰ
swingeing,0.0,0.875,ਸਵਿੰਗਜਿੰਗ
uncool,0.0,0.875,ਕੂਲ
unsuitable,0.222,0.778,ਅਣਉਚਿਤ
evil-minded,0.0,0.75,ਦੁਸ਼ਟ-ਮਨ ਵਾਲਾ
churlish,0.0,0.875,ਚੂਰਲਿਸ਼
churlish,0.25,0.75,ਚੂਰਲਿਸ਼
fulminant,0.0,0.75,ਮੁਕੰਮਲ
appreciative,0.25,0.75,ਕਦਰ ਕਰਨ ਵਾਲਾ
unappreciative,0.0,0.75,ਨਾਸੂਰਤ
ill,0.0,0.75,ਬੀਮਾਰ
bloodshot,0.0,0.75,ਖੂਨ
caseous,0.0,0.75,ਕੇਸਸ
inflamed,0.0,0.875,ਭੜਕਿਆ
sore-eyed,0.0,0.75,ਦੁਖਦਾਈ
varicose,0.0,0.875,ਵੈਰਕੋਜ਼
light-duty,0.0,0.75,ਲਾਈਟ ਡਿ dutyਟੀ
low-level,0.0,0.75,ਨੀਵੇਂ ਪੱਧਰ ਦਾ
nonimitative,0.0,0.75,ਨਾਜਾਇਜ਼
yellow,0.0,0.75,ਪੀਲਾ
insoluble,0.0,0.75,ਘੁਲਣਸ਼ੀਲ
torrid,0.0,0.75,ਟੌਰਰੀਡ
stygian,0.0,0.75,ਸਟਾਈਲ
undesigned,0.0,0.75,ਨਿਰਧਾਰਤ
unsmoothed,0.0,0.75,ਬੇਕਾਬੂ
anisotropic,0.0,0.75,ਐਨੀਸੋਟ੍ਰੋਪਿਕ
bittersweet,0.0,0.75,ਕੁੱਕੜ
joyless,0.125,0.75,ਅਨੰਦ
unsmiling,0.0,0.75,ਬੇਮਿਸਾਲ
watertight,0.0,0.75,ਵਾਟਰਟਾਈਗਟ
unlisted,0.0,0.75,ਸੂਚੀਬੱਧ
unextended,0.0,0.75,ਬੇਮਿਸਾਲ
stray,0.0,0.75,ਭਟਕਣਾ
straying,0.0,0.75,ਭਟਕਣਾ
apotropaic,0.0,0.75,apotropaic
unbranded,0.0,0.75,ਅਨਬੰਬਰੇਡ
unfeminine,0.25,0.75,ਅਣਪਛਾਤਾ
unconcerned,0.0,0.75,ਬੇਚੈਨ
unsoldierly,0.0,0.75,ਨਿਰਵਿਘਨ
immobile,0.0,0.75,ਗਤੀਹੀਣ
unmodified,0.0,0.75,ਅਣ-ਸੋਧਿਆ
unadapted,0.0,0.75,ਅਨਡੈਪਟਡ
univalent,0.0,0.75,ਅਣਵਿਆਹੇ
factitious,0.0,0.75,ਤੱਥਵਾਦੀ
supernatural,0.0,0.75,ਅਲੌਕਿਕ
grotty,0.0,0.875,ਘਮੰਡੀ
subnormal,0.0,0.75,ਸਧਾਰਣ
paranormal,0.0,0.875,ਅਲੌਕਿਕ
innocuous,0.0,0.75,ਨਿਰਦੋਸ਼
unoccupied,0.0,0.75,ਬੇਕਾਬੂ
scrimy,0.0,1.0,ਸਕ੍ਰਿਮੀ
verminous,0.0,0.875,ਕੀੜੇਦਾਰ
odoriferous,0.222,0.778,ਗੰਧਕ
unofficial,0.0,0.75,ਗੈਰ ਸਰਕਾਰੀ
unestablished,0.0,0.75,ਅਣਚਾਹੇ
off-street,0.0,0.75,ਬੰਦ-ਗਲੀ
off-line,0.0,0.75,ਬੰਦ-ਲਾਈਨ
off,0.0,0.75,ਬੰਦ
inconvenient,0.0,0.75,ਅਸੁਵਿਧਾਜਨਕ
unopposed,0.0,0.75,ਬਿਨਾਂ ਮੁਕਾਬਲਾ
unmethodical,0.0,0.75,ਗੈਰ ਸਿਧਾਂਤਕ
artificial,0.0,0.75,ਨਕਲੀ
stunning,0.0,0.75,ਹੈਰਾਨਕੁਨ
underivative,0.0,0.875,ਅੰਡਰਵੇਟਿਵ
unoriginal,0.0,0.75,unoriginal
slavish,0.0,0.75,ਗੁਲਾਮੀ
painless,0.0,0.75,ਦਰਦ ਰਹਿਤ
unpainted,0.0,0.875,ਬਿਨਾ ਰੰਗੇ
unoiled,0.0,0.75,ਅਨਲੌਇਡ
unpaintable,0.0,0.75,ਬੇਲੋੜੀ
unpalatable,0.125,0.75,ਬੇਵਜ੍ਹਾ
unforbearing,0.0,0.875,ਬੇਰਹਿਮ
unpaved,0.0,0.75,ਕੱਚਾ
unpeaceful,0.0,0.75,ਅਸਪਸ਼ਟ
unpeaceable,0.0,0.875,ਨਾ-ਪਹੁੰਚਣਯੋਗ
inadmissible,0.0,0.75,ਅਣਜਾਣ
unpermissive,0.125,0.75,ਨਿਰਵਿਘਨ
unperplexed,0.0,0.75,ਬੇਲੋੜਾ
impenetrable,0.0,0.75,ਅਭਿੱਤ
rot-resistant,0.0,0.75,ਸੜਨ-ਰੋਧਕ
nonpsychoactive,0.0,0.75,ਨਾਨਸਾਈਕੋਐਕਟਿਵ
off-putting,0.0,0.75,ਬੰਦ ਪਾ
raw,0.0,0.75,ਕੱਚਾ
imponderable,0.0,0.875,ਅਭੇਦ
neutral,0.125,0.75,ਨਿਰਪੱਖ
out,0.0,0.875,ਬਾਹਰ
unfunctional,0.0,0.75,ਅਣਉਚਿਤ
cretinous,0.0,0.875,cretinous
secondary,0.0,0.75,ਸੈਕੰਡਰੀ
nonpublic,0.0,0.75,ਗੈਰ-ਗਣਤੰਤਰ
lay,0.0,0.75,ਰੱਖਣ
lean,0.125,0.75,ਚਰਬੀ
unremunerative,0.0,0.75,ਬੇਕਾਰ
out-of-the-way,0.0,0.75,ਬਾਹਰ ਦਾ ਰਾਹ
unimpeachable,0.0,0.75,ਬੇਮਿਸਾਲ
unquiet,0.0,0.75,ਬੇਚੈਨ
flat-footed,0.0,0.75,ਫਲੈਟ ਪੈਰ
unprocessed,0.0,0.75,ਕਾਰਵਾਈ ਨਾ
untreated,0.0,0.75,ਇਲਾਜ ਨਾ ਕੀਤਾ
raw,0.0,0.75,ਕੱਚਾ
untreated,0.0,0.875,ਇਲਾਜ ਨਾ ਕੀਤਾ
assimilative,0.0,0.75,ਸਮਕਾਲੀ
unexpansive,0.0,0.75,ਨਿਰਵਿਘਨ
moneyless,0.0,0.75,ਪੈਸਾ ਰਹਿਤ
out,0.0,0.75,ਬਾਹਰ
manic-depressive,0.0,0.75,ਪਾਗਲ
psychotic,0.0,0.75,ਮਨੋਵਿਗਿਆਨਕ
saturnine,0.125,0.75,ਸੈਟਰਨਾਈਨ
unconscientious,0.0,0.75,ਗੈਰ-ਕਾਨੂੰਨੀ
fail-safe,0.0,0.75,ਅਸਫਲ-ਸੁਰੱਖਿਅਤ
junior,0.0,0.75,ਜੂਨੀਅਰ
frivolous,0.0,0.75,ਵਿਅਰਥ
broken-down,0.0,0.875,ਟੁੱਟਿਆ - ਭੱਜਿਆ
nonresident,0.0,0.75,ਨਿਰਦੇਸ਼ੀ
nonnomadic,0.0,0.75,ਨਿਰਦੋਸ਼
unformed,0.0,0.75,ਅਣਜਾਣ
FALSE,0.125,0.75,ਗਲਤ
feigned,0.125,0.875,ਬੁਲਾਇਆ
unsized,0.0,0.75,ਬੇਕਾਰ
unsorted,0.0,0.75,ਬੇਰੋਕ
unshuttered,0.0,0.75,ਨਿਰਵਿਘਨ
unsociable,0.0,0.75,ਅਸਹਿਯੋਗ
ungregarious,0.0,0.75,ungregarious
unsold,0.0,0.75,ਵੇਚਿਆ
nonstandard,0.125,0.75,ਗੈਰ ਕਾਨੂੰਨੀ
nonstandard,0.125,0.875,ਗੈਰ ਕਾਨੂੰਨੀ
nonnormative,0.0,0.75,ਗੈਰ-ਵਿਗਿਆਨਕ
nonstandard,0.0,0.75,ਗੈਰ ਕਾਨੂੰਨੀ
unstressed,0.0,0.75,ਤਣਾਅ ਰਹਿਤ
low-grade,0.222,0.778,ਘੱਟ-ਗਰੇਡ
unimpressionable,0.0,0.75,ਬੇਮਿਸਾਲ
soured,0.0,0.75,ਸੂਰੀ
unsuspected,0.125,0.75,ਬਿਨਾਂ ਸ਼ੱਕ
unswept,0.0,0.75,ਰੋਕਿਆ
unsympathetic,0.0,0.875,ਬੇਰਹਿਮ
temperate,0.125,0.75,ਸੁਸ਼ੀਲ
unkempt,0.0,0.75,ਬੇਲੋੜਾ
ungroomed,0.125,0.75,ਨਿਰਮਲ
intolerant,0.125,0.75,ਅਸਹਿਣਸ਼ੀਲ
intestate,0.0,0.75,ਅੰਤੜੀ
tough,0.0,0.75,ਸਖ਼ਤ
unmalleable,0.0,0.75,ਬੇਅੰਤ
FALSE,0.0,0.75,ਗਲਤ
undivided,0.0,0.875,ਅਣਵੰਡੇ
dystopian,0.0,0.75,dystopian
FALSE,0.0,0.75,ਗਲਤ
manky,0.3,0.7,ਮਨਕੀ
occult,0.0,0.875,ਜਾਦੂਗਰੀ
consumptive,0.0,0.75,ਖਪਤ
dyspeptic,0.0,0.75,ਨਪੁੰਸਕ
palsied,0.0,0.75,ਲਕਵਾਇਆ
scrofulous,0.0,0.875,ਮੂਰਖ
unwholesome,0.125,0.75,ਅਸ਼ੁੱਧ
benign,0.0,0.75,ਸੋਹਣੀ
immunodeficient,0.0,0.75,ਇਮਯੂਨੋਡਫੀਸ਼ੀਅਨ
anasarcous,0.0,0.75,ਅਨਾਸਾਰ
immunocompromised,0.0,0.75,ਇਮਿocਨਕੋਮਪ੍ਰੋਮਾਈਜ਼ਡ
aversive,0.125,0.75,ਘ੍ਰਿਣਾਯੋਗ
nonenzymatic,0.0,0.75,nonenzymatic
tetanic,0.0,0.75,ਟੈਟੈਨਿਕ
tetanic,0.0,0.75,ਟੈਟੈਨਿਕ
unposed,0.0,0.75,ਬਿਨਾਂ ਮੁਕਾਬਲਾ
conquest,0.0,0.75,ਜਿੱਤ
hyperemesis,0.0,0.75,hyperemesis
bronchospasm,0.0,0.75,ਬ੍ਰੌਨਕੋਸਪੈਸਮ
palliation,0.0,0.75,ਮਹਾਂਮਾਰੀ
overexertion,0.0,0.875,ਵੱਧ
abduction,0.0,1.0,ਅਗਵਾ
scatophagy,0.0,0.75,ਸਕੈਫੋਜੀ
underproduction,0.0,0.75,ਘੱਟ ਉਤਪਾਦਨ
armageddon,0.0,0.75,ਆਰਮਾਗੇਡਨ
misdeal,0.0,0.75,ਕੁਕਰਮ
rotavirus,0.0,0.75,ਰੋਟਾਵਾਇਰਸ
rockweed,0.0,0.75,ਚਟਾਨ
kitsch,0.125,0.75,ਕਿੱਟਸ
lenitive,0.0,0.875,ਨਿਸਚਿੰਤ
stinker,0.0,0.75,ਮਹਿਕ
disagreeableness,0.0,0.875,ਅਸਹਿਮਤੀ
levity,0.125,0.875,ਲੇਵਟੀ
unapproachability,0.125,0.75,ਅਪ੍ਰਾਪਤੀ
unfriendliness,0.0,0.875,ਮਿੱਤਰਤਾ
uncongeniality,0.25,0.75,ਬੇਕਾਬੂ
unneighborliness,0.0,0.875,ਅਸਹਿਜਤਾ
unpleasingness,0.125,0.75,ਨਾਰਾਜ਼ਗੀ
shiftiness,0.125,0.75,ਬਦਲਾਵ
granite,0.0,0.75,ਗ੍ਰੇਨਾਈਟ
disagreeableness,0.125,0.875,ਅਸਹਿਮਤੀ
beastliness,0.0,0.75,ਜਾਨਵਰ
unnaturalness,0.0,0.875,ਕੁਦਰਤੀ
inadmissibility,0.125,0.75,ਅਯੋਗਤਾ
usualness,0.125,0.75,ਸਧਾਰਣਤਾ
nonconformity,0.0,0.75,ਗੈਰ-ਅਨੁਕੂਲਤਾ
illegitimacy,0.0,0.875,ਨਾਜਾਇਜ਼ਤਾ
illicitness,0.0,0.75,ਨਾਜਾਇਜ਼
elusiveness,0.125,0.75,ਭੁਲੇਖਾ
wrongness,0.125,0.75,ਬੁਰਾਈ
incorruptibility,0.25,0.75,ਅਵਿਸ਼ਵਾਸ
lightheadedness,0.0,0.75,ਚਾਨਣ
indelicacy,0.125,0.75,ਬੇਦਖਲੀ
staleness,0.0,0.75,staleness
hardness,0.0,0.875,ਕਠੋਰਤਾ
vulnerability,0.0,0.875,ਕਮਜ਼ੋਰੀ
tardiness,0.125,0.75,ਅਸ਼ੁੱਧਤਾ
inessentiality,0.125,0.75,ਅਯੋਗਤਾ
defensibility,0.25,0.75,ਸੁਰੱਖਿਆ
snootiness,0.125,0.75,ਸਨੋਟਨੀ
cholecystokinin,0.0,0.75,Cholecystokinin
feeblemindedness,0.0,0.75,ਕਮਜ਼ੋਰੀ
insensibility,0.0,0.75,ਅਸੰਵੇਦਨਸ਼ੀਲਤਾ
hydra,0.0,0.75,ਹਾਈਡ੍ਰਾ
pisser,0.0,0.75,ਪਿਸ਼ਾਬ
pruritus,0.0,0.75,pruritus
pill,0.0,0.875,ਗੋਲੀ
kink,0.0,0.75,ਕਿੱਕ
casuistry,0.0,0.75,ਕੈਸਿਸਟਰੀ
reprobation,0.0,0.75,ਪ੍ਰਤਿਕ੍ਰਿਆ
unfairness,0.125,0.75,ਬੇਇਨਸਾਫੀ
stricture,0.0,0.75,ਸਖਤ
canard,0.0,0.875,ਬਤਖ਼
excoriation,0.0,0.875,ਉਤਸੁਕਤਾ
accident,0.0,0.75,ਹਾਦਸਾ
resolution,0.0,0.75,ਰੈਜ਼ੋਲੇਸ਼ਨ
fire,0.0,0.75,ਅੱਗ
wistfulness,0.0,0.75,wistfulness
mysophilia,0.0,0.75,ਮਾਈਸੋਫਿਲਿਆ
creepy-crawlies,0.125,0.75,ਡਰਾਉਣਾ-ਕਰਲੀ
unconcern,0.0,0.75,ਬੇਚੈਨ
conscience,0.125,0.75,ਚੇਤਨਾ
levity,0.125,0.875,ਲੇਵਟੀ
sensibility,0.25,0.75,ਸੰਵੇਦਨਸ਼ੀਲਤਾ
dolefulness,0.0,0.875,ਖਿਲਵਾੜ
heavyheartedness,0.125,0.75,ਭਾਰੀ ਦਿਲ
self-pity,0.125,0.75,ਸਵੈ ਤਰਸ
dysphoria,0.0,0.75,ਡਿਸਫੋਰਿਆ
moodiness,0.125,0.875,ਮਨੋਦਸ਼ਾ
plonk,0.0,0.875,ਪੁੰਨ
gridlock,0.0,0.75,ਗਰਿੱਡਲਾਕ
aphasic,0.0,0.75,ਭਿਆਨਕ
asthmatic,0.0,0.75,ਦਮਾ
choker,0.0,0.75,ਚੋਕਰ
hobbledehoy,0.0,0.875,hobbledehoy
jerry-builder,0.0,0.75,ਜੈਰੀ-ਬਿਲਡਰ
motormouth,0.0,1.0,ਮੋਟਰ ਮੂੰਹ
patzer,0.0,0.875,ਭੁੱਲ
seducer,0.0,0.75,ਭਰਮਾਉਣ ਵਾਲਾ
third-rater,0.0,0.75,ਤੀਜਾ ਰਾਟਰ
torturer,0.0,0.75,ਤਸੀਹੇ
yenta,0.0,0.75,yenta
accumulation,0.0,0.75,ਇਕੱਠਾ ਕਰਨਾ
earthquake,0.0,0.875,ਭੁਚਾਲ
insomnia,0.0,0.75,ਇਨਸੌਮਨੀਆ
anoxia,0.0,0.75,anoxia
dysphagia,0.125,0.75,dysphagia
dysuria,0.0,0.875,ਡੈਸੂਰੀਆ
dystrophy,0.0,0.75,dystrophy
invalidism,0.0,0.875,ਅਵੈਧਵਾਦ
amyloidosis,0.0,0.75,ਐਮੀਲੋਇਡਿਸ
neurasthenia,0.0,0.75,neurasthenia
gingivitis,0.0,0.75,gingivitis
glomerulonephritis,0.0,0.75,ਗਲੋਮੇਰੂਲੋਨਫ੍ਰਾਈਟਿਸ
hypothyroidism,0.0,0.75,ਹਾਈਪੋਥਾਈਰੋਡਿਜਮ
diphtheria,0.0,0.75,ਡਿਫਥੀਰੀਆ
pneumonia,0.0,0.75,ਨਿਮੋਨੀਆ
abetalipoproteinemia,0.0,0.75,ਐਬੀਟੈਲੀਪੋਪ੍ਰੋਟੀਨੇਮੀਆ
hypobetalipoproteinemia,0.0,0.75,hypobetalipoproteinemia
lysinemia,0.0,0.75,ਲਾਇਸਾਈਨਮੀਆ
thrombasthenia,0.0,0.75,ਥ੍ਰੋਮੋਬੈਥੇਨੀਆ
tyrosinemia,0.125,0.75,ਟਾਈਰੋਸਾਈਨਮੀਆ
angina,0.0,0.75,ਐਨਜਾਈਨਾ
blain,0.0,0.875,ਕਲੇਸ਼
cystitis,0.0,0.75,cystitis
malnutrition,0.0,0.75,ਕੁਪੋਸ਼ਣ
kwashiorkor,0.0,0.75,kwashiorkor
myopathy,0.125,0.75,ਮਾਇਓਪੈਥੀ
erythema,0.0,0.75,erythema
livedo,0.0,0.75,livedo
granuloma,0.0,0.75,ਗ੍ਰੈਨੂਲੋਮਾ
arteritis,0.0,0.75,ਗਠੀਏ
blepharitis,0.0,0.875,ਬਲੈਫੈਰਾਈਟਿਸ
sprain,0.0,0.75,ਮੋਚ
bubo,0.0,0.875,ਬਿਬੋ
throe,0.0,0.875,ਥਰੋ
dysmenorrhea,0.0,0.75,ਨਪੁੰਸਕਤਾ
odynophagia,0.125,0.75,odynophagia
ulalgia,0.0,0.75,ulalgia
cholangitis,0.0,0.75,ਕੋਲੇਨਜਾਈਟਿਸ
cholecystitis,0.0,0.75,cholecystitis
diverticulitis,0.0,0.875,ਡਾਇਵਰਟਿਕੁਲਾਈਟਸ
endarteritis,0.0,0.75,ਐਂਡਰੇਟਰਾਈਟਸ
epididymitis,0.0,0.75,ਐਪੀਡਿਡਾਈਮਿਟਿਸ
gastritis,0.0,0.75,ਗੈਸਟਰਾਈਟਸ
keratitis,0.0,0.75,ਕੇਰਾਈਟਿਸ
oophoritis,0.0,0.75,ਓਫੋਰਾਇਟਿਸ
orchitis,0.0,0.875,ਓਰਕਿਟਿਸ
pancreatitis,0.0,0.75,ਪਾਚਕ
prostatitis,0.0,0.875,ਪ੍ਰੋਸਟੇਟਾਈਟਸ
spondylitis,0.0,0.75,ਸਪੋਂਡਲਾਈਟਿਸ
ulitis,0.0,0.75,ਉਲਟੀ
ureteritis,0.0,0.75,ਗਰੱਭਾਸ਼ਯ
vesiculitis,0.0,0.75,ਨਾੜੀ
automysophobia,0.0,0.75,ਆਟੋਮੈਸੋਫੋਬੀਆ
encopresis,0.0,0.75,ਐਨਕੋਪਰੇਸਿਸ
melancholia,0.125,0.75,melancholia
throe,0.0,0.875,ਥਰੋ
cleanness,0.125,0.75,ਸਫਾਈ
porphyria,0.125,0.75,ਪੋਰਫੀਰੀਆ
ergotism,0.0,0.75,ਅਰੋਗੋਟਿਜ਼ਮ
astasia,0.125,0.75,ਐਸਟੈਸਿਆ
sequela,0.0,0.75,ਚੇਲਾਪਨ
analgesia,0.0,0.75,analgesia
urethritis,0.0,0.75,ਗਠੀਏ
oligospermia,0.0,0.75,ਓਲੀਗੋਸਪਰਮਿਆ
tenesmus,0.0,0.75,ਟੇਨਸਮਸ
gum-lac,0.0,0.75,ਗਮ-ਲੱਖ
negatively,0.0,0.75,ਨਕਾਰਾਤਮਕ
indirectly,0.0,0.75,ਅਸਿੱਧੇ ਤੌਰ ਤੇ
have,0.0,0.75,ਹੈ
obstipate,0.0,0.75,obstipate
bloat,0.0,0.75,ਫੁੱਲ
putrefy,0.0,0.75,putrefy
curdle,0.0,0.875,ਕਰ੍ਡਲ
cleanse,0.0,0.75,ਸਾਫ ਕਰੋ
whoop,0.25,0.75,ਹਫ
speculate,0.0,0.75,ਕਿਆਸ ਲਗਾਉਣਾ
out-herod,0.0,0.875,ਬਾਹਰ ਹੇਰੋਦੇਸ
invade,0.0,0.75,ਹਮਲਾ
lacerate,0.125,0.75,ਕਿਨਾਰੀ
tribulate,0.0,0.75,ਦੁਖੀ
abreact,0.0,0.875,ਗਰਭਪਾਤ
humbug,0.0,0.875,humbug
moot,0.0,-0.9,ਚਟਾਨ
stingingly,0.0,-0.9,stingingly
ire,0.0,-0.9,ਆਇਰ
unlawful,0.0,-0.9,ਗੈਰਕਾਨੂੰਨੀ
overstates,0.0,-0.9,ਬਹੁਤ ਜ਼ਿਆਦਾ
sloow,0.0,-0.9,ਸਲੋ
pervasive,0.0,-0.9,ਵਿਆਪਕ
tangles,0.0,-0.9,ਉਲਝਣ
distressingly,0.0,-0.9,ਦੁਖੀ
outrageousness,0.0,-0.9,ਗੁੰਡਾਗਰਦੀ
prejudices,0.0,-0.9,ਪੱਖਪਾਤ
retaliatory,0.0,-0.9,ਬਦਲਾ
insufficient,0.0,-0.9,ਨਾਕਾਫੀ
grudging,0.0,-0.9,ਗੜਬੜ
unfeeling,0.0,-0.9,ਬੇਹੋਸ਼
desert,0.0,-0.9,ਮਾਰੂਥਲ
damnation,0.0,-0.9,ਕਮੀ
despairingly,0.0,-0.9,ਨਿਰਾਸ਼ਾ ਨਾਲ
frightening,0.0,-0.9,ਡਰਾਉਣੀ
unethical,0.0,-0.9,ਅਨੈਤਿਕ
