Term,PosScore,NegScore,Malayalam
rejuvenated,0.9,0.0,പുനരുജ്ജീവിപ്പിച്ചു
top,0.9,0.0,മുകളിൽ
gladden,0.9,0.0,സന്തോഷിച്ചു
energize,0.9,0.0,g ർജ്ജസ്വലമാക്കുക
humane,0.9,0.0,മാനുഷികമായ
swank,0.9,0.0,swank
insightfully,0.9,0.0,ഉൾക്കാഴ്ചയോടെ
courageousness,0.9,0.0,ധൈര്യം
fancinating,0.9,0.0,കൗതുകം
maturity,0.9,0.0,പക്വത
energy-efficient,0.9,0.0,ഊർജ്ജ കാര്യക്ഷമമായ
calm,0.9,0.0,ശാന്തം
desirable,0.9,0.0,അഭികാമ്യം
poeticize,0.9,0.0,കാവ്യാത്മകമാക്കുക
easiest,0.9,0.0,എളുപ്പമാണ്
low-price,0.9,0.0,കുറഞ്ഞ വില
striving,0.9,0.0,പരിശ്രമിക്കുന്നു
advantage,0.9,0.0,നേട്ടം
cheerful,0.9,0.0,സന്തോഷവതി
ample,0.9,0.0,മതിയാവോളമുള്ള
steady,0.9,0.0,സ്ഥിരതയുള്ള
effortless,0.9,0.0,അനായാസമാണ്
innovation,0.9,0.0,നവീകരണം
fine-looking,0.9,0.0,മനോഹരമായി കാണപ്പെടുന്നു
wonders,0.9,0.0,അത്ഭുതങ്ങൾ
cashback,0.9,0.0,പണം തിരികെ
quicker,0.9,0.0,വേഗത്തിൽ
gleeful,0.9,0.0,സന്തോഷം
expertly,0.9,0.0,വിദഗ്ദ്ധമായി
divine,0.9,0.0,ദിവ്യ
miraculously,0.9,0.0,അത്ഭുതകരമായി
daring,0.9,0.0,ധൈര്യമുള്ള
pepped,0.9,0.0,കുരുമുളക്
cooperatively,0.9,0.0,സഹകരണത്തോടെ
gainful,0.9,0.0,ലാഭകരമായ
rewarding,0.9,0.0,പ്രതിഫലദായകമാണ്
magnificently,0.9,0.0,ഗംഭീരമായി
captivate,0.9,0.0,ആകർഷിക്കുക
exceeding,0.9,0.0,കവിയുന്നു
ready,0.9,0.0,തയ്യാറാണ്
invaluablely,0.9,0.0,അമൂല്യമായി
modesty,0.9,0.0,എളിമ
innovative,0.9,0.0,നൂതനമായത്
rapturous,0.9,0.0,അത്യന്താപേക്ഷിതമാണ്
soulful,0.9,0.0,ആത്മാവുള്ള
hard-working,0.9,0.0,കഠിനാദ്ധ്വാനിയായ
understandable,0.9,0.0,മനസ്സിലാക്കാവുന്നതേയുള്ളൂ
resourcefulness,0.9,0.0,വിഭവസമൃദ്ധി
illumine,0.9,0.0,പ്രകാശിച്ചു
trusty,0.9,0.0,വിശ്വസനീയമാണ്
patriot,0.9,0.0,രാജ്യസ്നേഹി
amply,0.9,0.0,മതിയായ
appreciate,0.9,0.0,അഭിനന്ദിക്കുക
large-capacity,0.9,0.0,വലിയ ശേഷി
ardent,0.9,0.0,തീവ്രമായ
inspiration,0.9,0.0,പ്രചോദനം
topnotch,0.9,0.0,മുന്തിയത്
fluent,0.9,0.0,നിഷ്പ്രയാസം
well-balanced,0.9,0.0,നന്നായി സമീകൃതമായി
clear-cut,0.9,0.0,വളരെ വ്യക്തമായ
lovely,0.9,0.0,മനോഹരമാണ്
frugal,0.9,0.0,മിതത്വം
affirm,0.9,0.0,ഉറപ്പുപറയുക
idealize,0.9,0.0,അനുയോജ്യമാക്കുക
great,0.9,0.0,കൊള്ളാം
profoundly,0.9,0.0,അഗാധമായി
gumption,0.9,0.0,ഗംപ്ഷൻ
elation,0.9,0.0,ഉന്മേഷം
stability,0.9,0.0,സ്ഥിരത
spellbound,0.9,0.0,അക്ഷരത്തെറ്റ്
obsessions,0.9,0.0,ഗർഭച്ഛിദ്രം
applaud,0.9,0.0,കരഘോഷം
willing,0.9,0.0,സന്നദ്ധത
well-bred,0.9,0.0,നന്നായി വളർത്തുന്നു
cleanly,0.9,0.0,വൃത്തിയായി
graciousness,0.9,0.0,കൃപ
constructive,0.9,0.0,സൃഷ്ടിപരമായ
pampers,0.9,0.0,pampers
hotcakes,0.9,0.0,ഹോട്ട്‌കേക്കുകൾ
realistic,0.9,0.0,റിയലിസ്റ്റിക്
nicely,0.9,0.0,നന്നായി
unbiased,0.9,0.0,പക്ഷപാതമില്ലാത്ത
virtuously,0.9,0.0,പുണ്യമായി
free,0.9,0.0,സൗ ജന്യം
fairly,0.9,0.0,ന്യായമായും
cushy,0.9,0.0,കുഷി
grand,0.9,0.0,ഉയരമുള്ളത്
admirer,0.9,0.0,അഭിനന്ദിക്കുക
peaceable,0.9,0.0,സമാധാനപരമാണ്
laud,0.9,0.0,മേശ
renewed,0.9,0.0,പുതുക്കി
inspire,0.9,0.0,പ്രചോദിപ്പിക്കുക
buoyant,0.9,0.0,തിളക്കം
humility,0.9,0.0,വിനയം
stabilize,0.9,0.0,സ്ഥിരപ്പെടുത്തുക
hopeful,0.9,0.0,പ്രതീക്ഷ
staunchness,0.9,0.0,കാഠിന്യം
tenderly,0.9,0.0,ആർദ്രതയോടെ
amiabily,0.9,0.0,സൗഹാർദ്ദപരമായി
liberation,0.9,0.0,വിമോചനം
loveliness,0.9,0.0,സൗന്ദര്യം
stunned,0.9,0.0,സ്തബ്ധനായി
seamless,0.9,0.0,തടസ്സമില്ലാത്ത
supremely,0.9,0.0,പരമപ്രധാനമാണ്
capable,0.9,0.0,കഴിവുള്ള
firmer,0.9,0.0,ഉറച്ച
overture,0.9,0.0,ഓവർചർ
chivalrous,0.9,0.0,ധൈര്യശാലിയായ
ingeniously,0.9,0.0,സമർത്ഥമായി
freedom,0.9,0.0,സ്വാതന്ത്ര്യം
well-positioned,0.9,0.0,നന്നായി സ്ഥാനം പിടിച്ചിരിക്കുന്നു
balanced,0.9,0.0,സമതുലിതമായ
refunded,0.9,0.0,റീഫണ്ട് ചെയ്തു
triumphal,0.9,0.0,വിജയകരമായ
angelic,0.9,0.0,മാലാഖ
matchless,0.9,0.0,പൊരുത്തമില്ലാത്ത
tenacious,0.9,0.0,ധീരത
successful,0.9,0.0,വിജയിച്ചു
powerfully,0.9,0.0,ശക്തമായി
uplifting,0.9,0.0,ഉയർത്തൽ
dynamic,0.9,0.0,ചലനാത്മക
thankful,0.9,0.0,നന്ദിയുള്ള
cuteness,0.9,0.0,കടുപ്പം
champ,0.9,0.0,ഫീൽഡ്
intriguingly,0.9,0.0,ക ri തുകകരമായി
sufficiently,0.9,0.0,മതിയായ
pepping,0.9,0.0,കുരുമുളക്
god-send,0.9,0.0,ദൈവം അയയ്‌ക്കുക
mature,0.9,0.0,പക്വത
top-quality,0.9,0.0,മികച്ച നിലവാരം
efficient,0.9,0.0,കാര്യക്ഷമമാണ്
easy-to-use,0.9,0.0,ഉപയോഗിക്കാൻ എളുപ്പമാണ്
peppy,0.9,0.0,കുരുമുളക്
idol,0.9,0.0,വിഗ്രഹം
elegantly,0.9,0.0,ഗംഭീരമായി
glorious,0.9,0.0,മഹത്വമുള്ള
insightful,0.9,0.0,ഉൾക്കാഴ്ചയുള്ള
economical,0.9,0.0,സാമ്പത്തിക
reassurance,0.9,0.0,ഉറപ്പ്
premier,0.9,0.0,ആദ്യം
redeem,0.9,0.0,വീണ്ടെടുക്കുക
pain-free,0.9,0.0,വേദനരഹിതം
supporter,0.9,0.0,പിന്തുണക്കാരൻ
rejoicingly,0.9,0.0,സന്തോഷത്തോടെ
dawn,0.9,0.0,പ്രഭാതത്തെ
gutsy,0.9,0.0,ധൈര്യം
terrifically,0.9,0.0,ഭയങ്കരമായി
imaculate,0.9,0.0,കുറ്റമറ്റ
appreciated,0.9,0.0,അഭിനന്ദിച്ചു
strongest,0.9,0.0,ഏറ്റവും ശക്തൻ
accomplish,0.9,0.0,നിർവ്വഹിക്കുക
stimulate,0.9,0.0,ഉത്തേജിപ്പിക്കുക
distinguished,0.9,0.0,വിശിഷ്ടം
joy,0.9,0.0,സന്തോഷം
enjoyed,0.9,0.0,ആസ്വദിച്ചു
elate,0.9,0.0,എലേറ്റ്
benefit,0.9,0.0,പ്രയോജനം
openness,0.9,0.0,തുറന്നത
achievement,0.9,0.0,നേട്ടം
honorable,0.9,0.0,മാന്യമായ
salute,0.9,0.0,ആരോഗ്യം
genuine,0.9,0.0,യഥാർത്ഥ
unbound,0.9,0.0,പരിധിയില്ലാത്ത
convienient,0.9,0.0,അനുയോജ്യമായത്
enlighten,0.9,0.0,പ്രബുദ്ധമാക്കുക
dumbfounding,0.9,0.0,ഓർമ
unabashed,0.9,0.0,അഴിച്ചുമാറ്റിയത്
rapturously,0.9,0.0,അത്യന്താപേക്ഷിതമായി
steadiness,0.9,0.0,സ്ഥിരത
sensationally,0.9,0.0,സംവേദനാത്മകമായി
clearer,0.9,0.0,വ്യക്തമാണ്
selective,0.9,0.0,സെലക്ടീവ്
affirmative,0.9,0.0,സ്ഥിരീകരിക്കുന്നു
dirt-cheap,0.9,0.0,തുച്ഛമായത്
trust,0.9,0.0,ആശ്രയം
enthusiasm,0.9,0.0,ആവേശം
undaunted,0.9,0.0,ഭയപ്പെടാത്ത
courageously,0.9,0.0,ധൈര്യത്തോടെ
useful,0.9,0.0,ഉപയോഗപ്രദമാണ്
adequate,0.9,0.0,മതിയായ
jubilation,0.9,0.0,സന്തോഷം
admirably,0.9,0.0,പ്രശംസനീയമായി
phenomenally,0.9,0.0,അസാധാരണമായി
decisiveness,0.9,0.0,നിർണ്ണായകത
cozy,0.9,0.0,സുഖപ്രദമായ
compassion,0.9,0.0,അനുകമ്പ
handier,0.9,0.0,ഹാൻഡിയർ
clears,0.9,0.0,മായ്‌ക്കുന്നു
convincingly,0.9,0.0,ബോധ്യത്തോടെ
preferring,0.9,0.0,ഇഷ്ടപ്പെടുന്നു
sagely,0.9,0.0,sagely
viewable,0.9,0.0,കാണാനാകും
awesome,0.9,0.0,ആകർഷകമാണ്
abounds,0.9,0.0,പെരുകുന്നു
keenness,0.9,0.0,തീവ്രത
awards,0.9,0.0,അവാർഡുകൾ
supportive,0.9,0.0,പിന്തുണയ്ക്കുന്നു
fine,0.9,0.0,പിഴ
pamperedness,0.9,0.0,ഓർമപ്പെടുത്തൽ
unrivaled,0.9,0.0,സമാനതകളില്ലാത്ത
best-selling,0.9,0.0,ഏറ്റവും കൂടുതൽ വിറ്റുപോയത്
hearten,0.9,0.0,ഹൃദയം
sturdier,0.9,0.0,ശക്തൻ
advantages,0.9,0.0,ഗുണങ്ങൾ
panoramic,0.9,0.0,പനോരമിക്
enhanced,0.9,0.0,മെച്ചപ്പെടുത്തി
eulogize,0.9,0.0,പ്രശംസിക്കുക
lighter,0.9,0.0,ഭാരം കുറഞ്ഞത്
won,0.9,0.0,ജയിച്ചു
comprehensive,0.9,0.0,സമഗ്രമായ
revival,0.9,0.0,പുനരുജ്ജീവിപ്പിക്കൽ
skilled,0.9,0.0,പ്രഗത്ഭൻ
enticing,0.9,0.0,മോഹിപ്പിക്കുന്ന
tenacity,0.9,0.0,സ്ഥിരത
supporting,0.9,0.0,പിന്തുണയ്ക്കുന്നു
greatest,0.9,0.0,ഏറ്റവും വലിയ
fabulously,0.9,0.0,ഗംഭീരമായി
altruistic,0.9,0.0,പരോപകാര സ്വഭാവം
enticingly,0.9,0.0,ആകർഷകമായി
silent,0.9,0.0,നിശബ്ദത
pleasant,0.9,0.0,സുഖകരമാണ്
fondness,0.9,0.0,സ്നേഹം
upgradeable,0.9,0.0,അപ്‌ഗ്രേഡുചെയ്യാനാകും
phenomenal,0.9,0.0,അസാധാരണമായത്
fans,0.9,0.0,ആരാധകർ
state-of-the-art,0.9,0.0,സ്റ്റേറ്റ് ഓഫ് ദി ആർട്ട്
noble,0.9,0.0,കുലീനൻ
fast-growing,0.9,0.0,അതിവേഗം വളരുന്ന
serene,0.9,0.0,ശാന്തമായ
handsomely,0.9,0.0,സുന്ദരനായി
nourish,0.9,0.0,പോഷിപ്പിക്കുക
usable,0.9,0.0,ഉപയോഗയോഗ്യമാണ്
spotless,0.9,0.0,കളങ്കമില്ലാത്ത
bless,0.9,0.0,അനുഗ്രഹിക്കണമേ
exemplar,0.9,0.0,മാതൃകാപരമായ
poignant,0.9,0.0,വിശദമായ
ambitious,0.9,0.0,അഭിലാഷം
worked,0.9,0.0,ജോലി ചെയ്തു
proud,0.9,0.0,അഹങ്കാരം
enrich,0.9,0.0,സമ്പുഷ്ടമാക്കുക
kindness,0.9,0.0,ദയ
warmth,0.9,0.0,th ഷ്മളത
excitement,0.9,0.0,ആവേശം
sweetly,0.9,0.0,മധുരമായി
blithe,0.9,0.0,ബ്ലിറ്റ്
contribution,0.9,0.0,സംഭാവന
rejuvenating,0.9,0.0,പുനരുജ്ജീവിപ്പിക്കുന്നു
intimacy,0.9,0.0,അടുപ്പം
effectively,0.9,0.0,ഫലപ്രദമായി
wholesome,0.9,0.0,ആരോഗ്യകരമായ
approve,0.9,0.0,അംഗീകരിക്കുക
truthfulness,0.9,0.0,സത്യസന്ധത
handily,0.9,0.0,എളുപ്പത്തിൽ
staunchly,0.9,0.0,ശക്തമായി
prominence,0.9,0.0,പ്രാധാന്യം
merciful,0.9,0.0,കരുണയുള്ളവൻ
stirringly,0.9,0.0,മണ്ണിളക്കി
outdone,0.9,0.0,കാലഹരണപ്പെട്ടു
overtake,0.9,0.0,മറികടക്കുക
unbeatable,0.9,0.0,തോൽവിയറിയാത്ത
sufficient,0.9,0.0,മതി
ardently,0.9,0.0,തീവ്രമായി
classic,0.9,0.0,ക്ലാസിക്
civility,0.9,0.0,നാഗരികത
ingenuity,0.9,0.0,ചാതുര്യം
masterpiece,0.9,0.0,ഉൽകൃഷ്ടസൃഷ്ടി
fidelity,0.9,0.0,വിശ്വസ്തത
reliable,0.9,0.0,വിശ്വസനീയമായത്
charisma,0.9,0.0,കരിഷ്മ
readable,0.9,0.0,വായിക്കാൻ കഴിയുന്ന
compatible,0.9,0.0,അനുയോജ്യമാണ്
fulfillment,0.9,0.0,പൂർത്തീകരണം
skillfully,0.9,0.0,നൈപുണ്യത്തോടെ
tingle,0.9,0.0,ഇഴയുക
excel,0.9,0.0,മികവ്
enviously,0.9,0.0,അസൂയയോടെ
swanky,0.9,0.0,സ്വാൻകി
celebration,0.9,0.0,ആഘോഷം
progress,0.9,0.0,പുരോഗതി
empowerment,0.9,0.0,ശാക്തീകരണം
tranquility,0.9,0.0,ശാന്തത
led,0.9,0.0,എൽഇഡി
achievible,0.9,0.0,നേടാവുന്ന
bright,0.9,0.0,ശോഭയുള്ള
appreciatively,0.9,0.0,അഭിനന്ദനാർഹമാണ്
inspirational,0.9,0.0,പ്രചോദനാത്മകമാണ്
accessible,0.9,0.0,ആക്‌സസ് ചെയ്യാനാകും
lionhearted,0.9,0.0,സിംഹഹൃദയം
refreshing,0.9,0.0,ഉന്മേഷം
splendidly,0.9,0.0,ഗംഭീരമായി
marvelous,0.9,0.0,ആശ്ചര്യം
illustrious,0.9,0.0,വിശിഷ്ടം
revives,0.9,0.0,പുനരുജ്ജീവിപ്പിക്കുന്നു
originality,0.9,0.0,ഒറിജിനാലിറ്റി
gratification,0.9,0.0,സംതൃപ്തി
motivated,0.9,0.0,പ്രചോദനം
playfully,0.9,0.0,കളിയായി
awe,0.9,0.0,വിസ്മയം
overtakes,0.9,0.0,മറികടക്കുന്നു
eloquent,0.9,0.0,വാചാലൻ
proficient,0.9,0.0,പ്രാവീണ്യം
cheapest,0.9,0.0,വിലകുറഞ്ഞത്
intelligible,0.9,0.0,മനസ്സിലാക്കാവുന്നതേയുള്ളൂ
luxuriant,0.9,0.0,ആഡംബര
adaptable,0.9,0.0,പൊരുത്തപ്പെടാവുന്ന
enraptured,0.9,0.0,പൊതിഞ്ഞു
luckiest,0.9,0.0,ഭാഗ്യവാൻ
healthy,0.9,0.0,ആരോഗ്യമുള്ള
luster,0.9,0.0,തിളക്കം
brotherly,0.9,0.0,സഹോദരൻ
compliment,0.9,0.0,അഭിനന്ദനം
leading,0.9,0.0,നയിക്കുന്നു
fortunately,0.9,0.0,ഭാഗ്യവശാൽ
resplendent,0.9,0.0,ഉജ്ജ്വലമായ
obtainable,0.9,0.0,ലഭിക്കും
inventive,0.9,0.0,കണ്ടുപിടുത്തം
ardor,0.9,0.0,കത്തുന്ന
propitiously,0.9,0.0,ഉചിതമായി
cost-effective,0.9,0.0,ചെലവ് കുറഞ്ഞ
charismatic,0.9,0.0,കരിസ്മാറ്റിക്
merit,0.9,0.0,മെറിറ്റ്
gusto,0.9,0.0,ആവേശം
stimulates,0.9,0.0,ഉത്തേജിപ്പിക്കുന്നു
coherent,0.9,0.0,ആകർഷണീയമായ
providence,0.9,0.0,ദൈവാധീനം
exaltedly,0.9,0.0,ഉന്നതമായി
neatly,0.9,0.0,ഭംഗിയായി
affordable,0.9,0.0,താങ്ങാനാവുന്ന
effectiveness,0.9,0.0,ഫലപ്രാപ്തി
monumental,0.9,0.0,സ്മാരകം
pleased,0.9,0.0,സന്തോഷിച്ചു
righteousness,0.9,0.0,നീതി
miracle,0.9,0.0,അത്ഭുതം
respectable,0.9,0.0,മാന്യമായ
upbeat,0.9,0.0,ഉത്സാഹം
winner,0.9,0.0,വിജയി
