Term,PosScore,NegScore,Bangla
melancholia,0.125,0.75,বিষাদ
throe,0.0,0.875,তীব্র বেদনা
cleanness,0.125,0.75,পরিচ্ছন্নতা
porphyria,0.125,0.75,porphyria
ergotism,0.0,0.75,ergotism
astasia,0.125,0.75,astasia
sequela,0.0,0.75,শাগরেদি
analgesia,0.0,0.75,বেদনাবোধহীনতা
urethritis,0.0,0.75,urethritis
oligospermia,0.0,0.75,oligospermia
tenesmus,0.0,0.75,tenesmus
gum-lac,0.0,0.75,আঠা-Lac
negatively,0.0,0.75,নেতিবাচকভাবে
indirectly,0.0,0.75,পরোক্ষভাবে
have,0.0,0.75,আছে
obstipate,0.0,0.75,obstipate
bloat,0.0,0.75,স্ফীত করা
putrefy,0.0,0.75,বিকৃত করা
curdle,0.0,0.875,ঘন করা
cleanse,0.0,0.75,ধোয়া
whoop,0.25,0.75,উচ্চ চিৎকার করা
speculate,0.0,0.75,ফটকা খেলা
out-herod,0.0,0.875,আউট-হেরোদ
invade,0.0,0.75,আক্রমণ করা
lacerate,0.125,0.75,বিদীর্ণ করা
tribulate,0.0,0.75,tribulate
abreact,0.0,0.875,abreact
humbug,0.0,0.875,হাম্বুগ্
moot,0.0,-0.9,তর্ক করা
stingingly,0.0,-0.9,stingingly
ire,0.0,-0.9,ক্রোধ
unlawful,0.0,-0.9,বেআইনী
overstates,0.0,-0.9,অনেক বাড়িয়ে দেখানো
sloow,0.0,-0.9,sloow
pervasive,0.0,-0.9,পরিব্যাপক
tangles,0.0,-0.9,tangles
distressingly,0.0,-0.9,মর্মভেদীভাবে
outrageousness,0.0,-0.9,outrageousness
prejudices,0.0,-0.9,কুসংস্কার
retaliatory,0.0,-0.9,প্রতিদানক্ষম
insufficient,0.0,-0.9,অপর্যাপ্ত
grudging,0.0,-0.9,কৃপণ
unfeeling,0.0,-0.9,অনুভূতিহীন
desert,0.0,-0.9,মরুভূমি
damnation,0.0,-0.9,অভিশাপ
despairingly,0.0,-0.9,হতাশ
frightening,0.0,-0.9,ভয়ানক
unethical,0.0,-0.9,অনৈতিক
dent,0.0,-0.9,গর্ত
bores,0.0,-0.9,bores
unexpected,0.0,-0.9,অপ্রত্যাশিত
contemptible,0.0,-0.9,নীচ
drab,0.0,-0.9,হত্যা
adulterate,0.0,-0.9,ভেজালযুক্ত
martyrdom-seeking,0.0,-0.9,শহীদ-চাইছেন
spade,0.0,-0.9,কোদাল
downside,0.0,-0.9,downside হয়
prohibitively,0.0,-0.9,নিষেধাজ্ঞামূলকভাবে
unwell,0.0,-0.9,অসুস্থ
vicious,0.0,-0.9,দুশ্চরিত্র
unsupportive,0.0,-0.9,অসমর্থিত
frigid,0.0,-0.9,হিমশীতল
brainless,0.0,-0.9,নির্বোধ
obnoxiously,0.0,-0.9,জঘন্যভাবে
bullshit,0.0,-0.9,বাজে কথা
bedlamite,0.0,-0.9,পাগল
painful,0.0,-0.9,বেদনাদায়ক
illness,0.0,-0.9,অসুস্থতা
bombard,0.0,-0.9,বোমা ছুড়িয়া মারা
sneakily,0.0,-0.9,sneakily
hustler,0.0,-0.9,বারবনিতা
fallacy,0.0,-0.9,হেত্বাভাস
spoils,0.0,-0.9,জঞ্জাল
twist,0.0,-0.9,সুতা
misunderstood,0.0,-0.9,অনেকেই ভুল বুঝে ভাবেন
sluts,0.0,-0.9,পোঁদ
ghastly,0.0,-0.9,ভয়ানক
destitution,0.0,-0.9,নি: সঙ্গতা
imminently,0.0,-0.9,imminently
mope,0.0,-0.9,নিস্তেজ করা
complication,0.0,-0.9,জটিলতা
heathen,0.0,-0.9,ধর্মহীন
rip,0.0,-0.9,চেরা
scandal,0.0,-0.9,কলঙ্ক
anguish,0.0,-0.9,যন্ত্রণা
fruitless,0.0,-0.9,নিষ্ফল
cash-strapped,0.0,-0.9,নগদ strapped
sarcastically,0.0,-0.9,ব্যঙ্গ করে
steal,0.0,-0.9,চুরি করা
admonition,0.0,-0.9,উপদেশ
ill-fated,0.0,-0.9,কমবখত
longing,0.0,-0.9,আকাঙ্ক্ষা
dreadfully,0.0,-0.9,dreadfully
mournful,0.0,-0.9,দু: খজনক
weakening,0.0,-0.9,বলক্ষয়কর
stew,0.0,-0.9,ভাপে সিদ্ধ করা
amiss,0.0,-0.9,পথভ্রষ্ট
annihilate,0.0,-0.9,ধ্বংস করা
destructive,0.0,-0.9,ধ্বংসাত্মক
dullard,0.0,-0.9,উদো
itching,0.0,-0.9,নিশ্পিশ
oblivious,0.0,-0.9,অন্যমনস্ক
incessant,0.0,-0.9,নিরবচ্ছিন্ন
idle,0.0,-0.9,অলস
scratches,0.0,-0.9,scratches এবং
shockingly,0.0,-0.9,অত্যন্ত আপত্তিকররূপে
miserly,0.0,-0.9,অতিলোভী
bias,0.0,-0.9,পক্ষপাত
loose,0.0,-0.9,আলগা
bull----,0.0,-0.9,ষাঁড়----
dense,0.0,-0.9,ঘন
austere,0.0,-0.9,উগ্র
fusty,0.0,-0.9,ভেপসা
ghetto,0.0,-0.9,শহরে ইন্থর্দিপাড়া
jumpy,0.0,-0.9,লাফানে
crushed,0.0,-0.9,চূর্ণ
destains,0.0,-0.9,destains
assault,0.0,-0.9,লাঞ্ছনা
ferociously,0.0,-0.9,ferociously
hard,0.0,-0.9,কঠিন
prate,0.0,-0.9,অনুসরণ করা
fat-cat,0.0,-0.9,লোভী মানুষ
exorbitantance,0.0,-0.9,exorbitantance
hassles,0.0,-0.9,ঝামেলা
abysmally,0.0,-0.9,অসম্ভব
demeaning,0.0,-0.9,হীন
immodest,0.0,-0.9,নির্লজ্জ
harms,0.0,-0.9,ক্ষতিগ্রস্ত
irresolvable,0.0,-0.9,irresolvable
limitations,0.0,-0.9,সীমাবদ্ধতা
dawdle,0.0,-0.9,আলস্যে কাটান
shrouded,0.0,-0.9,আবৃত
smuttiest,0.0,-0.9,smuttiest
passe,0.0,-0.9,গত
mistake,0.0,-0.9,ভুল
clunky,0.0,-0.9,ক্লাঙ্কি
abuse,0.0,-0.9,অপব্যবহার
sink,0.0,-0.9,ডুবা
floundering,0.0,-0.9,floundering
harrow,0.0,-0.9,হয়রান করা
deceiving,0.0,-0.9,ধোঁকাবাজ
hellion,0.0,-0.9,hellion
noise,0.0,-0.9,গোলমাল
bother,0.0,-0.9,মাথা ঘামান
perfidious,0.0,-0.9,বিশ্বাসঘাতক
opportunistic,0.0,-0.9,সুবিধাবাদী
irately,0.0,-0.9,irately
perturbed,0.0,-0.9,বিচল
belligerence,0.0,-0.9,যুধ্যমান অবস্থা
rebuke,0.0,-0.9,তীব্র তিরস্কার
unbelievably,0.0,-0.9,অবিশ্বাস্য
catastrophically,0.0,-0.9,catastrophically
cuss,0.0,-0.9,অভিশাপ
prohibit,0.0,-0.9,নিষিদ্ধ করা
disclaim,0.0,-0.9,দাবি ত্যাগ করা
bullyingly,0.0,-0.9,bullyingly
enraging,0.0,-0.9,উন্মাদন
dud,0.0,-0.9,জীর্ণ পোশাক
admonish,0.0,-0.9,সতর্ক করা
bravado,0.0,-0.9,বাহাদুরি
disappointed,0.0,-0.9,হতাশ
unsure,0.0,-0.9,অবিশ্বাস্য
repress,0.0,-0.9,নিরোধ করা
impudence,0.0,-0.9,নির্লজ্জতা
ruin,0.0,-0.9,সর্বনাশ
banal,0.0,-0.9,পবিত্র
lagging,0.0,-0.9,সাপেক্ষে বেশ পিছিয়ে পড়েছে
discontent,0.0,-0.9,অসন্তোষ
shunned,0.0,-0.9,পরিহার করা
cold,0.0,-0.9,ঠান্ডা
creak,0.0,-0.9,কড়্কড়্ শব্দ
untruthful,0.0,-0.9,মিথ্যাবাদী
dehumanize,0.0,-0.9,ডেহুমনায্স্ করা
thug,0.0,-0.9,খুনে
worthlessly,0.0,-0.9,worthlessly
vagrant,0.0,-0.9,ভবঘুরে
accursed,0.0,-0.9,অভিশপ্ত
bum,0.0,-0.9,পশ্চাদ্দেশ
loathly,0.0,-0.9,ঘৃণাজনক
chunky,0.0,-0.9,গাঁট্টাগোট্টা
sputter,0.0,-0.9,থুতু
eviscerate,0.0,-0.9,নাডভুডি বাহির করিয়া ফেলা
limp,0.0,-0.9,নরম
loneliness,0.0,-0.9,নিঃসঙ্গতা
self-interest,0.0,-0.9,স্বার্থ
picketed,0.0,-0.9,পিকেটিং
squash,0.0,-0.9,স্কোয়াশ
disorder,0.0,-0.9,ব্যাধি
strange,0.0,-0.9,অদ্ভুত
struck,0.0,-0.9,প্রহত
betrayal,0.0,-0.9,বিশ্বাসঘাতকতা
disturb,0.0,-0.9,বিরক্ত
unrealistic,0.0,-0.9,অবাস্তব
antagonist,0.0,-0.9,বিরোধী
questionable,0.0,-0.9,সন্দেহজনক
inactive,0.0,-0.9,নিষ্ক্রিয়
cheapen,0.0,-0.9,সুলভ করা
