Term,PosScore,NegScore,Malayalam
unfastidious,0.0,0.75,വൃത്തികെട്ട
blubbery,0.125,0.75,മ്ലേച്ഛത
infelicitous,0.0,0.75,അപകർഷതാബോധം
unhewn,0.0,0.75,കാണാത്ത
unsuitable,0.0,0.75,അനുയോജ്യമല്ല
adventive,0.0,0.75,സാഹസിക
abject,0.0,1.0,നിന്ദ്യം
niffy,0.0,0.75,നിഫി
putrid-smelling,0.3,0.7,ഗന്ധമുള്ള വാസന
unfree,0.0,0.75,സ്വതന്ത്രമല്ല
addled,0.0,0.75,addled
day-old,0.0,0.875,ദിവസം പഴക്കമുള്ളത്
unfruitful,0.0,0.75,ഫലമില്ലാത്തത്
sperm-filled,0.0,0.75,ശുക്ലം നിറഞ്ഞ
nonfunctional,0.0,0.75,പ്രവർത്തനരഹിതമാണ്
nonproprietary,0.0,0.75,ലാഭേച്ഛയില്ലാത്തത്
base,0.0,0.875,അടിസ്ഥാനം
pseudo,0.0,0.75,കപട
synthetic,0.125,0.875,സിന്തറ്റിക്
no-go,0.0,0.75,പോകരുത്
ill,0.0,0.875,അസുഖം
swingeing,0.0,0.875,സ്വിംഗിംഗ്
uncool,0.0,0.875,അൺകൂൾ
unsuitable,0.222,0.778,അനുയോജ്യമല്ല
evil-minded,0.0,0.75,ദുഷ്ടമനസ്സുള്ളവർ
churlish,0.0,0.875,churlish
churlish,0.25,0.75,churlish
fulminant,0.0,0.75,നിറയെ
appreciative,0.25,0.75,അഭിനന്ദനം
unappreciative,0.0,0.75,അഭിനന്ദനാർഹമാണ്
ill,0.0,0.75,അസുഖം
bloodshot,0.0,0.75,ബ്ലഡ്ഷോട്ട്
caseous,0.0,0.75,കേസ്
inflamed,0.0,0.875,വീക്കം
sore-eyed,0.0,0.75,വല്ലാത്ത കണ്ണുള്ള
varicose,0.0,0.875,വെരിക്കോസ്
light-duty,0.0,0.75,ലൈറ്റ് ഡ്യൂട്ടി
low-level,0.0,0.75,താഴ്ന്ന നില
nonimitative,0.0,0.75,നോൺമിറ്റേറ്റീവ്
yellow,0.0,0.75,മഞ്ഞ
insoluble,0.0,0.75,ലയിക്കാത്ത
torrid,0.0,0.75,ടോറിഡ്
stygian,0.0,0.75,സ്റ്റൈജിയൻ
undesigned,0.0,0.75,രൂപകൽപ്പന ചെയ്തിട്ടില്ല
unsmoothed,0.0,0.75,മിനുസപ്പെടുത്താത്ത
anisotropic,0.0,0.75,അനീസോട്രോപിക്
bittersweet,0.0,0.75,ബിറ്റർ‌സ്വീറ്റ്
joyless,0.125,0.75,സന്തോഷമില്ലാത്ത
unsmiling,0.0,0.75,അൺ‌മൈലിംഗ്
watertight,0.0,0.75,വെള്ളമില്ലാത്ത
unlisted,0.0,0.75,ലിസ്റ്റുചെയ്യാത്തത്
unextended,0.0,0.75,വിപുലീകരിക്കാത്ത
stray,0.0,0.75,വഴിതെറ്റിയത്
straying,0.0,0.75,വഴിതെറ്റുന്നു
apotropaic,0.0,0.75,apotropaic
unbranded,0.0,0.75,ബ്രാൻഡ് ചെയ്യാത്തത്
unfeminine,0.25,0.75,സ്ത്രീലിംഗം
unconcerned,0.0,0.75,അശ്രദ്ധ
unsoldierly,0.0,0.75,അശുദ്ധമായി
immobile,0.0,0.75,ചലനരഹിതം
unmodified,0.0,0.75,പരിഷ്‌ക്കരിക്കാത്ത
unadapted,0.0,0.75,അനുയോജ്യമല്ല
univalent,0.0,0.75,ആകർഷകമല്ലാത്ത
factitious,0.0,0.75,വസ്തുതാപരമായ
supernatural,0.0,0.75,അമാനുഷികത
grotty,0.0,0.875,വിഷമം
subnormal,0.0,0.75,അസാധാരണമായത്
paranormal,0.0,0.875,അസ്വാഭാവികം
innocuous,0.0,0.75,നിരുപദ്രവകരമായ
unoccupied,0.0,0.75,ഒഴിഞ്ഞില്ല
scrimy,0.0,1.0,അപഹാസ്യം
verminous,0.0,0.875,വെർമിനസ്
odoriferous,0.222,0.778,ദുർഗന്ധം
unofficial,0.0,0.75,അന of ദ്യോഗിക
unestablished,0.0,0.75,സ്ഥാപിച്ചിട്ടില്ല
off-street,0.0,0.75,ഓഫ് സ്ട്രീറ്റ്
off-line,0.0,0.75,ഓഫ്-ലൈൻ
off,0.0,0.75,ഓഫ്
inconvenient,0.0,0.75,അസ ven കര്യം
unopposed,0.0,0.75,എതിരില്ല
unmethodical,0.0,0.75,രീതിയില്ലാത്തത്
artificial,0.0,0.75,കൃതിമമായ
stunning,0.0,0.75,അതിശയകരമായത്
underivative,0.0,0.875,underivative
unoriginal,0.0,0.75,ഏകീകൃതമല്ലാത്ത
slavish,0.0,0.75,അടിമ
painless,0.0,0.75,വേദനയില്ലാത്ത
unpainted,0.0,0.875,പെയിന്റ് ചെയ്തിട്ടില്ല
unoiled,0.0,0.75,unoiled
unpaintable,0.0,0.75,പെയിന്റുചെയ്യാനാകില്ല
unpalatable,0.125,0.75,വിലമതിക്കാനാവാത്ത
unforbearing,0.0,0.875,സഹിക്കാത്ത
unpaved,0.0,0.75,പാതയില്ലാത്ത
unpeaceful,0.0,0.75,നിസ്സംഗത
unpeaceable,0.0,0.875,അപ്രാപ്യമാണ്
inadmissible,0.0,0.75,അനുവദനീയമല്ല
unpermissive,0.125,0.75,അനുവാദമില്ലാത്ത
unperplexed,0.0,0.75,unperplexed
impenetrable,0.0,0.75,അഭേദ്യമായ
rot-resistant,0.0,0.75,ചെംചീയൽ പ്രതിരോധം
nonpsychoactive,0.0,0.75,nonpsychoactive
off-putting,0.0,0.75,ഓഫ് ചെയ്യൽ
raw,0.0,0.75,അസംസ്കൃത
imponderable,0.0,0.875,അസാധ്യമാണ്
neutral,0.125,0.75,നിഷ്പക്ഷത
out,0.0,0.875,പുറത്ത്
unfunctional,0.0,0.75,പ്രവർത്തനരഹിതമാണ്
cretinous,0.0,0.875,ക്രറ്റിനസ്
secondary,0.0,0.75,സെക്കൻഡറി
nonpublic,0.0,0.75,പബ്ലിക് അല്ലാത്തത്
lay,0.0,0.75,കിടന്നു
lean,0.125,0.75,മെലിഞ്ഞ
unremunerative,0.0,0.75,അനിയന്ത്രിതമായ
out-of-the-way,0.0,0.75,-ട്ട്-ദി-വേ
unimpeachable,0.0,0.75,അപ്രാപ്യമാണ്
unquiet,0.0,0.75,ശാന്തത
flat-footed,0.0,0.75,പരന്ന പാദം
unprocessed,0.0,0.75,പ്രോസസ്സ് ചെയ്യാത്തത്
untreated,0.0,0.75,ചികിത്സിച്ചില്ല
raw,0.0,0.75,അസംസ്കൃത
untreated,0.0,0.875,ചികിത്സിച്ചില്ല
assimilative,0.0,0.75,സ്വാംശീകരിക്കൽ
unexpansive,0.0,0.75,വിപുലീകരിക്കാനാവാത്ത
moneyless,0.0,0.75,പണമില്ലാത്തവർ
out,0.0,0.75,പുറത്ത്
manic-depressive,0.0,0.75,മാനിക്-ഡിപ്രസീവ്
psychotic,0.0,0.75,സൈക്കോട്ടിക്
saturnine,0.125,0.75,സാറ്റൈൻ
unconscientious,0.0,0.75,അബോധാവസ്ഥയിൽ
fail-safe,0.0,0.75,പരാജയം-സുരക്ഷിതം
junior,0.0,0.75,ഇളമുറയായ
frivolous,0.0,0.75,നിസ്സാര
broken-down,0.0,0.875,തകർന്നത്
nonresident,0.0,0.75,നോൺ റെസിഡന്റ്
nonnomadic,0.0,0.75,നോൺനോമാഡിക്
unformed,0.0,0.75,വിവരമില്ലാത്തത്
FALSE,0.125,0.75,തെറ്റായ
feigned,0.125,0.875,അഭിനയിച്ചു
unsized,0.0,0.75,വലുപ്പം മാറ്റാത്തത്
unsorted,0.0,0.75,അടുക്കിയിട്ടില്ല
unshuttered,0.0,0.75,മാറ്റമില്ലാത്തത്
unsociable,0.0,0.75,സുരക്ഷിതമല്ലാത്തത്
ungregarious,0.0,0.75,ക്രമരഹിതം
unsold,0.0,0.75,വിറ്റുപോയില്ല
nonstandard,0.125,0.75,നിലവാരമില്ലാത്തത്
nonstandard,0.125,0.875,നിലവാരമില്ലാത്തത്
nonnormative,0.0,0.75,അസാധാരണമായത്
nonstandard,0.0,0.75,നിലവാരമില്ലാത്തത്
unstressed,0.0,0.75,സമ്മർദ്ദമില്ല
low-grade,0.222,0.778,കുറഞ്ഞ ഗ്രേഡ്
unimpressionable,0.0,0.75,ശ്രദ്ധേയമല്ല
soured,0.0,0.75,പായസം
unsuspected,0.125,0.75,സംശയാസ്പദമായ
unswept,0.0,0.75,സ്വീകാര്യമല്ലാത്ത
unsympathetic,0.0,0.875,അനുകമ്പയില്ലാത്ത
temperate,0.125,0.75,മിതശീതോഷ്ണ
unkempt,0.0,0.75,വൃത്തികെട്ട
ungroomed,0.125,0.75,പക്വതയില്ലാത്ത
intolerant,0.125,0.75,അസഹിഷ്ണുത
intestate,0.0,0.75,കുടൽ
tough,0.0,0.75,കഠിനമാണ്
unmalleable,0.0,0.75,മാറ്റാനാവാത്ത
FALSE,0.0,0.75,തെറ്റായ
undivided,0.0,0.875,അവിഭാജ്യ
dystopian,0.0,0.75,ഡിസ്റ്റോപ്പിയൻ
FALSE,0.0,0.75,തെറ്റായ
manky,0.3,0.7,മാങ്കി
occult,0.0,0.875,നിഗൂ .ത
consumptive,0.0,0.75,ഉപഭോഗം
dyspeptic,0.0,0.75,ഡിസ്പെപ്റ്റിക്
palsied,0.0,0.75,പക്ഷാഘാതം
scrofulous,0.0,0.875,സൂക്ഷ്മമായ
unwholesome,0.125,0.75,അനാരോഗ്യകരമായ
benign,0.0,0.75,ശൂന്യമാണ്
immunodeficient,0.0,0.75,രോഗപ്രതിരോധ ശേഷി
anasarcous,0.0,0.75,അനസാർക്കസ്
immunocompromised,0.0,0.75,രോഗപ്രതിരോധശേഷിയില്ലാത്തത്
aversive,0.125,0.75,വെറുപ്പ്
nonenzymatic,0.0,0.75,nonenzymatic
tetanic,0.0,0.75,ടെറ്റാനിക്
tetanic,0.0,0.75,ടെറ്റാനിക്
unposed,0.0,0.75,അൺപോസ്ഡ്
conquest,0.0,0.75,ജയിക്കുക
hyperemesis,0.0,0.75,ഹൈപ്പർ‌റെമെസിസ്
bronchospasm,0.0,0.75,ബ്രോങ്കോസ്പാസ്ം
palliation,0.0,0.75,പാലിയേഷൻ
overexertion,0.0,0.875,അമിതപ്രയോഗം
abduction,0.0,1.0,തട്ടിക്കൊണ്ടുപോകൽ
scatophagy,0.0,0.75,സ്‌കാറ്റോഫാഗി
underproduction,0.0,0.75,ഉൽപാദനം
armageddon,0.0,0.75,അർമ്മഗെദ്ദോൻ
misdeal,0.0,0.75,തെറ്റിദ്ധാരണ
rotavirus,0.0,0.75,റോട്ടവൈറസ്
rockweed,0.0,0.75,റോക്ക്വീഡ്
kitsch,0.125,0.75,കിറ്റ്സ്
lenitive,0.0,0.875,ലെനിറ്റീവ്
stinker,0.0,0.75,മണം
disagreeableness,0.0,0.875,വിയോജിപ്പു
levity,0.125,0.875,ലെവിറ്റി
unapproachability,0.125,0.75,അപ്രാപ്യത
unfriendliness,0.0,0.875,സൗഹൃദം
uncongeniality,0.25,0.75,അനുരഞ്ജനം
unneighborliness,0.0,0.875,അനിശ്ചിതത്വം
unpleasingness,0.125,0.75,അസുഖകരമായ
shiftiness,0.125,0.75,മാറ്റം
granite,0.0,0.75,ഗ്രാനൈറ്റ്
disagreeableness,0.125,0.875,വിയോജിപ്പു
beastliness,0.0,0.75,മൃഗം
unnaturalness,0.0,0.875,പ്രകൃതിവിരുദ്ധത
inadmissibility,0.125,0.75,അനുവദനീയത
usualness,0.125,0.75,പതിവ്
nonconformity,0.0,0.75,അനുരൂപത
illegitimacy,0.0,0.875,നിയമവിരുദ്ധത
illicitness,0.0,0.75,നിയമവിരുദ്ധത
elusiveness,0.125,0.75,മയക്കം
wrongness,0.125,0.75,തെറ്റ്
incorruptibility,0.25,0.75,അവിശ്വസനീയത
lightheadedness,0.0,0.75,ലൈറ്റ്ഹെഡ്നെസ്സ്
indelicacy,0.125,0.75,indelicacy
staleness,0.0,0.75,പഴകിയത്
hardness,0.0,0.875,കാഠിന്യം
vulnerability,0.0,0.875,ദുർബലത
tardiness,0.125,0.75,ക്ഷീണം
inessentiality,0.125,0.75,അനിവാര്യത
defensibility,0.25,0.75,പ്രതിരോധം
snootiness,0.125,0.75,നിസ്സാരത
cholecystokinin,0.0,0.75,cholecystokinin
feeblemindedness,0.0,0.75,ബലഹീനത
insensibility,0.0,0.75,അബോധാവസ്ഥ
hydra,0.0,0.75,ഹൈഡ്ര
pisser,0.0,0.75,മൂത്രമൊഴിക്കുക
pruritus,0.0,0.75,പ്രൂരിറ്റസ്
pill,0.0,0.875,ഗുളിക
kink,0.0,0.75,കിങ്ക്
casuistry,0.0,0.75,കാസ്യൂസ്ട്രി
reprobation,0.0,0.75,ശാസന
unfairness,0.125,0.75,അനീതി
stricture,0.0,0.75,കർശനത
canard,0.0,0.875,ഡക്ക്
excoriation,0.0,0.875,ആവേശം
accident,0.0,0.75,അപകടം
resolution,0.0,0.75,മിഴിവ്
fire,0.0,0.75,തീ
wistfulness,0.0,0.75,വിസ്‌മയം
mysophilia,0.0,0.75,മൈസോഫീലിയ
creepy-crawlies,0.125,0.75,ഇഴയുന്ന ക്രാളുകൾ
unconcern,0.0,0.75,അശ്രദ്ധ
conscience,0.125,0.75,ബോധം
levity,0.125,0.875,ലെവിറ്റി
sensibility,0.25,0.75,സംവേദനക്ഷമത
dolefulness,0.0,0.875,നിഷ്‌കളങ്കത
heavyheartedness,0.125,0.75,കഠിനഹൃദയം
self-pity,0.125,0.75,സ്വയം സഹതാപം
dysphoria,0.0,0.75,ഡിസ്ഫോറിയ
moodiness,0.125,0.875,മാനസികാവസ്ഥ
plonk,0.0,0.875,പ്ലോങ്ക്
gridlock,0.0,0.75,ഗ്രിഡ്‌ലോക്ക്
aphasic,0.0,0.75,അഫാസിക്
asthmatic,0.0,0.75,ആസ്ത്മാറ്റിക്
choker,0.0,0.75,ചോക്കർ
hobbledehoy,0.0,0.875,ഹോബിൾഡെഹോയ്
jerry-builder,0.0,0.75,ജെറി-ബിൽഡർ
motormouth,0.0,1.0,മോട്ടോർ വായ
patzer,0.0,0.875,മണ്ടത്തരം
seducer,0.0,0.75,മയക്കമരുന്ന്
third-rater,0.0,0.75,മൂന്നാം റേറ്റർ
torturer,0.0,0.75,പീഡിപ്പിക്കാനും
yenta,0.0,0.75,yenta
accumulation,0.0,0.75,ശേഖരണം
earthquake,0.0,0.875,ഭൂകമ്പം
insomnia,0.0,0.75,ഉറക്കമില്ലായ്മ
anoxia,0.0,0.75,അനോക്സിയ
dysphagia,0.125,0.75,ഡിസ്ഫാഗിയ
dysuria,0.0,0.875,ഡിസൂറിയ
dystrophy,0.0,0.75,ഡിസ്ട്രോഫി
invalidism,0.0,0.875,അസാധുവാണ്
amyloidosis,0.0,0.75,അമിലോയിഡോസിസ്
neurasthenia,0.0,0.75,ന്യൂറസ്തീനിയ
gingivitis,0.0,0.75,മോണരോഗം
glomerulonephritis,0.0,0.75,ഗ്ലോമെറുലോനെഫ്രൈറ്റിസ്
hypothyroidism,0.0,0.75,ഹൈപ്പോതൈറോയിഡിസം
diphtheria,0.0,0.75,ഡിഫ്തീരിയ
pneumonia,0.0,0.75,ന്യുമോണിയ
abetalipoproteinemia,0.0,0.75,abetalipoproteinemia
hypobetalipoproteinemia,0.0,0.75,ഹൈപ്പോബെറ്റാലിപോപ്രോട്ടിനെമിയ
lysinemia,0.0,0.75,ലൈസിനീമിയ
thrombasthenia,0.0,0.75,thrombasthenia
tyrosinemia,0.125,0.75,ടൈറോസിനീമിയ
angina,0.0,0.75,ആഞ്ജീന
blain,0.0,0.875,ബ്ലെയ്ൻ
cystitis,0.0,0.75,cystitis
malnutrition,0.0,0.75,പോഷകാഹാരക്കുറവ്
kwashiorkor,0.0,0.75,kwashiorkor
myopathy,0.125,0.75,മയോപ്പതി
erythema,0.0,0.75,എറിത്തമ
livedo,0.0,0.75,ലിവ്ഡോ
granuloma,0.0,0.75,ഗ്രാനുലോമ
arteritis,0.0,0.75,ആർട്ടറിറ്റിസ്
blepharitis,0.0,0.875,ബ്ലെഫറിറ്റിസ്
sprain,0.0,0.75,ഉളുക്ക്
bubo,0.0,0.875,ബൂബോ
throe,0.0,0.875,തൊണ്ട
dysmenorrhea,0.0,0.75,ഡിസ്മനോറിയ
odynophagia,0.125,0.75,odynophagia
ulalgia,0.0,0.75,ulalgia
cholangitis,0.0,0.75,ചോളങ്കൈറ്റിസ്
cholecystitis,0.0,0.75,കോളിസിസ്റ്റൈറ്റിസ്
diverticulitis,0.0,0.875,diverticulitis
endarteritis,0.0,0.75,endarteritis
epididymitis,0.0,0.75,എപ്പിഡിഡൈമിറ്റിസ്
gastritis,0.0,0.75,ഗ്യാസ്ട്രൈറ്റിസ്
keratitis,0.0,0.75,കെരാറ്റിറ്റിസ്
oophoritis,0.0,0.75,ophhoritis
orchitis,0.0,0.875,ഓർക്കിറ്റിസ്
pancreatitis,0.0,0.75,പാൻക്രിയാറ്റിസ്
prostatitis,0.0,0.875,പ്രോസ്റ്റാറ്റിറ്റിസ്
spondylitis,0.0,0.75,സ്‌പോണ്ടിലൈറ്റിസ്
ulitis,0.0,0.75,ulitis
ureteritis,0.0,0.75,ureteritis
vesiculitis,0.0,0.75,വെസിക്കുലൈറ്റിസ്
automysophobia,0.0,0.75,ഓട്ടോമിസോഫോബിയ
encopresis,0.0,0.75,എൻ‌കോപ്രെസിസ്
melancholia,0.125,0.75,മെലാഞ്ചോലിയ
throe,0.0,0.875,തൊണ്ട
cleanness,0.125,0.75,ശുചിത്വം
porphyria,0.125,0.75,പോർഫിറിയ
ergotism,0.0,0.75,ergotism
astasia,0.125,0.75,അസ്റ്റാസിയ
sequela,0.0,0.75,ശിഷ്യത്വം
analgesia,0.0,0.75,വേദനസംഹാരി
urethritis,0.0,0.75,മൂത്രനാളി
oligospermia,0.0,0.75,ഒലിഗോസ്‌പെർമിയ
tenesmus,0.0,0.75,ടെനെസ്മസ്
gum-lac,0.0,0.75,ഗം-ലാക്
negatively,0.0,0.75,നെഗറ്റീവ് ആയി
indirectly,0.0,0.75,പരോക്ഷമായി
have,0.0,0.75,ഉണ്ട്
obstipate,0.0,0.75,തടസ്സപ്പെടുത്തുക
bloat,0.0,0.75,വീർക്കുക
putrefy,0.0,0.75,putrefy
curdle,0.0,0.875,തൈര്
cleanse,0.0,0.75,ശുദ്ധീകരിക്കുക
whoop,0.25,0.75,ഹൂപ്പ്
speculate,0.0,0.75,ulate ഹിക്കുക
out-herod,0.0,0.875,-ട്ട്-ഹെറോഡ്
invade,0.0,0.75,ആക്രമിക്കുക
lacerate,0.125,0.75,lacerate
tribulate,0.0,0.75,കഷ്ടം
abreact,0.0,0.875,abreact
humbug,0.0,0.875,വിനയം
moot,0.0,-0.9,moot
stingingly,0.0,-0.9,കർക്കശമായി
ire,0.0,-0.9,ire
unlawful,0.0,-0.9,നിയമവിരുദ്ധം
overstates,0.0,-0.9,ഓവർസ്റ്റേറ്റുകൾ
sloow,0.0,-0.9,സ്ലോ
pervasive,0.0,-0.9,വ്യാപകമായ
tangles,0.0,-0.9,സങ്കീർണതകൾ
distressingly,0.0,-0.9,സങ്കടത്തോടെ
outrageousness,0.0,-0.9,പ്രകോപനം
prejudices,0.0,-0.9,മുൻവിധികൾ
retaliatory,0.0,-0.9,പ്രതികാരം
insufficient,0.0,-0.9,അപര്യാപ്തമാണ്
grudging,0.0,-0.9,പക
unfeeling,0.0,-0.9,അനുഭവപ്പെടാത്ത
desert,0.0,-0.9,ഏകാന്ത
damnation,0.0,-0.9,നാശം
despairingly,0.0,-0.9,നിരാശയോടെ
frightening,0.0,-0.9,ഭയപ്പെടുത്തുന്ന
unethical,0.0,-0.9,അസാന്മാര്ഗ്ഗികമായ
dent,0.0,-0.9,ഡെന്റ്
bores,0.0,-0.9,ദ്വാരങ്ങൾ
unexpected,0.0,-0.9,അപ്രതീക്ഷിതം
contemptible,0.0,-0.9,നിന്ദ്യമാണ്
drab,0.0,-0.9,കൊല്ലുക
adulterate,0.0,-0.9,മായം ചേർക്കുക
martyrdom-seeking,0.0,-0.9,രക്തസാക്ഷിത്വം തേടൽ
spade,0.0,-0.9,സ്പേഡ്
downside,0.0,-0.9,ദോഷം
prohibitively,0.0,-0.9,നിരോധിച്ചിരിക്കുന്നു
unwell,0.0,-0.9,അസുഖം
vicious,0.0,-0.9,നീചൻ
unsupportive,0.0,-0.9,പിന്തുണയ്‌ക്കാത്ത
frigid,0.0,-0.9,ശീതീകരിച്ച
brainless,0.0,-0.9,ബുദ്ധിശൂന്യമായ
obnoxiously,0.0,-0.9,മ്ലേച്ഛതയോടെ
bullshit,0.0,-0.9,ബുൾഷിറ്റ്
bedlamite,0.0,-0.9,ബെഡ്‌ലാമൈറ്റ്
painful,0.0,-0.9,വേദനാജനകമാണ്
illness,0.0,-0.9,അസുഖം
bombard,0.0,-0.9,ബോംബാർഡ്
sneakily,0.0,-0.9,ലഘുവായി
hustler,0.0,-0.9,ഹസ്‌ലർ
fallacy,0.0,-0.9,വീഴ്ച
spoils,0.0,-0.9,കൊള്ളയടിക്കുന്നു
twist,0.0,-0.9,വളച്ചൊടിക്കുക
misunderstood,0.0,-0.9,തെറ്റിദ്ധരിക്കുക
sluts,0.0,-0.9,ചേരികൾ
ghastly,0.0,-0.9,ഭയാനകമായി
destitution,0.0,-0.9,അനാഥത്വം
imminently,0.0,-0.9,ആസന്നമായി
mope,0.0,-0.9,മോപ്പ്
complication,0.0,-0.9,സങ്കീർണത
heathen,0.0,-0.9,വിജാതീയർ
rip,0.0,-0.9,ആർഐപി
scandal,0.0,-0.9,കോഴ
anguish,0.0,-0.9,വേദന
fruitless,0.0,-0.9,ഫലമില്ലാത്തത്
cash-strapped,0.0,-0.9,പണമടച്ച
sarcastically,0.0,-0.9,പരിഹാസത്തോടെ
steal,0.0,-0.9,മോഷ്ടിക്കുക
admonition,0.0,-0.9,ഉദ്‌ബോധനം
ill-fated,0.0,-0.9,മോശം
longing,0.0,-0.9,വാഞ്‌ഛ
dreadfully,0.0,-0.9,ഭയങ്കര
mournful,0.0,-0.9,വിലാപം
weakening,0.0,-0.9,ദുർബലപ്പെടുത്തുന്നു
stew,0.0,-0.9,പായസം
amiss,0.0,-0.9,തെറ്റാണ്
