Term,PosScore,NegScore,Oriya
light-duty,0.0,0.75,ହାଲୁକା କର୍ତ୍ତବ୍ୟ |
low-level,0.0,0.75,ନିମ୍ନ ସ୍ତର
nonimitative,0.0,0.75,ଅଣ-ଗୁଣାତ୍ମକ
yellow,0.0,0.75,ହଳଦିଆ
insoluble,0.0,0.75,ଅବିସ୍ମରଣୀୟ |
torrid,0.0,0.75,torrid
stygian,0.0,0.75,stygian
undesigned,0.0,0.75,ଅଜ୍ଞାତ |
unsmoothed,0.0,0.75,ଅଣସଂରକ୍ଷିତ |
anisotropic,0.0,0.75,ଆନିସୋଟ୍ରୋପିକ୍ |
bittersweet,0.0,0.75,ବିଟର୍ସ୍ୱିଟ୍ |
joyless,0.125,0.75,ଆନନ୍ଦହୀନ |
unsmiling,0.0,0.75,ଅସନ୍ତୁଷ୍ଟ
watertight,0.0,0.75,ୱାଟରାଇଟ୍ |
unlisted,0.0,0.75,ତାଲିକାଭୁକ୍ତ ନୁହେଁ |
unextended,0.0,0.75,ଅନାବଶ୍ୟକ |
stray,0.0,0.75,ଭ୍ରମଣ
straying,0.0,0.75,ଭ୍ରମଣ
apotropaic,0.0,0.75,ଆପୋଟ୍ରୋପିକ୍ |
unbranded,0.0,0.75,ଅବ୍ୟବହୃତ
unfeminine,0.25,0.75,ଅବିସ୍ମରଣୀୟ |
unconcerned,0.0,0.75,ଅବହେଳିତ |
unsoldierly,0.0,0.75,ଅସନ୍ତୁଷ୍ଟ
immobile,0.0,0.75,ଗତିହୀନ |
unmodified,0.0,0.75,ଅଣମୋଦିତ |
unadapted,0.0,0.75,ଅନାବଶ୍ୟକ |
univalent,0.0,0.75,ଅସନ୍ତୁଷ୍ଟ
factitious,0.0,0.75,ସତ୍ୟବାଦୀ
supernatural,0.0,0.75,ଅଲ ern କିକ
grotty,0.0,0.875,ଘୃଣ୍ୟ
subnormal,0.0,0.75,ଅସାଧାରଣ
paranormal,0.0,0.875,ପରମାନନ୍ଦ
innocuous,0.0,0.75,ନିର୍ଦ୍ଦୋଷ |
unoccupied,0.0,0.75,ଅଣସଂଗଠିତ |
scrimy,0.0,1.0,ଘୃଣ୍ୟ
verminous,0.0,0.875,ଶବ୍ଦ
odoriferous,0.222,0.778,ଦୁର୍ଗନ୍ଧଯୁକ୍ତ
unofficial,0.0,0.75,ଅଣଅନୁଷ୍ଠାନିକ |
unestablished,0.0,0.75,ଅସ୍ଥିର
off-street,0.0,0.75,ରାସ୍ତା
off-line,0.0,0.75,ଅଫ୍ ଲାଇନ୍ |
off,0.0,0.75,ବନ୍ଦ
inconvenient,0.0,0.75,ଅସୁବିଧାଜନକ
unopposed,0.0,0.75,ଅବିଭକ୍ତ
unmethodical,0.0,0.75,ଅସଂଖ୍ୟ |
artificial,0.0,0.75,କୃତ୍ରିମ
stunning,0.0,0.75,ଚମତ୍କାର |
underivative,0.0,0.875,ଅନ୍ତର୍ନିହିତ
unoriginal,0.0,0.75,ଆଦିବାସୀ
slavish,0.0,0.75,ସ୍ଲାଭିଶ୍
painless,0.0,0.75,ଯନ୍ତ୍ରଣାହୀନ |
unpainted,0.0,0.875,ଅଙ୍କିତ |
unoiled,0.0,0.75,ଅନାବୃତ
unpaintable,0.0,0.75,ଅବିସ୍ମରଣୀୟ |
unpalatable,0.125,0.75,ଅପ୍ରୀତିକର |
unforbearing,0.0,0.875,ଅସହ୍ୟ
unpaved,0.0,0.75,ଅନାବଶ୍ୟକ
unpeaceful,0.0,0.75,ଅଶାନ୍ତ
unpeaceable,0.0,0.875,ଅବିସ୍ମରଣୀୟ |
inadmissible,0.0,0.75,ଗ୍ରହଣଯୋଗ୍ୟ ନୁହେଁ
unpermissive,0.125,0.75,ଅବିସ୍ମରଣୀୟ |
unperplexed,0.0,0.75,ଅସନ୍ତୁଷ୍ଟ
impenetrable,0.0,0.75,ଅସମ୍ଭବ
rot-resistant,0.0,0.75,ଘୂର୍ଣ୍ଣନ ପ୍ରତିରୋଧକ |
nonpsychoactive,0.0,0.75,ଅଣ-ସାଇକୋଆକ୍ଟିଭ୍ |
off-putting,0.0,0.75,ବନ୍ଦ କରିବା
raw,0.0,0.75,କଞ୍ଚା |
imponderable,0.0,0.875,ଅପରିହାର୍ଯ୍ୟ |
neutral,0.125,0.75,ନିରପେକ୍ଷ |
out,0.0,0.875,ବାହାରେ
unfunctional,0.0,0.75,କାର୍ଯ୍ୟକ୍ଷମ ନୁହେଁ |
cretinous,0.0,0.875,କ୍ରେଟିନସ୍
secondary,0.0,0.75,ଦ୍ secondary ିତୀୟ
nonpublic,0.0,0.75,ଅଣ-ଜନସାଧାରଣ |
lay,0.0,0.75,ଶଯ୍ୟା
lean,0.125,0.75,ପତଳା |
unremunerative,0.0,0.75,ଅପ୍ରାକୃତିକ |
out-of-the-way,0.0,0.75,ବାହାଘର
unimpeachable,0.0,0.75,ଅବିସ୍ମରଣୀୟ |
unquiet,0.0,0.75,ଅଶାନ୍ତ
flat-footed,0.0,0.75,ସମତଳ
unprocessed,0.0,0.75,ପ୍ରକ୍ରିୟାକରଣ
untreated,0.0,0.75,ଚିକିତ୍ସା କରାଯାଇ ନାହିଁ
raw,0.0,0.75,କଞ୍ଚା |
untreated,0.0,0.875,ଚିକିତ୍ସା କରାଯାଇ ନାହିଁ
assimilative,0.0,0.75,ଆସ୍ମିଲେଟିଭ୍ |
unexpansive,0.0,0.75,ଅବିସ୍ମରଣୀୟ |
moneyless,0.0,0.75,ଅର୍ଥହୀନ |
out,0.0,0.75,ବାହାରେ
manic-depressive,0.0,0.75,ମାଣିକ-ଉଦାସୀନ |
psychotic,0.0,0.75,ମନସ୍ତାତ୍ତ୍ୱିକ
saturnine,0.125,0.75,ଶନି
unconscientious,0.0,0.75,ଅଜ୍ଞ
fail-safe,0.0,0.75,ବିଫଳ-ନିରାପଦ |
junior,0.0,0.75,କନିଷ୍ଠ
frivolous,0.0,0.75,ଅମୂଲ୍ୟ
broken-down,0.0,0.875,ଭଙ୍ଗା
nonresident,0.0,0.75,ଅଣ-ରାଷ୍ଟ୍ରପତି
nonnomadic,0.0,0.75,ଅଣନୋମାଡିକ୍ |
unformed,0.0,0.75,ଅସଂଗଠିତ |
FALSE,0.125,0.75,ମିଥ୍ୟା
feigned,0.125,0.875,ଚିତ୍ରିତ |
unsized,0.0,0.75,ଅଣ ଆକାରର |
unsorted,0.0,0.75,ଅଣସଂରକ୍ଷିତ
unshuttered,0.0,0.75,ଅଣସଂରକ୍ଷିତ |
unsociable,0.0,0.75,ଅବିଭକ୍ତ
ungregarious,0.0,0.75,ଅବହେଳିତ |
unsold,0.0,0.75,ବିକ୍ରି ହୋଇନାହିଁ |
nonstandard,0.125,0.75,ଷ୍ଟାଣ୍ଡାର୍ଡ
nonstandard,0.125,0.875,ଷ୍ଟାଣ୍ଡାର୍ଡ
nonnormative,0.0,0.75,ଅସାଧାରଣ
nonstandard,0.0,0.75,ଷ୍ଟାଣ୍ଡାର୍ଡ
unstressed,0.0,0.75,ଅନାବଶ୍ୟକ |
low-grade,0.222,0.778,ନିମ୍ନ-ଗ୍ରେଡ୍
unimpressionable,0.0,0.75,ଅପ୍ରତ୍ୟାଶିତ |
soured,0.0,0.75,ଖରାପ
unsuspected,0.125,0.75,ଅପ୍ରତ୍ୟାଶିତ |
unswept,0.0,0.75,ଅଣସଂରକ୍ଷିତ |
unsympathetic,0.0,0.875,ଅସନ୍ତୁଷ୍ଟ
temperate,0.125,0.75,ସ୍ୱଭାବିକ
unkempt,0.0,0.75,ଅବହେଳିତ |
ungroomed,0.125,0.75,ଅଣସଂଗଠିତ |
intolerant,0.125,0.75,ଅସହିଷ୍ଣୁ |
intestate,0.0,0.75,ଅନ୍ତନଳୀ
tough,0.0,0.75,କଠିନ
unmalleable,0.0,0.75,ଅବିସ୍ମରଣୀୟ |
FALSE,0.0,0.75,ମିଥ୍ୟା
undivided,0.0,0.875,ଅବିଭାଜିତ |
dystopian,0.0,0.75,ଡିଷ୍ଟୋପିଆନ୍
FALSE,0.0,0.75,ମିଥ୍ୟା
manky,0.3,0.7,ମାନକି
occult,0.0,0.875,ଜ୍ୟୋତିଷ
consumptive,0.0,0.75,ଗ୍ରାହକ
dyspeptic,0.0,0.75,ଡିସପେପ୍ଟିକ୍ |
palsied,0.0,0.75,ପକ୍ଷାଘାତ
scrofulous,0.0,0.875,ଘୃଣ୍ୟ
unwholesome,0.125,0.75,ଅସ୍ୱାସ୍ଥ୍ୟକର |
benign,0.0,0.75,ଉତ୍ତମ
immunodeficient,0.0,0.75,ପ୍ରତିରୋପଣ
anasarcous,0.0,0.75,ଅନାସର୍କସ୍ |
immunocompromised,0.0,0.75,ପ୍ରତିରୋପଣ
aversive,0.125,0.75,ଘୃଣ୍ୟ
nonenzymatic,0.0,0.75,nonenzymatic
tetanic,0.0,0.75,ଟିଟାନିକ୍ |
tetanic,0.0,0.75,ଟିଟାନିକ୍ |
unposed,0.0,0.75,ଅନାବଶ୍ୟକ |
conquest,0.0,0.75,ଜୟ
hyperemesis,0.0,0.75,ହାଇପରମେସିସ୍
bronchospasm,0.0,0.75,ବ୍ରୋଙ୍କୋସ୍ପାସ୍ |
palliation,0.0,0.75,ପଲ୍ଲିଏସନ୍ |
overexertion,0.0,0.875,ଅତ୍ୟଧିକ ପରିଶ୍ରମ
abduction,0.0,1.0,ଅପହରଣ
scatophagy,0.0,0.75,ସ୍କାଟୋଫାଗି |
underproduction,0.0,0.75,ଉତ୍ପାଦନ
armageddon,0.0,0.75,ଆର୍ମାଗେଡନ୍ |
misdeal,0.0,0.75,ଭୁଲ
rotavirus,0.0,0.75,ରୋଟାଭାଇରସ୍ |
rockweed,0.0,0.75,ରକ୍ୱିଡ୍ |
kitsch,0.125,0.75,କିଟ୍
lenitive,0.0,0.875,lenitive
stinker,0.0,0.75,ଗନ୍ଧ
disagreeableness,0.0,0.875,ମତଭେଦ
levity,0.125,0.875,ଲେଭିଟି
unapproachability,0.125,0.75,ଅନୁପଯୁକ୍ତତା |
unfriendliness,0.0,0.875,ବନ୍ଧୁତା
uncongeniality,0.25,0.75,ଅସଙ୍ଗତି
unneighborliness,0.0,0.875,ଅନାବଶ୍ୟକତା |
unpleasingness,0.125,0.75,ଅସନ୍ତୁଷ୍ଟ
shiftiness,0.125,0.75,ପରିବର୍ତ୍ତନ
granite,0.0,0.75,ଗ୍ରାନାଇଟ୍ |
disagreeableness,0.125,0.875,ମତଭେଦ
beastliness,0.0,0.75,ପଶୁ
unnaturalness,0.0,0.875,ଅପ୍ରାକୃତିକତା |
inadmissibility,0.125,0.75,ଅଯୋଗ୍ୟତା
usualness,0.125,0.75,ସାଧାରଣତା
nonconformity,0.0,0.75,ଅସଙ୍ଗତି
illegitimacy,0.0,0.875,ଅବ il ଧତା |
illicitness,0.0,0.75,ଅବ icit ଧତା |
elusiveness,0.125,0.75,ଅପବ୍ୟବହାର
wrongness,0.125,0.75,ଭୁଲ
incorruptibility,0.25,0.75,ଅକ୍ଷୟ
lightheadedness,0.0,0.75,ହାଲୁକା
indelicacy,0.125,0.75,ଅପାରଗତା |
staleness,0.0,0.75,ସ୍ଥିରତା
hardness,0.0,0.875,କଠିନତା
vulnerability,0.0,0.875,ଦୁର୍ବଳତା
tardiness,0.125,0.75,tardiness
inessentiality,0.125,0.75,ଅନାବଶ୍ୟକତା |
defensibility,0.25,0.75,ପ୍ରତିରକ୍ଷା ଯୋଗ୍ୟତା |
snootiness,0.125,0.75,ଗୁପ୍ତଚର |
cholecystokinin,0.0,0.75,କୋଲେସିଷ୍ଟୋକିନିନ୍ |
feeblemindedness,0.0,0.75,ଦୁର୍ବଳତା
insensibility,0.0,0.75,ସମ୍ବେଦନଶୀଳତା |
hydra,0.0,0.75,ହାଇଡ୍ରା
pisser,0.0,0.75,ପିସ୍
pruritus,0.0,0.75,pruritus
pill,0.0,0.875,ବଟିକା
kink,0.0,0.75,କିଙ୍କ୍
casuistry,0.0,0.75,କାଜୁଷ୍ଟ୍ରି
reprobation,0.0,0.75,ପ୍ରତିବାଦ
unfairness,0.125,0.75,ଅନ୍ୟାୟ
stricture,0.0,0.75,କଠୋରତା |
canard,0.0,0.875,ବତକ
excoriation,0.0,0.875,ଉତ୍ତେଜନା
accident,0.0,0.75,ଦୁର୍ଘଟଣା
resolution,0.0,0.75,ରେଜୋଲୁସନ
fire,0.0,0.75,ଅଗ୍ନି
wistfulness,0.0,0.75,ଚତୁରତା
mysophilia,0.0,0.75,ମାଇସୋଫିଲିଆ |
creepy-crawlies,0.125,0.75,କ୍ରପି-କ୍ରଲ୍
unconcern,0.0,0.75,ଅସାବଧାନତା |
conscience,0.125,0.75,ଚେତନା
levity,0.125,0.875,ଲେଭିଟି
sensibility,0.25,0.75,ସମ୍ବେଦନଶୀଳତା |
dolefulness,0.0,0.875,dolefulness
heavyheartedness,0.125,0.75,ଭାରି ହୃଦୟ
self-pity,0.125,0.75,ଆତ୍ମ-ଦୟା
dysphoria,0.0,0.75,ଡିସଫୋରିଆ |
moodiness,0.125,0.875,ମନୋବଳ
plonk,0.0,0.875,plonk
gridlock,0.0,0.75,ଗ୍ରୀଡ୍ଲକ୍ |
aphasic,0.0,0.75,ଆପାସିକ୍ |
asthmatic,0.0,0.75,ଶ୍ୱାସରୋଗ
choker,0.0,0.75,ଚକର୍
hobbledehoy,0.0,0.875,ହବ୍ଲେଡେହୋଇ |
jerry-builder,0.0,0.75,ଜେରୀ-ବିଲଡର୍ |
motormouth,0.0,1.0,ମୋଟର ମୁଖ
patzer,0.0,0.875,ତ୍ରୁଟି
seducer,0.0,0.75,ପ୍ରଲୋଭନକାରୀ |
third-rater,0.0,0.75,ତୃତୀୟ-ରେଟର
torturer,0.0,0.75,ନିର୍ଯାତନା
yenta,0.0,0.75,ୟେଣ୍ଟା
accumulation,0.0,0.75,ଜମା
earthquake,0.0,0.875,ଭୂକମ୍ପ
insomnia,0.0,0.75,ଅନିଦ୍ରା
anoxia,0.0,0.75,ଆନାକ୍ସିଆ |
dysphagia,0.125,0.75,ଡିସଫାଗିଆ |
dysuria,0.0,0.875,ଡିସୁରିଆ
dystrophy,0.0,0.75,ଡିଷ୍ଟ୍ରୋଫି
invalidism,0.0,0.875,ଅବ alid ଧତା |
amyloidosis,0.0,0.75,ଆମିଲୋଏଡୋସିସ୍ |
neurasthenia,0.0,0.75,ନ୍ୟୁରାଷ୍ଟେନିଆ
gingivitis,0.0,0.75,ଜିଙ୍ଗିଭାଇଟିସ୍
glomerulonephritis,0.0,0.75,ଗ୍ଲୋମେରୁଲୋନେଫ୍ରାଇଟିସ୍ |
hypothyroidism,0.0,0.75,ହାଇପୋଥାଇରଏଡିଜିମ୍ |
diphtheria,0.0,0.75,ଡିଫଥେରିଆ |
pneumonia,0.0,0.75,ନିମୋନିଆ
abetalipoproteinemia,0.0,0.75,abetalipoproteinemia
hypobetalipoproteinemia,0.0,0.75,ହାଇପୋବେଟାଲିପୋପ୍ରୋଟେନେମିଆ |
lysinemia,0.0,0.75,ଲାଇସେନେମିଆ
thrombasthenia,0.0,0.75,ଥ୍ରୋମାଷ୍ଟେନିଆ |
tyrosinemia,0.125,0.75,ଟାଇରୋସିନେମିଆ
angina,0.0,0.75,ଆଞ୍ଜିନା |
blain,0.0,0.875,ବ୍ଲେନ୍
cystitis,0.0,0.75,ସିଷ୍ଟାଇଟିସ୍
malnutrition,0.0,0.75,ପୁଷ୍ଟିହୀନତା
kwashiorkor,0.0,0.75,kwashiorkor
myopathy,0.125,0.75,ମାୟୋପାଥି
erythema,0.0,0.75,ଏରିଥେମା
livedo,0.0,0.75,livedo
granuloma,0.0,0.75,ଗ୍ରାନୁଲୋମା |
arteritis,0.0,0.75,ଧମନୀ
blepharitis,0.0,0.875,ବ୍ଲେଫାରାଇଟିସ୍
sprain,0.0,0.75,ସ୍ପ୍ରେନ୍
bubo,0.0,0.875,ବୁବୋ |
throe,0.0,0.875,ଗଳା
dysmenorrhea,0.0,0.75,ଡିସମେନୋରିଆ
odynophagia,0.125,0.75,ଓଡିନୋଫାଗିଆ |
ulalgia,0.0,0.75,ulalgia
cholangitis,0.0,0.75,କୋଲାଙ୍ଗାଇଟିସ୍
cholecystitis,0.0,0.75,କୋଲେସିଷ୍ଟାଇଟିସ୍
diverticulitis,0.0,0.875,ଡାଇଭର୍ଟିକୁଲାଇଟିସ୍ |
endarteritis,0.0,0.75,ଏଣ୍ଡାର୍ଟେରାଇଟିସ୍ |
epididymitis,0.0,0.75,epididymitis
gastritis,0.0,0.75,ଗ୍ୟାଷ୍ଟ୍ରାଇଟିସ୍
keratitis,0.0,0.75,କିରାଟାଇଟିସ୍ |
oophoritis,0.0,0.75,ଓଫୋରିଟିସ୍ |
orchitis,0.0,0.875,ଅର୍କାଇଟିସ୍ |
pancreatitis,0.0,0.75,ଅଗ୍ନାଶୟ ରୋଗ
prostatitis,0.0,0.875,ପ୍ରୋଷ୍ଟାଟାଇଟିସ୍ |
spondylitis,0.0,0.75,ସ୍ପଣ୍ଡିଲାଇଟିସ୍ |
ulitis,0.0,0.75,ଅଲାଇଟିସ୍
ureteritis,0.0,0.75,ୟୁରେଟେରାଇଟିସ୍
vesiculitis,0.0,0.75,ଭେସିକୁଲାଇଟିସ୍ |
automysophobia,0.0,0.75,ଅଟୋମୋସୋଫୋବିୟା |
encopresis,0.0,0.75,ଏନକୋପ୍ରେସିସ୍ |
melancholia,0.125,0.75,ମେଲାନକୋଲିଆ |
throe,0.0,0.875,ଗଳା
cleanness,0.125,0.75,ପରିଷ୍କାରତା
porphyria,0.125,0.75,ପୋର୍ଫିରିଆ |
ergotism,0.0,0.75,ergotism
astasia,0.125,0.75,ଆଷ୍ଟାସିଆ |
sequela,0.0,0.75,ଶିଷ୍ୟତା
analgesia,0.0,0.75,ଆନାଲେଜିଆ |
urethritis,0.0,0.75,ମୂତ୍ରାଶୟ
oligospermia,0.0,0.75,ଅଲିଗୋସ୍ପର୍ମିଆ |
tenesmus,0.0,0.75,ଟେନେସମସ୍ |
gum-lac,0.0,0.75,gum-lac
negatively,0.0,0.75,ନକାରାତ୍ମକ
indirectly,0.0,0.75,ପରୋକ୍ଷରେ |
have,0.0,0.75,ଅଛି
obstipate,0.0,0.75,ବାଧା
bloat,0.0,0.75,ଫୁଲ
putrefy,0.0,0.75,putrefy
curdle,0.0,0.875,କଦଳୀ
cleanse,0.0,0.75,ସଫା କର |
whoop,0.25,0.75,ହଉ
speculate,0.0,0.75,ଅନୁମାନ କର
out-herod,0.0,0.875,ବାହାଘର
invade,0.0,0.75,ଆକ୍ରମଣ
lacerate,0.125,0.75,ଲେସେରେଟ୍ |
tribulate,0.0,0.75,ଶ୍ରଦ୍ଧାଳୁ
abreact,0.0,0.875,ଅବକ୍ଷୟ
humbug,0.0,0.875,ହମ୍ବୁଗ୍
moot,0.0,-0.9,ମଟ୍
stingingly,0.0,-0.9,କଳଙ୍କିତ ଭାବରେ |
ire,0.0,-0.9,କ୍ରୋଧ
unlawful,0.0,-0.9,ବେଆଇନ୍ |
overstates,0.0,-0.9,ଓଭରଷ୍ଟେଟ୍ |
sloow,0.0,-0.9,ସ୍ଲୋ
pervasive,0.0,-0.9,ବିସ୍ତାର
tangles,0.0,-0.9,ଟାଙ୍ଗଲ୍ସ |
distressingly,0.0,-0.9,ଦୁ distress ଖଦାୟକ |
outrageousness,0.0,-0.9,ଅସନ୍ତୋଷ
prejudices,0.0,-0.9,କୁସଂସ୍କାର
retaliatory,0.0,-0.9,ପ୍ରତିଶୋଧ
insufficient,0.0,-0.9,ପର୍ଯ୍ୟାପ୍ତ ନୁହେଁ
grudging,0.0,-0.9,ଦୁ ud ଖ
unfeeling,0.0,-0.9,ଅନୁଭବ
desert,0.0,-0.9,ମରୁଭୂମି
damnation,0.0,-0.9,ଅଭିଶାପ
despairingly,0.0,-0.9,ନିରାଶାରେ
frightening,0.0,-0.9,ଭୟାବହ
