Term,PosScore,NegScore,Telugu
paranormal,0.0,0.875,పారానార్మల్
innocuous,0.0,0.75,హానికరం
unoccupied,0.0,0.75,ఖాళీగా
scrimy,0.0,1.0,scrimy
verminous,0.0,0.875,verminous
odoriferous,0.222,0.778,గుబాళించే
unofficial,0.0,0.75,అనధికారిక
unestablished,0.0,0.75,unestablished
off-street,0.0,0.75,ఆఫ్ స్ట్రీట్
off-line,0.0,0.75,ఆఫ్ లైన్
off,0.0,0.75,ఆఫ్
inconvenient,0.0,0.75,అసౌకర్యంగా
unopposed,0.0,0.75,ఏకగ్రీవంగా
unmethodical,0.0,0.75,unmethodical
artificial,0.0,0.75,కృత్రిమ
stunning,0.0,0.75,అద్భుతమైన
underivative,0.0,0.875,underivative
unoriginal,0.0,0.75,అసహజంగా
slavish,0.0,0.75,క్షుద్రమైన
painless,0.0,0.75,నొప్పిలేకుండా
unpainted,0.0,0.875,రంగులు
unoiled,0.0,0.75,unoiled
unpaintable,0.0,0.75,unpaintable
unpalatable,0.125,0.75,చప్పగా ఉన్నట్లు
unforbearing,0.0,0.875,unforbearing
unpaved,0.0,0.75,చదును చేయబడని
unpeaceful,0.0,0.75,unpeaceful
unpeaceable,0.0,0.875,unpeaceable
inadmissible,0.0,0.75,వీలుకాని
unpermissive,0.125,0.75,unpermissive
unperplexed,0.0,0.75,సరళమైన
impenetrable,0.0,0.75,అభేద్యమైన
rot-resistant,0.0,0.75,తెగులు నిరోధక
nonpsychoactive,0.0,0.75,nonpsychoactive
off-putting,0.0,0.75,ఆఫ్-పెట్టటం
raw,0.0,0.75,ముడి
imponderable,0.0,0.875,కొలతకు అందని
neutral,0.125,0.75,తటస్థ
out,0.0,0.875,బయటకు
unfunctional,0.0,0.75,unfunctional
cretinous,0.0,0.875,cretinous
secondary,0.0,0.75,ద్వితీయ
nonpublic,0.0,0.75,ప్రభుత్వేతర
lay,0.0,0.75,లే
lean,0.125,0.75,లీన్
unremunerative,0.0,0.75,ఆదాయం లేని
out-of-the-way,0.0,0.75,వెలుపల-మార్గం
unimpeachable,0.0,0.75,మచ్చ లేని
unquiet,0.0,0.75,నెమ్మది లేని
flat-footed,0.0,0.75,చదునైన పాదంతో
unprocessed,0.0,0.75,సంవిధానపరచని
untreated,0.0,0.75,చికిత్స చేయని
raw,0.0,0.75,ముడి
untreated,0.0,0.875,చికిత్స చేయని
assimilative,0.0,0.75,అస్సిమిలేటివ్
unexpansive,0.0,0.75,unexpansive
moneyless,0.0,0.75,moneyless
out,0.0,0.75,బయటకు
manic-depressive,0.0,0.75,మానిక్-డిప్రెసివ్
psychotic,0.0,0.75,మతిభ్రమించిన
saturnine,0.125,0.75,saturnine
unconscientious,0.0,0.75,unconscientious
fail-safe,0.0,0.75,సురక్షితంగా వైఫల్యం
junior,0.0,0.75,జూనియర్
frivolous,0.0,0.75,పనికిమాలిన
broken-down,0.0,0.875,పగిలి పోయిన
nonresident,0.0,0.75,&#39;ప్రవాస
nonnomadic,0.0,0.75,nonnomadic
unformed,0.0,0.75,రూపం లేని
FALSE,0.125,0.75,FALSE
feigned,0.125,0.875,పట్టినట్లు
unsized,0.0,0.75,తేమను స్థిరంగా ఉంచడానికి వర్గీకరించబడని
unsorted,0.0,0.75,క్రమబద్ధీకరించనిది
unshuttered,0.0,0.75,unshuttered
unsociable,0.0,0.75,స్నేహభావం లేని
ungregarious,0.0,0.75,ungregarious
unsold,0.0,0.75,అమ్ముడుపోని
nonstandard,0.125,0.75,స్థాయి లేని
nonstandard,0.125,0.875,స్థాయి లేని
nonnormative,0.0,0.75,nonnormative
nonstandard,0.0,0.75,స్థాయి లేని
unstressed,0.0,0.75,ఒత్తిపలకని
low-grade,0.222,0.778,తక్కువ శ్రేణి
unimpressionable,0.0,0.75,unimpressionable
soured,0.0,0.75,పలచబడింది
unsuspected,0.125,0.75,అనుమానించని
unswept,0.0,0.75,unswept
unsympathetic,0.0,0.875,జాలి లేకుండా
temperate,0.125,0.75,సమశీతోష్ణ
unkempt,0.0,0.75,అశుభ్రమైన
ungroomed,0.125,0.75,ungroomed
intolerant,0.125,0.75,సరిపడని
intestate,0.0,0.75,వీలునామా వ్రాయకుండా
tough,0.0,0.75,కఠినమైన
unmalleable,0.0,0.75,కొట్టి సన్నని రేకులుగా లేక కావాల్సిన ఆకారం కల్గించ వీలు కాని
FALSE,0.0,0.75,FALSE
undivided,0.0,0.875,అవిభక్త
dystopian,0.0,0.75,డిస్టోపియా
FALSE,0.0,0.75,FALSE
manky,0.3,0.7,manky
occult,0.0,0.875,క్షుద్ర
consumptive,0.0,0.75,వినియోగిత
dyspeptic,0.0,0.75,dyspeptic
palsied,0.0,0.75,palsied
scrofulous,0.0,0.875,scrofulous
unwholesome,0.125,0.75,రోగమును
benign,0.0,0.75,నిరపాయమైన
immunodeficient,0.0,0.75,రోగ నిరోధక శక్తి
anasarcous,0.0,0.75,anasarcous
immunocompromised,0.0,0.75,రోగ నిరోధక శక్తి
aversive,0.125,0.75,అయిష్ట
nonenzymatic,0.0,0.75,nonenzymatic
tetanic,0.0,0.75,tetanic
tetanic,0.0,0.75,tetanic
unposed,0.0,0.75,unposed
conquest,0.0,0.75,ఆక్రమణ
hyperemesis,0.0,0.75,అథికముగా
bronchospasm,0.0,0.75,పిల్లికూతలు విన పడుట
palliation,0.0,0.75,palliation
overexertion,0.0,0.875,అధికశ్రమ
abduction,0.0,1.0,అపహరణ
scatophagy,0.0,0.75,మల భోజి
underproduction,0.0,0.75,underproduction
armageddon,0.0,0.75,ఆర్మగెడాన్
misdeal,0.0,0.75,misdeal
rotavirus,0.0,0.75,వైరస్
rockweed,0.0,0.75,rockweed
kitsch,0.125,0.75,చవకబారు కృత్రిమ కళాసృష్టి
lenitive,0.0,0.875,ఉపశాంతి కలిగించే
stinker,0.0,0.75,వాసన
disagreeableness,0.0,0.875,disagreeableness
levity,0.125,0.875,చులకన
unapproachability,0.125,0.75,unapproachability
unfriendliness,0.0,0.875,unfriendliness
uncongeniality,0.25,0.75,uncongeniality
unneighborliness,0.0,0.875,unneighborliness
unpleasingness,0.125,0.75,unpleasingness
shiftiness,0.125,0.75,shiftiness
granite,0.0,0.75,గ్రానైట్
disagreeableness,0.125,0.875,disagreeableness
beastliness,0.0,0.75,పశుత్వం
unnaturalness,0.0,0.875,అసహజత్వ
inadmissibility,0.125,0.75,inadmissibility
usualness,0.125,0.75,usualness
nonconformity,0.0,0.75,స్వమతానుష్టన
illegitimacy,0.0,0.875,అధర్మం
illicitness,0.0,0.75,illicitness
elusiveness,0.125,0.75,elusiveness
wrongness,0.125,0.75,wrongness
incorruptibility,0.25,0.75,చెడిపోకుండా
lightheadedness,0.0,0.75,కమ్మడం
indelicacy,0.125,0.75,indelicacy
staleness,0.0,0.75,staleness
hardness,0.0,0.875,కాఠిన్యం
vulnerability,0.0,0.875,దాడిని
tardiness,0.125,0.75,tardiness
inessentiality,0.125,0.75,inessentiality
defensibility,0.25,0.75,defensibility
snootiness,0.125,0.75,snootiness
cholecystokinin,0.0,0.75,కొలెసిస్టోకినిన్
feeblemindedness,0.0,0.75,దుర్బల మనస్సు
insensibility,0.0,0.75,సృహలేకపోవడం
hydra,0.0,0.75,సులభంగా జయించవీలుకాని కీడు
pisser,0.0,0.75,విసర్జన
pruritus,0.0,0.75,ప్రురిటస్
pill,0.0,0.875,పిల్
kink,0.0,0.75,చిక్కుముడి
casuistry,0.0,0.75,ధర్మా ధర్మ విచారణ
reprobation,0.0,0.75,reprobation
unfairness,0.125,0.75,అన్యాయ
stricture,0.0,0.75,నింద
canard,0.0,0.875,డక్
excoriation,0.0,0.875,రసము
accident,0.0,0.75,ప్రమాదంలో
resolution,0.0,0.75,స్పష్టత
fire,0.0,0.75,ఫైర్
wistfulness,0.0,0.75,wistfulness
mysophilia,0.0,0.75,mysophilia
creepy-crawlies,0.125,0.75,గగుర్పాటు- crawlies
unconcern,0.0,0.75,అశ్రద్ద
conscience,0.125,0.75,తెలివిలో
levity,0.125,0.875,చులకన
sensibility,0.25,0.75,రసికతను
dolefulness,0.0,0.875,dolefulness
heavyheartedness,0.125,0.75,heavyheartedness
self-pity,0.125,0.75,స్వీయ జాలి
dysphoria,0.0,0.75,మనస్సుకు అసౌకర్యమైన స్థితి
moodiness,0.125,0.875,moodiness
plonk,0.0,0.875,plonk
gridlock,0.0,0.75,Gridlock
aphasic,0.0,0.75,మూగ
asthmatic,0.0,0.75,ఆస్త్మా
choker,0.0,0.75,చోకర్ ఫోర్
hobbledehoy,0.0,0.875,hobbledehoy
jerry-builder,0.0,0.75,జెర్రీ బిల్డర్
motormouth,0.0,1.0,మోటారు నోరు
patzer,0.0,0.875,తప్పు
seducer,0.0,0.75,సెడ్యూసర్
third-rater,0.0,0.75,మూడవ రేటర్
torturer,0.0,0.75,హింస
yenta,0.0,0.75,వాళ్ళు
accumulation,0.0,0.75,చేరడం
earthquake,0.0,0.875,భూకంపం
insomnia,0.0,0.75,నిద్రలేమితో
anoxia,0.0,0.75,వాయువు లేని పరిస్థితి
dysphagia,0.125,0.75,డైస్పేజియా
dysuria,0.0,0.875,మూత్రకృచ్రం
dystrophy,0.0,0.75,బలహీనత
invalidism,0.0,0.875,పనికిరానితనము
amyloidosis,0.0,0.75,అమైలాయిడోసిస్
neurasthenia,0.0,0.75,నరాల బలహీనత
gingivitis,0.0,0.75,చిగురువాపు
glomerulonephritis,0.0,0.75,గ్లొమెరులోనెఫ్రిటిస్
hypothyroidism,0.0,0.75,థైరాయిడ్
diphtheria,0.0,0.75,డిఫ్తీరియా
pneumonia,0.0,0.75,న్యుమోనియా
abetalipoproteinemia,0.0,0.75,abetalipoproteinemia
hypobetalipoproteinemia,0.0,0.75,hypobetalipoproteinemia
lysinemia,0.0,0.75,lysinemia
thrombasthenia,0.0,0.75,thrombasthenia
tyrosinemia,0.125,0.75,tyrosinemia
angina,0.0,0.75,ఆంజినా
blain,0.0,0.875,బొబ్బ
cystitis,0.0,0.75,సిస్టిటిస్
malnutrition,0.0,0.75,పోషకాహారలోపం
kwashiorkor,0.0,0.75,kwashiorkor
myopathy,0.125,0.75,హృదయకండర బలహీనత
erythema,0.0,0.75,ఎరిథీమ
livedo,0.0,0.75,లివెడో
granuloma,0.0,0.75,గుల్మం
arteritis,0.0,0.75,ఆర్థరైటిస్
blepharitis,0.0,0.875,కనురెప్పల శోధము
sprain,0.0,0.75,బెణుకు
bubo,0.0,0.875,రచయిత Bubo
throe,0.0,0.875,తీవ్రమైన బాధ
dysmenorrhea,0.0,0.75,డిస్మెనోరియా
odynophagia,0.125,0.75,మ్రింగునపుడు నొప్పి
ulalgia,0.0,0.75,ulalgia
cholangitis,0.0,0.75,పిట్టవాహిని
cholecystitis,0.0,0.75,కోలేసైస్టిటిస్
diverticulitis,0.0,0.875,అల్పకోశముయొక్క
endarteritis,0.0,0.75,ధమని కొన శోధము
epididymitis,0.0,0.75,ఎపిడిడైమిస్ యొక్క శోధము
gastritis,0.0,0.75,పుండ్లు
keratitis,0.0,0.75,శోధము
oophoritis,0.0,0.75,అండాశయ శోధము
orchitis,0.0,0.875,యొక్క శోధము
pancreatitis,0.0,0.75,పాంక్రియాటైటిస్
prostatitis,0.0,0.875,పౌరుషగ్రంథి యొక్క శోథము
spondylitis,0.0,0.75,స్పాండిలైటిస్
ulitis,0.0,0.75,పంటి చిగురు వాపు
ureteritis,0.0,0.75,మూత్ర నాళము శోధము
vesiculitis,0.0,0.75,శుక్రాశయపు శోధము
automysophobia,0.0,0.75,automysophobia
encopresis,0.0,0.75,మలము ఆపుకొనలేకపోవుట
melancholia,0.125,0.75,విచారం
throe,0.0,0.875,తీవ్రమైన బాధ
cleanness,0.125,0.75,పరిశుభ్రతను
porphyria,0.125,0.75,పార్ఫైరియా
ergotism,0.0,0.75,ergotism
astasia,0.125,0.75,నిలబడలేక పోవుట
sequela,0.0,0.75,శిష్యరికం
analgesia,0.0,0.75,అనల్జీసియా
urethritis,0.0,0.75,మూత్ర
oligospermia,0.0,0.75,అల్ప శుక్రత
tenesmus,0.0,0.75,తీవ్రమైన బాధ
gum-lac,0.0,0.75,గమ్-లక్క
negatively,0.0,0.75,ప్రతికూలంగా
indirectly,0.0,0.75,పరోక్షంగా
have,0.0,0.75,కలిగి
obstipate,0.0,0.75,obstipate
bloat,0.0,0.75,ఉబ్బు
putrefy,0.0,0.75,putrefy
curdle,0.0,0.875,curdle
cleanse,0.0,0.75,శుభ్రపరచడానికి
whoop,0.25,0.75,ఈడుస్తూ తీయు ఉచ్ఛ్వాసము
speculate,0.0,0.75,అనుమానిస్తారు
out-herod,0.0,0.875,వెలుపల హేరోదు
invade,0.0,0.75,దాడి
lacerate,0.125,0.75,చీల్చుట
tribulate,0.0,0.75,tribulate
abreact,0.0,0.875,లోపల అణిగి ఉన్న ఆవేశాన్ని ఒక్కసారిగా వెళ్ళగ్రక్కు
humbug,0.0,0.875,హుమ్బగ్
moot,0.0,-0.9,మూట్
stingingly,0.0,-0.9,stingingly
ire,0.0,-0.9,మంటల
unlawful,0.0,-0.9,అశాస్త్రీయ
overstates,0.0,-0.9,overstates
sloow,0.0,-0.9,sloow
pervasive,0.0,-0.9,పరివ్యాప్త
tangles,0.0,-0.9,ఏర్పడ్డ వివాదం
distressingly,0.0,-0.9,distressingly
outrageousness,0.0,-0.9,outrageousness
prejudices,0.0,-0.9,పక్షపాతాలు
retaliatory,0.0,-0.9,ప్రతీకార
insufficient,0.0,-0.9,తగినంత
grudging,0.0,-0.9,grudging
unfeeling,0.0,-0.9,స్పందన లేని
desert,0.0,-0.9,ఎడారి
damnation,0.0,-0.9,దూషణలు
despairingly,0.0,-0.9,despairingly
frightening,0.0,-0.9,భయపెట్టే
unethical,0.0,-0.9,అనైతిక
dent,0.0,-0.9,ఫలితము
bores,0.0,-0.9,బోర్లు
unexpected,0.0,-0.9,ఊహించని
contemptible,0.0,-0.9,నీచమైన
drab,0.0,-0.9,కిల్
adulterate,0.0,-0.9,చవుకగా దొరికే పదార్థములతో మంచి పదార్థములను కల్తీ చేయు
martyrdom-seeking,0.0,-0.9,బలిదానం చూసుకునేదికాదు
spade,0.0,-0.9,చేతిపార
downside,0.0,-0.9,స్థితి
prohibitively,0.0,-0.9,భరించలేనంత
unwell,0.0,-0.9,అనారోగ్య
vicious,0.0,-0.9,విష
unsupportive,0.0,-0.9,unsupportive
frigid,0.0,-0.9,అతిశీతలమైన
brainless,0.0,-0.9,బుర్రలేని
obnoxiously,0.0,-0.9,obnoxiously
bullshit,0.0,-0.9,బుల్షిట్
bedlamite,0.0,-0.9,bedlamite
painful,0.0,-0.9,బాధాకరమైన
illness,0.0,-0.9,రోగము
bombard,0.0,-0.9,బిక్కిరి
sneakily,0.0,-0.9,sneakily
hustler,0.0,-0.9,hustler
fallacy,0.0,-0.9,అవాస్తవం
spoils,0.0,-0.9,కుళ్ళిపోయిన
twist,0.0,-0.9,ట్విస్ట్
misunderstood,0.0,-0.9,తప్పుగా
sluts,0.0,-0.9,స్లట్స్
ghastly,0.0,-0.9,అందవిహీనమైన
destitution,0.0,-0.9,పేదరికాన్ని
imminently,0.0,-0.9,imminently
mope,0.0,-0.9,స్తబ్దంగా
complication,0.0,-0.9,ఉపద్రవం
heathen,0.0,-0.9,అన్యజనులను
rip,0.0,-0.9,రిప్
scandal,0.0,-0.9,కుంభకోణం
anguish,0.0,-0.9,వేదన
fruitless,0.0,-0.9,పనికిరాని
cash-strapped,0.0,-0.9,నగదు-కొరత
sarcastically,0.0,-0.9,వ్యంగ్యంగా
steal,0.0,-0.9,దొంగతనం
admonition,0.0,-0.9,హితబోధ
ill-fated,0.0,-0.9,దురదృష్టకరమైన
longing,0.0,-0.9,కోరికతో
dreadfully,0.0,-0.9,చికాకుగా
mournful,0.0,-0.9,విషాదకరమైన
weakening,0.0,-0.9,బలహీనపడటం
stew,0.0,-0.9,కూర
amiss,0.0,-0.9,తప్పుగా
annihilate,0.0,-0.9,అంతమొందించడం
destructive,0.0,-0.9,విధ్వంసక
dullard,0.0,-0.9,dullard
itching,0.0,-0.9,దురద
oblivious,0.0,-0.9,పట్టించుకోలేదు
incessant,0.0,-0.9,ఎడతెరపి లేని
idle,0.0,-0.9,పనిలేకుండా
scratches,0.0,-0.9,గీతలు
shockingly,0.0,-0.9,భయపెట్టే
miserly,0.0,-0.9,miserly
bias,0.0,-0.9,బయాస్
loose,0.0,-0.9,కోల్పోయే
bull----,0.0,-0.9,బుల్ ----
dense,0.0,-0.9,దట్టమైన
austere,0.0,-0.9,కటినమైన
fusty,0.0,-0.9,పాసిన
ghetto,0.0,-0.9,ఘెట్టో
jumpy,0.0,-0.9,Jumpy
crushed,0.0,-0.9,చూర్ణం
destains,0.0,-0.9,destains
assault,0.0,-0.9,దాడి
ferociously,0.0,-0.9,క్రూరమైన
hard,0.0,-0.9,హార్డ్
prate,0.0,-0.9,అనుసరించండి
fat-cat,0.0,-0.9,కొవ్వు పిల్లి
exorbitantance,0.0,-0.9,exorbitantance
hassles,0.0,-0.9,హాసెల్స్
abysmally,0.0,-0.9,abysmally
demeaning,0.0,-0.9,కించపరిచే
immodest,0.0,-0.9,సిగ్గులేని నవ్వు
harms,0.0,-0.9,హానికరమైన
irresolvable,0.0,-0.9,irresolvable
limitations,0.0,-0.9,పరిమితులు
dawdle,0.0,-0.9,పచార్లు చేయు
shrouded,0.0,-0.9,సాగిస్తూ
smuttiest,0.0,-0.9,smuttiest
passe,0.0,-0.9,గత
mistake,0.0,-0.9,తప్పు
clunky,0.0,-0.9,clunky
abuse,0.0,-0.9,తిట్టు
sink,0.0,-0.9,కాగా
floundering,0.0,-0.9,తుళ్ళే
harrow,0.0,-0.9,హారో
deceiving,0.0,-0.9,మోసగించడం
hellion,0.0,-0.9,Hellion
noise,0.0,-0.9,శబ్దం
bother,0.0,-0.9,ఇబ్బంది
perfidious,0.0,-0.9,perfidious
opportunistic,0.0,-0.9,అవకాశవాద
irately,0.0,-0.9,irately
perturbed,0.0,-0.9,perturbed
belligerence,0.0,-0.9,belligerence
rebuke,0.0,-0.9,చీవాట్లు
unbelievably,0.0,-0.9,నమ్మలేనంత
catastrophically,0.0,-0.9,విపత్తుల
cuss,0.0,-0.9,cuss
prohibit,0.0,-0.9,నిషేదించుట
disclaim,0.0,-0.9,పరోక్ష
bullyingly,0.0,-0.9,bullyingly
enraging,0.0,-0.9,enraging
dud,0.0,-0.9,దెబ్బతిన్న
admonish,0.0,-0.9,మందలించాడు
bravado,0.0,-0.9,ధైర్యవంతమైన
disappointed,0.0,-0.9,నిరాశ
unsure,0.0,-0.9,ఐడియా
repress,0.0,-0.9,అణిచివేతకు
impudence,0.0,-0.9,impudence
ruin,0.0,-0.9,పోటును
banal,0.0,-0.9,పవిత్ర
lagging,0.0,-0.9,వెనుకబడి
discontent,0.0,-0.9,అసంతృప్తి
shunned,0.0,-0.9,నిరసిస్తారు
cold,0.0,-0.9,చల్లని
creak,0.0,-0.9,కీచుమను ధ్వని
untruthful,0.0,-0.9,అసత్య
dehumanize,0.0,-0.9,మానవతా విలువలకు
thug,0.0,-0.9,దోపిడీదారుడు
worthlessly,0.0,-0.9,worthlessly
vagrant,0.0,-0.9,తిరుగాడు
accursed,0.0,-0.9,శాపగ్రస్తుడైన
bum,0.0,-0.9,బం
loathly,0.0,-0.9,loathly
chunky,0.0,-0.9,జిడ్డుగా
sputter,0.0,-0.9,sputter
eviscerate,0.0,-0.9,పొట్టను చీల్చి పేగులను బయిటికి తీయుట
limp,0.0,-0.9,లింప్
loneliness,0.0,-0.9,ఒంటరితనం
self-interest,0.0,-0.9,స్వీయ ఆసక్తి
picketed,0.0,-0.9,నిర్వహించారు
squash,0.0,-0.9,స్క్వాష్
disorder,0.0,-0.9,రుగ్మత
strange,0.0,-0.9,వింత
struck,0.0,-0.9,పరుగులు
betrayal,0.0,-0.9,ద్రోహం
disturb,0.0,-0.9,డిస్టర్బ్
unrealistic,0.0,-0.9,అవాస్తవ
antagonist,0.0,-0.9,ప్రతినాయకుడు
questionable,0.0,-0.9,ప్రశ్నార్థకం
inactive,0.0,-0.9,క్రియారహితంగా
cheapen,0.0,-0.9,cheapen
lame,0.0,-0.9,మందకొడిగా
irregular,0.0,-0.9,సక్రమంగా
corrupting,0.0,-0.9,నడిపిస్తూ
heavy-handed,0.0,-0.9,భారీ చేతి
pertinaciously,0.0,-0.9,pertinaciously
adverse,0.0,-0.9,ప్రతికూల
hubris,0.0,-0.9,గర్వం
refused,0.0,-0.9,నిరాకరించారు
ill-conceived,0.0,-0.9,చెడు ఆలోచన
layoff-happy,0.0,-0.9,తొలగింపును-సంతోషంగా
unnerve,0.0,-0.9,అలసిపోవునట్టు
