Term,PosScore,NegScore,Telugu
kosher,0.75,0.0,కోషెర్
disarming,0.75,0.125,disarming
white,0.75,0.125,తెలుపు
ladylike,0.75,0.0,ladylike
unprintable,0.75,0.25,ముద్రించలేని
diffident,0.875,0.0,భయపడే
answerable,0.875,0.0,జవాబు
emancipative,0.75,0.125,emancipative
danceable,0.75,0.0,నృత్యం చేయడానికి వీలుగా
opposite,0.75,0.125,వ్యతిరేక
antiseptic,0.75,0.25,క్రిమినాశక
shapely,0.75,0.0,కుదురైన
well-proportioned,0.75,0.0,బాగా తగినట్లు
sound,0.75,0.0,ధ్వని
straightarrow,0.875,0.125,straightarrow
upper,0.75,0.0,ఎగువ
banner,0.875,0.0,బ్యానర్
gilt-edged,0.75,0.0,గిల్ట్ కొనలను
premium,0.75,0.0,ప్రీమియం
shining,0.75,0.0,మెరుస్తూ
spiffing,0.875,0.0,spiffing
choice,0.75,0.125,ఎంపిక
serviceable,0.75,0.0,సేవలు
sacred,0.75,0.0,పవిత్ర
constitutional,0.75,0.0,రాజ్యాంగ
deliverable,0.75,0.0,డెలివరీబుల్
ducal,0.75,0.0,డ్యూక్ ఒకరు నిర్మించిన
masterstroke,0.75,0.0,masterstroke
pleasantry,0.75,0.0,pleasantry
indignity,0.75,0.0,అవమానం
props,0.875,0.0,ఆధారాలు
titillation,0.75,0.0,titillation
beatification,0.75,0.0,బీటిఫికేషన్
rambouillet,0.75,0.0,Rambouillet
character,0.875,0.0,పాత్ర
drama,0.75,0.0,డ్రామా
chirpiness,0.75,0.0,chirpiness
vivacity,0.75,0.25,vivacity
mettlesomeness,0.75,0.0,mettlesomeness
bluffness,0.875,0.0,bluffness
picturesqueness,0.875,0.0,picturesqueness
pleasingness,0.75,0.0,pleasingness
attractiveness,0.75,0.0,ఆకర్షణకు
innateness,0.75,0.25,స్వాభావికత
totality,0.75,0.0,సంపూర్ణమైన
looseness,0.75,0.25,వదులు
wholesomeness,0.875,0.0,ఆరోగ్యవంతం
healthfulness,0.875,0.0,healthfulness
trueness,0.75,0.0,trueness
tastefulness,0.875,0.0,రుచిగల
urbanity,0.875,0.0,Urbanity
conscientiousness,0.75,0.0,నైతిక భావం
safeness,0.75,0.25,safeness
scrupulousness,0.75,0.0,scrupulousness
integrity,0.875,0.125,సమగ్రతను
probity,0.75,0.0,ఋజువర్తనము
artfulness,0.75,0.0,కపటం
dedication,0.875,0.0,అంకితం
urbanity,0.875,0.0,Urbanity
crispness,0.875,0.0,crispness
extremeness,0.75,0.25,extremeness
reasonableness,0.75,0.0,సహేతుకతను
affirmativeness,0.75,0.0,affirmativeness
importance,0.75,0.125,ప్రాముఖ్యతను
account,0.875,0.125,ఖాతా
meaningfulness,0.75,0.125,అర్ధాన్ని
shrillness,0.75,0.25,shrillness
eye,0.75,0.0,కంటి
logic,0.75,0.0,తర్కం
judiciousness,0.875,0.0,judiciousness
ear,0.75,0.0,చెవి
balletomania,0.75,0.0,balletomania
mastering,0.75,0.0,మాస్టరింగ్
principle,0.75,0.0,సూత్రం
hedonism,0.75,0.0,హెడోనిజం
courtesy,0.75,0.0,మర్యాద
topper,0.75,0.0,ఉన్నతాధికార
divination,0.875,0.0,భవిష్యవాణి
moralism,0.75,0.125,moralism
bonheur,0.875,0.0,ఆనందం
beneficence,0.75,0.0,క్షేమం
criollo,0.75,0.0,Creole
amoralist,0.75,0.0,amoralist
brick,0.75,0.0,ఇటుక
first-rater,1.0,0.0,మొదటి రేటర్
out-and-outer,0.75,0.0,పూర్తియైన బాహ్య
pleaser,0.75,0.0,మెచ్చింది
possible,0.75,0.0,సాధ్యం
serendipity,0.75,0.125,వూహించని
antithesis,0.75,0.0,విపరీతం
contrary,0.75,0.0,విరుద్ధంగా
algidity,0.75,0.25,algidity
pathology,0.75,0.125,పాథాలజీ
character,0.875,0.0,పాత్ర
fettle,0.75,0.0,అవస్ధ
time,0.75,0.0,సమయం
simply,0.75,0.0,కేవలం
downright,0.75,0.0,స్పష్టమైన
recuperate,0.75,0.0,తేరుకునేందుకు
redound,0.75,0.0,ముందుకు సాగు
enervate,0.75,0.0,దుర్బలము చేయు
delouse,0.75,0.0,delouse
think,0.75,0.0,అనుకుంటున్నాను
receive,0.75,0.0,అందుకుంటారు
consider,0.75,0.0,పరిగణలోకి
give,0.75,0.125,ఇవ్వాలని
filigree,0.875,0.0,జరి కుట్టుపని
stultify,0.75,0.125,పట్టించు
see,0.75,0.0,చూడండి
vest,0.875,0.0,చొక్కా
agree,0.875,0.0,అంగీకరిస్తున్నారు
suit,0.875,0.0,దావా
belong,0.75,0.0,చెందినవి
make,0.875,0.0,తయారు
sensation,0.9,0.0,సంచలనాన్ని
thriving,0.9,0.0,వర్థిల్లుతోంది
marvels,0.9,0.0,అద్భుతాలను
vibrant,0.9,0.0,ఉత్సాహపూరితమైన
fragrant,0.9,0.0,సువాసన
enthusiast,0.9,0.0,ఔత్సాహికుల
successfully,0.9,0.0,విజయవంతంగా
gifted,0.9,0.0,మేధావులైన
unequivocal,0.9,0.0,నిస్సందేహ
readily,0.9,0.0,తక్షణమే
solicitously,0.9,0.0,solicitously
enchantingly,0.9,0.0,అతిదివ్యంగా
gold,0.9,0.0,బంగారం
comforting,0.9,0.0,మభ్యపెట్టే
portable,0.9,0.0,పోర్టబుల్
sensations,0.9,0.0,అనుభూతులను
truthful,0.9,0.0,నిజాయితీ
notably,0.9,0.0,ముఖ్యంగా
bonny,0.9,0.0,Bonny
adulate,0.9,0.0,మరణానంతరం పొగడ్తలు కురిపించు
jolly,0.9,0.0,జాలీ
supurb,0.9,0.0,supurb
aspiration,0.9,0.0,ఆశించిన
venerate,0.9,0.0,స్తుతించటానికి
liking,0.9,0.0,రుచించలేదు
sweeping,0.9,0.0,అఖండ
flexible,0.9,0.0,అనువైన
liberty,0.9,0.0,స్వేచ్ఛ
refresh,0.9,0.0,రిఫ్రెష్
vivacious,0.9,0.0,సచేతన
gem,0.9,0.0,రత్నం
impress,0.9,0.0,ఇంప్రెస్
trumpet,0.9,0.0,బాకా
entrust,0.9,0.0,అప్పగించు
catchy,0.9,0.0,ఆకట్టుకునే
talents,0.9,0.0,ప్రతిభ
retractable,0.9,0.0,ముడుచుకొని
passionate,0.9,0.0,మక్కువ
triumph,0.9,0.0,విజయం
afordable,0.9,0.0,afordable
congratulations,0.9,0.0,అభినందనలు
bargain,0.9,0.0,బేరం
glad,0.9,0.0,ఆనందంగా
rejuvenated,0.9,0.0,rejuvenated
top,0.9,0.0,టాప్
gladden,0.9,0.0,Gladden
energize,0.9,0.0,ఉత్తేజపరిచేందుకు
humane,0.9,0.0,మానవత్వ
swank,0.9,0.0,ఆడంబరమైన
insightfully,0.9,0.0,insightfully
courageousness,0.9,0.0,courageousness
fancinating,0.9,0.0,fancinating
maturity,0.9,0.0,పరిణితి
energy-efficient,0.9,0.0,శక్తిని సమర్ధవంతంగా
calm,0.9,0.0,ప్రశాంతత
desirable,0.9,0.0,కావాల్సిన
poeticize,0.9,0.0,poeticize
easiest,0.9,0.0,సులభమయిన
low-price,0.9,0.0,తక్కువ ధర
striving,0.9,0.0,కష్టాలపై
advantage,0.9,0.0,ప్రయోజనం
cheerful,0.9,0.0,ఆనందకరమైన
ample,0.9,0.0,పుష్కల
steady,0.9,0.0,స్థిరమైన
effortless,0.9,0.0,అప్రయత్నంగా
innovation,0.9,0.0,ఆవిష్కరణ
fine-looking,0.9,0.0,జరిమానా కనిపించే
wonders,0.9,0.0,అద్భుతాలు
cashback,0.9,0.0,డబ్బు వాపసు
quicker,0.9,0.0,వేగంగా
gleeful,0.9,0.0,gleeful
expertly,0.9,0.0,నేర్పుగా
divine,0.9,0.0,దైవ సంబంధమైన
miraculously,0.9,0.0,అంతుబట్టని
daring,0.9,0.0,ధైర్యంగా
pepped,0.9,0.0,pepped
cooperatively,0.9,0.0,సహకరించుకుంటూ
gainful,0.9,0.0,లాభకరమైన
rewarding,0.9,0.0,బహుమతిగా
magnificently,0.9,0.0,అద్భుతమైన
captivate,0.9,0.0,అమితాకర్షితమైన
exceeding,0.9,0.0,మించి
ready,0.9,0.0,సిద్ధంగా
invaluablely,0.9,0.0,invaluablely
modesty,0.9,0.0,వినయము
innovative,0.9,0.0,వినూత్న
rapturous,0.9,0.0,ఘనమైన
soulful,0.9,0.0,భావాలను
hard-working,0.9,0.0,హార్డ్ పని
understandable,0.9,0.0,అర్థమయ్యేలా
resourcefulness,0.9,0.0,వనరుల
illumine,0.9,0.0,ఇల్యుమినేటెడ్
trusty,0.9,0.0,నమ్మదగిన
patriot,0.9,0.0,దేశభక్తుడు
amply,0.9,0.0,నిండా
appreciate,0.9,0.0,అభినందిస్తున్నాము
large-capacity,0.9,0.0,భారీ సామర్థ్య
ardent,0.9,0.0,ఉత్సాహవంతుడు
inspiration,0.9,0.0,ప్రేరణ
topnotch,0.9,0.0,మొదటి రకమైన
fluent,0.9,0.0,నిష్ణాతులు
well-balanced,0.9,0.0,సమతుల్య
clear-cut,0.9,0.0,స్పష్టమైన-కట్
lovely,0.9,0.0,సుందరమైన
frugal,0.9,0.0,మితవ్యయం
affirm,0.9,0.0,పునరుద్ఘాటించాలి
idealize,0.9,0.0,idealize
great,0.9,0.0,గొప్ప
profoundly,0.9,0.0,తీవ్ర
gumption,0.9,0.0,తెలివిగలది
elation,0.9,0.0,హర్షం
stability,0.9,0.0,స్థిరత్వం
spellbound,0.9,0.0,మంత్ర
obsessions,0.9,0.0,స్థిరీకరించబడిన
applaud,0.9,0.0,స్తుతించు
willing,0.9,0.0,సిద్ధంగా
well-bred,0.9,0.0,బాగా కను
cleanly,0.9,0.0,సజావుగా
graciousness,0.9,0.0,నెనరు
constructive,0.9,0.0,నిర్మాణాత్మక
pampers,0.9,0.0,ముద్దు చేయడం
hotcakes,0.9,0.0,వేడి కేకులు
realistic,0.9,0.0,వాస్తవిక
nicely,0.9,0.0,చక్కగా
unbiased,0.9,0.0,నిష్పాక్షికమైన
virtuously,0.9,0.0,సన్మార్గుడిగా
free,0.9,0.0,ఉచిత
fairly,0.9,0.0,మాదిరి
cushy,0.9,0.0,cushy
grand,0.9,0.0,పొడవైన
admirer,0.9,0.0,ఆరాధిస్తాను
peaceable,0.9,0.0,శాంతిపూర్వక
laud,0.9,0.0,పట్టిక
renewed,0.9,0.0,పునరుద్ధరించబడింది
inspire,0.9,0.0,ఇన్స్పైర్
buoyant,0.9,0.0,తేలి
humility,0.9,0.0,వినయం
stabilize,0.9,0.0,స్థిరీకరించేందుకు
hopeful,0.9,0.0,ఆశాజనకంగా
staunchness,0.9,0.0,staunchness
tenderly,0.9,0.0,నాజూకుగా
amiabily,0.9,0.0,amiabily
liberation,0.9,0.0,విముక్తి
loveliness,0.9,0.0,సౌందర్యము
stunned,0.9,0.0,ఆశ్చర్యపోయానని
seamless,0.9,0.0,అతుకులు
supremely,0.9,0.0,ఎంతో
capable,0.9,0.0,సామర్థ్యం
firmer,0.9,0.0,గట్టి
overture,0.9,0.0,తెలుపుట
chivalrous,0.9,0.0,ధైర్యంగల
ingeniously,0.9,0.0,నైపుణ్యంతో
freedom,0.9,0.0,స్వేచ్ఛ
well-positioned,0.9,0.0,బాగా స్థానంలో
balanced,0.9,0.0,సమతుల్య
refunded,0.9,0.0,ఇచ్చామని
triumphal,0.9,0.0,విజయోత్సవ
angelic,0.9,0.0,దేవదూతల
matchless,0.9,0.0,సాటిలేని
tenacious,0.9,0.0,మంచి జ్ఞాపకశక్తి
successful,0.9,0.0,విజయవంతమైన
powerfully,0.9,0.0,శక్తివంతంగా
uplifting,0.9,0.0,అప్ లిఫ్టింగ్
dynamic,0.9,0.0,డైనమిక్
thankful,0.9,0.0,కృతజ్ఞత
cuteness,0.9,0.0,రక్తి
champ,0.9,0.0,ఫీల్డ్
intriguingly,0.9,0.0,intriguingly
sufficiently,0.9,0.0,తగినంత
pepping,0.9,0.0,pepping
god-send,0.9,0.0,దేవుడు పంపు
mature,0.9,0.0,పరిణతి
top-quality,0.9,0.0,టాప్ నాణ్యత
efficient,0.9,0.0,సమర్థవంతమైన
easy-to-use,0.9,0.0,ఉపయోగించడానికి సులభం
peppy,0.9,0.0,Peppy
idol,0.9,0.0,విగ్రహం
elegantly,0.9,0.0,సొంపుగా
glorious,0.9,0.0,అద్భుతమైన
insightful,0.9,0.0,జ్ఞానోదయమైన
economical,0.9,0.0,ఆర్థిక
reassurance,0.9,0.0,అభయమిచ్చిన
premier,0.9,0.0,ప్రధమ
redeem,0.9,0.0,విమోచనం
pain-free,0.9,0.0,నొప్పి లేని
supporter,0.9,0.0,మద్దతుదారు
rejoicingly,0.9,0.0,rejoicingly
dawn,0.9,0.0,డాన్
gutsy,0.9,0.0,gutsy
terrifically,0.9,0.0,terrifically
imaculate,0.9,0.0,imaculate
appreciated,0.9,0.0,ప్రశంసలు
strongest,0.9,0.0,బలమైన
accomplish,0.9,0.0,సాధనకు
stimulate,0.9,0.0,ఉద్దీపన
distinguished,0.9,0.0,వేరు
joy,0.9,0.0,ఆనందం
enjoyed,0.9,0.0,ఆనందించారు
elate,0.9,0.0,ఉప్పొంగిపో
benefit,0.9,0.0,ప్రయోజనం
openness,0.9,0.0,నిష్కాపట్యత
achievement,0.9,0.0,ఘనకార్యం
honorable,0.9,0.0,గౌరవనీయ
salute,0.9,0.0,ఆరోగ్య
genuine,0.9,0.0,నిజమైన
unbound,0.9,0.0,నిర్నిబద్ధ
convienient,0.9,0.0,convienient
enlighten,0.9,0.0,జ్ఞానాన్ని
dumbfounding,0.9,0.0,dumbfounding
unabashed,0.9,0.0,తడబాటు
rapturously,0.9,0.0,rapturously
steadiness,0.9,0.0,steadiness
sensationally,0.9,0.0,sensationally
clearer,0.9,0.0,స్వచ్చమైన
selective,0.9,0.0,సెలెక్టివ్
affirmative,0.9,0.0,నిశ్చయాత్మక
dirt-cheap,0.9,0.0,డర్ట్-చౌకగా
trust,0.9,0.0,ట్రస్ట్
enthusiasm,0.9,0.0,ఉత్సాహం
undaunted,0.9,0.0,భయపడని
courageously,0.9,0.0,ధైర్య
useful,0.9,0.0,ఉపయోగకరమైన
adequate,0.9,0.0,తగిన
jubilation,0.9,0.0,jubilation
admirably,0.9,0.0,అద్భుతమైన
phenomenally,0.9,0.0,గోచరమయ్యే
decisiveness,0.9,0.0,నిర్ణయాన్ని
cozy,0.9,0.0,హాయిగా
compassion,0.9,0.0,కరుణ
handier,0.9,0.0,handier
clears,0.9,0.0,క్లియర్
convincingly,0.9,0.0,ఒప్పించే
preferring,0.9,0.0,ప్రాధాన్యతనిస్తూ
sagely,0.9,0.0,sagely
viewable,0.9,0.0,వీక్షించవచ్చు
awesome,0.9,0.0,అద్భుతంగా
abounds,0.9,0.0,abounds
keenness,0.9,0.0,చురుకుదనము
awards,0.9,0.0,అవార్డులు
supportive,0.9,0.0,సహాయక
fine,0.9,0.0,జరిమానా
pamperedness,0.9,0.0,pamperedness
unrivaled,0.9,0.0,ఎదురులేని
best-selling,0.9,0.0,అమ్ముడపపోయే
hearten,0.9,0.0,ధైర్యం
sturdier,0.9,0.0,బలిష్టంగా
advantages,0.9,0.0,ప్రయోజనాలు
panoramic,0.9,0.0,విస్తృత
enhanced,0.9,0.0,మెరుగైన
eulogize,0.9,0.0,స్తుతించు
lighter,0.9,0.0,తేలికైన
won,0.9,0.0,గెలిచింది
comprehensive,0.9,0.0,సమగ్ర
revival,0.9,0.0,పునరుజ్జీవనం
skilled,0.9,0.0,నైపుణ్యం
enticing,0.9,0.0,ప్రలోభపెట్టే
tenacity,0.9,0.0,జిగి
supporting,0.9,0.0,మద్దతు
greatest,0.9,0.0,గొప్ప
fabulously,0.9,0.0,కథగా
altruistic,0.9,0.0,నిస్వార్ధ
enticingly,0.9,0.0,సరసముగా
silent,0.9,0.0,నిశ్శబ్ద
pleasant,0.9,0.0,ఆహ్లాదకరమైన
fondness,0.9,0.0,అభిమానానికి
upgradeable,0.9,0.0,అప్గ్రేడ్
phenomenal,0.9,0.0,అసాధారణంగా
fans,0.9,0.0,అభిమానులు
state-of-the-art,0.9,0.0,స్టేట్ ఆఫ్ ది ఆర్ట్
noble,0.9,0.0,కీర్తిగల
fast-growing,0.9,0.0,వేగంగా పెరుగుతున్న
serene,0.9,0.0,నిర్మలమైన
handsomely,0.9,0.0,అద్భుతంగా చిత్రీకరించిన
nourish,0.9,0.0,పోషించుట
usable,0.9,0.0,ఉపయోగపడే
spotless,0.9,0.0,స్పాట్లెస్స్
bless,0.9,0.0,దీవించమని
exemplar,0.9,0.0,శ్రేష్టమైన
poignant,0.9,0.0,పదునైన
ambitious,0.9,0.0,ప్రతిష్టాత్మక
worked,0.9,0.0,పని
proud,0.9,0.0,గర్వంగా
enrich,0.9,0.0,వృద్ధి
kindness,0.9,0.0,దయ
warmth,0.9,0.0,వెచ్చదనం
excitement,0.9,0.0,ఉత్సాహం
sweetly,0.9,0.0,తియ్యని
blithe,0.9,0.0,అత్యుత్సాహముగల
contribution,0.9,0.0,సహకారం
rejuvenating,0.9,0.0,లంటే
intimacy,0.9,0.0,సాన్నిహిత్యం
effectively,0.9,0.0,సమర్థవంతంగా
wholesome,0.9,0.0,పరిపూర్ణమైన
approve,0.9,0.0,ఆమోదించడానికి
truthfulness,0.9,0.0,యదార్ధం
handily,0.9,0.0,చమత్కారముగా
staunchly,0.9,0.0,గట్టి
prominence,0.9,0.0,ప్రాముఖ్యత
merciful,0.9,0.0,దయగల
stirringly,0.9,0.0,stirringly
outdone,0.9,0.0,అధిగమించాను
overtake,0.9,0.0,అధిగమించేందుకు
unbeatable,0.9,0.0,సాటిలేని
sufficient,0.9,0.0,తగిన
ardently,0.9,0.0,ఉత్సాహవంతంగా
classic,0.9,0.0,క్లాసిక్
civility,0.9,0.0,నాగరికతతో
ingenuity,0.9,0.0,చాతుర్యం
masterpiece,0.9,0.0,రచన
fidelity,0.9,0.0,విశ్వసనీయత
reliable,0.9,0.0,నమ్మకమైన
charisma,0.9,0.0,తేజస్సు
readable,0.9,0.0,చదవగలిగే
compatible,0.9,0.0,అనుకూలంగా
fulfillment,0.9,0.0,సఫలీకృతం
skillfully,0.9,0.0,నైపుణ్యంగా
tingle,0.9,0.0,జలదరించు
excel,0.9,0.0,Excel
enviously,0.9,0.0,అసూయపడి
swanky,0.9,0.0,swanky
celebration,0.9,0.0,వేడుక
progress,0.9,0.0,పురోగతి
empowerment,0.9,0.0,సాధికారత
tranquility,0.9,0.0,ప్రశాంతతను
led,0.9,0.0,దారితీసింది
achievible,0.9,0.0,achievible
bright,0.9,0.0,బ్రైట్
appreciatively,0.9,0.0,మెచ్చుకోలుగా
inspirational,0.9,0.0,ప్రేరణా
accessible,0.9,0.0,అందుబాటులో
lionhearted,0.9,0.0,lionhearted
refreshing,0.9,0.0,రిఫ్రెష్
splendidly,0.9,0.0,చక్కగా
marvelous,0.9,0.0,అద్భుతమైన
illustrious,0.9,0.0,ప్రముఖ
revives,0.9,0.0,తేరుకుంటుంది
originality,0.9,0.0,వాస్తవికతను
gratification,0.9,0.0,తృప్తి
motivated,0.9,0.0,ప్రేరణ
playfully,0.9,0.0,సరసముగా
awe,0.9,0.0,విస్మయం
overtakes,0.9,0.0,overtakes
eloquent,0.9,0.0,అనర్గళంగా
proficient,0.9,0.0,నైపుణ్యాన్ని
cheapest,0.9,0.0,చౌకైన
intelligible,0.9,0.0,అర్థమయ్యే
luxuriant,0.9,0.0,నిరర్ధకమని
adaptable,0.9,0.0,యోగ్యతను
enraptured,0.9,0.0,ఎన్రాప్టర్డ్
luckiest,0.9,0.0,అదృష్టవంతమైన
healthy,0.9,0.0,ఆరోగ్యకరమైన
luster,0.9,0.0,మెరుపులో
brotherly,0.9,0.0,సోదర
compliment,0.9,0.0,అభినందన
leading,0.9,0.0,ప్రముఖ
fortunately,0.9,0.0,అదృష్టవశాత్తూ
resplendent,0.9,0.0,ఎంతో
obtainable,0.9,0.0,సాధించలేని
inventive,0.9,0.0,inventive
ardor,0.9,0.0,బర్నింగ్
propitiously,0.9,0.0,propitiously
cost-effective,0.9,0.0,సమర్థవంతమైన ధర
charismatic,0.9,0.0,ఆకర్షణీయమైన
merit,0.9,0.0,మెరిట్
gusto,0.9,0.0,ఆనందం
stimulates,0.9,0.0,ఉద్దీపన
coherent,0.9,0.0,పొందికైన
providence,0.9,0.0,భగవత్
exaltedly,0.9,0.0,exaltedly
neatly,0.9,0.0,విలక్షణముగా
affordable,0.9,0.0,సరసమైన
effectiveness,0.9,0.0,ప్రభావం
monumental,0.9,0.0,స్మారక
pleased,0.9,0.0,గర్వంగా
righteousness,0.9,0.0,ధర్మానికి
miracle,0.9,0.0,అద్భుతం
respectable,0.9,0.0,గౌరవనీయమైన
upbeat,0.9,0.0,అప్బీట్
winner,0.9,0.0,విజేత
laudably,0.9,0.0,laudably
luckiness,0.9,0.0,luckiness
assurance,0.9,0.0,భీమా
prestige,0.9,0.0,ప్రతిష్ట
qualified,0.9,0.0,అర్హత
fruitful,0.9,0.0,ఫలవంతమైన
ilu,0.9,0.0,అందం
vivid,0.9,0.0,స్పష్టమైన
spirited,0.9,0.0,ఉత్సాహంగా
godsend,0.9,0.0,వరము
mesmerizes,0.9,0.0,mesmerizes
satisfying,0.9,0.0,సంతృప్తికరంగా
masterful,0.9,0.0,మాస్టర్
sublime,0.9,0.0,ఉత్కృష్టమైన
mercy,0.9,0.0,క్షమాభిక్ష
brilliantly,0.9,0.0,ప్రకాశంగా
loving,0.9,0.0,loving
entertaining,0.9,0.0,వినోదాత్మక
earnest,0.9,0.0,రాయాలని
ergonomical,0.9,0.0,ergonomical
refinement,0.9,0.0,శుద్ధీకరణ
complementary,0.9,0.0,పరిపూరకరమైన
patient,0.9,0.0,రోగి
inviolate,0.9,0.0,inviolate
eagerness,0.9,0.0,ఆత్రుతను
civilize,0.9,0.0,civilize
well-mannered,0.9,0.0,బాగా సభ్యత
dignity,0.9,0.0,గౌరవం
steadiest,0.9,0.0,steadiest
favorite,0.9,0.0,ఇష్టమైన
astutely,0.9,0.0,astutely
splendid,0.9,0.0,అద్భుతమైన
subsidizing,0.9,0.0,ప్రోత్సహిస్తున్నాయని
plush,0.9,0.0,ఖరీదైన
marvelously,0.9,0.0,చక్కగా
adorer,0.9,0.0,ప్రేమ
happier,0.9,0.0,సంతోషముగా
perseverance,0.9,0.0,పట్టుదల
sensational,0.9,0.0,సంచలన
nimble,0.9,0.0,వేగాన్ని
multi-purpose,0.9,0.0,బహుళ ప్రయోజక
affably,0.9,0.0,affably
astonish,0.9,0.0,విస్తుపోయేలా
lover,0.9,0.0,ప్రేమికుడు
nourishing,0.9,0.0,సాకే
upheld,0.9,0.0,ఆదరించింది
exalt,0.9,0.0,పొగడు
happy,0.9,0.0,సంతోషంగా
prodigiously,0.9,0.0,అద్భుతముగా
humble,0.9,0.0,వినయపూర్వకమైన
proven,0.9,0.0,నిరూపితమైన
resounding,0.9,0.0,ప్రతిధ్వనించే
cashbacks,0.9,0.0,cashbacks
visionary,0.9,0.0,అధ్బుతమైన
thoughtful,0.9,0.0,శ్రద్ద
smarter,0.9,0.0,తెలివిగా
conciliate,0.9,0.0,పరచు
credible,0.9,0.0,విశ్వసనీయ
dependable,0.9,0.0,ఆధారపడదగిన
saint,0.9,0.0,సెయింట్
fairness,0.9,0.0,న్యాయంగా
victorious,0.9,0.0,విజయం
excels,0.9,0.0,శ్రేష్టంగా
celebrated,0.9,0.0,ప్రముఖుడైన
keenly,0.9,0.0,ఆత్రుతతో
humorously,0.9,0.0,చతురతతో
effectual,0.9,0.0,కార్యసాధక
enchanting,0.9,0.0,మంత్రముగ్ధులను
favour,0.9,0.0,అనుకూలంగా
titillate,0.9,0.0,titillate
flexibility,0.9,0.0,వశ్యత
mesmerize,0.9,0.0,అబ్బుర
favorable,0.9,0.0,అనుకూలమైన
unwavering,0.9,0.0,unwavering
neat,0.9,0.0,చక్కగా
generous,0.9,0.0,ఉదారంగా
satisfies,0.9,0.0,సంతృప్తి
consummate,0.9,0.0,సంపూర్ణ
marvellous,0.9,0.0,అద్భుతమైన
tempting,0.9,0.0,ఉత్సాహం
mastery,0.9,0.0,పాండిత్యం
peacefully,0.9,0.0,శాంతియుతంగా
improvements,0.9,0.0,మెరుగుదలలు
amicability,0.9,0.0,స్నేహభావం
indebted,0.9,0.0,రుణపడి
high-quality,0.9,0.0,అధిక నాణ్యత
unfettered,0.9,0.0,సులువుగా కరిగిపోయే
easing,0.9,0.0,సులభమైంది
exonerate,0.9,0.0,నిర్దోషిగా
enhance,0.9,0.0,విస్తరించేందుకు
evaluative,0.9,0.0,మూల్యాంకన
fabulous,0.9,0.0,అద్భుతమైన
mind-blowing,0.9,0.0,దిమ్మతిరిగే
well-educated,0.9,0.0,బాగా చదువుకున్న
heroine,0.9,0.0,హీరోయిన్
daringly,0.9,0.0,daringly
lavish,0.9,0.0,విలాసవంతమైన
luxuriously,0.9,0.0,సుఖముగా
marvelousness,0.9,0.0,marvelousness
classy,0.9,0.0,క్లాస్సి
tickle,0.9,0.0,చక్కిలిగింత
woo,0.9,0.0,వూ
low-cost,0.9,0.0,తక్కువ ధర
restored,0.9,0.0,పునరుద్ధరించబడింది
romanticize,0.9,0.0,romanticize
