Term,PosScore,NegScore,Marathi
convienient,0.9,0.0,सोयीस्कर
enlighten,0.9,0.0,ज्ञान देणे
dumbfounding,0.9,0.0,डंबफाउंडिंग
unabashed,0.9,0.0,बेबनाव
rapturously,0.9,0.0,अत्यानंदपूर्वक
steadiness,0.9,0.0,स्थिरता
sensationally,0.9,0.0,खळबळजनकपणे
clearer,0.9,0.0,स्पष्ट
selective,0.9,0.0,निवडक
affirmative,0.9,0.0,होकारार्थी
dirt-cheap,0.9,0.0,खूप स्वस्त
trust,0.9,0.0,विश्वास
enthusiasm,0.9,0.0,उत्साह
undaunted,0.9,0.0,अबाधित
courageously,0.9,0.0,धैर्याने
useful,0.9,0.0,उपयुक्त
adequate,0.9,0.0,पुरेशी
jubilation,0.9,0.0,आनंद
admirably,0.9,0.0,कौतुकास्पद
phenomenally,0.9,0.0,अपूर्व
decisiveness,0.9,0.0,निर्णायकपणा
cozy,0.9,0.0,उबदार
compassion,0.9,0.0,करुणा
handier,0.9,0.0,हँडियर
clears,0.9,0.0,साफ करते
convincingly,0.9,0.0,खात्रीपूर्वक
preferring,0.9,0.0,प्राधान्य
sagely,0.9,0.0,ageषीने
viewable,0.9,0.0,पाहण्यायोग्य
awesome,0.9,0.0,छान
abounds,0.9,0.0,विपुल
keenness,0.9,0.0,उत्सुकता
awards,0.9,0.0,पुरस्कार
supportive,0.9,0.0,आधार देणारा
fine,0.9,0.0,ठीक आहे
pamperedness,0.9,0.0,लाड करणे
unrivaled,0.9,0.0,अतुलनीय
best-selling,0.9,0.0,सर्वोत्तम विक्री
hearten,0.9,0.0,हार्दिक
sturdier,0.9,0.0,sturdier
advantages,0.9,0.0,फायदे
panoramic,0.9,0.0,विहंगम
enhanced,0.9,0.0,वर्धित
eulogize,0.9,0.0,eulogize
lighter,0.9,0.0,फिकट
won,0.9,0.0,जिंकला
comprehensive,0.9,0.0,सर्वसमावेशक
revival,0.9,0.0,पुनरुज्जीवन
skilled,0.9,0.0,कुशल
enticing,0.9,0.0,मोहक
tenacity,0.9,0.0,तप
supporting,0.9,0.0,आधार देत आहे
greatest,0.9,0.0,महान
fabulously,0.9,0.0,कल्पनेने
altruistic,0.9,0.0,परोपकारी
enticingly,0.9,0.0,मोहकपणे
silent,0.9,0.0,शांत
pleasant,0.9,0.0,आनंददायी
fondness,0.9,0.0,प्रेमळपणा
upgradeable,0.9,0.0,अपग्रेड करण्यायोग्य
phenomenal,0.9,0.0,अभूतपूर्व
fans,0.9,0.0,चाहते
state-of-the-art,0.9,0.0,अत्याधूनिक
noble,0.9,0.0,थोर
fast-growing,0.9,0.0,वेगाने वाढणारी
serene,0.9,0.0,प्रसन्न
handsomely,0.9,0.0,देखणा
nourish,0.9,0.0,पोषण करणे
usable,0.9,0.0,वापरण्यायोग्य
spotless,0.9,0.0,निष्कलंक
bless,0.9,0.0,आशीर्वाद
exemplar,0.9,0.0,अनुकरणीय
poignant,0.9,0.0,तीक्ष्ण
ambitious,0.9,0.0,महत्वाकांक्षी
worked,0.9,0.0,काम केले
proud,0.9,0.0,अ भी मा न
enrich,0.9,0.0,समृद्ध करा
kindness,0.9,0.0,दया
warmth,0.9,0.0,कळकळ
excitement,0.9,0.0,खळबळ
sweetly,0.9,0.0,गोड
blithe,0.9,0.0,ब्लिथ
contribution,0.9,0.0,योगदान
rejuvenating,0.9,0.0,कायाकल्प
intimacy,0.9,0.0,जवळीक
effectively,0.9,0.0,प्रभावीपणे
wholesome,0.9,0.0,निरोगी
approve,0.9,0.0,मंजूर
truthfulness,0.9,0.0,सत्यता
handily,0.9,0.0,हाताने
staunchly,0.9,0.0,कडकपणे
prominence,0.9,0.0,प्रतिष्ठा
merciful,0.9,0.0,दयाळू
stirringly,0.9,0.0,ढवळत
outdone,0.9,0.0,आउटडोन
overtake,0.9,0.0,मागे टाकणे
unbeatable,0.9,0.0,नाबाद
sufficient,0.9,0.0,पुरेशी
ardently,0.9,0.0,उत्सुकतेने
classic,0.9,0.0,क्लासिक
civility,0.9,0.0,नागरी
ingenuity,0.9,0.0,चातुर्य
masterpiece,0.9,0.0,उत्कृष्ट नमुना
fidelity,0.9,0.0,प्रामाणिकपणा
reliable,0.9,0.0,विश्वसनीय
charisma,0.9,0.0,करिश्मा
readable,0.9,0.0,वाचनीय
compatible,0.9,0.0,सुसंगत
fulfillment,0.9,0.0,पूर्ती
skillfully,0.9,0.0,कुशलतेने
tingle,0.9,0.0,मुंग्या येणे
excel,0.9,0.0,एक्सेल
enviously,0.9,0.0,मत्सर
swanky,0.9,0.0,झुबकेदार
celebration,0.9,0.0,उत्सव
progress,0.9,0.0,प्रगती
empowerment,0.9,0.0,सबलीकरण
tranquility,0.9,0.0,शांतता
led,0.9,0.0,एलईडी
achievible,0.9,0.0,साध्य
bright,0.9,0.0,तेजस्वी
appreciatively,0.9,0.0,कौतुकास्पदरीतीने
inspirational,0.9,0.0,प्रेरणादायक
accessible,0.9,0.0,प्रवेश करण्यायोग्य
lionhearted,0.9,0.0,शेरहृदय
refreshing,0.9,0.0,रीफ्रेश
splendidly,0.9,0.0,उत्कृष्टपणे
marvelous,0.9,0.0,आश्चर्यकारक
illustrious,0.9,0.0,नामांकित
revives,0.9,0.0,पुनरुज्जीवन
originality,0.9,0.0,मौलिकता
gratification,0.9,0.0,समाधान
motivated,0.9,0.0,प्रवृत्त
playfully,0.9,0.0,आनंदाने
awe,0.9,0.0,आश्चर्य
overtakes,0.9,0.0,ओव्हरटेक
eloquent,0.9,0.0,सुस्पष्ट
proficient,0.9,0.0,प्रवीण
cheapest,0.9,0.0,स्वस्त
intelligible,0.9,0.0,सुगम
luxuriant,0.9,0.0,विलासी
adaptable,0.9,0.0,अनुकूलनीय
enraptured,0.9,0.0,enraptured
luckiest,0.9,0.0,भाग्यवान
healthy,0.9,0.0,निरोगी
luster,0.9,0.0,चमक
brotherly,0.9,0.0,बंधू
compliment,0.9,0.0,प्रशंसा
leading,0.9,0.0,अग्रगण्य
fortunately,0.9,0.0,सुदैवाने
resplendent,0.9,0.0,तेजस्वी
obtainable,0.9,0.0,प्राप्य
inventive,0.9,0.0,शोधक
ardor,0.9,0.0,ज्वलंत
propitiously,0.9,0.0,propitiously
cost-effective,0.9,0.0,प्रभावी खर्च
charismatic,0.9,0.0,करिष्माई
merit,0.9,0.0,गुणवत्ता
gusto,0.9,0.0,उत्साह
stimulates,0.9,0.0,उत्तेजित करते
coherent,0.9,0.0,सुसंगत
providence,0.9,0.0,भविष्यवाणी
exaltedly,0.9,0.0,उदात्तपणे
neatly,0.9,0.0,सुबकपणे
affordable,0.9,0.0,परवडणारे
effectiveness,0.9,0.0,परिणामकारकता
monumental,0.9,0.0,स्मारक
pleased,0.9,0.0,आनंद
righteousness,0.9,0.0,प्रामाणिकपणा
miracle,0.9,0.0,चमत्कार
respectable,0.9,0.0,आदरणीय
upbeat,0.9,0.0,उत्साह
winner,0.9,0.0,विजेता
laudably,0.9,0.0,प्रशंसनीयपणे
luckiness,0.9,0.0,भाग्य
assurance,0.9,0.0,विमा
prestige,0.9,0.0,प्रतिष्ठा
qualified,0.9,0.0,पात्र
fruitful,0.9,0.0,फलदायी
ilu,0.9,0.0,सौंदर्य
vivid,0.9,0.0,स्पष्ट
spirited,0.9,0.0,उत्साही
godsend,0.9,0.0,गॉडसँड
mesmerizes,0.9,0.0,मंत्रमुग्ध
satisfying,0.9,0.0,समाधानकारक
masterful,0.9,0.0,कुशल
sublime,0.9,0.0,उदात्त
mercy,0.9,0.0,दया
brilliantly,0.9,0.0,तेजस्वीपणे
loving,0.9,0.0,प्रेमळ
entertaining,0.9,0.0,मनोरंजक
earnest,0.9,0.0,प्रामाणिक
ergonomical,0.9,0.0,अर्गोनॉमिकल
refinement,0.9,0.0,परिष्करण
complementary,0.9,0.0,पूरक
patient,0.9,0.0,रुग्ण
inviolate,0.9,0.0,बोलणे
eagerness,0.9,0.0,उत्सुकता
civilize,0.9,0.0,सुसंस्कृत करणे
well-mannered,0.9,0.0,सभ्य
dignity,0.9,0.0,मोठेपण
steadiest,0.9,0.0,स्थिर
favorite,0.9,0.0,आवडते
astutely,0.9,0.0,आश्चर्यकारकपणे
splendid,0.9,0.0,भव्य
subsidizing,0.9,0.0,अनुदान
plush,0.9,0.0,सळसळ
marvelously,0.9,0.0,आश्चर्यकारकपणे
adorer,0.9,0.0,प्रेम
happier,0.9,0.0,आनंदी
perseverance,0.9,0.0,चिकाटी
sensational,0.9,0.0,खळबळजनक
nimble,0.9,0.0,चपळ
multi-purpose,0.9,0.0,बहुउद्देशीय
affably,0.9,0.0,प्रेमाने
astonish,0.9,0.0,आश्चर्यचकित
lover,0.9,0.0,प्रियकर
nourishing,0.9,0.0,पोषक
upheld,0.9,0.0,समर्थन दिले
exalt,0.9,0.0,उदात्त
happy,0.9,0.0,आनंदी
prodigiously,0.9,0.0,उत्कटतेने
humble,0.9,0.0,नम्र
proven,0.9,0.0,सिद्ध
resounding,0.9,0.0,उत्स्फूर्त
cashbacks,0.9,0.0,कॅशबॅक
visionary,0.9,0.0,स्वप्नाळू
thoughtful,0.9,0.0,विचारशील
smarter,0.9,0.0,हुशार
conciliate,0.9,0.0,समेट
credible,0.9,0.0,विश्वासार्ह
dependable,0.9,0.0,अवलंबून
saint,0.9,0.0,संत
fairness,0.9,0.0,प्रामाणिकपणा
victorious,0.9,0.0,विजयी
excels,0.9,0.0,उत्कृष्ट
celebrated,0.9,0.0,साजरा केला
keenly,0.9,0.0,उत्सुकतेने
humorously,0.9,0.0,विनोदाने
effectual,0.9,0.0,परिणामकारक
enchanting,0.9,0.0,मोहक
favour,0.9,0.0,अनुकूलता
titillate,0.9,0.0,टायटिलेट
flexibility,0.9,0.0,लवचिकता
mesmerize,0.9,0.0,मंत्रमुग्ध करा
favorable,0.9,0.0,अनुकूल
unwavering,0.9,0.0,अटळ
neat,0.9,0.0,व्यवस्थित
generous,0.9,0.0,उदार
satisfies,0.9,0.0,समाधानी
consummate,0.9,0.0,भस्म
marvellous,0.9,0.0,आश्चर्यकारक
tempting,0.9,0.0,मोहक
mastery,0.9,0.0,प्रभुत्व
peacefully,0.9,0.0,शांतपणे
improvements,0.9,0.0,सुधारणा
amicability,0.9,0.0,प्रेमळपणा
indebted,0.9,0.0,.णी
high-quality,0.9,0.0,उच्च-गुणवत्ता
unfettered,0.9,0.0,निष्कलंक
easing,0.9,0.0,सुलभ
exonerate,0.9,0.0,निर्दोष करणे
enhance,0.9,0.0,वाढविण्यासाठी
evaluative,0.9,0.0,मूल्यांकन करणारा
fabulous,0.9,0.0,कल्पित
mind-blowing,0.9,0.0,मनावर उडणारी
well-educated,0.9,0.0,सुशिक्षित
heroine,0.9,0.0,नायिका
daringly,0.9,0.0,धैर्याने
lavish,0.9,0.0,भव्य
luxuriously,0.9,0.0,विलासीपणाने
marvelousness,0.9,0.0,चमत्कार
classy,0.9,0.0,अभिजात
tickle,0.9,0.0,गुदगुल्या
woo,0.9,0.0,वू
low-cost,0.9,0.0,कमी खर्चात
restored,0.9,0.0,पुनर्संचयित
romanticize,0.9,0.0,रोमँटिक करणे
rejoice,0.9,0.0,आनंद करा
wholeheartedly,0.9,0.0,मनापासून
smitten,0.9,0.0,मारले
illuminating,0.9,0.0,प्रदीप्त
diligent,0.9,0.0,मेहनती
amazed,0.9,0.0,चकित
levity,0.9,0.0,लेव्हिटी
reverently,0.9,0.0,आदरपूर्वक
courageous,0.9,0.0,धैर्यवान
tantalizingly,0.9,0.0,tantalizingly
aver,0.9,0.0,येत
congenial,0.9,0.0,जन्मजात
pleases,0.9,0.0,कृपया
toughest,0.9,0.0,सर्वात कठीण
tender,0.9,0.0,निविदा
permissible,0.9,0.0,परवानगी आहे
alluringly,0.9,0.0,मोहकपणे
astonishment,0.9,0.0,आश्चर्य
quiet,0.9,0.0,शांत
commitment,0.9,0.0,वचनबद्धता
indulgence,0.9,0.0,भोग
endorse,0.9,0.0,समर्थन
glowingly,0.9,0.0,चकाचक
congratulate,0.9,0.0,अभिनंदन
peace,0.9,0.0,शांतता
keen,0.9,0.0,उत्सुक
breathlessness,0.9,0.0,दम
sufficed,0.9,0.0,पुरेशी
humourous,0.9,0.0,विनोदी
unreal,0.9,0.0,अवास्तव
delicate,0.9,0.0,नाजूक
flourish,0.9,0.0,भरभराट
purify,0.9,0.0,शुद्ध करणे
user-friendly,0.9,0.0,वापरकर्ता अनुकूल
intricate,0.9,0.0,गुंतागुंत
enjoyably,0.9,0.0,आनंददायक
well-managed,0.9,0.0,व्यवस्थित व्यवस्थापित
perfectly,0.9,0.0,उत्तम प्रकारे
worthy,0.9,0.0,योग्य
rightful,0.9,0.0,हक्क
fastest,0.9,0.0,सर्वात वेगवान
extoll,0.9,0.0,बोलणे
defeated,0.9,0.0,पराभूत
radiance,0.9,0.0,तेज
flashy,0.9,0.0,चमकदार
