Term,PosScore,NegScore,Kannada
hearty,0.75,0.0,ಹೃತ್ಪೂರ್ವಕ
well-preserved,0.75,0.0,ಚೆನ್ನಾಗಿ ಸಂರಕ್ಷಿಸಲಾಗಿದೆ
laureate,0.75,0.0,ಪ್ರಶಸ್ತಿ ವಿಜೇತ
droll,0.75,0.0,ಡ್ರಾಲ್
measurable,0.75,0.0,ಅಳೆಯಬಹುದಾದ
intellectual,0.875,0.0,ಬೌದ್ಧಿಕ
inviting,0.75,0.0,ಆಹ್ವಾನಿಸುತ್ತಿದೆ
gladsome,0.75,0.0,ಗ್ಲಾಡ್ಸೋಮ್
singable,0.75,0.0,ಹಾಡಬಲ್ಲ
moralistic,0.75,0.125,ನೈತಿಕತೆ
incorrupt,0.75,0.25,ತಪ್ಪಾಗಿದೆ
licit,0.75,0.0,ಬಿಡ್
incumbent,0.875,0.0,ಸ್ಥಾನಿಕ
unimpassioned,0.75,0.0,ಮನಸ್ಸಿಲ್ಲದ
finished,0.75,0.0,ಮುಗಿದಿದೆ
microscopic,0.75,0.0,ಸೂಕ್ಷ್ಮ
halal,0.75,0.0,ಕಾನೂನುಬದ್ಧ
kosher,0.75,0.0,ಕೋಶರ್
disarming,0.75,0.125,ನಿಶ್ಯಸ್ತ್ರಗೊಳಿಸುವಿಕೆ
white,0.75,0.125,ಬಿಳಿ
ladylike,0.75,0.0,ಲೇಡಿ ಲೈಕ್
unprintable,0.75,0.25,ಮುದ್ರಿಸಲಾಗದ
diffident,0.875,0.0,ಭಿನ್ನ
answerable,0.875,0.0,ಉತ್ತರಿಸಬಹುದಾದ
emancipative,0.75,0.125,ವಿಮೋಚನೆ
danceable,0.75,0.0,ನೃತ್ಯ ಮಾಡಬಹುದಾದ
opposite,0.75,0.125,ವಿರುದ್ದ
antiseptic,0.75,0.25,ನಂಜುನಿರೋಧಕ
shapely,0.75,0.0,ಆಕಾರ
well-proportioned,0.75,0.0,ಉತ್ತಮ ಪ್ರಮಾಣದಲ್ಲಿ
sound,0.75,0.0,ಧ್ವನಿ
straightarrow,0.875,0.125,ನೇರ
upper,0.75,0.0,ಮೇಲ್ಭಾಗ
banner,0.875,0.0,ಬ್ಯಾನರ್
gilt-edged,0.75,0.0,ಗಿಲ್ಟ್-ಅಂಚಿನ
premium,0.75,0.0,ಪ್ರೀಮಿಯಂ
shining,0.75,0.0,ಹೊಳೆಯುತ್ತಿದೆ
spiffing,0.875,0.0,ಸ್ಪಿಫಿಂಗ್
choice,0.75,0.125,ಆಯ್ಕೆ
serviceable,0.75,0.0,ಸೇವೆಗೆ ಯೋಗ್ಯವಾಗಿದೆ
sacred,0.75,0.0,ಪವಿತ್ರ
constitutional,0.75,0.0,ಸಾಂವಿಧಾನಿಕ
deliverable,0.75,0.0,ತಲುಪಿಸಬಹುದಾದ
ducal,0.75,0.0,ಡ್ಯುಕಲ್
masterstroke,0.75,0.0,ಮಾಸ್ಟರ್ ಸ್ಟ್ರೋಕ್
pleasantry,0.75,0.0,ಆಹ್ಲಾದಕರ
indignity,0.75,0.0,ಅಸಮಾಧಾನ
props,0.875,0.0,ರಂಗಪರಿಕರಗಳು
titillation,0.75,0.0,ಶೀರ್ಷಿಕೆ
beatification,0.75,0.0,ಸುಂದರೀಕರಣ
rambouillet,0.75,0.0,ರಾಂಬೌಲೆಟ್
character,0.875,0.0,ಪಾತ್ರ
drama,0.75,0.0,ನಾಟಕ
chirpiness,0.75,0.0,ಚಿಲಿಪಿಲಿ
vivacity,0.75,0.25,ಜೀವಂತಿಕೆ
mettlesomeness,0.75,0.0,mettlesomeness
bluffness,0.875,0.0,ಬ್ಲಫ್ನೆಸ್
picturesqueness,0.875,0.0,ಚಿತ್ರಕಲೆ
pleasingness,0.75,0.0,ಆಹ್ಲಾದಕರತೆ
attractiveness,0.75,0.0,ಆಕರ್ಷಣೆ
innateness,0.75,0.25,ಸಹಜತೆ
totality,0.75,0.0,ಒಟ್ಟು
looseness,0.75,0.25,ಸಡಿಲತೆ
wholesomeness,0.875,0.0,ಆರೋಗ್ಯ
healthfulness,0.875,0.0,ಆರೋಗ್ಯಕರ
trueness,0.75,0.0,ಸತ್ಯತೆ
tastefulness,0.875,0.0,ರುಚಿ
urbanity,0.875,0.0,ನಗರತೆ
conscientiousness,0.75,0.0,ಆತ್ಮಸಾಕ್ಷಿಯ ಮನೋಭಾವ
safeness,0.75,0.25,ಸುರಕ್ಷತೆ
scrupulousness,0.75,0.0,ಸೂಕ್ಷ್ಮತೆ
integrity,0.875,0.125,ಸಮಗ್ರತೆ
probity,0.75,0.0,ಸಂಭವನೀಯತೆ
artfulness,0.75,0.0,ಕಲಾತ್ಮಕತೆ
dedication,0.875,0.0,ಸಮರ್ಪಣೆ
urbanity,0.875,0.0,ನಗರತೆ
crispness,0.875,0.0,ಗರಿಗರಿಯಾದ
extremeness,0.75,0.25,ತೀವ್ರತೆ
reasonableness,0.75,0.0,ಸಮಂಜಸತೆ
affirmativeness,0.75,0.0,ದೃ ir ೀಕರಣ
importance,0.75,0.125,ಪ್ರಾಮುಖ್ಯತೆ
account,0.875,0.125,ಖಾತೆ
meaningfulness,0.75,0.125,ಅರ್ಥಪೂರ್ಣತೆ
shrillness,0.75,0.25,ಸಂಕೋಚನ
eye,0.75,0.0,ಕಣ್ಣು
logic,0.75,0.0,ತರ್ಕ
judiciousness,0.875,0.0,ನ್ಯಾಯಸಮ್ಮತತೆ
ear,0.75,0.0,ಕಿವಿ
balletomania,0.75,0.0,ಬ್ಯಾಲೆಟೋಮೇನಿಯಾ
mastering,0.75,0.0,ಮಾಸ್ಟರಿಂಗ್
principle,0.75,0.0,ತತ್ವ
hedonism,0.75,0.0,ಹೆಡೋನಿಸಂ
courtesy,0.75,0.0,ಸೌಜನ್ಯ
topper,0.75,0.0,ಟಾಪರ್
divination,0.875,0.0,ಭವಿಷ್ಯಜ್ಞಾನ
moralism,0.75,0.125,ನೈತಿಕತೆ
bonheur,0.875,0.0,ಸಂತೋಷ
beneficence,0.75,0.0,ಪ್ರಯೋಜನ
criollo,0.75,0.0,ಕ್ರಿಯೋಲ್
amoralist,0.75,0.0,ನೈತಿಕವಾದಿ
brick,0.75,0.0,ಇಟ್ಟಿಗೆ
first-rater,1.0,0.0,ಮೊದಲ-ರೇಟರ್
out-and-outer,0.75,0.0,ಹೊರ ಮತ್ತು ಹೊರ
pleaser,0.75,0.0,ಆಹ್ಲಾದಕರ
possible,0.75,0.0,ಸಾಧ್ಯ
serendipity,0.75,0.125,ಆಕಸ್ಮಿಕ
antithesis,0.75,0.0,ವಿರೋಧಾಭಾಸ
contrary,0.75,0.0,ಇದಕ್ಕೆ ವಿರುದ್ಧವಾಗಿ
algidity,0.75,0.25,ಆಲ್ಜಿಡಿಟಿ
pathology,0.75,0.125,ರೋಗಶಾಸ್ತ್ರ
character,0.875,0.0,ಪಾತ್ರ
fettle,0.75,0.0,ಭ್ರೂಣ
time,0.75,0.0,ಸಮಯ
simply,0.75,0.0,ಸುಮ್ಮನೆ
downright,0.75,0.0,ಸರಳ
recuperate,0.75,0.0,ಚೇತರಿಸಿಕೊಳ್ಳಿ
redound,0.75,0.0,ಮರುಹೊಂದಿಸಿ
enervate,0.75,0.0,ಉತ್ತೇಜಿಸಿ
delouse,0.75,0.0,ಡಿಲೌಸ್
think,0.75,0.0,ಯೋಚಿಸಿ
receive,0.75,0.0,ಸ್ವೀಕರಿಸಿ
consider,0.75,0.0,ಪರಿಗಣಿಸಿ
give,0.75,0.125,ನೀಡಿ
filigree,0.875,0.0,ಫಿಲಿಗ್ರೀ
stultify,0.75,0.125,stultify
see,0.75,0.0,ನೋಡಿ
vest,0.875,0.0,ವೆಸ್ಟ್
agree,0.875,0.0,ಒಪ್ಪುತ್ತೇನೆ
suit,0.875,0.0,ಸೂಟ್
belong,0.75,0.0,ಸೇರಿದ
make,0.875,0.0,ಮಾಡಿ
sensation,0.9,0.0,ಸಂವೇದನೆ
thriving,0.9,0.0,ಅಭಿವೃದ್ಧಿ ಹೊಂದುತ್ತಿದೆ
marvels,0.9,0.0,ಅದ್ಭುತಗಳು
vibrant,0.9,0.0,ರೋಮಾಂಚಕ
fragrant,0.9,0.0,ಪರಿಮಳಯುಕ್ತ
enthusiast,0.9,0.0,ಉತ್ಸಾಹಿ
successfully,0.9,0.0,ಯಶಸ್ವಿಯಾಗಿ
gifted,0.9,0.0,ಉಡುಗೊರೆ
unequivocal,0.9,0.0,ನಿಸ್ಸಂದಿಗ್ಧ
readily,0.9,0.0,ಕೂಡಲೇ
solicitously,0.9,0.0,ವಿಜ್ಞಾಪಿಸಿ
enchantingly,0.9,0.0,ಮೋಡಿಮಾಡುವಂತೆ
gold,0.9,0.0,ಚಿನ್ನ
comforting,0.9,0.0,ಸಾಂತ್ವನ
portable,0.9,0.0,ಪೋರ್ಟಬಲ್
sensations,0.9,0.0,ಸಂವೇದನೆಗಳು
truthful,0.9,0.0,ಸತ್ಯವಾದ
notably,0.9,0.0,ಗಮನಾರ್ಹವಾಗಿ
bonny,0.9,0.0,ಬನ್ನಿ
adulate,0.9,0.0,ಆರಾಧಿಸು
jolly,0.9,0.0,ಜಾಲಿ
supurb,0.9,0.0,ಸುಪರ್ಬ್
aspiration,0.9,0.0,ಆಕಾಂಕ್ಷೆ
venerate,0.9,0.0,ಪೂಜಿಸು
liking,0.9,0.0,ಇಷ್ಟ
sweeping,0.9,0.0,ಗುಡಿಸುವುದು
flexible,0.9,0.0,ಹೊಂದಿಕೊಳ್ಳುವ
liberty,0.9,0.0,ಸ್ವಾತಂತ್ರ್ಯ
refresh,0.9,0.0,ರಿಫ್ರೆಶ್ ಮಾಡಿ
vivacious,0.9,0.0,ಉತ್ಸಾಹಭರಿತ
gem,0.9,0.0,ರತ್ನ
impress,0.9,0.0,ಮೆಚ್ಚಿಸಿ
trumpet,0.9,0.0,ಕಹಳೆ
entrust,0.9,0.0,ಒಪ್ಪಿಸು
catchy,0.9,0.0,ಆಕರ್ಷಕ
talents,0.9,0.0,ಪ್ರತಿಭೆಗಳು
retractable,0.9,0.0,ಹಿಂತೆಗೆದುಕೊಳ್ಳಬಹುದಾದ
passionate,0.9,0.0,ಭಾವೋದ್ರಿಕ್ತ
triumph,0.9,0.0,ವಿಜಯ
afordable,0.9,0.0,ಮುಂದಕ್ಕೆ
congratulations,0.9,0.0,ಅಭಿನಂದನೆಗಳು
bargain,0.9,0.0,ಚೌಕಾಶಿ
glad,0.9,0.0,ಸಂತೋಷವಾಗಿದೆ
rejuvenated,0.9,0.0,ಪುನರ್ಯೌವನಗೊಳಿಸಲಾಯಿತು
top,0.9,0.0,ಟಾಪ್
gladden,0.9,0.0,ಸಂತೋಷವಾಗಿದೆ
energize,0.9,0.0,ಶಕ್ತಿ ತುಂಬು
humane,0.9,0.0,ಮಾನವೀಯ
swank,0.9,0.0,ಸ್ವಾಂಕ್
insightfully,0.9,0.0,ಒಳನೋಟದಿಂದ
courageousness,0.9,0.0,ಧೈರ್ಯ
fancinating,0.9,0.0,ಮೋಹಕ
maturity,0.9,0.0,ಮುಕ್ತಾಯ
energy-efficient,0.9,0.0,ಇಂಧನ ದಕ್ಷತೆ
calm,0.9,0.0,ಶಾಂತ
desirable,0.9,0.0,ಅಪೇಕ್ಷಣೀಯ
poeticize,0.9,0.0,ಕಾವ್ಯಾತ್ಮಕಗೊಳಿಸಿ
easiest,0.9,0.0,ಸುಲಭ
low-price,0.9,0.0,ಕಡಿಮೆ ಬೆಲೆ
striving,0.9,0.0,ಶ್ರಮಿಸುತ್ತಿದೆ
advantage,0.9,0.0,ಪ್ರಯೋಜನ
cheerful,0.9,0.0,ಹರ್ಷಚಿತ್ತದಿಂದ
ample,0.9,0.0,ಸಾಕಷ್ಟು
steady,0.9,0.0,ಸ್ಥಿರ
effortless,0.9,0.0,ಪ್ರಯತ್ನವಿಲ್ಲದ
innovation,0.9,0.0,ಆವಿಷ್ಕಾರದಲ್ಲಿ
fine-looking,0.9,0.0,ಉತ್ತಮವಾಗಿ ಕಾಣುತ್ತದೆ
wonders,0.9,0.0,ಅದ್ಭುತಗಳು
cashback,0.9,0.0,ಕ್ಯಾಶ್ಬ್ಯಾಕ್
quicker,0.9,0.0,ತ್ವರಿತವಾಗಿ
gleeful,0.9,0.0,ಸಂತೋಷದಾಯಕ
expertly,0.9,0.0,ಕೌಶಲ್ಯದಿಂದ
divine,0.9,0.0,ದೈವಿಕ
miraculously,0.9,0.0,ಅದ್ಭುತವಾಗಿ
daring,0.9,0.0,ಧೈರ್ಯಶಾಲಿ
pepped,0.9,0.0,pepped
cooperatively,0.9,0.0,ಸಹಕಾರದಿಂದ
gainful,0.9,0.0,ಲಾಭದಾಯಕ
rewarding,0.9,0.0,ಪುರಸ್ಕಾರ
magnificently,0.9,0.0,ಭವ್ಯವಾಗಿ
captivate,0.9,0.0,ಸೆರೆಹಿಡಿಯಿರಿ
exceeding,0.9,0.0,ಮೀರಿದೆ
ready,0.9,0.0,ಸಿದ್ಧ
invaluablely,0.9,0.0,ಅಮೂಲ್ಯವಾಗಿ
modesty,0.9,0.0,ನಮ್ರತೆ
innovative,0.9,0.0,ನವೀನ
rapturous,0.9,0.0,ರಾಪ್ಚುರಸ್
soulful,0.9,0.0,ಭಾವಪೂರ್ಣ
hard-working,0.9,0.0,ಕಷ್ಟಪಟ್ಟು ಕೆಲಸ ಮಾಡುವವರು
understandable,0.9,0.0,ಅರ್ಥವಾಗುವಂತಹದ್ದು
resourcefulness,0.9,0.0,ಸಂಪನ್ಮೂಲ
illumine,0.9,0.0,ಪ್ರಕಾಶಿತ
trusty,0.9,0.0,ವಿಶ್ವಾಸಾರ್ಹ
patriot,0.9,0.0,ದೇಶಭಕ್ತ
amply,0.9,0.0,ಸಾಕಷ್ಟು
appreciate,0.9,0.0,ಪ್ರಶಂಸಿಸುತ್ತೇವೆ
large-capacity,0.9,0.0,ದೊಡ್ಡ ಸಾಮರ್ಥ್ಯ
ardent,0.9,0.0,ಉತ್ಕಟ
inspiration,0.9,0.0,ಸ್ಫೂರ್ತಿ
topnotch,0.9,0.0,ಉನ್ನತ ದರ್ಜೆಯ
fluent,0.9,0.0,ನಿರರ್ಗಳವಾಗಿ
well-balanced,0.9,0.0,ಚೆನ್ನಾಗಿ ಸಮತೋಲಿತ
clear-cut,0.9,0.0,ಪರಿಶುದ್ಧ
lovely,0.9,0.0,ಸುಂದರ
frugal,0.9,0.0,ಮಿತವ್ಯಯದ
affirm,0.9,0.0,ದೃ irm ೀಕರಿಸಿ
idealize,0.9,0.0,ಆದರ್ಶೀಕರಿಸಿ
great,0.9,0.0,ಅದ್ಭುತವಾಗಿದೆ
profoundly,0.9,0.0,ಆಳವಾಗಿ
gumption,0.9,0.0,gumption
elation,0.9,0.0,ಉಲ್ಲಾಸ
stability,0.9,0.0,ಸ್ಥಿರತೆ
spellbound,0.9,0.0,ಕಾಗುಣಿತ
obsessions,0.9,0.0,ಗೀಳು
applaud,0.9,0.0,ಚಪ್ಪಾಳೆ
willing,0.9,0.0,ಸಿದ್ಧರಿದ್ದಾರೆ
well-bred,0.9,0.0,ಚೆನ್ನಾಗಿ ಬೆಳೆಸಲಾಗುತ್ತದೆ
cleanly,0.9,0.0,ಸ್ವಚ್ ly ವಾಗಿ
graciousness,0.9,0.0,ಕೃಪೆ
constructive,0.9,0.0,ರಚನಾತ್ಮಕ
pampers,0.9,0.0,pampers
hotcakes,0.9,0.0,ಹಾಟ್‌ಕೇಕ್‌ಗಳು
realistic,0.9,0.0,ವಾಸ್ತವಿಕ
nicely,0.9,0.0,ಚೆನ್ನಾಗಿ
unbiased,0.9,0.0,ಪಕ್ಷಪಾತವಿಲ್ಲದ
virtuously,0.9,0.0,ಸದ್ಗುಣವಾಗಿ
free,0.9,0.0,ಉಚಿತ
fairly,0.9,0.0,ತಕ್ಕಮಟ್ಟಿಗೆ
cushy,0.9,0.0,ಕುಶಿ
grand,0.9,0.0,ಎತ್ತರ
admirer,0.9,0.0,ಮೆಚ್ಚುಗೆ
peaceable,0.9,0.0,ಶಾಂತಿಯುತ
laud,0.9,0.0,ಟೇಬಲ್
renewed,0.9,0.0,ನವೀಕೃತ
inspire,0.9,0.0,ಸ್ಫೂರ್ತಿ
buoyant,0.9,0.0,ತೇಲುವ
humility,0.9,0.0,ನಮ್ರತೆ
stabilize,0.9,0.0,ಸ್ಥಿರಗೊಳಿಸಿ
hopeful,0.9,0.0,ಭರವಸೆಯ
staunchness,0.9,0.0,ದೃ .ತೆ
tenderly,0.9,0.0,ಮೃದುವಾಗಿ
amiabily,0.9,0.0,ಸೌಹಾರ್ದಯುತವಾಗಿ
liberation,0.9,0.0,ವಿಮೋಚನೆ
loveliness,0.9,0.0,ಸುಂದರತೆ
stunned,0.9,0.0,ದಿಗ್ಭ್ರಮೆಗೊಂಡ
seamless,0.9,0.0,ತಡೆರಹಿತ
supremely,0.9,0.0,ಅತ್ಯಂತ
capable,0.9,0.0,ಸಮರ್ಥ
firmer,0.9,0.0,ದೃ ir ವಾದ
overture,0.9,0.0,ಓವರ್ಚರ್
chivalrous,0.9,0.0,ಅಶ್ವದಳದ
ingeniously,0.9,0.0,ಚತುರತೆಯಿಂದ
freedom,0.9,0.0,ಸ್ವಾತಂತ್ರ್ಯ
well-positioned,0.9,0.0,ಉತ್ತಮ ಸ್ಥಾನದಲ್ಲಿದೆ
balanced,0.9,0.0,ಸಮತೋಲಿತ
refunded,0.9,0.0,ಮರುಪಾವತಿ ಮಾಡಲಾಗಿದೆ
triumphal,0.9,0.0,ವಿಜಯೋತ್ಸವ
angelic,0.9,0.0,ದೇವದೂತರ
matchless,0.9,0.0,ಸಾಟಿಯಿಲ್ಲದ
tenacious,0.9,0.0,ದೃ ac ವಾದ
successful,0.9,0.0,ಯಶಸ್ವಿಯಾಗಿದೆ
powerfully,0.9,0.0,ಶಕ್ತಿಯುತವಾಗಿ
uplifting,0.9,0.0,ಉನ್ನತಿಗೇರಿಸುವಿಕೆ
dynamic,0.9,0.0,ಡೈನಾಮಿಕ್
thankful,0.9,0.0,ಧನ್ಯವಾದಗಳು
cuteness,0.9,0.0,ಮುದ್ದುತನ
champ,0.9,0.0,ಕ್ಷೇತ್ರ
intriguingly,0.9,0.0,ಕುತೂಹಲದಿಂದ
sufficiently,0.9,0.0,ಸಾಕಷ್ಟು
pepping,0.9,0.0,ಪೆಪ್ಪಿಂಗ್
god-send,0.9,0.0,ದೇವರು ಕಳುಹಿಸು
mature,0.9,0.0,ಪ್ರಬುದ್ಧ
top-quality,0.9,0.0,ಉನ್ನತ-ಗುಣಮಟ್ಟದ
efficient,0.9,0.0,ದಕ್ಷ
easy-to-use,0.9,0.0,ಬಳಸಲು ಸುಲಭ
peppy,0.9,0.0,ಪೆಪ್ಪಿ
idol,0.9,0.0,ವಿಗ್ರಹ
elegantly,0.9,0.0,ಸೊಗಸಾಗಿ
glorious,0.9,0.0,ಖ್ಯಾತಿವೆತ್ತ
insightful,0.9,0.0,ಒಳನೋಟವುಳ್ಳ
economical,0.9,0.0,ಆರ್ಥಿಕ
reassurance,0.9,0.0,ಧೈರ್ಯ
premier,0.9,0.0,ಪ್ರಥಮ
redeem,0.9,0.0,ಉದ್ಧಾರ
pain-free,0.9,0.0,ನೋವು ಮುಕ್ತ
supporter,0.9,0.0,ಬೆಂಬಲಿಗ
rejoicingly,0.9,0.0,ಸಂತೋಷದಿಂದ
dawn,0.9,0.0,ಮುಂಜಾನೆ
gutsy,0.9,0.0,ಧೈರ್ಯಶಾಲಿ
terrifically,0.9,0.0,ಭಯಂಕರವಾಗಿ
imaculate,0.9,0.0,ಪರಿಶುದ್ಧ
appreciated,0.9,0.0,ಮೆಚ್ಚುಗೆ
strongest,0.9,0.0,ಪ್ರಬಲ
accomplish,0.9,0.0,ಸಾಧಿಸಿ
stimulate,0.9,0.0,ಉತ್ತೇಜಿಸಿ
distinguished,0.9,0.0,ವಿಶಿಷ್ಟ
joy,0.9,0.0,ಸಂತೋಷ
enjoyed,0.9,0.0,ಅನುಭವಿಸಿತು
elate,0.9,0.0,ಎಲೇಟ್
benefit,0.9,0.0,ಲಾಭ
openness,0.9,0.0,ಮುಕ್ತತೆ
achievement,0.9,0.0,ಸಾಧನೆ
honorable,0.9,0.0,ಗೌರವಾನ್ವಿತ
salute,0.9,0.0,ಆರೋಗ್ಯ
genuine,0.9,0.0,ನಿಜವಾದ
unbound,0.9,0.0,ಅನ್ಬೌಂಡ್
convienient,0.9,0.0,ಅನುಕೂಲಕರ
enlighten,0.9,0.0,ಜ್ಞಾನೋದಯ
dumbfounding,0.9,0.0,ಮೂಕವಿಸ್ಮಿತ
unabashed,0.9,0.0,ಕಳಚದ
rapturously,0.9,0.0,ತೀವ್ರವಾಗಿ
steadiness,0.9,0.0,ಸ್ಥಿರತೆ
sensationally,0.9,0.0,ಸಂವೇದನಾಶೀಲವಾಗಿ
clearer,0.9,0.0,ಸ್ಪಷ್ಟ
selective,0.9,0.0,ಆಯ್ದ
affirmative,0.9,0.0,ದೃ ir ೀಕರಣ
dirt-cheap,0.9,0.0,ಕೊಳಕು-ಅಗ್ಗ
trust,0.9,0.0,ನಂಬಿಕೆ
enthusiasm,0.9,0.0,ಉತ್ಸಾಹ
undaunted,0.9,0.0,ಭಯವಿಲ್ಲದ
courageously,0.9,0.0,ಧೈರ್ಯದಿಂದ
useful,0.9,0.0,ಉಪಯುಕ್ತ
adequate,0.9,0.0,ಸಾಕಷ್ಟು
jubilation,0.9,0.0,ಸಂತೋಷ
admirably,0.9,0.0,ಪ್ರಶಂಸನೀಯವಾಗಿ
phenomenally,0.9,0.0,ಅಸಾಧಾರಣವಾಗಿ
decisiveness,0.9,0.0,ನಿರ್ಣಾಯಕತೆ
cozy,0.9,0.0,ಸ್ನೇಹಶೀಲ
compassion,0.9,0.0,ಸಹಾನುಭೂತಿ
handier,0.9,0.0,ಹ್ಯಾಂಡಿಯರ್
clears,0.9,0.0,ತೆರವುಗೊಳಿಸುತ್ತದೆ
convincingly,0.9,0.0,ಮನವರಿಕೆಯಾಗುತ್ತದೆ
preferring,0.9,0.0,ಆದ್ಯತೆ
sagely,0.9,0.0,sagely
viewable,0.9,0.0,ವೀಕ್ಷಿಸಬಹುದಾಗಿದೆ
awesome,0.9,0.0,ಅದ್ಭುತವಾಗಿದೆ
abounds,0.9,0.0,ವಿಪುಲವಾಗಿದೆ
keenness,0.9,0.0,ಉತ್ಸಾಹ
awards,0.9,0.0,ಪ್ರಶಸ್ತಿಗಳು
supportive,0.9,0.0,ಬೆಂಬಲ
fine,0.9,0.0,ದಂಡ
pamperedness,0.9,0.0,ಮುದ್ದು
unrivaled,0.9,0.0,ಅಪ್ರತಿಮ
best-selling,0.9,0.0,ಅತಿ ಹೆಚ್ಚು ಮಾರಾಟವಾಗುವ
hearten,0.9,0.0,ಹೃತ್ಪೂರ್ವಕ
sturdier,0.9,0.0,ಗಟ್ಟಿಮುಟ್ಟಾದ
advantages,0.9,0.0,ಅನುಕೂಲಗಳು
panoramic,0.9,0.0,ವಿಹಂಗಮ
enhanced,0.9,0.0,ವರ್ಧಿಸಲಾಗಿದೆ
eulogize,0.9,0.0,ಶ್ಲಾಘಿಸು
lighter,0.9,0.0,ಹಗುರ
won,0.9,0.0,ಗೆದ್ದಿದೆ
comprehensive,0.9,0.0,ಸಮಗ್ರ
revival,0.9,0.0,ಪುನರುಜ್ಜೀವನ
skilled,0.9,0.0,ನುರಿತ
enticing,0.9,0.0,ಮೋಹಿಸುವ
tenacity,0.9,0.0,ಸ್ಥಿರತೆ
supporting,0.9,0.0,ಪೋಷಕ
greatest,0.9,0.0,ಶ್ರೇಷ್ಠ
fabulously,0.9,0.0,ಅಸಾಧಾರಣವಾಗಿ
altruistic,0.9,0.0,ಪರಹಿತಚಿಂತನೆ
enticingly,0.9,0.0,ಆಕರ್ಷಕವಾಗಿ
silent,0.9,0.0,ಮೂಕ
pleasant,0.9,0.0,ಆಹ್ಲಾದಕರ
fondness,0.9,0.0,ಒಲವು
upgradeable,0.9,0.0,ನವೀಕರಿಸಬಹುದಾದ
phenomenal,0.9,0.0,ಅಸಾಧಾರಣ
fans,0.9,0.0,ಅಭಿಮಾನಿಗಳು
state-of-the-art,0.9,0.0,ಅತ್ಯಾಧುನಿಕ
noble,0.9,0.0,ಉದಾತ್ತ
fast-growing,0.9,0.0,ವೇಗವಾಗಿ ಬೆಳೆಯುತ್ತಿದೆ
serene,0.9,0.0,ಪ್ರಶಾಂತ
handsomely,0.9,0.0,ಸುಂದರವಾಗಿ
nourish,0.9,0.0,ಪೋಷಿಸು
usable,0.9,0.0,ಬಳಸಬಹುದಾದ
spotless,0.9,0.0,ನಿಷ್ಕಳಂಕ
bless,0.9,0.0,ಆಶೀರ್ವದಿಸಿ
exemplar,0.9,0.0,ಅನುಕರಣೀಯ
poignant,0.9,0.0,ಕಟುವಾದ
ambitious,0.9,0.0,ಮಹತ್ವಾಕಾಂಕ್ಷೆಯ
worked,0.9,0.0,ಕೆಲಸ
proud,0.9,0.0,ಹೆಮ್ಮೆ
