Term,PosScore,NegScore,Marathi
unsuitable,0.222,0.778,अयोग्य
evil-minded,0.0,0.75,दुराचारी
churlish,0.0,0.875,गोंधळ
churlish,0.25,0.75,गोंधळ
fulminant,0.0,0.75,परिपूर्ण
appreciative,0.25,0.75,कौतुकास्पद
unappreciative,0.0,0.75,कृतघ्न
ill,0.0,0.75,आजारी
bloodshot,0.0,0.75,रक्त शॉट
caseous,0.0,0.75,केसांचा
inflamed,0.0,0.875,जळजळ
sore-eyed,0.0,0.75,घसा डोळा
varicose,0.0,0.875,वैरिकास
light-duty,0.0,0.75,हलकी कर्तव्य
low-level,0.0,0.75,निम्न-स्तरीय
nonimitative,0.0,0.75,निर्णायक
yellow,0.0,0.75,पिवळा
insoluble,0.0,0.75,अघुलनशील
torrid,0.0,0.75,टॉरिड
stygian,0.0,0.75,स्टाईलियन
undesigned,0.0,0.75,अज्ञात
unsmoothed,0.0,0.75,बिनधास्त
anisotropic,0.0,0.75,एनिसोट्रोपिक
bittersweet,0.0,0.75,bittersweet
joyless,0.125,0.75,आनंदी
unsmiling,0.0,0.75,अनमेलिंग
watertight,0.0,0.75,जलरोधक
unlisted,0.0,0.75,असूचीबद्ध
unextended,0.0,0.75,बिनविरोध
stray,0.0,0.75,भटक्या
straying,0.0,0.75,भटक्या
apotropaic,0.0,0.75,apotropaic
unbranded,0.0,0.75,अनब्रांडेड
unfeminine,0.25,0.75,अनियमित
unconcerned,0.0,0.75,बेबनाव
unsoldierly,0.0,0.75,विक्री न करता
immobile,0.0,0.75,गतिहीन
unmodified,0.0,0.75,सुधारित
unadapted,0.0,0.75,न चुकता
univalent,0.0,0.75,अप्रिय
factitious,0.0,0.75,काल्पनिक
supernatural,0.0,0.75,अलौकिक
grotty,0.0,0.875,विचित्र
subnormal,0.0,0.75,अलौकिक
paranormal,0.0,0.875,अलौकिक
innocuous,0.0,0.75,निर्दोष
unoccupied,0.0,0.75,अबाधित
scrimy,0.0,1.0,शास्त्री
verminous,0.0,0.875,किरमिजी
odoriferous,0.222,0.778,गंधरस
unofficial,0.0,0.75,अनधिकृत
unestablished,0.0,0.75,अप्रसिद्ध
off-street,0.0,0.75,ऑफ-स्ट्रीट
off-line,0.0,0.75,ऑफ-लाइन
off,0.0,0.75,बंद
inconvenient,0.0,0.75,गैरसोयीचे
unopposed,0.0,0.75,बिनविरोध
unmethodical,0.0,0.75,निरुपयोगी
artificial,0.0,0.75,कृत्रिम
stunning,0.0,0.75,जबरदस्त आकर्षक
underivative,0.0,0.875,अविकसित
unoriginal,0.0,0.75,अनियमित
slavish,0.0,0.75,गुलाम
painless,0.0,0.75,वेदनारहित
unpainted,0.0,0.875,अनपेन्टेड
unoiled,0.0,0.75,अनलॉईड
unpaintable,0.0,0.75,अनपेन्टेबल
unpalatable,0.125,0.75,अप्रचलित
unforbearing,0.0,0.875,असह्य
unpaved,0.0,0.75,कच्चा
unpeaceful,0.0,0.75,अप्रिय
unpeaceable,0.0,0.875,अशक्य
inadmissible,0.0,0.75,अपात्र
unpermissive,0.125,0.75,निर्विवाद
unperplexed,0.0,0.75,अप्रिय
impenetrable,0.0,0.75,अभेद्य
rot-resistant,0.0,0.75,रॉट-प्रतिरोधक
nonpsychoactive,0.0,0.75,नॉनसायकोएक्टिव्ह
off-putting,0.0,0.75,बंद ठेवणे
raw,0.0,0.75,कच्चा
imponderable,0.0,0.875,अभेद्य
neutral,0.125,0.75,तटस्थ
out,0.0,0.875,बाहेर
unfunctional,0.0,0.75,अकार्यक्षम
cretinous,0.0,0.875,कर्कश
secondary,0.0,0.75,दुय्यम
nonpublic,0.0,0.75,नॉन प्रजासत्ताक
lay,0.0,0.75,घालणे
lean,0.125,0.75,दुबळा
unremunerative,0.0,0.75,निरर्थक
out-of-the-way,0.0,0.75,रस्ता सोडून
unimpeachable,0.0,0.75,अतुलनीय
unquiet,0.0,0.75,असमाधानकारक
flat-footed,0.0,0.75,सपाट पाय
unprocessed,0.0,0.75,प्रक्रिया न केलेले
untreated,0.0,0.75,उपचार न करता
raw,0.0,0.75,कच्चा
untreated,0.0,0.875,उपचार न करता
assimilative,0.0,0.75,एकरुप
unexpansive,0.0,0.75,अप्रसिद्ध
moneyless,0.0,0.75,पैसाहीन
out,0.0,0.75,बाहेर
manic-depressive,0.0,0.75,उन्मत्त
psychotic,0.0,0.75,मानसिक
saturnine,0.125,0.75,सॅटरिन
unconscientious,0.0,0.75,अप्रामाणिक
fail-safe,0.0,0.75,सुरक्षित अपयशी
junior,0.0,0.75,कनिष्ठ
frivolous,0.0,0.75,फालतू
broken-down,0.0,0.875,तुटणे
nonresident,0.0,0.75,अनिवासी
nonnomadic,0.0,0.75,नॉनमॉडिक
unformed,0.0,0.75,अनफार्मर्ड
FALSE,0.125,0.75,खोटे
feigned,0.125,0.875,femented
unsized,0.0,0.75,अनसाइझ्ड
unsorted,0.0,0.75,अनसॉर्ट
unshuttered,0.0,0.75,अबाधित
unsociable,0.0,0.75,असमाधानकारक
ungregarious,0.0,0.75,कुरूप
unsold,0.0,0.75,न विकलेले
nonstandard,0.125,0.75,नॉन स्टँडर्ड
nonstandard,0.125,0.875,नॉन स्टँडर्ड
nonnormative,0.0,0.75,नॉनरॉर्मेटिव्ह
nonstandard,0.0,0.75,नॉन स्टँडर्ड
unstressed,0.0,0.75,अनस्ट्रेस केलेला
low-grade,0.222,0.778,कमी दर्जा
unimpressionable,0.0,0.75,अप्रभावी
soured,0.0,0.75,soured
unsuspected,0.125,0.75,बेशिस्त
unswept,0.0,0.75,अस्ताव्यस्त
unsympathetic,0.0,0.875,दयाळू
temperate,0.125,0.75,समशीतोष्ण
unkempt,0.0,0.75,मनातून काढून टाकणे
ungroomed,0.125,0.75,अनगरुम
intolerant,0.125,0.75,असहिष्णु
intestate,0.0,0.75,आतडे
tough,0.0,0.75,कठीण
unmalleable,0.0,0.75,unmeleable
FALSE,0.0,0.75,खोटे
undivided,0.0,0.875,अविभाजित
dystopian,0.0,0.75,डिस्टोपियन
FALSE,0.0,0.75,खोटे
manky,0.3,0.7,उन्माद
occult,0.0,0.875,जादू
consumptive,0.0,0.75,खनिज
dyspeptic,0.0,0.75,डिस्पेप्टिक
palsied,0.0,0.75,पक्षाघात
scrofulous,0.0,0.875,भांडखोर
unwholesome,0.125,0.75,अपायकारक
benign,0.0,0.75,सौम्य
immunodeficient,0.0,0.75,रोगप्रतिकारक
anasarcous,0.0,0.75,अनासोकस
immunocompromised,0.0,0.75,रोगप्रतिकारक
aversive,0.125,0.75,प्रतिकूल
nonenzymatic,0.0,0.75,नॉनएन्झिमॅटिक
tetanic,0.0,0.75,टेटॅनिक
tetanic,0.0,0.75,टेटॅनिक
unposed,0.0,0.75,बिनविरोध
conquest,0.0,0.75,विजय
hyperemesis,0.0,0.75,hyperemesis
bronchospasm,0.0,0.75,ब्रोन्कोस्पॅझम
palliation,0.0,0.75,उपशामक औषध
overexertion,0.0,0.875,अतिरेक
abduction,0.0,1.0,अपहरण
scatophagy,0.0,0.75,स्कॉफॅजी
underproduction,0.0,0.75,कमी उत्पादन
armageddon,0.0,0.75,आर्मागेडन
misdeal,0.0,0.75,गैरवर्तन
rotavirus,0.0,0.75,रोटाव्हायरस
rockweed,0.0,0.75,रॉकविड
kitsch,0.125,0.75,किट्स
lenitive,0.0,0.875,सुस्त
stinker,0.0,0.75,वास
disagreeableness,0.0,0.875,असहमती
levity,0.125,0.875,लेव्हिटी
unapproachability,0.125,0.75,अकार्यक्षमता
unfriendliness,0.0,0.875,मैत्री
uncongeniality,0.25,0.75,uncongeniality
unneighborliness,0.0,0.875,असुरक्षितता
unpleasingness,0.125,0.75,अप्रियता
shiftiness,0.125,0.75,शिफ्टनेस
granite,0.0,0.75,ग्रॅनाइट
disagreeableness,0.125,0.875,असहमती
beastliness,0.0,0.75,श्वासोच्छ्वास
unnaturalness,0.0,0.875,अनैसर्गिकपणा
inadmissibility,0.125,0.75,अपात्रता
usualness,0.125,0.75,सामान्यपणा
nonconformity,0.0,0.75,नॉनकॉन्फॉर्मिटी
illegitimacy,0.0,0.875,अयोग्यपणा
illicitness,0.0,0.75,बेकायदेशीर
elusiveness,0.125,0.75,मायावीपणा
wrongness,0.125,0.75,चूक
incorruptibility,0.25,0.75,अविनाशीपणा
lightheadedness,0.0,0.75,डोकेदुखी
indelicacy,0.125,0.75,उपहास
staleness,0.0,0.75,शिळे
hardness,0.0,0.875,कडकपणा
vulnerability,0.0,0.875,असुरक्षा
tardiness,0.125,0.75,अशक्तपणा
inessentiality,0.125,0.75,अनिश्चितता
defensibility,0.25,0.75,डिफेन्सिबिलिटी
snootiness,0.125,0.75,स्नूटीनेस
cholecystokinin,0.0,0.75,कोलेसिस्टोकिनिन
feeblemindedness,0.0,0.75,कमकुवतपणा
insensibility,0.0,0.75,असंवेदनशीलता
hydra,0.0,0.75,हायड्रा
pisser,0.0,0.75,पेशंट
pruritus,0.0,0.75,प्रुरिटस
pill,0.0,0.875,गोळी
kink,0.0,0.75,किंक
casuistry,0.0,0.75,उष्मायन
reprobation,0.0,0.75,reprobation
unfairness,0.125,0.75,अन्याय
stricture,0.0,0.75,कडकपणा
canard,0.0,0.875,बदक
excoriation,0.0,0.875,उत्सुकता
accident,0.0,0.75,अपघात
resolution,0.0,0.75,ठराव
fire,0.0,0.75,आग
wistfulness,0.0,0.75,मुसलमानपणा
mysophilia,0.0,0.75,मायसोफिलिया
creepy-crawlies,0.125,0.75,भितीदायक-क्रॉलि
unconcern,0.0,0.75,बेबनाव
conscience,0.125,0.75,शुद्धी
levity,0.125,0.875,लेव्हिटी
sensibility,0.25,0.75,संवेदनशीलता
dolefulness,0.0,0.875,dolefulness
heavyheartedness,0.125,0.75,जबरदस्ती
self-pity,0.125,0.75,आत्म-दया
dysphoria,0.0,0.75,डिसफोरिया
moodiness,0.125,0.875,मन: स्थिती
plonk,0.0,0.875,धिक्कार
gridlock,0.0,0.75,ग्रीडलॉक
aphasic,0.0,0.75,अस्पष्ट
asthmatic,0.0,0.75,दम्याचा
choker,0.0,0.75,चोकर
hobbledehoy,0.0,0.875,hobbledehoy
jerry-builder,0.0,0.75,जेरी-बिल्डर
motormouth,0.0,1.0,मोटर तोंड
patzer,0.0,0.875,चुकणे
seducer,0.0,0.75,मोहक
third-rater,0.0,0.75,तिसरा रेटर
torturer,0.0,0.75,छळ
yenta,0.0,0.75,येन्टा
accumulation,0.0,0.75,जमा
earthquake,0.0,0.875,भूकंप
insomnia,0.0,0.75,निद्रानाश
anoxia,0.0,0.75,अनोक्सिया
dysphagia,0.125,0.75,बिघडलेले कार्य
dysuria,0.0,0.875,डिझुरिया
dystrophy,0.0,0.75,डिस्ट्रॉफी
invalidism,0.0,0.875,अवैधता
amyloidosis,0.0,0.75,अमिलॉइडोसिस
neurasthenia,0.0,0.75,न्यूरोस्थेनिया
gingivitis,0.0,0.75,हिरड्यांना आलेली सूज
glomerulonephritis,0.0,0.75,ग्लोमेरुलोनेफ्रायटिस
hypothyroidism,0.0,0.75,हायपोथायरॉईडीझम
diphtheria,0.0,0.75,डिप्थीरिया
pneumonia,0.0,0.75,न्यूमोनिया
abetalipoproteinemia,0.0,0.75,अ‍ॅबेटिलीप्रोटीनेमिया
hypobetalipoproteinemia,0.0,0.75,hypobetalipoproteinemia
lysinemia,0.0,0.75,लिसिनेमिया
thrombasthenia,0.0,0.75,थ्रोम्बॅस्थेनिया
tyrosinemia,0.125,0.75,टायरोसिनेमिया
angina,0.0,0.75,एनजाइना
blain,0.0,0.875,ब्लेन
cystitis,0.0,0.75,सिस्टिटिस
malnutrition,0.0,0.75,कुपोषण
kwashiorkor,0.0,0.75,kwashiorkor
myopathy,0.125,0.75,मायोपॅथी
erythema,0.0,0.75,इरिथेमा
livedo,0.0,0.75,livedo
granuloma,0.0,0.75,ग्रॅन्युलोमा
arteritis,0.0,0.75,धमनीचा दाह
blepharitis,0.0,0.875,ब्लेफेरिटिस
sprain,0.0,0.75,मोच
bubo,0.0,0.875,बुबो
throe,0.0,0.875,throe
dysmenorrhea,0.0,0.75,डिस्मेनोरिया
odynophagia,0.125,0.75,ओडोनोफॅगिया
ulalgia,0.0,0.75,युलगिया
cholangitis,0.0,0.75,पित्ताशयाचा दाह
cholecystitis,0.0,0.75,पित्ताशयाचा दाह
diverticulitis,0.0,0.875,डायव्हर्टिकुलिटिस
endarteritis,0.0,0.75,अंतःस्राव
epididymitis,0.0,0.75,एपिडिडायमेटिस
gastritis,0.0,0.75,जठराची सूज
keratitis,0.0,0.75,केरायटीस
oophoritis,0.0,0.75,ओफोरिटिस
orchitis,0.0,0.875,ऑर्किटिस
pancreatitis,0.0,0.75,स्वादुपिंडाचा दाह
prostatitis,0.0,0.875,प्रोस्टाटायटीस
spondylitis,0.0,0.75,स्पॉन्डिलायटिस
ulitis,0.0,0.75,संधिवात
ureteritis,0.0,0.75,गर्भाशयाचा दाह
vesiculitis,0.0,0.75,वेसिक्युलाईटिस
automysophobia,0.0,0.75,स्वयंचलितरोग
encopresis,0.0,0.75,encopresis
melancholia,0.125,0.75,उदासीनता
throe,0.0,0.875,throe
cleanness,0.125,0.75,स्वच्छता
porphyria,0.125,0.75,पोर्फिरिया
ergotism,0.0,0.75,एर्गोटिझम
astasia,0.125,0.75,अस्थिया
sequela,0.0,0.75,शिष्यत्व
analgesia,0.0,0.75,वेदनशामक
urethritis,0.0,0.75,मूत्रमार्गाचा दाह
oligospermia,0.0,0.75,ऑलिगोस्पर्मिया
tenesmus,0.0,0.75,टेनेस्मस
gum-lac,0.0,0.75,गम-लाख
negatively,0.0,0.75,नकारार्थी
indirectly,0.0,0.75,अप्रत्यक्षपणे
have,0.0,0.75,आहे
obstipate,0.0,0.75,प्रसूती
bloat,0.0,0.75,फुलणे
putrefy,0.0,0.75,putrefy
curdle,0.0,0.875,वलय
cleanse,0.0,0.75,शुद्ध करणे
whoop,0.25,0.75,हूप
speculate,0.0,0.75,अनुमान
out-herod,0.0,0.875,बाहेर हेरोद
invade,0.0,0.75,आक्रमण
lacerate,0.125,0.75,लेसरेट
tribulate,0.0,0.75,दु: ख देणे
abreact,0.0,0.875,अपूर्व
humbug,0.0,0.875,हम्बग
moot,0.0,-0.9,मोट
stingingly,0.0,-0.9,कंजूष
ire,0.0,-0.9,इरे
unlawful,0.0,-0.9,बेकायदेशीर
overstates,0.0,-0.9,अवांतर
sloow,0.0,-0.9,ओहोळ
pervasive,0.0,-0.9,व्यापक
tangles,0.0,-0.9,टेंगल्स
distressingly,0.0,-0.9,क्लेशपूर्वक
outrageousness,0.0,-0.9,अपमानास्पदपणा
prejudices,0.0,-0.9,पूर्वग्रह
retaliatory,0.0,-0.9,सूड
insufficient,0.0,-0.9,अपुरा
grudging,0.0,-0.9,कुरकुर
unfeeling,0.0,-0.9,अनाकलनीय
desert,0.0,-0.9,वाळवंट
damnation,0.0,-0.9,धिक्कार
despairingly,0.0,-0.9,निराशेने
frightening,0.0,-0.9,भीतीदायक
unethical,0.0,-0.9,अनैतिक
dent,0.0,-0.9,खंदक
bores,0.0,-0.9,कंटाळवाणे
unexpected,0.0,-0.9,अनपेक्षित
contemptible,0.0,-0.9,नीच
drab,0.0,-0.9,मारणे
adulterate,0.0,-0.9,भेसळ
martyrdom-seeking,0.0,-0.9,शहादत-शोध
spade,0.0,-0.9,कुदळ
downside,0.0,-0.9,नकारात्मक
prohibitively,0.0,-0.9,मनापासून
unwell,0.0,-0.9,अस्वस्थ
vicious,0.0,-0.9,लबाडीचा
unsupportive,0.0,-0.9,असमर्थित
frigid,0.0,-0.9,गोंधळ
brainless,0.0,-0.9,निर्बुद्ध
obnoxiously,0.0,-0.9,अयोग्यपणाने
bullshit,0.0,-0.9,बुलशीट
bedlamite,0.0,-0.9,बेडलामाईट
painful,0.0,-0.9,वेदनादायक
illness,0.0,-0.9,आजार
bombard,0.0,-0.9,गोळीबार
sneakily,0.0,-0.9,डोकावून
hustler,0.0,-0.9,हसलर
fallacy,0.0,-0.9,गोंधळ
spoils,0.0,-0.9,लुबाडणे
twist,0.0,-0.9,पिळणे
misunderstood,0.0,-0.9,गैरसमज
sluts,0.0,-0.9,sluts
ghastly,0.0,-0.9,भयानक
destitution,0.0,-0.9,निराधारपणा
imminently,0.0,-0.9,नजीक
mope,0.0,-0.9,मोपे
complication,0.0,-0.9,गुंतागुंत
heathen,0.0,-0.9,यहूदी
rip,0.0,-0.9,चीर
scandal,0.0,-0.9,घोटाळा
anguish,0.0,-0.9,क्लेश
fruitless,0.0,-0.9,निष्फळ
cash-strapped,0.0,-0.9,नगदी
sarcastically,0.0,-0.9,उपहासात्मकपणे
steal,0.0,-0.9,चोरणे
admonition,0.0,-0.9,सूचना
ill-fated,0.0,-0.9,दुर्दैवी
longing,0.0,-0.9,उत्कंठा
dreadfully,0.0,-0.9,भयानक
mournful,0.0,-0.9,शोकपूर्ण
weakening,0.0,-0.9,कमकुवत
stew,0.0,-0.9,पाण्यात किंवा रसात मंदपणे शिजणे
amiss,0.0,-0.9,गोंधळ
annihilate,0.0,-0.9,नाश करणे
destructive,0.0,-0.9,विध्वंसक
dullard,0.0,-0.9,ड्यूलार्ड
itching,0.0,-0.9,खाज सुटणे
oblivious,0.0,-0.9,गोंधळ
incessant,0.0,-0.9,अविरत
idle,0.0,-0.9,निष्क्रिय
scratches,0.0,-0.9,ओरखडे
shockingly,0.0,-0.9,धक्कादायकपणे
miserly,0.0,-0.9,कुरूपपणे
bias,0.0,-0.9,पूर्वाग्रह
loose,0.0,-0.9,सैल
bull----,0.0,-0.9,बैल ----
dense,0.0,-0.9,घनदाट
austere,0.0,-0.9,तपकिरी
fusty,0.0,-0.9,उग्र
ghetto,0.0,-0.9,वस्ती
jumpy,0.0,-0.9,गोंधळलेला
crushed,0.0,-0.9,चिरडले
destains,0.0,-0.9,नियत
assault,0.0,-0.9,हल्ला
ferociously,0.0,-0.9,क्रूरपणे
hard,0.0,-0.9,कठीण
prate,0.0,-0.9,अनुसरण करा
fat-cat,0.0,-0.9,चरबी मांजर
exorbitantance,0.0,-0.9,अत्युत्तमपणा
hassles,0.0,-0.9,त्रास
abysmally,0.0,-0.9,अत्यंत वाईट
demeaning,0.0,-0.9,अपमानजनक
immodest,0.0,-0.9,अविचारी
harms,0.0,-0.9,हानी
irresolvable,0.0,-0.9,अपरिवर्तनीय
limitations,0.0,-0.9,मर्यादा
dawdle,0.0,-0.9,डॅडल
shrouded,0.0,-0.9,आच्छादित
smuttiest,0.0,-0.9,बेबनाव
passe,0.0,-0.9,भूतकाळ
mistake,0.0,-0.9,चूक
clunky,0.0,-0.9,लबाडीचा
abuse,0.0,-0.9,गैरवर्तन
sink,0.0,-0.9,बुडणे
floundering,0.0,-0.9,धडकी भरवणारा
harrow,0.0,-0.9,हरो
deceiving,0.0,-0.9,फसवणूक
hellion,0.0,-0.9,नरक
noise,0.0,-0.9,आवाज
bother,0.0,-0.9,त्रास
perfidious,0.0,-0.9,परिपूर्ण
opportunistic,0.0,-0.9,संधीसाधू
irately,0.0,-0.9,irately
perturbed,0.0,-0.9,अस्वस्थ
belligerence,0.0,-0.9,युद्ध
rebuke,0.0,-0.9,फटकार
unbelievably,0.0,-0.9,अविश्वसनीय
catastrophically,0.0,-0.9,आपत्तिमयपणे
cuss,0.0,-0.9,गोंधळ
prohibit,0.0,-0.9,मनाई
disclaim,0.0,-0.9,अस्वीकरण
bullyingly,0.0,-0.9,गुंडगिरी
enraging,0.0,-0.9,संतापजनक
dud,0.0,-0.9,डड
admonish,0.0,-0.9,सल्ला देणे
bravado,0.0,-0.9,ब्रेव्हॅडो
disappointed,0.0,-0.9,निराश
unsure,0.0,-0.9,अनिश्चित
repress,0.0,-0.9,दडपणे
impudence,0.0,-0.9,लबाडी
ruin,0.0,-0.9,नाश
banal,0.0,-0.9,पवित्र
lagging,0.0,-0.9,मागे पडणे
discontent,0.0,-0.9,असंतोष
shunned,0.0,-0.9,shunned
cold,0.0,-0.9,थंड
creak,0.0,-0.9,वेडा
untruthful,0.0,-0.9,अविश्वासू
dehumanize,0.0,-0.9,अमानुष करणे
thug,0.0,-0.9,ठग
worthlessly,0.0,-0.9,निरुपयोगी
vagrant,0.0,-0.9,विचित्र
accursed,0.0,-0.9,शापित
bum,0.0,-0.9,बम
loathly,0.0,-0.9,घृणास्पद
chunky,0.0,-0.9,चंकी
sputter,0.0,-0.9,गोंधळ
eviscerate,0.0,-0.9,स्पष्ट करणे
limp,0.0,-0.9,लंगडा
loneliness,0.0,-0.9,एकटेपणा
self-interest,0.0,-0.9,स्वार्थ
picketed,0.0,-0.9,पिक्केटेड
squash,0.0,-0.9,स्वाश
disorder,0.0,-0.9,अराजक
strange,0.0,-0.9,विचित्र
struck,0.0,-0.9,मारले
betrayal,0.0,-0.9,विश्वासघात
disturb,0.0,-0.9,त्रास
unrealistic,0.0,-0.9,अवास्तव
antagonist,0.0,-0.9,विरोधी
questionable,0.0,-0.9,शंकास्पद
inactive,0.0,-0.9,निष्क्रिय
cheapen,0.0,-0.9,स्वस्त
lame,0.0,-0.9,लंगडा
irregular,0.0,-0.9,अनियमित
corrupting,0.0,-0.9,भ्रष्ट
heavy-handed,0.0,-0.9,जड हाताने
pertinaciously,0.0,-0.9,pertinaciously
adverse,0.0,-0.9,प्रतिकूल
hubris,0.0,-0.9,हुब्रीस
refused,0.0,-0.9,नकार दिला
ill-conceived,0.0,-0.9,दुर्दैवी
layoff-happy,0.0,-0.9,विश्रांती-आनंदी
unnerve,0.0,-0.9,अस्खलित करणे
overwhelmingly,0.0,-0.9,जबरदस्तीने
scorching,0.0,-0.9,जळजळ
revile,0.0,-0.9,अपमान करणे
fissures,0.0,-0.9,fissures
unlamentable,0.0,-0.9,अवांछित
gimmicky,0.0,-0.9,लबाडीचा
blameworthy,0.0,-0.9,दोषारोप
crabby,0.0,-0.9,क्रॅबी
stampede,0.0,-0.9,चेंगराचेंगरी
hegemonism,0.0,-0.9,वर्चस्व
alarmingly,0.0,-0.9,भयानक
authoritarian,0.0,-0.9,हुकूमशाही
reprove,0.0,-0.9,धिक्कार
bemused,0.0,-0.9,आश्चर्यचकित
imposing,0.0,-0.9,लादणे
fidgety,0.0,-0.9,fidgety
discourteous,0.0,-0.9,अपमानकारक
suffocate,0.0,-0.9,गुदमरणे
irrationalities,0.0,-0.9,असमर्थता
attacks,0.0,-0.9,हल्ले
ill-treatment,0.0,-0.9,गैर-उपचार
desititute,0.0,-0.9,बेबनाव
bent,0.0,-0.9,आहेत
unequal,0.0,-0.9,असमान
sagging,0.0,-0.9,झोपणे
nettle,0.0,-0.9,चिडवणे
murderously,0.0,-0.9,खुनीपणे
severity,0.0,-0.9,तीव्रता
