Term,PosScore,NegScore,Punjabi
disarming,0.75,0.125,ਹਥਿਆਰਬੰਦ
white,0.75,0.125,ਚਿੱਟਾ
ladylike,0.75,0.0,likeਰਤ ਵਰਗਾ
unprintable,0.75,0.25,ਛਾਪਣਯੋਗ
diffident,0.875,0.0,ਵੱਖਰਾ
answerable,0.875,0.0,ਜਵਾਬਦੇਹ
emancipative,0.75,0.125,emancipative
danceable,0.75,0.0,ਨਾਚਯੋਗ
opposite,0.75,0.125,ਉਲਟ
antiseptic,0.75,0.25,ਐਂਟੀਸੈਪਟਿਕ
shapely,0.75,0.0,ਸੁਹਜ
well-proportioned,0.75,0.0,ਚੰਗੀ ਤਰ੍ਹਾਂ ਨਾਲ
sound,0.75,0.0,ਆਵਾਜ਼
straightarrow,0.875,0.125,ਸਿੱਧਾ
upper,0.75,0.0,ਵੱਡੇ
banner,0.875,0.0,ਬੈਨਰ
gilt-edged,0.75,0.0,ਗਿਲਟ-ਐਜਡ
premium,0.75,0.0,ਪ੍ਰੀਮੀਅਮ
shining,0.75,0.0,ਚਮਕਦਾ
spiffing,0.875,0.0,ਡਿੱਗਣਾ
choice,0.75,0.125,ਚੋਣ
serviceable,0.75,0.0,ਸੇਵਾਯੋਗ
sacred,0.75,0.0,ਪਵਿੱਤਰ
constitutional,0.75,0.0,ਸੰਵਿਧਾਨਕ
deliverable,0.75,0.0,ਪਹੁੰਚਣਯੋਗ
ducal,0.75,0.0,ducal
masterstroke,0.75,0.0,ਮਾਸਟਰਸਟ੍ਰੋਕ
pleasantry,0.75,0.0,ਖੁਸ਼ਹਾਲੀ
indignity,0.75,0.0,ਗੁੱਸਾ
props,0.875,0.0,ਪ੍ਰੋਸ
titillation,0.75,0.0,ਸਿਰਲੇਖ
beatification,0.75,0.0,ਬੀਏਟੀਫਿਕੇਸ਼ਨ
rambouillet,0.75,0.0,rambouillet
character,0.875,0.0,ਅੱਖਰ
drama,0.75,0.0,ਨਾਟਕ
chirpiness,0.75,0.0,ਕ੍ਰਿਪਾ
vivacity,0.75,0.25,ਵਿਵੇਕਤਾ
mettlesomeness,0.75,0.0,mettlesomeness
bluffness,0.875,0.0,ਧੁੰਦਲਾਪਣ
picturesqueness,0.875,0.0,ਤਸਵੀਰ
pleasingness,0.75,0.0,ਪ੍ਰਸੰਨਤਾ
attractiveness,0.75,0.0,ਆਕਰਸ਼ਣ
innateness,0.75,0.25,ਜਨਮ
totality,0.75,0.0,ਸੰਪੂਰਨਤਾ
looseness,0.75,0.25,nessਿੱਲੀ
wholesomeness,0.875,0.0,ਤੰਦਰੁਸਤੀ
healthfulness,0.875,0.0,ਤੰਦਰੁਸਤੀ
trueness,0.75,0.0,ਸੱਚਾਈ
tastefulness,0.875,0.0,ਸਵਾਦ
urbanity,0.875,0.0,ਸ਼ਹਿਰੀਤਾ
conscientiousness,0.75,0.0,ਜ਼ਮੀਰ
safeness,0.75,0.25,ਸਫਾਈ
scrupulousness,0.75,0.0,ਬੇਵਕੂਫ਼
integrity,0.875,0.125,ਇਮਾਨਦਾਰੀ
probity,0.75,0.0,ਸੰਭਾਵਨਾ
artfulness,0.75,0.0,ਕਲਾਤਮਕਤਾ
dedication,0.875,0.0,ਸਮਰਪਣ
urbanity,0.875,0.0,ਸ਼ਹਿਰੀਤਾ
crispness,0.875,0.0,ਕਰਿਸਪਨ
extremeness,0.75,0.25,ਅਤਿ
reasonableness,0.75,0.0,ਵਾਜਬਤਾ
affirmativeness,0.75,0.0,ਪੁਸ਼ਟੀਕਰਣ
importance,0.75,0.125,ਮਹੱਤਤਾ
account,0.875,0.125,ਖਾਤਾ
meaningfulness,0.75,0.125,ਸਾਰਥਕਤਾ
shrillness,0.75,0.25,ਸੁੰਬਲਤਾ
eye,0.75,0.0,ਅੱਖ
logic,0.75,0.0,ਤਰਕ
judiciousness,0.875,0.0,ਨਿਰਪੱਖਤਾ
ear,0.75,0.0,ਕੰਨ
balletomania,0.75,0.0,ਬੈਲੇਟੋਮੇਨੀਆ
mastering,0.75,0.0,ਮਾਸਟਰਿੰਗ
principle,0.75,0.0,ਸਿਧਾਂਤ
hedonism,0.75,0.0,ਹੇਡੋਨੀਜ਼ਮ
courtesy,0.75,0.0,ਸ਼ਿਸ਼ਟਤਾ
topper,0.75,0.0,ਟੌਪਰ
divination,0.875,0.0,ਜਾਦੂ
moralism,0.75,0.125,ਨੈਤਿਕਤਾ
bonheur,0.875,0.0,ਖੁਸ਼ਹਾਲੀ
beneficence,0.75,0.0,ਲਾਭ
criollo,0.75,0.0,ਕ੍ਰੀਓਲ
amoralist,0.75,0.0,ਅਮਲੋਕਵਾਦੀ
brick,0.75,0.0,ਇੱਟ
first-rater,1.0,0.0,ਪਹਿਲਾ ਰਾਟਰ
out-and-outer,0.75,0.0,ਬਾਹਰ ਅਤੇ ਬਾਹਰ
pleaser,0.75,0.0,ਕ੍ਰਿਪਾ
possible,0.75,0.0,ਸੰਭਵ
serendipity,0.75,0.125,ਸ਼ਾਂਤ
antithesis,0.75,0.0,ਵਿਰੋਧੀ
contrary,0.75,0.0,ਇਸ ਦੇ ਉਲਟ
algidity,0.75,0.25,ਐਲਗੀਟੀ
pathology,0.75,0.125,ਪੈਥੋਲੋਜੀ
character,0.875,0.0,ਅੱਖਰ
fettle,0.75,0.0,ਭਰੂਣ
time,0.75,0.0,ਸਮਾਂ
simply,0.75,0.0,ਬਸ
downright,0.75,0.0,ਸਿੱਧਾ
recuperate,0.75,0.0,ਤੰਦਰੁਸਤੀ
redound,0.75,0.0,redound
enervate,0.75,0.0,enervate
delouse,0.75,0.0,delouse
think,0.75,0.0,ਸੋਚੋ
receive,0.75,0.0,ਪ੍ਰਾਪਤ ਕਰੋ
consider,0.75,0.0,ਵਿਚਾਰ ਕਰੋ
give,0.75,0.125,ਦੇਣਾ
filigree,0.875,0.0,ਫਿਲਿਗਰੀ
stultify,0.75,0.125,ਟੁੱਟੀ
see,0.75,0.0,ਦੇਖੋ
vest,0.875,0.0,ਵੇਸਟ
agree,0.875,0.0,ਸਹਿਮਤ
suit,0.875,0.0,ਸੂਟ
belong,0.75,0.0,ਸਬੰਧਤ
make,0.875,0.0,ਬਣਾਉਣ
sensation,0.9,0.0,ਸਨਸਨੀ
thriving,0.9,0.0,ਪੁੰਗਰਦਾ
marvels,0.9,0.0,ਹੈਰਾਨੀ
vibrant,0.9,0.0,ਉਤੇਜਿਤ
fragrant,0.9,0.0,ਖੁਸ਼ਬੂਦਾਰ
enthusiast,0.9,0.0,ਉਤਸ਼ਾਹੀ
successfully,0.9,0.0,ਸਫਲਤਾਪੂਰਵਕ
gifted,0.9,0.0,ਤੋਹਫਾ
unequivocal,0.9,0.0,ਨਿਰਪੱਖ
readily,0.9,0.0,ਆਸਾਨੀ ਨਾਲ
solicitously,0.9,0.0,ਇਕਾਗਰਤਾ ਨਾਲ
enchantingly,0.9,0.0,ਮਨਘੜਤ
gold,0.9,0.0,ਸੋਨਾ
comforting,0.9,0.0,ਦਿਲਾਸਾ ਦੇਣ ਵਾਲਾ
portable,0.9,0.0,ਪੋਰਟੇਬਲ
sensations,0.9,0.0,ਸਨਸਨੀ
truthful,0.9,0.0,ਸਚਿਆਰਾ
notably,0.9,0.0,ਖਾਸ ਤੌਰ ਤੇ
bonny,0.9,0.0,ਬੌਨੀ
adulate,0.9,0.0,ਮੰਨਣਾ
jolly,0.9,0.0,ਮਜ਼ੇਦਾਰ
supurb,0.9,0.0,supurb
aspiration,0.9,0.0,ਅਭਿਲਾਸ਼ਾ
venerate,0.9,0.0,ਪੂਜਾ
liking,0.9,0.0,ਪਸੰਦ
sweeping,0.9,0.0,ਤਿੱਖਾ
flexible,0.9,0.0,ਲਚਕਦਾਰ
liberty,0.9,0.0,ਆਜ਼ਾਦੀ
refresh,0.9,0.0,ਤਾਜ਼ਾ ਕਰੋ
vivacious,0.9,0.0,ਵਹਿਸ਼ੀ
gem,0.9,0.0,ਰਤਨ
impress,0.9,0.0,ਪ੍ਰਭਾਵਿਤ
trumpet,0.9,0.0,ਤੁਰ੍ਹੀ
entrust,0.9,0.0,ਸੌਂਪਣਾ
catchy,0.9,0.0,ਆਕਰਸ਼ਕ
talents,0.9,0.0,ਹੁਨਰ
retractable,0.9,0.0,ਵਾਪਸ ਲੈਣ ਯੋਗ
passionate,0.9,0.0,ਭਾਵੁਕ
triumph,0.9,0.0,ਜਿੱਤ
afordable,0.9,0.0,ਕਿਫਾਇਤੀ
congratulations,0.9,0.0,ਵਧਾਈਆਂ
bargain,0.9,0.0,ਸੌਦਾ
glad,0.9,0.0,ਖੁਸ਼
rejuvenated,0.9,0.0,ਤਾਜ਼ਗੀ
top,0.9,0.0,ਸਿਖਰ
gladden,0.9,0.0,ਖੁਸ਼
energize,0.9,0.0,ਤਾਕਤ
humane,0.9,0.0,ਮਨੁੱਖੀ
swank,0.9,0.0,ਹਿਲਾ
insightfully,0.9,0.0,ਸੂਝ ਨਾਲ
courageousness,0.9,0.0,ਹਿੰਮਤ
fancinating,0.9,0.0,ਕੱਟੜ
maturity,0.9,0.0,ਪਰਿਪੱਕਤਾ
energy-efficient,0.9,0.0,energyਰਜਾ-ਕੁਸ਼ਲ
calm,0.9,0.0,ਸ਼ਾਂਤ
desirable,0.9,0.0,ਲੋੜੀਂਦਾ
poeticize,0.9,0.0,ਕਾਵਿਕ ਬਣਾਉਣਾ
easiest,0.9,0.0,ਸੌਖਾ
low-price,0.9,0.0,ਘੱਟ ਕੀਮਤ
striving,0.9,0.0,ਕੋਸ਼ਿਸ਼ ਕਰ ਰਿਹਾ ਹੈ
advantage,0.9,0.0,ਫਾਇਦਾ
cheerful,0.9,0.0,ਖੁਸ਼ਹਾਲ
ample,0.9,0.0,ਕਾਫ਼ੀ
steady,0.9,0.0,ਸਥਿਰ
effortless,0.9,0.0,ਅਣਥੱਕ
innovation,0.9,0.0,ਨਵੀਨਤਾ
fine-looking,0.9,0.0,ਵਧੀਆ
wonders,0.9,0.0,ਹੈਰਾਨੀ
cashback,0.9,0.0,ਕੈਸ਼ਬੈਕ
quicker,0.9,0.0,ਤੇਜ਼
gleeful,0.9,0.0,ਖੁਸ਼
expertly,0.9,0.0,ਮਹਾਰਤ ਨਾਲ
divine,0.9,0.0,ਬ੍ਰਹਮ
miraculously,0.9,0.0,ਚਮਤਕਾਰੀ .ੰਗ ਨਾਲ
daring,0.9,0.0,ਹਿੰਮਤ
pepped,0.9,0.0,ਕੱppedਿਆ
cooperatively,0.9,0.0,ਸਹਿਕਾਰਤਾ ਨਾਲ
gainful,0.9,0.0,ਲਾਭਕਾਰੀ
rewarding,0.9,0.0,ਫਲਦਾਇਕ
magnificently,0.9,0.0,ਸ਼ਾਨਦਾਰ
captivate,0.9,0.0,ਮੋਹਿਤ ਕਰਨਾ
exceeding,0.9,0.0,ਵੱਧ
ready,0.9,0.0,ਤਿਆਰ ਹੈ
invaluablely,0.9,0.0,ਅਨਮੋਲ
modesty,0.9,0.0,ਨਿਮਰਤਾ
innovative,0.9,0.0,ਨਵੀਨਤਾਕਾਰੀ
rapturous,0.9,0.0,ਅਨੰਦ
soulful,0.9,0.0,ਰੂਹਾਨੀ
hard-working,0.9,0.0,ਮਿਹਨਤੀ
understandable,0.9,0.0,ਸਮਝਣਯੋਗ
resourcefulness,0.9,0.0,ਸਰੋਤ
illumine,0.9,0.0,ਪ੍ਰਕਾਸ਼ਮਾਨ
trusty,0.9,0.0,ਭਰੋਸੇਮੰਦ
patriot,0.9,0.0,ਦੇਸ਼ ਭਗਤ
amply,0.9,0.0,ਕਾਫ਼ੀ
appreciate,0.9,0.0,ਕਦਰ ਕਰੋ
large-capacity,0.9,0.0,ਵੱਡੀ ਸਮਰੱਥਾ
ardent,0.9,0.0,ਉਤਸ਼ਾਹੀ
inspiration,0.9,0.0,ਪ੍ਰੇਰਣਾ
topnotch,0.9,0.0,ਸਿਰੇ ਦੀ
fluent,0.9,0.0,ਤਜ਼ਰਬੇਕਾਰ
well-balanced,0.9,0.0,ਚੰਗੀ ਤਰ੍ਹਾਂ ਸੰਤੁਲਿਤ
clear-cut,0.9,0.0,ਸਾਫ-ਕੱਟ
lovely,0.9,0.0,ਪਿਆਰਾ
frugal,0.9,0.0,ਡਰਾਉਣਾ
affirm,0.9,0.0,ਪੁਸ਼ਟੀ
idealize,0.9,0.0,ਆਦਰਸ਼
great,0.9,0.0,ਮਹਾਨ
profoundly,0.9,0.0,ਡੂੰਘਾ
gumption,0.9,0.0,ਗਮਪਸ਼ਨ
elation,0.9,0.0,ਖੁਸ਼ਹਾਲੀ
stability,0.9,0.0,ਸਥਿਰਤਾ
spellbound,0.9,0.0,ਜਾਦੂ
obsessions,0.9,0.0,ਜਨੂੰਨ
applaud,0.9,0.0,ਤਾਰੀਫ
willing,0.9,0.0,ਤਿਆਰ
well-bred,0.9,0.0,ਚੰਗੀ ਨਸਲ
cleanly,0.9,0.0,ਸਾਫ਼
graciousness,0.9,0.0,ਕ੍ਰਿਪਾ
constructive,0.9,0.0,ਉਸਾਰੂ
pampers,0.9,0.0,ਪੈਂਪਰ
hotcakes,0.9,0.0,ਗਰਮ ਕੇਕ
realistic,0.9,0.0,ਯਥਾਰਥਵਾਦੀ
nicely,0.9,0.0,ਖੂਬਸੂਰਤ
unbiased,0.9,0.0,ਨਿਰਪੱਖ
virtuously,0.9,0.0,ਨੇਕੀ ਨਾਲ
free,0.9,0.0,ਮੁਫਤ
fairly,0.9,0.0,ਕਾਫ਼ੀ
cushy,0.9,0.0,cushy
grand,0.9,0.0,ਲੰਬਾ
admirer,0.9,0.0,ਪ੍ਰਸੰਸਾ
peaceable,0.9,0.0,ਸ਼ਾਂਤਮਈ
laud,0.9,0.0,ਟੇਬਲ
renewed,0.9,0.0,ਨਵਿਆਇਆ
inspire,0.9,0.0,ਪ੍ਰੇਰਣਾ
buoyant,0.9,0.0,ਖੁਸ਼
humility,0.9,0.0,ਨਿਮਰਤਾ
stabilize,0.9,0.0,ਸਥਿਰ
hopeful,0.9,0.0,ਆਸ਼ਾਵਾਦੀ
staunchness,0.9,0.0,ਕਠੋਰਤਾ
tenderly,0.9,0.0,ਕੋਮਲਤਾ ਨਾਲ
amiabily,0.9,0.0,amiabily
liberation,0.9,0.0,ਮੁਕਤੀ
loveliness,0.9,0.0,ਪਿਆਰ
stunned,0.9,0.0,ਹੈਰਾਨ
seamless,0.9,0.0,ਸਹਿਜ
supremely,0.9,0.0,ਸਰਬੋਤਮ
capable,0.9,0.0,ਸਮਰੱਥ
firmer,0.9,0.0,ਮਜ਼ਬੂਤ
overture,0.9,0.0,ਓਵਰਟੋਰ
chivalrous,0.9,0.0,ਦਿਆਲੂ
ingeniously,0.9,0.0,ਹੁਸ਼ਿਆਰੀ ਨਾਲ
freedom,0.9,0.0,ਆਜ਼ਾਦੀ
well-positioned,0.9,0.0,ਚੰਗੀ ਸਥਿਤੀ ਵਿੱਚ
balanced,0.9,0.0,ਸੰਤੁਲਿਤ
refunded,0.9,0.0,ਵਾਪਸ ਕਰ ਦਿੱਤਾ
triumphal,0.9,0.0,ਜਿੱਤ
angelic,0.9,0.0,ਦੂਤ
matchless,0.9,0.0,ਬੇਮਿਸਾਲ
tenacious,0.9,0.0,ਕਠੋਰ
successful,0.9,0.0,ਸਫਲ
powerfully,0.9,0.0,ਸ਼ਕਤੀਸ਼ਾਲੀ
uplifting,0.9,0.0,ਉਤਸ਼ਾਹ
dynamic,0.9,0.0,ਗਤੀਸ਼ੀਲ
thankful,0.9,0.0,ਧੰਨਵਾਦੀ
cuteness,0.9,0.0,cuteness
champ,0.9,0.0,ਖੇਤਰ
intriguingly,0.9,0.0,ਦਿਲਚਸਪ
sufficiently,0.9,0.0,ਕਾਫ਼ੀ
pepping,0.9,0.0,ਪੀਪਿੰਗ
god-send,0.9,0.0,ਰੱਬ ਭੇਜੋ
mature,0.9,0.0,ਸਿਆਣੇ
top-quality,0.9,0.0,ਉੱਚ-ਗੁਣਵੱਤਾ
efficient,0.9,0.0,ਅਸਰਦਾਰ
easy-to-use,0.9,0.0,ਵਰਤਣ ਵਿਚ ਅਸਾਨ
peppy,0.9,0.0,ਮਿਰਚ
idol,0.9,0.0,ਮੂਰਤੀ
elegantly,0.9,0.0,ਖੂਬਸੂਰਤ
glorious,0.9,0.0,ਸ਼ਾਨਦਾਰ
insightful,0.9,0.0,ਸਮਝਦਾਰ
economical,0.9,0.0,ਕਿਫਾਇਤੀ
reassurance,0.9,0.0,ਭਰੋਸਾ
premier,0.9,0.0,ਪਹਿਲਾਂ
redeem,0.9,0.0,ਛੁਟਕਾਰਾ
pain-free,0.9,0.0,ਦਰਦ ਰਹਿਤ
supporter,0.9,0.0,ਸਮਰਥਕ
rejoicingly,0.9,0.0,ਅਨੰਦ ਨਾਲ
dawn,0.9,0.0,ਸਵੇਰ
gutsy,0.9,0.0,ਹਿੰਮਤ
terrifically,0.9,0.0,ਡਰਾਉਣੇ
imaculate,0.9,0.0,ਕਲਪਨਾ
appreciated,0.9,0.0,ਪ੍ਰਸ਼ੰਸਾ ਕੀਤੀ
strongest,0.9,0.0,ਸਖਤ
accomplish,0.9,0.0,ਪੂਰਾ
stimulate,0.9,0.0,ਉਤੇਜਤ
distinguished,0.9,0.0,ਵੱਖਰਾ
joy,0.9,0.0,ਆਨੰਦ ਨੂੰ
enjoyed,0.9,0.0,ਅਨੰਦ ਲਿਆ
elate,0.9,0.0,ਖੁਸ਼ੀ
benefit,0.9,0.0,ਲਾਭ
openness,0.9,0.0,ਖੁੱਲ੍ਹ
achievement,0.9,0.0,ਪ੍ਰਾਪਤੀ
honorable,0.9,0.0,ਸਤਿਕਾਰਯੋਗ
salute,0.9,0.0,ਸਿਹਤ
genuine,0.9,0.0,ਸੱਚਾ
unbound,0.9,0.0,ਅਨਬਾਉਂਡ
convienient,0.9,0.0,ਸੁਵਿਧਾਜਨਕ
enlighten,0.9,0.0,ਗਿਆਨਵਾਨ
dumbfounding,0.9,0.0,ਗੂੰਜ
unabashed,0.9,0.0,ਬੇਵੱਸ
rapturously,0.9,0.0,ਅਨੰਦ ਨਾਲ
steadiness,0.9,0.0,ਸਥਿਰਤਾ
sensationally,0.9,0.0,ਸਨਸਨੀਖੇਜ਼
clearer,0.9,0.0,ਸਾਫ
selective,0.9,0.0,ਚੋਣਵ
affirmative,0.9,0.0,ਸਕਾਰਾਤਮਕ
dirt-cheap,0.9,0.0,ਮੈਲ-ਸਸਤਾ
trust,0.9,0.0,ਭਰੋਸਾ
enthusiasm,0.9,0.0,ਉਤਸ਼ਾਹ
undaunted,0.9,0.0,ਬਿਨਾਂ ਸ਼ੱਕ
courageously,0.9,0.0,ਦਲੇਰੀ ਨਾਲ
useful,0.9,0.0,ਲਾਭਦਾਇਕ
adequate,0.9,0.0,ਕਾਫ਼ੀ
jubilation,0.9,0.0,ਖੁਸ਼ਹਾਲੀ
admirably,0.9,0.0,ਪ੍ਰਸ਼ੰਸਾ ਨਾਲ
phenomenally,0.9,0.0,ਅਚਾਨਕ
decisiveness,0.9,0.0,ਨਿਰਣਾਇਕਤਾ
cozy,0.9,0.0,ਆਰਾਮਦਾਇਕ
compassion,0.9,0.0,ਤਰਸ
handier,0.9,0.0,ਹੈਂਡੀਅਰ
clears,0.9,0.0,ਕਲੀਅਰਜ਼
convincingly,0.9,0.0,ਯਕੀਨ ਨਾਲ
preferring,0.9,0.0,ਤਰਜੀਹ
sagely,0.9,0.0,ਸੰਗੀਤ ਨਾਲ
viewable,0.9,0.0,ਵੇਖਣਯੋਗ
awesome,0.9,0.0,ਬਹੁਤ ਵਧੀਆ
abounds,0.9,0.0,ਬਹੁਤ ਜ਼ਿਆਦਾ
keenness,0.9,0.0,ਉਤਸੁਕਤਾ
awards,0.9,0.0,ਪੁਰਸਕਾਰ
supportive,0.9,0.0,ਸਹਿਯੋਗੀ
fine,0.9,0.0,ਠੀਕ ਹੈ
pamperedness,0.9,0.0,ਲਾਹਨਤ
unrivaled,0.9,0.0,ਬੇਜੋੜ
best-selling,0.9,0.0,ਵਧੀਆ ਵਿਕਰੀ
hearten,0.9,0.0,ਦਿਲ
sturdier,0.9,0.0,ਬੇਧਿਆਨੀ
advantages,0.9,0.0,ਲਾਭ
panoramic,0.9,0.0,ਪੈਨੋਰਾਮਿਕ
enhanced,0.9,0.0,ਵਧਾਇਆ
eulogize,0.9,0.0,eulogize
lighter,0.9,0.0,ਹਲਕਾ
won,0.9,0.0,ਜਿੱਤੀ
comprehensive,0.9,0.0,ਵਿਆਪਕ
revival,0.9,0.0,ਬੇਦਾਰੀ
skilled,0.9,0.0,ਕੁਸ਼ਲ
enticing,0.9,0.0,ਭਰਮਾਉਣ
tenacity,0.9,0.0,ਕਠੋਰਤਾ
supporting,0.9,0.0,ਨੂੰ ਸਹਿਯੋਗ
greatest,0.9,0.0,ਮਹਾਨ
fabulously,0.9,0.0,ਕਪੜੇ ਨਾਲ
altruistic,0.9,0.0,ਪਰਉਪਕਾਰੀ
enticingly,0.9,0.0,ਗੁੱਸੇ ਨਾਲ
silent,0.9,0.0,ਚੁੱਪ
pleasant,0.9,0.0,ਸੁਹਾਵਣਾ
fondness,0.9,0.0,ਸ਼ੌਕ
upgradeable,0.9,0.0,ਅਪਗਰੇਡ
phenomenal,0.9,0.0,ਅਸਾਧਾਰਣ
fans,0.9,0.0,ਪੱਖੇ
state-of-the-art,0.9,0.0,ਬਹੁਤ ਵਧੀਆ
noble,0.9,0.0,ਨੇਕ
fast-growing,0.9,0.0,ਤੇਜ਼ੀ ਨਾਲ ਵੱਧ ਰਹੀ
serene,0.9,0.0,ਸਹਿਜ
handsomely,0.9,0.0,ਖੂਬਸੂਰਤ
nourish,0.9,0.0,ਪੋਸ਼ਣ
usable,0.9,0.0,ਵਰਤੋਂ ਯੋਗ
spotless,0.9,0.0,ਬੇਦਾਗ
bless,0.9,0.0,ਅਸੀਸ
exemplar,0.9,0.0,ਮਿਸਾਲੀ
poignant,0.9,0.0,ਜ਼ਖਮੀ
ambitious,0.9,0.0,ਉਤਸ਼ਾਹੀ
worked,0.9,0.0,ਕੰਮ ਕੀਤਾ
proud,0.9,0.0,ਹੰਕਾਰੀ
enrich,0.9,0.0,ਭਰਪੂਰ
kindness,0.9,0.0,ਦਿਆਲਤਾ
warmth,0.9,0.0,ਨਿੱਘ
excitement,0.9,0.0,ਉਤਸ਼ਾਹ
sweetly,0.9,0.0,ਮਿੱਠੇ ਨਾਲ
blithe,0.9,0.0,blithe
contribution,0.9,0.0,ਯੋਗਦਾਨ
rejuvenating,0.9,0.0,ਤਾਜ਼ਗੀ
intimacy,0.9,0.0,ਦੋਸਤੀ
effectively,0.9,0.0,ਪ੍ਰਭਾਵਸ਼ਾਲੀ .ੰਗ ਨਾਲ
wholesome,0.9,0.0,ਪੌਸ਼ਟਿਕ
approve,0.9,0.0,ਮਨਜ਼ੂਰ
truthfulness,0.9,0.0,ਸੱਚਾਈ
handily,0.9,0.0,ਹੱਥ ਨਾਲ
staunchly,0.9,0.0,ਕਠੋਰ
prominence,0.9,0.0,ਪ੍ਰਮੁੱਖਤਾ
merciful,0.9,0.0,ਦਿਆਲੂ
stirringly,0.9,0.0,ਹਿਲਾਉਣਾ
outdone,0.9,0.0,ਆdਟਡੋਨ
overtake,0.9,0.0,ਪਛਾੜ
unbeatable,0.9,0.0,ਅਜੇਤੂ
sufficient,0.9,0.0,ਕਾਫ਼ੀ
ardently,0.9,0.0,ਉਤਸੁਕਤਾ ਨਾਲ
classic,0.9,0.0,ਕਲਾਸਿਕ
civility,0.9,0.0,ਨਾਗਰਿਕਤਾ
ingenuity,0.9,0.0,ਚਤੁਰਾਈ
masterpiece,0.9,0.0,ਮਾਸਟਰਪੀਸ
fidelity,0.9,0.0,ਵਫ਼ਾਦਾਰੀ
reliable,0.9,0.0,ਭਰੋਸੇਮੰਦ
charisma,0.9,0.0,ਕਰਿਸ਼ਮਾ
readable,0.9,0.0,ਪੜ੍ਹਨਯੋਗ
compatible,0.9,0.0,ਅਨੁਕੂਲ
fulfillment,0.9,0.0,ਪੂਰਤੀ
skillfully,0.9,0.0,ਕੁਸ਼ਲਤਾ ਨਾਲ
tingle,0.9,0.0,ਝਰਨਾਹਟ
excel,0.9,0.0,ਐਕਸਲ
enviously,0.9,0.0,ਈਰਖਾ ਨਾਲ
swanky,0.9,0.0,ਸਵੈਂਕੀ
