word,score
valuable,0.99
leverage,0.95
adulatory,0.87
thoughtfully,1.0
honest,1.0
thrifty,1.0
coherent,1.0
sagacity,0.99
efficacious,1.0
rapture,0.64
law abide,0.92
easiness,0.98
undamaged,1.0
afford,0.98
beneficent,1.0
supurbly,0.92
conscientious,0.67
self satisfaction,1.0
palatial,0.97
feasible,0.98
triumphant,1.0
saintly,0.57
unforgettable,1.0
fertile,1.0
lucidly,0.99
willing,0.98
prodigious,0.96
comprehensive,1.0
obsession,0.9
incredible,1.0
correctly,1.0
safely,0.99
gladness,1.0
love,0.98
miraculous,1.0
rejoice,0.98
dignity,1.0
reachable,1.0
exhilaration,1.0
promoter,0.97
wise,0.99
playfully,1.0
beautify,1.0
dotingly,0.99
heartfelt,1.0
empowerment,1.0
titillatingly,0.99
masterfully,1.0
chic,0.94
affectionate,1.0
swankiest,0.98
statuesque,0.99
luckiness,0.99
tantalizing,1.0
galore,0.99
a+,1.0
gratification,1.0
reverent,0.99
upscale,1.0
decisiveness,1.0
freshest,1.0
restful,0.89
gaiety,0.99
desire,0.99
roomier,1.0
responsibly,0.99
ingenuously,0.97
calmness,1.0
intriguing,1.0
gooood,0.91
valiant,1.0
well manage,0.98
protect,1.0
gratifyingly,1.0
uplift,1.0
verifiable,1.0
masterful,1.0
ecenomical,0.86
richly,1.0
bravo,1.0
innocuous,1.0
enthral,1.0
efficient,1.0
heal,0.99
compactly,1.0
economical,1.0
gainful,0.99
good,0.93
succeed,1.0
bolster,0.99
tantalizingly,1.0
thoughtfulness,1.0
admiringly,0.99
well be,0.95
toll free,0.96
excellent,0.99
soft,0.99
gladden,0.98
strikingly,1.0
sensation,1.0
fairly,0.92
meticulously,0.99
breathtaking,1.0
enrapture,0.98
best know,1.0
tremendously,0.99
benefit,0.99
accommodative,1.0
light,1.0
adoringly,1.0
affection,1.0
indebted,0.91
fragrant,1.0
unabashedly,0.99
tenderly,1.0
witty,1.0
smitten,1.0
compassionate,1.0
tantalize,1.0
fabulous,0.99
principle,1.0
humor,1.0
motivated,1.0
right,0.99
well breed,1.0
sublime,1.0
interest,1.0
snappy,1.0
gracefully,1.0
luxuriously,1.0
delicate,1.0
sincerely,0.99
delightfulness,1.0
marvelously,1.0
morality,1.0
talent,1.0
agreeable,0.99
astounded,1.0
fast,0.95
enjoyable,0.99
straighten,0.98
indulgent,0.92
unbeatable,1.0
assure,1.0
cleverly,1.0
harmonize,1.0
sensibly,1.0
idol,1.0
perfectly,1.0
feat,0.99
resilient,0.99
revolutionizes,1.0
cute,0.97
well round,0.98
accurate,1.0
undisputed,1.0
unity,1.0
passionate,1.0
err free,0.91
elite,1.0
foresight,1.0
vibrant,1.0
remarkable,1.0
bargain,1.0
affectation,1.0
sparkling,1.0
imaculate,0.97
peach,1.0
acuman,0.79
respect,1.0
gracious,0.98
first class,1.0
magnanimous,1.0
stimulate,1.0
prudently,0.66
affluence,1.0
foremost,1.0
skilled,1.0
profoundly,1.0
inestimably,0.98
nourishment,1.0
bountiful,0.99
intimacy,1.0
excitingly,1.0
tranquil,1.0
diligent,0.9
rock star,1.0
grin,1.0
astutely,1.0
pinnacle,1.0
frugal,1.0
spacious,1.0
trusty,1.0
piety,0.96
handily,1.0
halcyon,1.0
felicitous,0.99
dominate,1.0
uphold,0.99
maneuverable,0.99
kindly,0.96
upgradeable,1.0
earnest,1.0
god send,0.96
renew,1.0
sustainable,1.0
commendably,0.99
sharp,1.0
formidable,0.62
whooa,1.0
abundant,1.0
vouch,0.95
hard work,0.96
approval,0.99
refine,0.7
admirably,0.99
sweetness,1.0
complementary,1.0
credible,0.99
revival,1.0
feasibly,0.99
succeeds,1.0
talented,1.0
pleasure,1.0
refreshing,1.0
cheerful,0.98
venerate,0.99
impressive,0.99
brainiest,0.74
invaluablely,1.0
rapport,1.0
amity,0.99
overtakes,0.98
legendary,1.0
slammin,1.0
enrichment,1.0
excellently,0.99
triumphantly,1.0
bright,1.0
adore,0.99
detachable,1.0
compliant,1.0
lower price,0.91
excitedness,1.0
progressive,0.97
wealthy,0.98
user friendly,0.99
meaningful,1.0
exemplary,1.0
reliably,1.0
lead,0.99
gumption,0.5
immaculately,1.0
sensationally,1.0
extoll,0.99
fashionably,0.99
ecstasy,1.0
accurately,1.0
well intentione,0.99
unrestricted,1.0
cost save,0.99
keenly,1.0
stimulating,1.0
humourous,0.99
mesmerized,1.0
retractable,0.99
amazing,0.99
noble,0.99
thankful,0.99
record setting,1.0
nifty,1.0
exultant,1.0
jaw droping,0.98
sexy,1.0
infallibility,0.78
outshone,0.78
willingly,1.0
champion,1.0
easy to use,1.0
prefer,0.75
astoundingly,1.0
admire,1.0
unfettered,0.99
extraordinarily,1.0
modest,0.99
ingeniously,1.0
favorable,0.94
cleanliness,0.99
exceedingly,0.99
bless,0.99
expansive,1.0
idolize,0.98
impressiveness,1.0
ambitiously,1.0
awsome,0.99
perfect,1.0
effusion,0.99
usable,0.77
straightforward,1.0
wholesome,1.0
homage,0.99
perseverance,1.0
revolutionary,1.0
sweetly,1.0
heroine,0.97
undaunted,0.87
generously,0.99
mesmerizingly,1.0
worthwhile,1.0
beutifully,1.0
justly,0.98
instantly,0.99
openly,0.98
adroit,1.0
prowess,1.0
fruitful,1.0
pleasingly,1.0
entrust,0.99
fan,0.99
beneficially,1.0
hallowed,0.99
solicitously,0.74
sparkle,1.0
tenaciously,1.0
audibly,1.0
serene,1.0
fearlessly,1.0
fervidly,0.76
first rate,1.0
windfall,0.99
pleasurable,1.0
outstanding,0.99
enhance,1.0
robust,1.0
remission,0.7
treasure,1.0
complimentary,0.99
angel,1.0
stupendously,1.0
righteously,1.0
happily,0.99
unassailable,1.0
poise,0.98
reason,0.92
aspiration,1.0
celebratory,1.0
optimistic,1.0
keen,0.99
spellbound,1.0
attune,0.99
rich,0.99
beloved,1.0
hot,0.92
fervid,0.9
entertaining,1.0
bravery,1.0
famously,0.99
worthiness,1.0
dignify,0.98
humour,1.0
momentous,0.53
divine,1.0
dependably,0.99
gratitude,1.0
wisdom,1.0
enchantingly,1.0
hilarious,1.0
swank,1.0
appreciate,0.99
adjustable,1.0
blossom,1.0
worthy,0.99
prodigy,1.0
jubilation,1.0
commendable,1.0
ilu,0.59
pepped,0.82
advocate,0.78
fearless,1.0
master,1.0
beautifullly,1.0
well,0.65
enjoy,0.99
grace,1.0
non violence,0.99
overjoyed,0.96
euphoria,1.0
graciousness,0.99
proper,0.92
evenly,1.0
cherub,0.81
fondness,1.0
winnable,1.0
sensible,0.99
recommendation,1.0
win,1.0
powerful,1.0
redeem,1.0
fascinate,1.0
immense,1.0
reform,0.98
swanky,0.99
genial,1.0
luxurious,0.99
world famous,1.0
firm,1.0
adorer,1.0
goodness,0.99
bliss,1.0
endorsement,0.99
panoramic,1.0
reward,1.0
delightfully,1.0
light hearted,1.0
well wisher,0.99
large capacity,0.99
virtuous,1.0
rectify,0.97
civilize,0.99
righteousness,1.0
best sell,1.0
lavishly,1.0
charitable,1.0
flourish,1.0
avid,1.0
solicitous,0.78
adorable,1.0
vivid,1.0
savvy,1.0
spellbindingly,1.0
covenant,1.0
user replaceable,1.0
gleeful,1.0
effectively,1.0
hallmark,0.99
flawless,1.0
supremacy,0.99
captivate,1.0
stimulative,0.96
well behave,0.98
stylishly,1.0
mercy,0.64
danken,0.98
congratulate,0.99
illumine,0.93
deserve,0.98
prosper,0.98
mastery,1.0
relief,0.98
spellbind,1.0
invigorate,1.0
eminence,0.69
laud,0.99
eventful,1.0
prospro,0.77
prodigiously,0.55
unequivocally,0.89
stunning,1.0
smoothest,1.0
all around,0.89
fav,1.0
daringly,1.0
liberation,1.0
eminent,1.0
prestige,1.0
fortuitously,0.98
laudably,0.84
thumb up,0.99
intelligence,1.0
variety,1.0
nurture,0.95
awesome,0.99
god give,0.97
handsome,1.0
exult,1.0
multi purpose,1.0
gallantly,1.0
catchy,0.99
jubilantly,1.0
distinctive,1.0
exaltedly,0.97
strike,0.99
fulfillment,1.0
titillate,1.0
dirt cheap,1.0
instructive,1.0
ingenuity,1.0
decency,1.0
nicest,0.98
reaffirmation,0.99
optimal,1.0
enthuse,1.0
problem solver,1.0
understandable,0.99
nobly,0.99
save,0.92
elegance,1.0
lovely,0.99
revere,0.99
stable,0.97
well make,0.98
elation,1.0
examplar,0.94
monumental,1.0
rightfully,1.0
nice,0.97
like,0.99
intricate,1.0
sustainability,1.0
luck,0.99
luxuriate,0.71
holy,0.98
overtaken,0.96
acclaim,1.0
intimate,1.0
polished,1.0
tenacity,0.95
cooperative,1.0
likable,1.0
comfortably,0.98
breathtakingly,1.0
fascination,1.0
awestruck,1.0
steadfast,1.0
cohesive,1.0
terrifically,1.0
exuberant,1.0
pretty,0.99
praiseworthy,0.98
gorgeously,1.0
nicely,0.99
peppy,0.52
deference,0.94
exquisite,1.0
hospitable,0.98
authentic,1.0
cohere,0.99
glitz,0.97
lucrative,0.99
gem,1.0
progress,1.0
enraptured,1.0
advantageous,0.99
refresh,1.0
sociable,1.0
supremely,1.0
reasonably,0.98
effusively,0.91
fervent,0.93
romanticize,0.99
trendy,0.94
upgraded,1.0
workable,0.99
orderly,0.98
flatteringly,1.0
excallent,0.99
ardor,0.99
attentive,1.0
amusing,0.99
excellant,1.0
better know,0.54
cornerstone,1.0
liberty,0.99
reaffirm,1.0
togetherness,1.0
approve,0.99
guiltless,0.63
supple,0.99
destiny,1.0
alluring,1.0
brotherly,1.0
enlightenment,1.0
raptureously,0.95
crisp,1.0
well regard,1.0
wholeheartedly,1.0
courtly,0.99
graceful,1.0
glory,1.0
gladly,0.98
heroize,0.67
eagerness,0.98
lawful,0.99
convenience,0.99
outshine,0.82
restructure,0.81
amusingly,1.0
coherence,1.0
solace,1.0
pleasurably,1.0
endear,1.0
whoa,0.64
elate,1.0
fabulously,0.99
magnanimously,0.91
oasis,1.0
individualize,1.0
logical,1.0
prettily,0.94
well educate,0.99
breakthrough,1.0
non violent,0.99
heartwarme,0.99
sagely,1.0
worth while,0.99
geeky,0.87
picturesque,1.0
clear cut,1.0
gleefully,1.0
dedicated,1.0
graciously,0.99
sophisticated,1.0
easy,0.69
blissful,1.0
jubilate,1.0
adaptive,1.0
dawn,0.96
risk free,0.99
radiance,0.82
dare,0.94
low risk,0.91
fondly,0.99
tranquility,1.0
joyfully,1.0
excited,1.0
prominence,1.0
humble,0.99
sincere,1.0
diligently,0.5
consistently,1.0
ardently,0.98
kindliness,1.0
dependable,0.99
compassion,1.0
inviolate,1.0
silent,0.7
beckon,0.67
protective,0.97
survival,0.99
eas,0.91
amicable,1.0
humane,1.0
keenness,1.0
stellar,1.0
attraction,1.0
commend,0.99
properly,1.0
meticulous,1.0
invincibility,1.0
surmount,0.98
excite,1.0
illuminate,0.96
lionhearte,1.0
sporty,1.0
overture,0.98
ideal,1.0
simplify,0.97
well know,0.99
trustworthy,1.0
incredibly,0.99
joyously,1.0
vouchsafe,1.0
super,1.0
glorious,1.0
promptly,0.99
affordable,1.0
elegantly,1.0
famous,0.99
terrific,0.99
stylize,1.0
evocative,1.0
spectacular,1.0
dignified,1.0
energize,1.0
excellency,1.0
steadfastly,1.0
exuberantly,1.0
rejoicingly,0.99
commodious,0.99
classic,0.99
well connect,1.0
ultra crisp,1.0
champ,1.0
great,0.99
admiration,1.0
merrily,1.0
gratified,1.0
fair,1.0
tempt,0.99
smoothe,1.0
remunerate,1.0
plush,0.98
upliftment,1.0
prove,1.0
empathize,1.0
radiant,1.0
virtue,1.0
qualify,0.99
imaginative,1.0
fervently,0.96
reassurance,1.0
grandeur,1.0
gratify,1.0
effortlessly,1.0
enchant,1.0
speedy,0.99
redemption,1.0
revitalize,1.0
charisma,1.0
peace,0.98
sharpest,1.0
creative,1.0
beauteous,1.0
irresistibly,0.99
cajole,1.0
complement,1.0
glee,1.0
capably,0.99
trumpet,1.0
suffice,0.96
extraordinary,1.0
freed,0.93
cushy,0.55
harmless,0.94
lush,1.0
electrify,1.0
astonishingly,1.0
stellarly,1.0
hug,0.99
jolly,0.99
ample,0.99
sufficient,0.89
pep,1.0
pardon,0.54
impassione,1.0
low price,0.55
effectual,1.0
beautiful,1.0
ebullient,1.0
avidly,1.0
congratulatory,0.98
enjoyment,1.0
colorful,1.0
energy efficient,1.0
help,0.92
zenith,1.0
surreal,1.0
reconciliation,0.99
proud,0.99
faster,1.0
best perform,1.0
constructive,1.0
enrapt,1.0
providence,0.99
pain free,1.0
nimble,1.0
effective,1.0
mature,1.0
pleasant,0.99
enhancement,1.0
genuine,1.0
bloom,1.0
wow,1.0
recovery,0.99
courageously,1.0
grand,0.99
unequivocal,0.91
achievement,1.0
quiet,0.83
readily,1.0
confident,1.0
enlighten,1.0
plea,0.67
salutary,0.88
viewable,1.0
afordable,0.99
contribution,1.0
rational,1.0
harmony,1.0
smooth,1.0
self sufficient,0.99
saver,1.0
amply,0.99
ambitious,1.0
uplifting,1.0
diligence,0.64
stirringly,1.0
kudos,1.0
swankier,0.81
carefree,0.99
unparalleled,0.99
delicious,1.0
well mannere,0.99
glitter,1.0
wonderfully,1.0
brilliantly,1.0
impress,1.0
stunningly,1.0
exquisitely,1.0
eloquence,1.0
impeccably,0.99
brilliance,1.0
correct,0.99
top,1.0
superbly,1.0
patient,0.68
speedily,0.99
chivalry,0.98
sleek,1.0
simplest,0.68
unfazed,0.99
amicably,0.99
upliftingly,1.0
instrumental,0.9
satisfy,1.0
modern,1.0
humorous,1.0
sweet,1.0
accessable,0.97
righteous,1.0
visionary,1.0
merit,1.0
pleased,0.98
indulgence,0.92
applaud,0.99
favorite,1.0
high spirited,1.0
embolden,0.99
loveliness,0.99
liberate,1.0
courageous,1.0
responsive,1.0
buoyant,1.0
friendly,0.98
gaily,0.98
permissible,0.93
mesmerizes,1.0
propitious,0.93
blockbuster,1.0
gutsy,0.99
enticing,1.0
twinkly,1.0
rapturous,0.99
hero,0.99
admirable,1.0
euphoric,1.0
grateful,1.0
enviable,0.99
awed,0.99
irresistible,1.0
intelligent,1.0
benifits,0.99
exaltation,0.97
beauty,1.0
encourage,1.0
shimmeringly,1.0
manageable,1.0
delighted,0.99
standout,1.0
fresher,1.0
elan,0.99
yay,0.99
flatter,1.0
mightily,0.86
authoritative,1.0
charming,1.0
improvement,0.99
spiritual,1.0
solidarity,1.0
dead on,0.89
kindness,1.0
examplary,0.87
outdone,1.0
saint,0.98
devout,1.0
aspire,1.0
supporter,0.98
interesting,0.98
unwavering,1.0
quick,0.93
thin,1.0
enviously,1.0
smilingly,1.0
steadiest,1.0
prefere,0.99
appreciable,0.99
respectful,0.98
hardier,0.5
well backlit,0.99
exceptionally,1.0
encouragingly,1.0
thrift,1.0
propitiously,0.98
respectable,0.97
fine,0.85
dote,0.98
ingenuous,0.96
eager,0.94
sprightly,1.0
surpass,0.99
flutter,0.84
fascinatingly,1.0
rockstar,1.0
ease,1.0
slick,1.0
clean,0.99
monumentally,1.0
cure all,0.97
congratulation,0.96
smile,1.0
generosity,1.0
merciful,0.99
energetic,1.0
staunchness,0.98
reconcile,1.0
irreplaceable,0.99
fortuitous,0.99
astonish,1.0
inspire,1.0
worth,0.99
benevolence,1.0
comfort,0.99
prize,0.99
elegant,1.0
virtuously,1.0
invincible,1.0
godsend,0.95
efficiently,1.0
recommend,1.0
entrance,0.97
delicacy,0.56
lively,1.0
continuity,1.0
tough,0.6
auspicious,0.98
eulogize,0.97
ingenious,1.0
finely,1.0
powerfully,1.0
helpful,0.92
affable,1.0
excellence,1.0
soothingly,1.0
marvelous,1.0
soothe,1.0
reverently,0.99
precise,1.0
simplifie,0.84
revive,1.0
ethical,1.0
passion,1.0
honorable,1.0
handy,0.98
ardent,1.0
neat,0.99
tingle,1.0
amazed,1.0
vibrantly,1.0
abound,0.66
boundless,0.89
tidy,0.94
groundbreaking,1.0
lustrous,1.0
kid friendly,0.98
energy saving,1.0
preeminent,0.99
exciting,1.0
first in class,1.0
ecstatically,0.99
handier,1.0
agility,1.0
healthful,1.0
innovation,1.0
amiable,0.98
unencumbered,1.0
youthful,1.0
astound,1.0
trump,0.97
valor,1.0
supurb,0.51
feisty,0.99
award,0.99
wonderful,0.98
crisper,1.0
proficient,1.0
magic,1.0
long last,0.75
clearly,0.99
ennoble,0.92
infallibly,0.9
exhilarate,1.0
durable,1.0
exellent,1.0
advantageously,0.99
enthrall,1.0
charm,1.0
doubtless,0.9
harmonious,1.0
revolutionize,1.0
spellbinding,1.0
blameless,0.99
trustingly,1.0
dumbfound,1.0
quaint,1.0
balanced,1.0
upgradable,1.0
affluent,1.0
reverence,0.99
influential,1.0
trustworthiness,1.0
woo,0.96
ready,0.95
soundly,1.0
adequate,0.89
miracle,1.0
adroitly,0.99
truthful,1.0
flexible,1.0
commitment,1.0
outdo,1.0
defender,0.97
fantastically,1.0
appreciative,1.0
relaxed,0.99
issue free,0.59
ecstatic,0.99
comely,0.98
gratifie,1.0
respectfully,0.99
ovation,1.0
bonus,1.0
articulate,1.0
zeal,0.69
noteworthy,1.0
fast grow,1.0
cherish,1.0
zest,1.0
amazement,1.0
enviousness,0.99
idyllic,0.99
resounding,0.95
richness,1.0
altruistically,1.0
renowned,1.0
admirer,1.0
gallant,0.99
confidence,1.0
awesomely,0.99
amenable,1.0
sumptuousness,1.0
steadfastness,1.0
wonderous,1.0
adulation,0.98
politeness,0.99
qualified,1.0
excel,1.0
courage,1.0
encouraging,0.99
productively,1.0
unrivaled,1.0
hand down,1.0
sumptuous,1.0
desirous,0.98
pre eminent,1.0
intelligible,1.0
luster,1.0
satisfactory,0.69
wowing,1.0
intrigue,1.0
well receive,0.98
well than expect,0.99
proficiently,1.0
jovial,0.99
fresh,1.0
reasonable,0.94
roomy,1.0
nourish,1.0
astonishment,0.98
staunchly,0.98
handsomely,1.0
brilliant,1.0
poeticize,1.0
sincerity,1.0
vigilance,1.0
affability,1.0
enrich,1.0
delightful,1.0
exultation,1.0
brand new,1.0
relish,1.0
trivially,0.96
levity,1.0
rapturously,1.0
painless,0.96
matchless,0.99
innovative,1.0
agilely,1.0
resound,0.97
benefactor,0.99
recover,0.82
hooray,0.99
fastest grow,1.0
skill,1.0
vivacious,1.0
snazzy,1.0
lovable,0.99
neatest,1.0
suave,0.99
remedy,0.87
readable,0.99
breathlessness,0.99
scenic,1.0
entice,1.0
rewardingly,1.0
agreeableness,1.0
gratefully,1.0
affordably,1.0
free,0.72
engrossing,1.0
dazzle,1.0
fiery,1.0
preferable,0.99
backbone,1.0
stylish,1.0
protection,0.99
boost,0.99
patriotic,0.99
effortless,1.0
amicability,0.99
adventuresome,0.99
cure,0.96
prestigious,0.99
fascinating,1.0
hotcake,1.0
defeat,1.0
cooperatively,1.0
gush,1.0
deft,1.0
eyecatch,0.99
cozy,0.99
positive,0.99
satisfie,1.0
fond,0.99
lovably,0.99
resourcefulness,1.0
premier,0.99
geekier,0.95
favour,0.94
glow,1.0
staunch,0.99
eye catch,0.99
happiness,1.0
merriment,0.83
encouragement,0.99
adventurous,1.0
alluringly,1.0
spectacularly,1.0
invaluable,1.0
privilege,0.99
adulate,0.97
mesmerize,1.0
flexibility,1.0
solid,1.0
awe,1.0
low cost,0.99
peacefully,0.96
prof,0.9
priceless,1.0
sumptuously,1.0
amaze,1.0
festive,0.94
contentment,1.0
awesomeness,1.0
fervor,1.0
realistic,1.0
cheer,1.0
adaptable,1.0
joyous,1.0
patriot,0.99
faithfully,1.0
rightness,1.0
survivor,0.97
impartially,1.0
blissfully,1.0
versatile,1.0
optimism,1.0
achievable,1.0
shiny,0.99
eloquent,1.0
advocated,1.0
phenomenal,1.0
capability,1.0
shine,1.0
undisputably,1.0
altruistic,0.99
convient,0.98
refined,1.0
felicitate,0.97
reputable,0.99
luminous,1.0
fave,1.0
genius,1.0
restore,1.0
unbiased,0.99
positively,1.0
fairness,1.0
tolerable,1.0
reputation,1.0
facilitate,1.0
cost effective,1.0
rightly,1.0
pamper,1.0
thoughtful,1.0
prudent,0.85
stability,1.0
truthfully,1.0
versatility,1.0
integrated,1.0
opulent,0.99
marvel,1.0
celebrate,1.0
obtainable,1.0
important,0.99
fun,0.99
impartial,1.0
industrious,0.98
enthusiastic,0.99
intriguingly,1.0
expertly,1.0
satisifie,1.0
effectiveness,1.0
superiority,0.99
well balance,0.99
openness,1.0
mind blow,0.87
thrive,1.0
aver,1.0
integral,1.0
brighter,1.0
glowingly,1.0
originality,1.0
maturity,1.0
glimmer,0.94
inspirational,1.0
dynamic,1.0
goodwill,1.0
lucid,0.99
unabashed,0.99
goodly,0.98
chaste,0.98
miraculousness,1.0
splendidly,1.0
conveniently,1.0
exalt,0.99
beneficiary,1.0
zippy,0.94
soulful,1.0
lawfully,0.99
everlasting,1.0
seamless,1.0
sensational,1.0
revel,1.0
fame,1.0
trust,1.0
lavish,0.99
top notch,1.0
posh,0.95
amiability,0.71
gusto,1.0
superb,0.99
unreal,1.0
support,0.99
razor sharp,1.0
willingness,1.0
humorously,1.0
punctual,0.89
appropriate,0.98
affably,0.99
wonder,1.0
distinction,1.0
affirmative,0.97
exceed,0.99
painlessly,0.83
fortunate,0.99
marvellous,1.0
amenity,1.0
brightest,1.0
reclaim,0.99
pleasing,0.99
exonerate,0.84
heartily,0.99
endorse,1.0
glad,0.98
trophy,1.0
illuminati,1.0
wellbeing,1.0
joyful,1.0
thrill,1.0
gloriously,1.0
productive,0.99
splendor,1.0
nicer,0.96
suavely,0.98
insightful,1.0
equitable,1.0
lean,1.0
agreeably,0.99
amuse,0.99
transparent,0.57
work,0.98
rectification,1.0
traction,1.0
angelic,1.0
resourceful,1.0
memorable,1.0
profuse,0.97
healthy,0.98
chivalrous,0.61
enough,0.59
ameliorate,1.0
fancy,0.95
pleasantly,0.99
stately,0.98
marvelousness,1.0
beneficial,0.99
exemplar,1.0
refunded,0.95
clear,1.0
merry,0.98
intuitive,1.0
recomend,1.0
magnificence,1.0
privileged,0.99
sane,0.99
loyalty,1.0
fashionable,0.99
advanced,1.0
dexterously,1.0
classy,1.0
peaceful,1.0
hearten,0.99
thank,0.93
euphorically,1.0
successful,0.99
renaissance,0.99
season,0.99
navigable,0.97
well run,0.96
self sufficiency,0.68
impeccable,1.0
successfully,0.99
amiabily,0.98
revelation,1.0
excelent,1.0
smartly,1.0
flawlessly,1.0
illustrious,0.99
agile,1.0
well establish,1.0
appreciatively,1.0
reassure,1.0
empathy,1.0
enthusiast,1.0
stabilize,1.0
counter attack,0.83
jaw dropping,0.94
inexpensive,0.58
fidelity,1.0
satisfied,0.98
cool,0.99
evaluative,0.98
sufficiently,0.98
ergonomical,0.54
sweeping,1.0
foolproof,0.58
darling,0.99
luxury,1.0
immaculate,1.0
sweetheart,0.99
elatedly,1.0
perfection,1.0
desirable,0.99
significant,0.99
sufficed,0.98
advantage,1.0
bullish,1.0
self respect,0.98
portable,1.0
precisely,1.0
envy,0.99
supportive,0.98
tempting,1.0
sturdy,1.0
smoothly,1.0
clever,1.0
erudite,0.65
success,0.99
sturdier,1.0
well inform,0.99
undisputable,1.0
honor,1.0
quieter,0.94
dauntless,0.99
prefered,0.92
spotless,1.0
dead cheap,1.0
fecilitous,0.79
selective,0.97
delectable,1.0
comfy,1.0
useful,0.87
freedom,1.0
skillfully,1.0
precious,0.99
polite,0.98
jubiliant,1.0
gainfully,0.99
peaceable,0.97
impressively,1.0
pro,0.99
tender,1.0
luxuriant,0.98
conciliatory,0.99
extol,0.95
attractively,1.0
securely,1.0
laudable,1.0
promise,0.99
exultingly,1.0
praise,0.99
neatly,1.0
faithful,1.0
unselfish,0.98
compact,1.0
enthusiasm,1.0
edify,1.0
cheap,1.0
suitable,0.92
impartiality,1.0
hale,0.85
steadiness,0.66
fast pace,1.0
simplified,1.0
affirmation,1.0
magical,1.0
delight,1.0
savior,0.99
outperform,0.61
resolute,0.96
serenity,1.0
succe,0.99
prompt,1.0
audible,0.98
enterprising,0.62
competitive,1.0
heavenly,1.0
invulnerable,0.9
wisely,1.0
mighty,0.99
rapid,0.98
felicity,1.0
enticingly,1.0
top quality,1.0
civility,0.99
novelty,0.97
lucky,0.99
believeable,0.98
blithe,0.99
magnificently,1.0
exuberance,1.0
assuring,1.0
plentiful,1.0
diversify,1.0
masterpiece,1.0
eagerly,0.99
profound,1.0
enthusiastically,0.99
faultless,0.98
glorify,0.99
playful,1.0
personage,0.86
raptureous,0.79
believable,1.0
topnotch,1.0
temptingly,1.0
wonderously,1.0
phenomenally,1.0
superior,0.99
credence,0.98
unconditional,0.98
guarantee,1.0
decent,0.89
trouble free,0.98
realizable,1.0
persevere,1.0
receptive,1.0
judicious,0.98
saintliness,0.99
deservedly,0.99
miraculously,1.0
sweeten,0.99
luckier,0.99
attractive,0.99
victory,1.0
unquestionable,0.6
feature rich,1.0
meritorious,1.0
outsmart,0.73
acclamation,0.95
lover,1.0
hail,0.94
knowledgeable,1.0
respite,0.96
replaceable,1.0
pure,1.0
unbound,0.86
personalized,1.0
overtake,1.0
rightful,1.0
tickle,0.97
lifesaver,1.0
elated,1.0
ebullience,1.0
truthfulness,1.0
breeze,1.0
prudence,0.96
prolific,1.0
remarkably,1.0
available,0.99
unquestionably,0.5
cashback,0.59
finer,0.99
swift,1.0
earnestly,1.0
cheery,1.0
friendliness,0.99
gain,1.0
winner,1.0
unlimited,1.0
proactive,1.0
outstrip,0.93
godlike,0.99
envious,1.0
exaltingly,0.96
congenial,0.99
poetic,1.0
paramount,0.99
fanfare,1.0
accomodative,0.98
peacekeeper,0.99
righten,1.0
spirited,1.0
autonomous,0.99
compliment,0.99
upheld,1.0
patience,0.73
reliable,0.99
courageousness,1.0
refinement,0.74
cuteness,0.99
fortunately,0.76
contrasty,0.6
rosy,0.99
wondrous,1.0
amazingly,1.0
valiantly,1.0
rapt,0.99
