word,score
zealous,0.97
cry,0.98
contamination,1.0
anger,1.0
incense,0.51
intermittent,0.93
deny,0.98
false,1.0
over - hype,1.0
misjudge,1.0
remorselessness,0.99
strident,0.91
inessential,0.97
capricious,1.0
objection,0.99
obnoxiously,1.0
malign,1.0
frig,0.96
bullshyt,0.92
disrespectable,1.0
assail,0.91
adverse,1.0
ingrate,0.81
wretchedness,1.0
fawningly,0.54
misdirection,1.0
misunderstanding,1.0
irretate,1.0
foul,1.0
contention,0.91
anti-,0.99
semi - retarded,1.0
slash,1.0
hegemonistic,0.88
object,1.0
dismissive,1.0
contagious,1.0
despairing,1.0
despicably,1.0
subtract,1.0
idiot,0.98
flee,0.93
unviewable,1.0
invalid,0.99
dissonant,1.0
badly,1.0
jutter,1.0
inconsequent,1.0
scratchy,1.0
mundane,1.0
absurdity,1.0
drastic,0.82
disaccord,1.0
grate,1.0
unprofitable,1.0
appalling,1.0
mordant,0.6
uproariously,1.0
nonresponsive,0.61
b,0.58
bondage,1.0
desperation,1.0
hesitant,1.0
overwhelm,1.0
rattle,0.99
reprimand,0.99
steeply,0.77
useless,1.0
depressingly,1.0
dispiritedly,1.0
miss,0.94
blurt,1.0
handicapped,0.99
far - fetched,1.0
con,0.98
enslave,1.0
disallow,1.0
swipe,0.99
blockage,1.0
rogue,0.99
disapproving,1.0
skeptical,0.8
ail,1.0
tenderness,1.0
superficially,0.97
darkness,0.99
fallout,1.0
graft,1.0
abysmally,0.99
abominate,1.0
unfriendly,1.0
chintzy,1.0
mangle,0.82
pernicious,0.78
shamefulness,1.0
awfully,1.0
sloow,0.99
unravel,1.0
crumple,1.0
snub,0.92
crook,0.99
dud,1.0
irritant,1.0
deploringly,1.0
inane,1.0
fidgety,1.0
tumble,0.99
preoccupy,0.95
embroil,0.98
incapable,1.0
fretful,0.99
toxic,1.0
sourly,1.0
acridness,1.0
tedious,1.0
divisiveness,1.0
tortuous,1.0
unneeded,1.0
hideous,1.0
faulty,1.0
disrespectful,1.0
exorbitantance,0.99
insultingly,1.0
inconceivably,1.0
cuss,0.7
alienate,1.0
deprive,1.0
cuplrit,0.98
terror,1.0
inefficiently,0.82
fail,1.0
scummy,1.0
illiterate,1.0
hotheade,0.79
facetious,1.0
imperious,0.99
pitiful,1.0
abrupt,1.0
trashy,1.0
taint,1.0
uncivil,1.0
pitilessly,1.0
disappointed,1.0
itch,1.0
mistake,1.0
incessant,1.0
get - rich,0.67
nastily,0.8
fatefully,0.96
misapprehend,0.96
irate,1.0
static,1.0
smelt,0.97
agonizing,1.0
disastrous,1.0
slanderer,1.0
steal,0.83
dissocial,1.0
sack,0.99
fatique,0.98
sketchy,1.0
harbor,0.73
two - face,1.0
ineffectual,1.0
scrap,1.0
irrecoverable,1.0
belie,1.0
terrorism,1.0
provoke,1.0
mindless,1.0
deviation,1.0
incoherence,1.0
obtuse,1.0
diatribe,0.98
wimpy,1.0
earsplitting,0.73
fruitlessly,0.99
irrationally,1.0
sag,1.0
contrariness,0.97
intolerable,1.0
confession,0.94
deluge,1.0
critical,0.64
hypocrisy,1.0
rocky,0.91
impend,1.0
harrow,0.94
flake,1.0
farfetched,0.74
traitorously,1.0
infest,0.98
inefficient,0.99
irredeemable,0.99
disasterous,1.0
excoriate,0.91
despair,1.0
pointless,1.0
subjugation,0.97
ghost,0.97
haggle,0.96
fiction,1.0
askance,0.63
unsure,0.99
delusional,1.0
stupid,0.99
loathsomely,1.0
contortion,0.99
tetchily,1.0
smelly,1.0
odor,1.0
tetchy,0.99
decadent,0.83
embattle,0.91
naughty,0.68
split,1.0
mystify,0.99
junky,1.0
inelegant,1.0
pitiable,1.0
ruin,1.0
wedge,0.81
rhetorical,0.89
devilish,0.83
dissappointe,1.0
picket,0.99
blindside,1.0
inflammatory,1.0
miserableness,1.0
disdainfully,1.0
tease,0.97
bother,1.0
rave,1.0
oversimplification,1.0
grapple,0.94
writhe,0.99
abyss,1.0
unease,1.0
tawdry,1.0
needlessly,1.0
diabolically,0.99
worsen,1.0
painfully,1.0
cloudy,1.0
disadvantaged,0.93
crueler,1.0
irk,1.0
treacherous,1.0
abominably,1.0
tank,0.61
sardonically,1.0
mendacity,0.95
god - awful,1.0
undependable,0.99
intransigence,0.54
coercive,0.99
unclean,1.0
dis,1.0
prickle,1.0
involuntarily,0.9
overzealous,1.0
spendy,0.9
banalize,1.0
onslaught,0.97
pertinacious,1.0
fundamentalism,0.99
altercation,0.75
disavow,1.0
distraughtly,1.0
unusably,1.0
jealously,0.64
hatefully,1.0
unethical,1.0
undependability,1.0
prick,1.0
nag,1.0
indistinguishable,0.54
forlorn,0.92
self - humiliation,1.0
unpleasantrie,1.0
inaccurate,1.0
acrimoniously,0.95
drawback,0.99
difficulty,1.0
perplexity,1.0
inadverent,1.0
abruptly,0.88
kook,1.0
unproven,0.98
groundless,0.99
adamant,1.0
shortness,1.0
apprehensively,0.8
indifferent,1.0
neurotically,0.78
distorted,1.0
ruinous,1.0
perilously,0.98
distrustful,0.99
incorrectly,1.0
predicament,1.0
disconsolately,1.0
upheaval,0.85
heartbreaking,0.61
lascivious,0.96
sink,1.0
usurp,0.98
berate,0.6
extinguish,1.0
shatter,0.99
skulk,0.9
inordinately,0.99
nemesis,1.0
woe,1.0
uproar,0.77
superficiality,1.0
addict,1.0
erratic,1.0
mania,0.98
sadly,1.0
passive,0.99
downgrade,1.0
waste,1.0
rampage,0.99
lousy,1.0
shrug,0.98
accuse,1.0
terribleness,1.0
languid,0.78
pillage,1.0
bickering,0.95
blur,1.0
haze,1.0
imaginary,0.98
geezer,0.82
blabber,1.0
dismayed,1.0
darker,0.99
heartbreaker,0.92
demoralizing,0.99
cramp,0.97
dead,1.0
forbid,1.0
rhapsodize,1.0
angry,1.0
phobic,0.99
archaic,1.0
leery,1.0
miser,1.0
infringe,1.0
massacre,1.0
ignominious,1.0
arcane,0.99
negate,1.0
testily,0.97
fuss,0.97
fanatically,1.0
hell - bent,1.0
set - up,0.99
slanderous,1.0
oppressor,0.99
presumptuous,1.0
immoral,1.0
reckless,0.99
resign,0.92
dishonesty,1.0
blah,1.0
friggin,0.87
downbeat,1.0
payback,0.92
intoxicate,1.0
obstruct,1.0
outburst,1.0
maliciously,0.99
fallacy,0.99
destitute,1.0
desultory,1.0
bump,0.51
cruelness,1.0
impolite,1.0
gullible,1.0
radicalization,1.0
hustler,1.0
zap,0.97
drought,1.0
recession,1.0
egotistically,1.0
relapse,0.99
lose,1.0
fulminate,1.0
hiss,1.0
rebuke,0.93
plebeian,0.93
oversize,1.0
overwhelmed,0.98
incognizant,1.0
instability,1.0
abusive,1.0
vagrant,0.98
ill - advise,1.0
cold,1.0
jabber,1.0
bafflement,1.0
chagrin,1.0
smallish,0.99
joker,0.99
delude,0.98
devious,0.99
gaff,0.8
bleakness,1.0
unlucky,1.0
malady,1.0
dazed,1.0
perturbed,1.0
partisan,1.0
conspirator,0.82
splitting,1.0
intimidation,1.0
fustigate,1.0
naive,0.99
ill - favor,1.0
absurdly,1.0
pandemonium,0.89
ugliness,1.0
irreversible,0.97
pretentious,1.0
froze,1.0
frenzied,1.0
fascist,1.0
jumpy,0.88
lame - duck,1.0
inimical,0.56
superficial,1.0
murky,1.0
vengefully,0.82
thankless,0.91
terrible,1.0
forbidden,0.95
cursed,1.0
gimmicking,1.0
gruesome,1.0
overstatement,1.0
scandal,1.0
deadweight,0.99
insubstantial,0.97
messing,1.0
lack,0.99
malevolently,0.93
sardonic,1.0
indignation,1.0
censure,1.0
disrespect,1.0
hypocricy,1.0
revenge,0.92
ill - conceive,1.0
ugh,1.0
harden,0.52
fury,0.94
fleeting,0.99
pity,1.0
vagueness,1.0
flakieness,0.63
disturbance,1.0
irresolute,0.99
disbelieve,1.0
shroud,1.0
disabled,0.99
recalcitrant,0.98
hamper,0.97
freakish,1.0
insociable,1.0
capriciousness,1.0
tramp,0.81
utterly,0.76
harshly,1.0
dissenter,0.84
subject,0.96
cocky,0.76
regret,1.0
sceptical,1.0
ob,0.63
whip,0.97
fathomless,1.0
chastisement,1.0
shortchange,1.0
violently,1.0
conspicuous,1.0
fraught,0.99
pointlessly,1.0
lawbreaker,0.94
wreak,0.99
indolent,0.98
wail,1.0
unfeeling,1.0
dreary,1.0
brittle,1.0
inexpiable,0.99
defrauding,0.99
oblivious,1.0
cranky,1.0
collude,0.99
costlier,1.0
disagreed,0.79
startle,0.9
spank,0.97
disapointed,1.0
stampede,0.99
screwy,1.0
filth,1.0
flaky,1.0
thwart,0.94
adversity,0.99
brimstone,1.0
bitterness,0.99
left - lean,0.99
jade,0.93
leech,1.0
gasp,0.95
murderer,1.0
baseless,1.0
tragedy,1.0
brat,1.0
asinininity,0.82
panick,1.0
contemptible,1.0
horrific,1.0
madness,0.97
exploit,0.99
nettle,1.0
ill - mannered,1.0
untested,0.63
anti - social,0.99
regretfully,0.98
drown,1.0
impious,0.99
prate,0.98
bait,0.98
obsolete,1.0
idiotic,0.99
desert,1.0
uneconomical,1.0
exhausted,1.0
noxious,1.0
dust,1.0
unwillingly,0.98
vulgar,1.0
life - threaten,1.0
unsustainable,0.99
incomparably,1.0
pricey,0.87
impatience,1.0
mar,0.74
shrouded,0.98
blab,1.0
poverty,1.0
humiliating,1.0
buzzing,0.97
brutally,1.0
blameworthy,1.0
irksome,1.0
indecency,0.99
chaotic,1.0
awfulness,1.0
punish,1.0
imprecise,1.0
stuffy,1.0
indiscriminately,0.78
insulted,0.99
traumatize,0.73
underestimate,0.78
dinky,1.0
rough,1.0
insufferable,1.0
treason,1.0
sneak,0.68
fright,1.0
distressingly,1.0
unprepared,0.53
anti - american,0.97
cartoonish,1.0
disdain,1.0
senselessly,0.99
frightening,1.0
distraction,0.91
infiltrator,1.0
exorbitantly,0.95
marginally,0.74
pain,1.0
tyrant,0.99
burden,1.0
scant,1.0
unusual,0.98
emergency,0.56
indignantly,0.95
counterproductive,0.91
deceive,1.0
fallaciously,0.99
rue,0.78
saggy,1.0
presumptuously,1.0
motley,0.95
unrealistic,1.0
unorthodox,0.98
reprehensive,1.0
imbalance,1.0
inelegance,1.0
layoff,0.99
insular,0.88
brute,0.53
discourteous,1.0
ignominy,1.0
impair,1.0
destabilisation,1.0
limit,0.93
inaudible,1.0
extremist,0.99
imperialist,0.62
gloom,1.0
confrontation,0.99
stain,1.0
pervasive,0.99
belligerent,0.99
problem,1.0
wildly,0.99
inclement,1.0
dire,1.0
importunate,0.7
felonious,1.0
grouchy,0.95
bid - rig,0.98
inconsequently,1.0
wickedness,1.0
mist,1.0
concen,0.65
regrettably,1.0
immoderately,1.0
paranoia,1.0
goad,0.98
misleading,1.0
laughably,0.89
growl,0.66
low - rate,1.0
tenuous,0.99
improper,0.99
desiccate,1.0
mistrustful,1.0
conflicted,1.0
questionable,0.99
avaricious,1.0
clique,1.0
debasement,1.0
inordinate,0.97
perilous,0.99
evildoer,0.76
aggrivation,1.0
ineloquently,0.98
trickery,1.0
impenitent,0.93
incorrigibly,1.0
disturbing,1.0
overblown,1.0
throbbed,1.0
baffle,1.0
traitor,1.0
pimple,0.94
staid,0.79
unforgive,0.98
ill - use,1.0
conscon,0.96
unacceptably,0.99
antiquated,0.81
vex,1.0
unachievable,0.94
ill - usage,1.0
quitter,0.99
deride,1.0
grumpier,1.0
smutti,0.55
strife,1.0
revengefully,0.93
frustrated,1.0
propagandize,0.99
matte,0.99
biting,0.9
overlook,0.98
fractious,0.97
indiscriminate,0.82
downturn,1.0
brazen,0.9
annoyed,1.0
stingingly,0.65
repugn,1.0
mawkishness,1.0
fallaciousness,0.99
manipulate,0.97
disunity,1.0
livid,0.8
bowdlerize,0.89
mediocre,1.0
bum,1.0
discontinue,1.0
cheaply,1.0
sorrowfully,0.8
immoderate,1.0
alarm,0.99
hatred,1.0
demonic,1.0
aloof,0.99
hapless,1.0
reluctance,0.99
decline,1.0
mulish,0.97
creep,1.0
shun,0.99
muddy,1.0
standstill,0.72
unreliable,1.0
fumble,1.0
overawe,1.0
horrible,1.0
shrew,1.0
barren,1.0
sugarcoat,0.97
daunt,0.9
temper,0.71
obsessiveness,1.0
mortifying,1.0
detract,1.0
stump,1.0
antagonist,0.96
disagree,0.95
spill,0.99
degenerate,1.0
selfish,0.99
invader,1.0
pollute,1.0
buggy,1.0
self - interested,0.99
unsettled,0.98
startlingly,1.0
incongruous,1.0
indeterminate,0.98
ungrateful,0.98
shake,0.91
gripe,0.94
gimmicke,1.0
suck,1.0
impatient,1.0
moan,0.99
one - sided,1.0
ironical,0.66
rusty,1.0
decry,0.99
intolerance,0.99
debacle,1.0
humiliate,1.0
limitation,0.98
bleeds,1.0
pokey,0.97
dissension,1.0
indulge,0.99
abrasive,1.0
insupportably,0.95
aground,0.98
goofy,0.98
despise,1.0
disturb,1.0
downfallen,1.0
stole,0.93
heretical,1.0
mistifie,1.0
heretic,0.98
expulse,0.98
shirker,0.95
panicked,1.0
stupidly,0.99
slowwww,1.0
forge,0.88
lament,1.0
so - cal,0.94
stiflingly,0.99
meddlesome,1.0
unskilled,0.99
irregularity,1.0
spookily,0.97
overwhelmingly,0.94
disfavor,1.0
draconic,1.0
irony,0.92
trick,0.55
scarier,0.96
rremediable,0.94
reprovingly,0.94
smokescreen,0.62
simplistically,0.94
inexpertly,0.72
impossiblity,1.0
tyranny,1.0
hothead,0.99
carnage,1.0
demonizing,1.0
interrupt,0.98
confess,0.7
distressed,1.0
hegemony,0.94
lone,0.92
inflict,1.0
bunk,0.52
deprave,0.99
repression,1.0
impractical,1.0
midget,0.91
ding,0.91
wreck,1.0
sarcastic,0.84
disdained,1.0
wound,1.0
disprove,0.94
pompous,1.0
mistrust,1.0
prejudge,0.91
listless,1.0
implode,1.0
dissention,0.84
cynicism,1.0
slave,0.86
painfull,1.0
inappropriate,1.0
notoriously,0.56
smack,1.0
impersonal,0.99
implicate,0.95
fissure,1.0
argumentative,0.95
antithetical,0.96
sneeringly,0.99
cynical,1.0
funnily,1.0
hoax,1.0
prosecute,0.87
douchebag,1.0
revile,0.99
powerless,0.98
extravagance,1.0
smash,0.98
nettlesome,0.99
unfaithfully,1.0
subversive,0.68
squabble,1.0
inculcate,0.77
hairloss,1.0
relentlessness,1.0
tiring,1.0
transgress,0.88
wilt,0.99
bedlam,0.93
vindictiveness,0.99
unruly,1.0
disillusionment,1.0
incapably,1.0
languish,1.0
disreputable,1.0
deficiency,1.0
stubborn,0.66
insufferably,1.0
severe,1.0
punk,1.0
subversion,0.98
insignificantly,1.0
unconstitutional,0.99
ignoble,0.99
accusingly,1.0
cunt,0.98
squeaky,1.0
stupidity,1.0
unsettling,0.97
delinquent,0.99
sharply,0.99
loveless,0.84
devastation,1.0
accost,0.56
obscures,1.0
mishap,1.0
paradoxical,0.94
obscure,1.0
pratfall,0.99
pugnacity,0.99
mobster,0.98
suppress,0.92
unattractive,1.0
unsuspecting,1.0
exhaustion,1.0
frigid,1.0
condescension,1.0
ache,1.0
deform,1.0
unsettlingly,0.97
wrinkle,1.0
smutty,1.0
poisonous,1.0
donside,0.93
objectionable,1.0
refusal,0.98
conspiratorial,0.97
backbiting,0.99
inextricable,0.99
ugliest,1.0
domineer,1.0
adulterate,1.0
stammer,1.0
obscenely,1.0
embarrass,1.0
wane,1.0
exhaust,1.0
unscrupulous,0.99
inadequate,1.0
unclear,1.0
miserably,1.0
partiality,1.0
passiveness,0.98
inaptitude,1.0
paranoid,1.0
spotty,1.0
destroy,1.0
ostracize,1.0
impurity,1.0
involuntary,1.0
calamitous,1.0
knife,0.73
dictator,0.99
unspeakable,0.99
bug,1.0
illogic,1.0
manipulation,0.99
incautious,1.0
debility,0.8
crippled,1.0
depressed,1.0
complacent,1.0
imperfection,1.0
hostility,1.0
threat,0.99
braggart,0.95
fist,0.66
appallingly,1.0
worthlessness,1.0
flickering,1.0
strike,0.99
sulk,1.0
swindle,1.0
aghast,1.0
tardy,0.64
sneaky,0.76
desiccated,1.0
divisive,1.0
cataclysmically,0.64
anxiety,1.0
negligent,1.0
head - ache,1.0
mawkish,1.0
pessimistically,0.97
hoard,1.0
repugnance,1.0
imposer,1.0
asinine,0.72
whiny,1.0
depress,1.0
uncreative,1.0
loud,0.99
brutish,0.64
critic,0.56
irritate,1.0
discontinuity,1.0
problematic,1.0
dizzingly,1.0
dubious,1.0
reprove,0.65
deteriorate,1.0
quandary,0.99
abrade,1.0
morbidly,1.0
commotion,0.99
self - coup,0.99
damned,0.99
insulting,1.0
illogically,1.0
importune,0.95
bewitch,0.99
sinfully,0.85
meltdown,1.0
disavowal,1.0
gracelessly,0.85
choke,1.0
nightmare,1.0
savagery,0.96
perturb,1.0
absent - minded,1.0
soreness,1.0
slut,1.0
prohibitively,1.0
carelessness,1.0
mockingly,0.86
coerce,0.99
predatory,0.99
impiety,1.0
forgetful,1.0
ambiguity,0.85
egregiously,0.99
inhibition,0.99
dismally,1.0
uncivilized,1.0
hollow,1.0
ignominiously,1.0
flagrant,1.0
topple,1.0
stupify,0.97
consternation,1.0
struggle,0.97
roadblock,1.0
absurd,1.0
touted,0.98
evasive,0.96
discomfit,0.99
asininely,0.51
weary,1.0
undue,1.0
volatile,1.0
hoodwink,0.98
flirt,0.99
junkyard,1.0
polemize,0.77
derisive,1.0
imperfect,1.0
muddle,0.99
prisoner,0.98
impediment,0.99
brazenly,0.68
dodgey,0.65
uncompromisingly,0.95
draconian,1.0
recant,0.98
uneventful,1.0
autocrat,0.97
entanglement,0.92
weed,0.94
throbbing,1.0
irritation,1.0
anomaly,0.88
autocratic,0.92
proprietary,0.99
unnecessary,1.0
lengthy,0.94
inconvenience,1.0
scandel,1.0
squeak,1.0
ill - temper,1.0
despairingly,1.0
monster,0.99
belligerence,0.97
revengeful,0.9
indecorum,0.99
inferior,1.0
insurmountable,0.99
monotonous,1.0
repulsively,0.98
disaffirm,1.0
ploy,0.99
inexcusable,1.0
troublemaker,0.56
killjoy,0.93
prattle,1.0
rivalry,0.97
capsize,0.99
jeopardize,0.99
meager,1.0
illogical,1.0
disrespectablity,1.0
clamorous,0.99
hard - line,0.99
cowardly,1.0
jerk,1.0
spinster,0.99
jam,0.91
dump,1.0
overemphasize,1.0
recklessness,1.0
exhort,0.99
irresponsible,1.0
overweight,1.0
procrastinate,0.74
jeopardy,0.98
discriminatory,1.0
hobble,0.97
mourn,1.0
impudence,0.64
prison,1.0
forfeit,0.99
mystery,0.99
election - rigger,0.98
hardhearted,0.67
displease,1.0
shit,0.99
anomalous,1.0
irragularity,1.0
contend,0.94
glut,1.0
interfere,0.99
disastrously,1.0
facetiously,1.0
dishonorablely,1.0
streaky,1.0
insinuation,1.0
flout,0.98
rude,1.0
deaf,1.0
grudge,1.0
horrify,0.99
stagnation,1.0
jeeringly,0.57
annoying,1.0
liable,0.93
ingratitude,0.98
skittishly,0.89
fuck,0.95
unconvincingly,1.0
frenzy,0.7
discredit,0.99
ruthless,0.94
vindictively,0.96
grind,1.0
insupportable,0.51
superstition,0.98
subversively,0.64
imperil,0.97
tentative,0.96
cannibalize,1.0
frown,0.64
suppression,1.0
